,Name,Keywords,Website,Picture,Citations,Affiliation,Research Interest,Biography,Overall Rank
0,Luke Ong ,"Mathematics, Artificial and Augmented Intelligence, Bayesian Statistical Probabilistic Programming, Programming Languages, Semantics of Computation, Verification and Formal Methods, Logic and Algorithms, Security",['https://personal.ntu.edu.sg/luke.ong/index.html'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp02044/57/?filename=20220902 RITM0357051 PIC 2022 Studio Shoot-79 2.jpg,5948.0,"['University of Oxford, UK']","['Mathematics', 'Artificial and Augmented Intelligence']","Dr Luke Ong is Distinguished University Professor at NTU (since 1 August 2022), and Vice President of Research.Professor Ong holds a B.A. in Mathematics (1984, Triple First), a Postgraduate Diploma in Computer Science (1985, Distinction) from Trinity College, University of Cambridge; and a PhD in Computer Science (1988) from Imperial College, University of London. He joined NTU as a Distinguished University Professor in August 2022, and will take up the appointment of Vice President (Research) in January 2023. Prior to joining NTU, he was Professor of Computer Science at the University of Oxford; Fellow of Merton College, Oxford; Honorary Professor of Computer Science, Bristol University; Shaw Visiting Professor at National University of Singapore; and Prize Research Fellow, Trinity College, Cambridge.",A
1,Long Cheng,"Information Sciences and Systems, Data Management, Data Mining",['https://personal.ntu.edu.sg/c.long'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00772/57/?filename=ChengLONG-Photo (1).jpeg,1789.0,[],"['data management', 'data mining']","Cheng LONG is currently an Assistant Professor at the School of Computer Science and Engineering (SCSE), Nanyang Technological University (NTU). He received the PhD degree from Hong Kong University of Science and Technology (HKUST) in 2015 and Bachelor's degree from South China University of Technology (SCUT) in 2010. He has research interests broadly in data management and data mining. Specifically, he works in (a) spatial data management with machine learning-based techniques, (b) spatial data mining in the urban domain (e.g., traffic and mobility), (c) graph data mining (namely dense subgraph mining and graphlet mining), and recently in (d) high-dimensional vector data management (e.g., approximate nearest neighbor search). His research has been recognized with the ""Best Research Award"" provided by ACM-Hong Kong, the ""Fulbright-RGC Research Award"" provided by Research Grant Council (Hong Kong), the ""PG Paper Contest Award"" provided by IEEE-HK, and the ""Overseas Research Award"" provided by HKUST.",A
2,Yu Han,"Computational Intelligence, Information Sciences and Systems, Parallel and Distributed Computing, Artificial and Augmented Intelligence, Graphics and Interactive Computing",['http://hanyu.sg'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00334/57/?filename=Han Yu.jpg,11809.0,"['Nanyang Technological University, School of Computer Science and Engineering, Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly, Singapore']","['Federated Learning', 'AI Ethics', 'Computational Social Choice', 'Trustworthy AI', 'Trust and Reputation Management']","Dr Han Yu is a Nanyang Assistant Professor (NAP) in the School of Computer Science and Engineering (SCSE), Nanyang Technological University (NTU), Singapore. He has been a Visiting Scholar at the Department of Computer Science and Engineering, Hong Kong University of Science and Technology (HKUST) from 2017 to 2018. Between 2015 and 2018, he held the prestigious Lee Kuan Yew Post-Doctoral Fellowship (LKY PDF) at the Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY). Before joining NTU, he worked as an Embedded Software Engineer at Hewlett-Packard (HP) Pte Ltd, Singapore. He obtained his PhD from the School of Computer Science and Engineering, NTU in 2014. During his PhD study, he held the prestigious Singapore Millennium Foundation (SMF) PhD Scholarship. His research focuses on online convex optimization, ethical AI, federated machine learning and their applications in complex collaborative systems such as crowdsourcing. He has published over 150 research papers in book chapters, leading international conferences and journals including AAAI, IJCAI, CVPR, SIGIR, ASE, ACM MM, CIKM, AAMAS, NAACL, ICME and ACM/IEEE Transactions. He co-authored the book ""Federated Learning"" - the first monograph on the topic of federated learning. His research work has been recognized with 25 awards from conferences and journals. He is an Associate Editor of IEEE TNNLS. He is a founding Co-PI of the Trustworthy Federated Ubiquitous Learning (TrustFUL) Research Lab (https://trustful.federated-learning.org/).",A
3,Liu Yang,"Computer Science and Engineering, Cyber Security and Forensics",['https://personal.ntu.edu.sg/yangliu'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00564/57/?filename=yangliu_1_2.JPG,18243.0,"['Nanyang Technological University, School of Electrical and Electronic Engineering, Singapore', 'Huazhong University of Science and Technology, Department of Control Science and Engineering, Wuhan, China']","['Software Engineering', 'Cyber Security', 'Software Analytics', 'Software Testing', 'Formal Methods']","Dr. Yang Liu obtained his bachelor and ph.d degree in the National University of Singapore in 2005 and 2010, respectively. In 2012, he joined Nanyang Technological University as a Nanyang Assistant Professor. He is currently a full professor, director of the cybersecurity lab, Program Director of HP-NTU Corporate Lab and Deputy Director of the National Satellite of Excellence of Singapore. In 2019, he received the University Leadership Forum Chair professorship at NTU.Dr. Liu specializes in software verification, security and software engineering. His research has bridged the gap between the theory and practical usage of formal methods and program analysis to evaluate the design and implementation of software for high assurance and security. By now, he has more than 270 publications in top tier conferences and journals. He has received a number of prestigious awards including MSRA Fellowship, TRF Fellowship, Nanyang Assistant Professor, Tan Chin Tuan Fellowship, Nanyang Research Award (Young Investigator) 2018, NRF Investigatorship 2020 and 10 best paper awards and one most influence system award in top software engineering conferences like ASE, FSE and ICSE.",B
4,Lin Weisi,"Artificial and Augmented Intelligence, Computer Science and Engineering, Electrical and Electronic Engineering","['https://personal.ntu.edu.sg/wslin', 'https://orcid.org/0000-0001-9866-1947']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00683/57/?filename=Prof Lin Weisi_2.jpg,27134.0,"['Nanyang Technological University, Singapore']","['Perception-inspired signal modeling', 'perceptual multimedia quality evaluation', 'video compression', 'image processing & analysis']","Weisi Lin graduated from Sun Yat-Sen (Zhongshan) University, China with B.Sc in Electronics and M.Sc in Digital Signal Processing, respectively, and from King’s College, London University, UK with Ph.D in Computer Vision. He taught and researched in Sun Yat-Sen University, Shantou University (China), Bath University (UK), National University of Singapore, Institute of Microelectronics (Singapore), and Institute for Infocomm Research (Singapore). He has been the project leader of 10+ successfully delivered projects in digital multimedia technology development. He also served as the Lab Head, Visual Processing, and then the Acting Department Manager, Media Processing, in Institute for Infocomm Research.  He holds 16 patents, wrote 9 book chapters, edited 3 books,  authored 2 books, published over 400 refereed papers in international journals and conferences, and made more than ten contributions to international standardization. He believes that good theory is practical so has kept a balance of academic research and industrial deployment throughout his working life.",B
5,Liu Weichen,"Computer Science and Engineering, Computing Hardware and Architecture, Hardware and Embedded Systems","['https://personal.ntu.edu.sg/liu/', 'https://orcid.org/0000-0001-9348-4662']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00280/57/?filename=Asst Prof Liu Weichen.JPG,2629.0,[],"['Embedded Systems', 'Multiprocessor Systems', 'Network-on-Chip']","Dr. Weichen Liu is an Associate Professor at the School of Computer Science and Engineering, Nanyang Technological University, Singapore. He was a Nanyang Assistant Professor (NAP) during 2018-2023. He received his PhD degree from the Hong Kong University of Science and Technology, and the MEng and BEng degrees from Harbin Institute of Technology, China. Dr. Liu serves as an Associate Editor of IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems (TCAD), and a Subject Area Editor of Elsevier Journal of Systems Architecture (JSA). He served as a General Chair of the 25th IEEE International Symposium on Real-Time Computing (ISORC 2020), a Program Chair of ISORC 2019, a Track Chair of ACM/IEEE International Symposium on Low Power Electronics and Design (ISLPED 2021, 2022), The 16th IEEE International Symposium on Embedded Multicore/Many-core Systems-on-Chip (MCSoC 2023), and a chair, technical program committee member, organizing committee member and guest editor of over 20 premier international conferences, journals, workshops and student forums, including DAC, ICCAD, ASP-DAC, CODES+ISSS, RTSS, RTAS, ISLPED, GLSVLSI, MSC@ESWEEK, SRF@ASP-DAC, EAI@ICDCS, etc. Dr. Liu authored and co-authored more than 170 research papers in peer-reviewed journals, conferences and books, and received the best paper candidate awards from DATE 2023, GLSVLSI 2022, ASP-DAC 2020, 2019 and 2016, CASES 2015, CODES+ISSS 2009, and the best poster paper awards from SRF@ASP-DAC 2020 and 2017, RTCSA 2017, AMD-TFE 2010. His research was supported by leading industrial partners including Intel, AMD, Xilinx, MediaTek, Huawei and HP.",B
6,Wai Kin Adams Kong,"Computer Science and Engineering, Smart Cities, Disruptive Technology and Materials, Medical Technology, Smart Nation",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00834/57/?filename=adamskong_1_2.JPG,7531.0,[],"['Biometrics', 'Forensics', 'Image Processing', 'Pattern Recognition']","Since attaining his Ph.D. from the University of Waterloo, Canada in 2007, Asst Prof Adams Kong has gone on to publish 12 journal and over 20 conference papers. He has developed three patents, of which, one has been approved while two others have been filed. During his course of study, he has also gone to win the Scholastic Award from the Hong Kong Baptist University - an award presented only to the top student in his department. As a finalist of the 4th Young Inventor Awards 2002-2003, organized by Hewlett Packard and Far Eastern Economic Review, this capable inventor has received resounding media coverage for his “Palm Print Identification Algorithms for Real-Time Personal Identification”.    This palmprint identification system has earned several international and national awards.  It has aslo been applied to several real applications, including the control of access to a laboratory and a hotel. He has recently been listed as one of the “Who’s Who” in the World.",A
7,Wee Keong NG,"Computer Science and Engineering, Internet & Communications, Info-Communication Technology, Interactive Digital Media, Security Studies & Policy Issues, Cyber Security and Forensics",['https://personal.ntu.edu.sg/awkng'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp01094/57/?filename=awkng_1_2.JPG,6839.0,"['Nanyang Technological University, Singapore']","['Computer Science and Engineering', 'Internet & Communications', 'Info-Communication Technology', 'Interactive Digital Media', 'Security Studies & Policy Issues', 'Cyber Security and Forensics']","Dr. W. K. NG works in machine learning, privacy-preserving techniques, query-permissible encrypted databases, enterprise blockchain systems, data security, and blockchain security. His work is motivated by the need to harness the power of data for the betterment of stakeholders, where the data has confidentiality and privacy issues; where the data may be owned and held by different stakeholders, and where the data is so large that it must be hosted in cloud servers that are never completely secured (susceptible to insider and cyber attacks). He contributes to companies and industries as technology consultant on projects involving data analytics, artificial intelligence, data privacy and security, and blockchain. In recent years, his involvement in conferences and workshop can be found here. His work is supported by various research grants, which can be found here. He is Associate Editor and Member of Editorial Boards of five journals. Over the years, he has worked with many talented students on their PhD and Master theses. Dr. Ng writes for online magazines and newspapers and contributes to social causes.",B
8,Jagath Chandana Rajapakse,"Biomedical Engineering, Computational Intelligence, Information Sciences and Systems, Healthy Brain Ageing, Mental Health, Neuroscience, Artificial and Augmented Intelligence, Biomedical Informatics and Data Science, Computational and Systems Biology, Brain Image Analysis","['https://personal.ntu.edu.sg/asjagath', 'https://orcid.org/0000-0001-7944-1658']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00169/57/?filename=Prof Jagath Chandana Rajapakse.JPG,14510.0,[],"['Biomedical Engineering', 'Computational Intelligence', 'Information Sciences and Systems', 'Healthy Brain Ageing', 'Mental Health', 'Neuroscience', 'Artificial and Augmented Intelligence', 'Biomedical Informatics and Data Science']","Jagath Rajapakse is Professor of Computer Science and Engineering at the Nanyang Technological University (NTU), Singapore. He has BSc degree in Electronics and Telecommunication Engineering from University of Moratuwa (UM), Sri Lanka, and MS and PhD degrees in Electrical and Computer Engineering from University at Buffalo (UB), USA. He was Visiting Scientist to the Max-Planck Institute of Cognitive and Brain Sciences, Germany, and the National Institute of Mental Health, USA. He was Visiting Professor to the Department of Biological Engineering at Massachusetts Institute of Technology (MIT).He serves as Editor for Engineering Applications in Artificial Intelligence journal (IF = 7.802) and served as Associate Editor for IEEE Transactions on medical imaging, IEEE Transaction on neural networks and learning systems, and IEEE Transactions on computational biology and bioinformatics. He was a Fulbright Scholar and appointed IEEE Fellow in 2012 in recognition of his contributions to brain image analysis.",B
9,A S Madhukumar,"Computer Science and Engineering, Electrical and Electronic Engineering, Info-Communication Technology, Interactive Digital Media, Internet & Communications, Computer Networks and Communications","['http://www3.ntu.edu.sg/home/asmadhukumar/', 'https://orcid.org/0000-0002-8740-634X']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00083/57/?filename=Assoc Prof A S Madhukumar (2)_1.jpg,2893.0,[],"['Computer Science and Engineering', 'Electrical and Electronic Engineering', 'Info-Communication Technology', 'Interactive Digital Media', 'Internet & Communications', 'Computer Networks and Communications']","AS Madhukumar’s expertise lies in the areas of multi-tier cellular architecture, cooperative and cognitive radio systems, interference management, coding and modulation, new multiple access schemes, hybrid radio systems and other advanced signal processing algorithms for future communication systems. He is involved in a number of funded research projects, organizing international conferences, and a permanent reviewer for many internationally reputed journals and conferences. He has published over 300 referred international conference and journal papers. He is a recipient of Nanyang Award for Teaching Excellence in 2007 and obtained best paper awards in IEEE 35th Digital Avionics Conference in 2016 and in IEEE Integrated Communications, Navigations and Surveillance Conference in 2016 and in 2017. A S Madhukumar received his B Tech degree from College of Engineering, Trivandrum, India, M Tech from Cochin University of Science and Technology, India and Ph D from Department of Computer Science and Engineering, Indian Institute of Technology, Madras, India. He is currently an Associate Professor in the School of Computer Engineering, Nanyang Technological University, Singapore. Before joining NTU, he was involved in communications and signal processing research at Centre for Development of Advanced Computing (Electronics R&D Centre), Govt. of India and Institute for Infocomm Research (Centre for Wireless Communications), Singapore. Dr. Madhukumar is a senior member of IEEE.",B
