,Title,Year,Authors,Journal,Journal Acronym,Rank
0,"The Impact of a Number of Samples on Unsupervised Feature Extraction, Based on Deep Learning for Detection Defects in Printed Circuit Boards.",2022,"Ihar Volkau, Abdul Mujeeb, Wenting Dai, Marius Erdt, Alexei Sourin",Future Internet 14: 8 ,FI,Unranked
1,Self-supervised pairing image clustering for automated quality control.,2022,"Wenting Dai, Marius Erdt, Alexei Sourin",Vis. Comput. 38: 1181-1194 ,VC,Unranked
2,Feasibility Study on Interactive Geometry Sonification.,2022,"Hanqin Wang, Alexei Sourin",CW 2022: 159-162,CW,C
3,Making Shapes with Mathematics.,2022,Alexei Sourin,CW 2022: 175-176,CW,C
4,"International Conference on Cyberworlds, CW 2022, Kanazawa, Japan, September 27-29, 2022.",2022,"Yuriko Takeshima, Alexei Sourin, Haoran Xie, Christophe Rosenberger, Olga Sourina, Kazunori Miyata","IEEE 2022, ISBN 978-1-6654-6814-5 ",CW,C
5,Making Images with Mathematics.,2021,Alexei Sourin,"Undergraduate Topics in Computer Science, Springer 2021, ISBN 978-3-030-69834-8, pp. 1-244",UTCS,Unranked
6,Detection and segmentation of image anomalies based on unsupervised defect reparation.,2021,"Wenting Dai, Marius Erdt, Alexei Sourin",Vis. Comput. 37: 3093-3102 ,VC,Unranked
7,Anomaly Detection and Segmentation Based on Defect Repaired Image Resynthesis.,2021,"Wenting Dai, Marius Erdt, Alexei Sourin",CW 2021: 109-112,CW,C
8,Virtual Assembling Using Hand Tracking with Leap Motion Controller.,2021,"Siyi Mu, Alexei Sourin",CW 2021: 121-124,CW,C
9,Application of Generative Adversarial Networks and Latent Space Exploration in Music Visualisation.,2021,"Haziq Yusoff bin Abdul Wahab, Alexei Sourin",CW 2021: 125-128,CW,C
10,Generation of Music With Dynamics Using Deep Convolutional Generative Adversarial Network.,2021,"Raymond Kwan How Toh, Alexei Sourin",CW 2021: 137-140,CW,C
11,"International Conference on Cyberworlds, CW 2021, Caen, France, September 28-30, 2021.",2021,"Alexei Sourin, Christophe Rosenberger, Olga Sourina","IEEE 2021, ISBN 978-1-6654-4065-3 ",CW,C
12,Soldering defect detection in automatic optical inspection.,2020,"Wenting Dai, Abdul Mujeeb, Marius Erdt, Alexei Sourin",Adv. Eng. Informatics 43: 101004 ,AEI,Unranked
13,Interactive visual labelling versus active learning: an experimental comparison.,2020,"Mohammad Chegini, Jürgen Bernard, Jian Cui, Fatemeh Chegini, Alexei Sourin, Keith Andrews, Tobias Schreck",Frontiers Inf. Technol. Electron. Eng. 21: 524-535 ,JZUSC,Unranked
14,Self-supervised Pairing Image Clustering and Its Application in Cyber Manufacturing.,2020,"Wenting Dai, Yutao Jiao, Marius Erdt, Alexei Sourin",CW 2020: 25-32,CW,C
15,Generation of Irregular Music Patterns With Deep Learning.,2020,"Zi Jun Kan, Alexei Sourin",CW 2020: 188-195,CW,C
16,"International Conference on Cyberworlds, CW 2020, Caen, France, September 29 - October 1, 2020.",2020,"Alexei Sourin, Christophe Charrier, Christophe Rosenberger, Olga Sourina","IEEE 2020, ISBN 978-1-7281-6497-7 ",CW,C
17,Transactions on Computational Science XXXVI - Special Issue on Cyberworlds and Cybersecurity.,2020,"Marina L. Gavrilova, C. J. Kenneth Tan, Alexei Sourin","Lecture Notes in Computer Science 12060, Springer 2020, ISBN 978-3-662-61363-4 ",TCOS,Unranked
18,One class based feature learning approach for defect detection using deep autoencoders.,2019,"Abdul Mujeeb, Wenting Dai, Marius Erdt, Alexei Sourin",Adv. Eng. Informatics 42 ,AEI,Unranked
19,"Interactive labelling of a multivariate dataset for supervised machine learning using linked visualisations, clustering, and active learning.",2019,"Mohammad Chegini, Jürgen Bernard, Philip Berger, Alexei Sourin, Keith Andrews, Tobias Schreck",Vis. Informatics 3: 9-17 ,VI,Unranked
20,Music in the Air with Leap Motion Controller.,2019,Alexei Sourin,CW 2019: 57-60,CW,C
21,Detection Defect in Printed Circuit Boards using Unsupervised Feature Extraction Upon Transfer Learning.,2019,"Ihar Volkau, Abdul Mujeeb, Wenting Dai, Marius Erdt, Alexei Sourin",CW 2019: 101-108,CW,C
22,Eye-Tracking Based Adaptive Parallel Coordinates.,2019,"Mohammad Chegini, Keith Andrews, Tobias Schreck, Alexei Sourin",SIGGRAPH Asia Posters 2019: 44:1-44:2,SIGGRAPHA,Unranked
23,Interactive rendering of translucent materials under area lights using voxels and Poisson disk samples.,2018,"Ming Di Koa, Henry Johan, Alexei Sourin",Comput. Graph. 71: 101-112 ,CG,Unranked
24,Mid-air interaction with optical tracking for 3D modeling.,2018,"Jian Cui, Alexei Sourin",Comput. Graph. 74: 1-11 ,CG,Unranked
25,Interactive Cutting of Thin Deformable Objects.,2018,"Bin Weng, Alexei Sourin",Symmetry 10: 17 ,SYMMETRY,Unranked
26,Tangible Video Communication over the Internet.,2018,"Song Guo, Alexei Sourin",CGI 2018: 253-260,CGI,C
27,Towards Asynchronous Video-Haptic Interaction in Cyberspace.,2018,"Song Guo, Alexei Sourin",CW 2018: 160-163,CW,C
28,Towards Automatic Optical Inspection of Soldering Defects.,2018,"Wenting Dai, Abdul Mujeeb, Marius Erdt, Alexei Sourin",CW 2018: 375-382,CW,C
29,Unsupervised Surface Defect Detection Using Deep Autoencoders and Data Augmentation.,2018,"Abdul Mujeeb, Wenting Dai, Marius Erdt, Alexei Sourin",CW 2018: 391-398,CW,C
30,"2018 International Conference on Cyberworlds, CW 2018, Singapore, October 3-5, 2018.",2018,"Alexei Sourin, Olga Sourina, Christophe Rosenberger, Marius Erdt","IEEE 2018, ISBN 978-1-5386-7315-7 ",CW,C
