,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Lightweight Hardware Accelerator for Post-Quantum Digital Signature CRYSTALS-Dilithium.,2023,"Naina Gupta, Arpan Jati, Anupam Chattopadhyay, Gautam Jha",IEEE Trans. Circuits Syst. I Regul. Pap. 70: 3234-3243 ,TCASI,Unranked
1,Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond.,2023,"Gokulnath Rajendran, Prasanna Ravi, Jan-Pieter D'Anvers, Shivam Bhasin, Anupam Chattopadhyay",IACR Trans. Cryptogr. Hardw. Embed. Syst. 2023: 418-446 ,TCHES,Unranked
2,Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform.,2023,"Prasanna Ravi, Bolin Yang, Shivam Bhasin, Fan Zhang, Anupam Chattopadhyay",IACR Trans. Cryptogr. Hardw. Embed. Syst. 2023: 447-481 ,TCHES,Unranked
3,Hardware Trojan Detection using Transition Probability with Minimal Test Vectors.,2023,"Anindan Mondal, Shubrojyoti Karmakar, Mahabub Hasan Mahalat, Suchismita Roy, Bibhash Sen, Anupam Chattopadhyay",ACM Trans. Embed. Comput. Syst. 22: 11:1-11:21 ,TECS,Unranked
4,Hardware Security Primitives Using Passive RRAM Crossbar Array: Novel TRNG and PUF Designs.,2023,"Simranjeet Singh, Furqan Zahoor, Gokulnath Rajendran, Sachin B. Patkar, Anupam Chattopadhyay, Farhad Merchant",ASP-DAC 2023: 449-454,ASPDAC,C
5,Integrated Architecture for Neural Networks and Security Primitives using RRAM Crossbar.,2023,"Simranjeet Singh, Furqan Zahoor, Gokulnath Rajendran, Vikas Rana, Sachin B. Patkar, Anupam Chattopadhyay, Farhad Merchant",NEWCAS 2023: 1-5,NEWCAS,Unranked
6,A Higher Radix Architecture for Quantum Carry-lookahead Adder.,2023,"Siyi Wang, Anubhab Baksi, Anupam Chattopadhyay",CoRR abs/2304.02921 ,CORR,Unranked
7,Security and Privacy Issues for Urban Smart Traffic Infrastructure.,2023,"Anubhab Baksi, Ahmed Ibrahim Samir Khalil, Anupam Chattopadhyay",CoRR abs/2304.08429 ,CORR,Unranked
8,Integrated Architecture for Neural Networks and Security Primitives using RRAM Crossbar.,2023,"Simranjeet Singh, Furqan Zahoor, Gokulnath Rajendran, Vikas Rana, Sachin B. Patkar, Anupam Chattopadhyay, Farhad Merchant",CoRR abs/2304.13531 ,CORR,Unranked
9,DORCIS: Depth Optimized Quantum Implementation of Substitution Boxes.,2023,"Matthew Chun, Anubhab Baksi, Anupam Chattopadhyay",IACR Cryptol. ePrint Arch. 2023: 286 ,IACR,Unranked
