,Title,Year,Authors,Journal,Journal Acronym,Rank
0,On parsimony and clustering.,2023,"Frédérique E. Oggier, Anwitaman Datta",PeerJ Comput. Sci. 9: e1339 ,PEERJ-CS,Unranked
1,Misinformation Concierge: A Proof-of-Concept with Curated Twitter Dataset on COVID-19 Vaccination.,2023,"Shakshi Sharma, Anwitaman Datta, Vigneshwaran Shankaran, Rajesh Sharma",CIKM 2023: 5091-5095,CIKM,A
2,Demo: PIEChain - A Practical Blockchain Interoperability Framework.,2023,"Daniël Reijsbergen, Aung Maw, Jingchi Zhang, Tien Tuan Anh Dinh, Anwitaman Datta",ICDCS 2023: 1021-1024,ICDCS,A
3,PIEChain - A Practical Blockchain Interoperability Framework.,2023,"Daniël Reijsbergen, Aung Maw, Jingchi Zhang, Tien Tuan Anh Dinh, Anwitaman Datta",CoRR abs/2306.09735 ,CORR,Unranked
4,CroCoDai: A Stablecoin for Cross-Chain Commerce.,2023,"Daniël Reijsbergen, Bretislav Hajek, Tien Tuan Anh Dinh, Jussi Keppo, Hank Korth, Anwitaman Datta",CoRR abs/2306.09754 ,CORR,Unranked
5,GovernR: Provenance and Confidentiality Guarantees In Research Data Repositories.,2023,"Anwitaman Datta, Chua Chiah Soon, Wangfan Gu",CoRR abs/2307.14041 ,CORR,Unranked
6,BlockChain I/O: Enabling Cross-Chain Commerce.,2023,"Anwitaman Datta, Daniël Reijsbergen, Jingchi Zhang, Suman Majumder",CoRR abs/2308.02163 ,CORR,Unranked
7,Misinformation Concierge: A Proof-of-Concept with Curated Twitter Dataset on COVID-19 Vaccination.,2023,"Shakshi Sharma, Anwitaman Datta, Vigneshwaran Shankaran, Rajesh Sharma",CoRR abs/2309.00639 ,CORR,Unranked
8,Blockchain-enabled Data Governance for Privacy-Preserved Sharing of Confidential Data.,2023,"Jingchi Zhang, Anwitaman Datta",CoRR abs/2309.04125 ,CORR,Unranked
9,A Modular Framework for Centrality and Clustering in Complex Networks.,2022,"Frédérique E. Oggier, Silivanxay Phetsouvanh, Anwitaman Datta",IEEE Access 10: 40001-40026 ,ACCESS,Unranked
10,Concurrency Control and Consistency Over Erasure Coded Data.,2022,"Anwitaman Datta, Frédérique E. Oggier",IEEE Access 10: 118617-118638 ,ACCESS,Unranked
11,Quorums over codes.,2022,"Anwitaman Datta, Frédérique E. Oggier",J. Parallel Distributed Comput. 161: 1-19 ,JPDC,Unranked
