,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Design and analyses of functional mode changes for mixed-criticality systems.,2023,"Vijaya Kumar Sundar, Saravanan Ramanathan, Arvind Easwaran",Real Time Syst. 59: 69-121 ,RTS,Unranked
1,Online Schedule Randomization to Mitigate Timing Attacks in 5G Periodic URLLC Communications.,2023,"Ankita Samaddar, Arvind Easwaran",ACM Trans. Sens. Networks 19: 93:1-93:26 ,TOSN,Unranked
2,PAC-Based Formal Verification for Out-of-Distribution Data Detection.,2023,"Mohit Prashant, Arvind Easwaran",CoRR abs/2304.01592 ,CORR,Unranked
3,Co-Design of Out-of-Distribution Detectors for Autonomous Emergency Braking Systems.,2023,"Michael Yuhas, Arvind Easwaran",CoRR abs/2307.13419 ,CORR,Unranked
4,Efficient Out-of-Distribution Detection Using Latent Space of β-VAE for Cyber-Physical Systems.,2022,"Shreyas Ramakrishna, Zahra RahimiNasab, Gabor Karsai, Arvind Easwaran, Abhishek Dubey",ACM Trans. Cyber Phys. Syst. 6: 15:1-15:34 ,TCPS,Unranked
5,Deadline-constrained Multi-resource Task Mapping and Allocation for Edge-Cloud Systems.,2022,"Chuanchao Gao, Aryaman Shaan, Arvind Easwaran",GLOBECOM 2022: 5037-5043,GLOBECOM,B
6,Out of Distribution Reasoning by Weakly-Supervised Disentangled Logic Variational Autoencoder.,2022,"Zahra RahimiNasab, Michael Yuhas, Arvind Easwaran",ICSRS 2022: 169-178,ICSRS,Unranked
7,PAC-Based Formal Verification for Out-of-Distribution Data Detection.,2022,"Mohit Prashant, Arvind Easwaran",ICSRS 2022: 300-309,ICSRS,Unranked
8,Event-Driven Real-Time Multi-Objective Charging Schedule Optimization For Electric Vehicle Fleets.,2022,"Jose Peeterson Emerson Raja, Arvind Easwaran",ITSC 2022: 3283-3289,ITSC,Unranked
9,Design Methodology for Deep Out-of-Distribution Detectors in Real-Time Cyber-Physical Systems.,2022,"Michael Yuhas, Daniel Jun Xian Ng, Arvind Easwaran",RTCSA 2022: 180-185,RTCSA,B
10,Work-in-Progress: Deadline-Constrained Multi-Resource Allocation in Edge-Cloud System.,2022,"Chuanchao Gao, Arvind Easwaran",RTSS 2022: 503-506,RTSS,A*
11,Behavioural cloning based RL agents for district energy management.,2022,"Sharath Ram Kumar, Arvind Easwaran, Benoit Delinchant, Remy Rigo-Mariani",BuildSys@SenSys 2022: 466-470,SENSYS,A*
12,Deadline-constrained Multi-resource Task Mapping and Allocation for Edge-Cloud Systems.,2022,"Chuanchao Gao, Aryaman Shaan, Arvind Easwaran",CoRR abs/2206.05950 ,CORR,Unranked
13,Design Methodology for Deep Out-of-Distribution Detectors in Real-Time Cyber-Physical Systems.,2022,"Michael Yuhas, Daniel Jun Xian Ng, Arvind Easwaran",CoRR abs/2207.14694 ,CORR,Unranked
