,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Classifying ambiguous identities in hidden-role Stochastic games with multi-agent reinforcement learning.,2023,"Shijie Han, Siyuan Li, Bo An, Wei Zhao, Peng Liu",Auton. Agents Multi Agent Syst. 37: 35 ,AAMAS,A*
1,Effective Interpretable Policy Distillation via Critical Experience Point Identification.,2023,"Xiao Liu, Shuyang Liu, Bo An, Yang Gao, Shangdong Yang, Wenbin Li",IEEE Intell. Syst. 38: 28-36 ,EXPERT,Unranked
2,Multi-agent dueling Q-learning with mean field and value decomposition.,2023,"Shifei Ding, Wei Du, Ling Ding, Lili Guo, Jian Zhang, Bo An",Pattern Recognit. 139: 109436 ,PR,Unranked
3,Reinforcement Learning for Quantitative Trading.,2023,"Shuo Sun, Rundong Wang, Bo An",ACM Trans. Intell. Syst. Technol. 14: 44:1-44:29 ,TIST,Unranked
4,Multiple-Instance Learning From Unlabeled Bags With Pairwise Similarity.,2023,"Lei Feng, Senlin Shu, Yuzhou Cao, Lue Tao, Hongxin Wei, Tao Xiang, Bo An, Gang Niu",IEEE Trans. Knowl. Data Eng. 35: 11599-11609 ,TKDE,Unranked
5,PRUDEX-Compass: Towards Systematic Evaluation of Reinforcement Learning in Financial Markets.,2023,"Shuo Sun, Molei Qin, Xinrun Wang, Bo An",Trans. Mach. Learn. Res. 2023 ,TMLR,Unranked
6,An Efficient Deep Reinforcement Learning Algorithm for Solving Imperfect Information Extensive-Form Games.,2023,"Linjian Meng, Zhenxing Ge, Pinzhuo Tian, Bo An, Yang Gao",AAAI 2023: 5823-5831,AAAI,A*
7,Partial-Label Regression.,2023,"Xin Cheng, Deng-Bao Wang, Lei Feng, Min-Ling Zhang, Bo An",AAAI 2023: 7140-7147,AAAI,A*
8,Solving Large-Scale Pursuit-Evasion Games Using Pre-trained Strategies.,2023,"Shuxin Li, Xinrun Wang, Youzhi Zhang, Wanqi Xue, Jakub Cerný, Bo An",AAAI 2023: 11586-11594,AAAI,A*
9,Consistent Complementary-Label Learning via Order-Preserving Losses.,2023,"Shuqi Liu, Yuzhou Cao, Qiaozhen Zhang, Lei Feng, Bo An",AISTATS 2023: 8734-8748,AISTATS,A
10,Structural Credit Assignment-Guided Coordinated MCTS: An Efficient and Scalable Method for Online Multiagent Planning.,2023,"Qian Che, Wanyuan Wang, Fengchen Wang, Tianchi Qiao, Xiang Liu, Jiuchuan Jiang, Bo An, Yichuan Jiang",AAMAS 2023: 543-551,ATAL,Unranked
11,Off-Beat Multi-Agent Reinforcement Learning.,2023,"Wei Qiu, Weixun Wang, Rundong Wang, Bo An, Yujing Hu, Svetlana Obraztsova, Zinovi Rabinovich, Jianye Hao, Yingfeng Chen, Changjie Fan",AAMAS 2023: 2424-2426,ATAL,Unranked
