,Title,Year,Authors,Journal,Journal Acronym,Rank
0,ABLE-NeRF: Attention-Based Rendering with Learnable Embeddings for Neural Radiance Field.,2023,"Zhe Jun Tang, Tat-Jen Cham, Haiyu Zhao",CVPR 2023: 16559-16568,CVPR,A*
1,Unified Discrete Diffusion for Simultaneous Vision-Language Generation.,2023,"Minghui Hu, Chuanxia Zheng, Zuopeng Yang, Tat-Jen Cham, Heliang Zheng, Chaoyue Wang, Dacheng Tao, Ponnuthurai N. Suganthan",ICLR 2023,ICLR,A*
2,ABLE-NeRF: Attention-Based Rendering with Learnable Embeddings for Neural Radiance Field.,2023,"Zhe Jun Tang, Tat-Jen Cham, Haiyu Zhao",CoRR abs/2303.13817 ,CORR,Unranked
3,Explicit Correspondence Matching for Generalizable Neural Radiance Fields.,2023,"Yuedong Chen, Haofei Xu, Qianyi Wu, Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai",CoRR abs/2304.12294 ,CORR,Unranked
4,Cocktail: Mixing Multi-Modality Controls for Text-Conditional Image Generation.,2023,"Minghui Hu, Jianbin Zheng, Daqing Liu, Chuanxia Zheng, Chaoyue Wang, Dacheng Tao, Tat-Jen Cham",CoRR abs/2306.00964 ,CORR,Unranked
5,IPO-LDM: Depth-aided 360-degree Indoor RGB Panorama Outpainting via Latent Diffusion Model.,2023,"Tianhao Wu, Chuanxia Zheng, Tat-Jen Cham",CoRR abs/2307.03177 ,CORR,Unranked
6,GeoConv: Geodesic guided convolution for facial action unit recognition.,2022,"Yuedong Chen, Guoxian Song, Zhiwen Shao, Jianfei Cai, Tat-Jen Cham, Jianmin Zheng",Pattern Recognit. 122: 108355 ,PR,Unranked
7,Unconstrained Facial Action Unit Detection via Latent Feature Domain.,2022,"Zhiwen Shao, Jianfei Cai, Tat-Jen Cham, Xuequan Lu, Lizhuang Ma",IEEE Trans. Affect. Comput. 13: 1111-1126 ,TAFFCO,Unranked
8,Global Context with Discrete Diffusion in Vector Quantised Modelling for Image Generation.,2022,"Minghui Hu, Yujie Wang, Tat-Jen Cham, Jianfei Yang, Ponnuthurai N. Suganthan",CVPR 2022: 11492-11501,CVPR,A*
9,Bridging Global Context Interactions for High-Fidelity Image Completion.,2022,"Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai, Dinh Q. Phung",CVPR 2022: 11502-11512,CVPR,A*
10,Entry-Flipped Transformer for Inference and Prediction of Participant Behavior.,2022,"Bo Hu, Tat-Jen Cham",ECCV  2022: 439-456,ECCV,A*
11,Sem2NeRF: Converting Single-View Semantic Masks to Neural Radiance Fields.,2022,"Yuedong Chen, Qianyi Wu, Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai",ECCV  2022: 730-748,ECCV,A*
12,MPT-Net: Mask Point Transformer Network for Large Scale Point Cloud Semantic Segmentation.,2022,"Zhe Jun Tang, Tat-Jen Cham",IROS 2022: 10611-10618,IROS,A
13,Real-time Shadow-aware Portrait Relighting in Virtual Backgrounds for Realistic Telepresence.,2022,"Guoxian Song, Tat-Jen Cham, Jianfei Cai, Jianmin Zheng",ISMAR 2022: 729-738,ISMAR,A*
14,Towards Unbiased Visual Emotion Recognition via Causal Intervention.,2022,"Yuedong Chen, Xu Yang, Tat-Jen Cham, Jianfei Cai",ACM Multimedia 2022: 60-69,MM,Unranked
15,Sem2NeRF: Converting Single-View Semantic Masks to Neural Radiance Fields.,2022,"Yuedong Chen, Qianyi Wu, Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai",CoRR abs/2203.10821 ,CORR,Unranked
16,High-Quality Pluralistic Image Completion via Code Shared VQGAN.,2022,"Chuanxia Zheng, Guoxian Song, Tat-Jen Cham, Jianfei Cai, Dinh Q. Phung, Linjie Luo",CoRR abs/2204.01931 ,CORR,Unranked
17,Entry-Flipped Transformer for Inference and Prediction of Participant Behavior.,2022,"Bo Hu, Tat-Jen Cham",CoRR abs/2207.06235 ,CORR,Unranked
