,Title,Year,Authors,Journal,Journal Acronym,Rank
0,EuclidNet: Deep Visual Reasoning for Constructible Problems in Geometry.,2023,"Man-Fai Wong, Xintong Qi, Chee Wei Tan",Adv. Artif. Intell. Mach. Learn. 3: 839-853 ,AAIML,Unranked
1,Natural Language Generation and Understanding of Big Code for AI-Assisted Programming: A Review.,2023,"Man-Fai Wong, Shangxin Guo, Ching Nam Hang, Siu-Wai Ho, Chee-Wei Tan",Entropy 25: 888 ,ENTROPY,Unranked
2,Contagion Source Detection in Epidemic and Infodemic Outbreaks: Mathematical Analysis and Network Algorithms.,2023,"Chee-Wei Tan, Pei-Duo Yu",Found. Trends Netw. 13: 107-251 ,FTNET,Unranked
3,On Symmetric Multilevel Diversity Coding System With Linear Computations.,2023,"Yiqian Zhang, Congduan Li, Chee Wei Tan",IEEE Commun. Lett. 27: 1994-1998 ,ICL,Unranked
4,Fault-Tolerant Computation Meets Network Coding: Optimal Scheduling in Parallel Computing.,2023,"Congduan Li, Yiqian Zhang, Chee-Wei Tan",IEEE Trans. Commun. 71: 3847-3860 ,TCOM,Unranked
5,EuclidNet: Deep Visual Reasoning for Constructible Problems in Geometry.,2023,"Man-Fai Wong, Xintong Qi, Chee-Wei Tan",CoRR abs/2301.13007 ,CORR,Unranked
6,Natural Language Generation and Understanding of Big Code for AI-Assisted Programming: A Review.,2023,"Man-Fai Wong, Shangxin Guo, Ching Nam Hang, Siu-Wai Ho, Chee-Wei Tan",CoRR abs/2307.02503 ,CORR,Unranked
7,Contagion Source Detection in Epidemic and Infodemic Outbreaks: Mathematical Analysis and Network Algorithms.,2023,"Chee-Wei Tan, Pei-Duo Yu",CoRR abs/2307.04061 ,CORR,Unranked
8,Copilot for Xcode: Exploring AI-Assisted Programming by Prompting Cloud-based Large Language Models.,2023,"Chee Wei Tan, Shangxin Guo, Man-Fai Wong, Ching Nam Hang",CoRR abs/2307.14349 ,CORR,Unranked
9,Epidemic Source Detection in Contact Tracing Networks: Epidemic Centrality in Graphs and Message-Passing Algorithms.,2022,"Pei-Duo Yu, Chee Wei Tan, Hung-Lin Fu",IEEE J. Sel. Top. Signal Process. 16: 234-249 ,JSTSP,Unranked
10,The Value of Cooperation: From AIMD to Flipped Classroom Teaching.,2022,Chee-Wei Tan,SIGMETRICS Perform. Evaluation Rev. 49: 8-13 ,SIGMETRICS,A*
11,An Overview of Healthcare Data Analytics With Applications to the COVID-19 Pandemic.,2022,"Zhe Fei, Yevgen Ryeznik, Oleksandr Sverdlov, Chee-Wei Tan, Weng Kee Wong",IEEE Trans. Big Data 8: 1463-1480 ,TBD,Unranked
12,Identifying the Superspreader in Proactive Backward Contact Tracing by Deep Learning.,2022,"Siya Chen, Pei-Duo Yu, Chee-Wei Tan, H. Vincent Poor",CISS 2022: 43-48,CISS,National
13,Fast Breadth-First Search Approximation for Epidemic Source Inference.,2022,"Congduan Li, Siya Chen, Chee-Wei Tan",CISS 2022: 194-199,CISS,National
14,A Chatbot-Server Framework for Scalable Machine Learning Education through Crowdsourced Data.,2022,"Jingting Li, Chee-Wei Tan, Ching Nam Hang, Xintong Qi",L@S 2022: 271-274,LATS,Unranked
15,Epidemic Source Detection in Contact Tracing Networks: Epidemic Centrality in Graphs and Message-Passing Algorithms.,2022,"Pei-Duo Yu, Chee-Wei Tan, Hung-Lin Fu",CoRR abs/2201.06751 ,CORR,Unranked
16,DeepTrace: Learning to Optimize Contact Tracing in Epidemic Networks with Graph Neural Networks.,2022,"Siya Chen, Pei-Duo Yu, Chee-Wei Tan, H. Vincent Poor",CoRR abs/2211.00880 ,CORR,Unranked
17,Fault-Tolerant Computation Meets Network Coding: Optimal Scheduling in Parallel Computing.,2021,"Congduan Li, Chee-Wei Tan, Jingting Li, Siya Chen",GLOBECOM 2021: 1-6,GLOBECOM,B
18,Blending Peer Instruction with Just-In-Time Teaching: Jointly Optimal Task Scheduling with Feedback for Classroom Flipping.,2021,"Jingting Li, Lin Ling, Chee-Wei Tan",L@S 2021: 117-126,LATS,Unranked
19,Peer-Grading at Scale with Rank Aggregation.,2021,"Lin Ling, Chee Wei Tan",L@S 2021: 327-330,LATS,Unranked
20,Jointly Optimal Fair Data Collection and Trajectory Design Algorithms in UAV-Aided Cellular Networks.,2021,"Dan Song, Xiangping Bryce Zhai, Xin Liu, Chee-Wei Tan",WCNC 2021: 1-6,WCNC,B
21,An Overview of Healthcare Data Analytics With Applications to the COVID-19 Pandemic.,2021,"Zhe Fei, Yevgen Ryeznik, Oleksandr Sverdlov, Chee-Wei Tan, Weng Kee Wong",CoRR abs/2111.14623 ,CORR,Unranked
22,Proving and Disproving Information Inequalities: Theory and Scalable Algorithms.,2020,"Siu-Wai Ho, Lin Ling, Chee Wei Tan, Raymond W. Yeung",IEEE Trans. Inf. Theory 66: 5522-5536 ,TIT,Unranked
23,Economic Viability of a Virtual ISP.,2020,"Shengxin Liu, Carlee Joe-Wong, Jiasi Chen, Christopher G. Brinton, Chee-Wei Tan, Liang Zheng",IEEE/ACM Trans. Netw. 28: 902-916 ,TON,Unranked
24,"Automated Reasoning by Convex Optimization: Proof Simplicity, Duality and Sparsity.",2020,"Chee-Wei Tan, Lin Ling",CISS 2020: 1-5,CISS,National
25,Scalable Automated Proving of Information Theoretic Inequalities with Proximal Algorithms.,2019,"Lin Ling, Chee-Wei Tan, Siu-Wai Ho, Raymond W. Yeung",ISIT 2019: 1382-1386,ISIT,B
26,Rumor Source Detection in Finite Graphs with Boundary Effects by Message-Passing Algorithms.,2019,"Pei-Duo Yu, Chee-Wei Tan, Hung-Lin Fu",Influence and Behavior Analysis in Social Networks and Social Media 2019: 175-192,LNSN,Unranked
27,Fundamental Limits on a Class of Secure Asymmetric Multilevel Diversity Coding Systems.,2018,"Congduan Li, Xuan Guang, Chee-Wei Tan, Raymond W. Yeung",IEEE J. Sel. Areas Commun. 36: 737-747 ,JSAC,Unranked
28,Averting Cascading Failures in Networked Infrastructures: Poset-Constrained Graph Algorithms.,2018,"Pei-Duo Yu, Chee-Wei Tan, Hung-Lin Fu",IEEE J. Sel. Top. Signal Process. 12: 733-748 ,JSTSP,Unranked
29,Hierarchical Performance Analysis on Random Linear Network Coding.,2018,"Dan Li, Xuan Guang, Zhiheng Zhou, Congduan Li, Chee-Wei Tan",IEEE Trans. Commun. 66: 2009-2021 ,TCOM,Unranked
30,Max-Min Fairness Rate Control in Wireless Networks: Optimality and Algorithms by Perron-Frobenius Theory.,2018,"Liang Zheng, Desmond W. H. Cai, Chee-Wei Tan",IEEE Trans. Mob. Comput. 17: 127-140 ,TMC,Unranked
31,Graph algorithms for preventing cascading failures in networks.,2018,"Pei-Duo Yu, Chee-Wei Tan, Hung-Lin Fu",CISS 2018: 1-6,CISS,National
32,Parallel Counting of Triangles in Large Graphs: Pruning and Hierarchical Clustering Algorithms.,2018,"Chun-Yen Kuo, Ching Nam Hang, Pei-Duo Yu, Chee-Wei Tan",HPEC 2018: 1-6,HPEC,Unranked
33,Human-Assisted Computation for Auto-Grading.,2018,"Lin Ling, Chee-Wei Tan",ICDM Workshops 2018: 360-364,ICDM,A*
34,Pilot study on optimal task scheduling in learning.,2018,"Lin Ling, Chee Wei Tan",L@S 2018: 20:1-20:4,LATS,Unranked
35,Customized Data Plans for Mobile Users: Feasibility and Benefits of Data Trading.,2017,"Liang Zheng, Carlee Joe-Wong, Chee Wei Tan, Sangtae Ha, Mung Chiang",IEEE J. Sel. Areas Commun. 35: 949-963 ,JSAC,Unranked
36,Transmit Beamforming and Power Control for Optimizing the Outage Probability Fairness in MISO Networks.,2017,"Xiangping Bryce Zhai, Chee-Wei Tan, Yichao Huang, Bhaskar D. Rao",IEEE Trans. Commun. 65: 839-850 ,TCOM,Unranked
37,Rumor Source Detection in Finite Graphs with Boundary Effects by Message-passing Algorithms.,2017,"Pei-Duo Yu, Chee Wei Tan, Hung-Lin Fu",ASONAM 2017: 86-90,ASUNAM,Unranked
38,Rate-Constrained Energy Minimization in Networks with Multiple Mobile Network Operator Access.,2017,"Xiangping Bryce Zhai, Chee-Wei Tan",GLOBECOM 2017: 1-6,GLOBECOM,B
39,Economic viability of a virtual ISP.,2017,"Liang Zheng, Carlee Joe-Wong, Jiasi Chen, Christopher G. Brinton, Chee Wei Tan, Mung Chiang",INFOCOM 2017: 1-9,INFOCOM,A*
40,On secure asymmetric multilevel diversity coding systems.,2017,"Congduan Li, Xuan Guang, Chee Wei Tan, Raymond W. Yeung",ISIT 2017: 2138-2142,ISIT,B
41,Rumor source detection in unicyclic graphs.,2017,"Pei-Duo Yu, Chee-Wei Tan, Hung-Lin Fu",ITW 2017: 439-443,ITW,B
42,On independent distributed source coding problems with exact repair.,2017,"Congduan Li, Fangwei Ye, Xuan Guang, Zhiheng Zhou, Chee-Wei Tan, Raymond W. Yeung",ITW 2017: 579-583,ITW,B
43,An economic analysis of wireless network infrastructure sharing.,2017,"Liang Zheng, Jiasi Chen, Carlee Joe-Wong, Chee-Wei Tan, Mung Chiang",WiOpt 2017: 1-8,WIOPT,Unranked
44,Wireless Max-Min Utility Fairness With General Monotonic Constraints by Perron-Frobenius Theory.,2016,"Liang Zheng, Y.-W. Peter Hong, Chee Wei Tan, Cheng-Lin Hsieh, Chia-Han Lee",IEEE Trans. Inf. Theory 62: 7283-7298 ,TIT,Unranked
45,"Quantifying Political Leaning from Tweets, Retweets, and Retweeters.",2016,"Felix Ming Fai Wong, Chee-Wei Tan, Soumya Sen, Mung Chiang",IEEE Trans. Knowl. Data Eng. 28: 2158-2172 ,TKDE,Unranked
46,Characterization and Optimization of Delay Guarantees for Real-Time Multimedia Traffic Flows in IEEE 802.11 WLANs.,2016,"Yan Gao, Chee-Wei Tan, Ying Huang, Zheng Zeng, P. R. Kumar",IEEE Trans. Mob. Comput. 15: 1090-1104 ,TMC,Unranked
47,Optimal Power Control in Rayleigh-Fading Heterogeneous Wireless Networks.,2016,Chee Wei Tan,IEEE/ACM Trans. Netw. 24: 940-953 ,TON,Unranked
48,Optimal detection of influential spreaders in online social networks.,2016,"Chee Wei Tan, Pei-Duo Yu, Chun-Kiu Lai, Wenyi Zhang, Hung-Lin Fu",CISS 2016: 145-150,CISS,National
49,Network utility maximization with path cardinality constraints.,2016,"Yingjie Bi, Chee Wei Tan, Ao Tang",INFOCOM 2016: 1-9,INFOCOM,A*
50,On the Viability of a Cloud Virtual Service Provider.,2016,"Liang Zheng, Carlee Joe-Wong, Christopher G. Brinton, Chee-Wei Tan, Sangtae Ha, Mung Chiang",SIGMETRICS 2016: 235-248,SIGMETRICS,A*
51,Wireless Network Optimization by Perron-Frobenius Theory.,2015,Chee Wei Tan,Found. Trends Netw. 9: 107-218 ,FTNET,Unranked
52,Beamforming Duality and Algorithms for Weighted Sum Rate Maximization in Cognitive Radio Networks.,2015,"I-Wei Lai, Liang Zheng, Chia-Han Lee, Chee Wei Tan",IEEE J. Sel. Areas Commun. 33: 832-847 ,JSAC,Unranked
53,Rooting our Rumor Sources in Online Social Networks: The Value of Diversity From Multiple Observations.,2015,"Zhaoxu Wang, Wenxiang Dong, Wenyi Zhang, Chee-Wei Tan",IEEE J. Sel. Top. Signal Process. 9: 663-677 ,JSTSP,Unranked
54,Energy-Efficient Subcarrier Assignment and Power Allocation in OFDMA Systems With Max-Min Fairness Guarantees.,2015,"Yuzhou Li, Min Sheng, Chee Wei Tan, Yan Zhang, Yuhua Sun, Xijun Wang, Yan Shi, Jiandong Li",IEEE Trans. Commun. 63: 3183-3195 ,TCOM,Unranked
55,VANDER: Efficient Cooperative Watchdog Monitoring for Lossy Wireless Network Coding.,2015,"Xin Lou, Hongyi Yao, Chee-Wei Tan, Jianping Wang",IEEE Trans. Veh. Technol. 64: 702-713 ,TVT,Unranked
56,On inferring rumor source for SIS model under multiple observations.,2015,"Zhaoxu Wang, Wenyi Zhang, Chee-Wei Tan",DSP 2015: 755-759,ICDSP,Unranked
57,A probabilistic characterization of the rumor graph boundary in rumor source detection.,2015,"Liang Zheng, Chee Wei Tan",DSP 2015: 765-769,ICDSP,Unranked
58,Secondary markets for mobile data: Feasibility and benefits of traded data plans.,2015,"Liang Zheng, Carlee Joe-Wong, Chee Wei Tan, Sangtae Ha, Mung Chiang",INFOCOM 2015: 1580-1588,INFOCOM,A*
59,How to Bid the Cloud.,2015,"Liang Zheng, Carlee Joe-Wong, Chee-Wei Tan, Mung Chiang, Xinyu Wang",SIGCOMM 2015: 71-84,SIGCOMM,A*
60,IEEE ACCESS Special Section Editorial: Recent Advances in Cloud Radio Access Networks.,2014,"Mugen Peng, Chih-Lin I, Chee-Wei Tan, Chuan Huang",IEEE Access 2: 1683-1685 ,ACCESS,Unranked
