,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Deep residual pooling network for texture recognition.,2021,"Shangbo Mao, Deepu Rajan, Liang-Tien Chia",Pattern Recognit. 112: 107817 ,PR,Unranked
1,Salient Textural Anomaly Proposals and Classification for Metal Surface Anomalies.,2019,"Vidhya Natarajan, Shangbo Mao, Liang-Tien Chia",ICTAI 2019: 621-628,ICTAI,B
2,Texture Recognition on Metal Surface using Order-Less Scale Invariant GLAC.,2019,"Shangbo Mao, Vidhya Natarajan, Liang-Tien Chia, Guang-Bin Huang",ICTAI 2019: 629-635,ICTAI,B
3,Convolutional networks for voting-based anomaly classification in metal surface inspection.,2017,"Vidhya Natarajan, Tzu-Yi Hung, Sriram Vaikundam, Liang-Tien Chia",ICIT 2017: 986-991,ICIT2,Unranked
4,Phase Fourier Reconstruction for Anomaly Detection on Metal Surface Using Salient Irregularity.,2017,"Tzu-Yi Hung, Sriram Vaikundam, Vidhya Natarajan, Liang-Tien Chia",MMM  2017: 290-302,MMM,B
5,A fast sparse reconstruction approach for high resolution image-based object surface anomaly detection.,2017,"Woon Huei Chai, Shen-Shyang Ho, Chi-Keong Goh, Liang-Tien Chia, Hiok Chai Quek",MVA 2017: 13-16,MVA,National
6,Anomaly region detection and localization in metal surface inspection.,2016,"Sriram Vaikundam, Tzu-Yi Hung, Liang-Tien Chia",ICIP 2016: 759-763,ICIP,B
7,Using material classification methods for steel surface defect inspection.,2016,"Siyi Pan, Tzu-Yi Hung, Liang-Tien Chia",ISIE 2016: 40-45,ISIE,Unranked
8,Region-Based Saliency Detection and Its Application in Object Recognition.,2014,"Zhixiang Ren, Shenghua Gao, Liang-Tien Chia, Ivor Wai-Hung Tsang",IEEE Trans. Circuits Syst. Video Technol. 24: 769-779 ,TCSV,Unranked
9,Concurrent Single-Label Image Classification and Annotation via Efficient Multi-Layer Group Sparse Coding.,2014,"Shenghua Gao, Liang-Tien Chia, Ivor Wai-Hung Tsang, Zhixiang Ren",IEEE Trans. Multim. 16: 762-771 ,TMM,Unranked
10,"Laplacian Sparse Coding, Hypergraph Laplacian Sparse Coding, and Applications.",2013,"Shenghua Gao, Ivor Wai-Hung Tsang, Liang-Tien Chia",IEEE Trans. Pattern Anal. Mach. Intell. 35: 92-104 ,PAMI,Unranked
11,Sparse Representation With Kernels.,2013,"Shenghua Gao, Ivor Wai-Hung Tsang, Liang-Tien Chia",IEEE Trans. Image Process. 22: 423-434 ,TIP,Unranked
12,Regularized Feature Reconstruction for Spatio-Temporal Saliency Detection.,2013,"Zhixiang Ren, Shenghua Gao, Liang-Tien Chia, Deepu Rajan",IEEE Trans. Image Process. 22: 3120-3132 ,TIP,Unranked
13,Learning image-to-class distance metric for image classification.,2013,"Zhengxiang Wang, Yiqun Hu, Liang-Tien Chia",ACM Trans. Intell. Syst. Technol. 4: 34:1-34:22 ,TIST,Unranked
14,Background subtraction via coherent trajectory decomposition.,2013,"Zhixiang Ren, Liang-Tien Chia, Deepu Rajan, Shenghua Gao",ACM Multimedia 2013: 545-548,MM,Unranked
15,Content on demand video adaptation based on MPEG-21 digital item adaptation.,2012,"Min Xu, Xiangjian He, Yu Peng, Jesse S. Jin, Suhuai Luo, Liang-Tien Chia, Yusuo Hu",EURASIP J. Wirel. Commun. Netw. 2012: 104 ,EJWCN,Unranked
16,A non-parametric visual-sense model of images - extending the cluster hypothesis beyond text.,2012,"Kong-Wah Wan, Ah-Hwee Tan, Joo-Hwee Lim, Liang-Tien Chia",Multim. Tools Appl. 56: 509-534 ,MTA,Unranked
17,Nonintrusive Quality Assessment of Noise Suppressed Speech With Mel-Filtered Energies and Support Vector Regression.,2012,"Manish Narwaria, Weisi Lin, Ian Vince McLoughlin, Sabu Emmanuel, Liang-Tien Chia",IEEE Trans. Speech Audio Process. 20: 1217-1232 ,TASLP,Unranked
18,Fourier Transform-Based Scalable Image Quality Measure.,2012,"Manish Narwaria, Weisi Lin, Ian Vince McLoughlin, Sabu Emmanuel, Liang-Tien Chia",IEEE Trans. Image Process. 21: 3364-3377 ,TIP,Unranked
19,Learning Class-to-Image Distance via Large Margin and L1-Norm Regularization.,2012,"Zhengxiang Wang, Shenghua Gao, Liang-Tien Chia",ECCV  2012: 230-244,ECCV,A*
20,Spatiotemporal Saliency Detection via Sparse Representation.,2012,"Zhixiang Ren, Shenghua Gao, Deepu Rajan, Liang-Tien Chia, Yun Huang",ICME 2012: 158-163,ICMCS,Unranked
21,Video saliency detection with robust temporal alignment and local-global spatial contrast.,2012,"Zhixiang Ren, Liang-Tien Chia, Deepu Rajan",ICMR 2012: 47,MIR,Unranked
22,Topic Based Query Suggestions for Video Search.,2012,"Kong-Wah Wan, Ah-Hwee Tan, Joo-Hwee Lim, Liang-Tien Chia",MMM 2012: 288-299,MMM,B
23,Exploiting local dependencies with spatial-scale space (S-Cube) for near-duplicate retrieval.,2011,"Xiangang Cheng, Yiqun Hu, Liang-Tien Chia",Comput. Vis. Image Underst. 115: 750-758 ,CVIU,Unranked
24,Improved learning of I2C distance and accelerating the neighborhood search for image classification.,2011,"Zhengxiang Wang, Yiqun Hu, Liang-Tien Chia",Pattern Recognit. 44: 2384-2394 ,PR,Unranked
25,Stratification-Based Keyframe Cliques for Effective and Efficient Video Representation.,2011,"Xiangang Cheng, Liang-Tien Chia",IEEE Trans. Multim. 13: 1333-1342 ,TMM,Unranked
26,Multi-layer group sparse coding - For concurrent image classification and annotation.,2011,"Shenghua Gao, Liang-Tien Chia, Ivor Wai-Hung Tsang",CVPR 2011: 2809-2816,CVPR,A*
27,Spatially-coherent pyramid matching based on max-pooling.,2011,"Xiangang Cheng, Liang-Tien Chia",ACM Multimedia 2011: 1445-1448,MM,Unranked
28,Scene classification using multiple features in a two-stage probabilistic classification framework.,2010,"Zhan-Li Sun, Deepu Rajan, Liang-Tien Chia",Neurocomputing 73: 2971-2979 ,IJON,Unranked
29,"Wikipedia2Onto. Building Concept Ontology Automatically, Experimenting with Web Image Retrieval.",2010,"Huan Wang, Xing Jiang, Liang-Tien Chia, Ah-Hwee Tan",Informatica  34: 297-306 ,INFORMATICASI,Unranked
30,Web image concept annotation with better understanding of tags and visual features.,2010,"Shenghua Gao, Liang-Tien Chia, Xiangang Cheng",J. Vis. Commun. Image Represent. 21: 806-814 ,JVCIR,Unranked
31,Cross-media retrieval using query dependent search methods.,2010,"Yi Yang, Fei Wu, Dong Xu, Yueting Zhuang, Liang-Tien Chia",Pattern Recognit. 43: 2927-2936 ,PR,Unranked
32,Salient Region Detection by Jointly Modeling Distinctness and Redundancy of Image Content.,2010,"Yiqun Hu, Zhixiang Ren, Deepu Rajan, Liang-Tien Chia",ACCV  2010: 515-526,ACCV,B
33,Multi-label learning by Image-to-Class distance for scene classification and image annotation.,2010,"Zhengxiang Wang, Yiqun Hu, Liang-Tien Chia",CIVR 2010: 105-112,CIVR,Unranked
34,Estimating camera pose from a single urban ground-view omnidirectional image and a 2D building outline map.,2010,"Tat-Jen Cham, Arridhana Ciptadi, Wei-Chian Tan, Minh-Tri Pham, Liang-Tien Chia",CVPR 2010: 366-373,CVPR,A*
35,Local features are not lonely - Laplacian sparse coding for image classification.,2010,"Shenghua Gao, Ivor Wai-Hung Tsang, Liang-Tien Chia, Peilin Zhao",CVPR 2010: 3555-3561,CVPR,A*
36,Kernel Sparse Representation for Image Classification and Face Recognition.,2010,"Shenghua Gao, Ivor Wai-Hung Tsang, Liang-Tien Chia",ECCV  2010: 1-14,ECCV,A*
37,Image-to-Class Distance Metric Learning for Image Classification.,2010,"Zhengxiang Wang, Yiqun Hu, Liang-Tien Chia",ECCV  2010: 706-719,ECCV,A*
38,Learning to combine multi-resolution spatially-weighted co-occurrence matrices for image representation.,2010,"Xiangang Cheng, Jingdong Wang, Liang-Tien Chia, Xian-Sheng Hua",ICME 2010: 631-636,ICMCS,Unranked
39,Faceted topic retrieval of news video using joint topic modeling of visual features and speech transcripts.,2010,"Kong-Wah Wan, Ah-Hwee Tan, Joo-Hwee Lim, Liang-Tien Chia",ICME 2010: 843-848,ICMCS,Unranked
40,Image Retargeting in Compressed Domain.,2010,"O. V. Ramana Murthy, Karthik Muthuswamy, Deepu Rajan, Liang-Tien Chia",ICPR 2010: 4424-4427,ICPR,B
41,Stratification-based keyframe cliques for removal of near-duplicates in video search results.,2010,"Xiangang Cheng, Liang-Tien Chia",Multimedia Information Retrieval 2010: 313-322,MIR,Unranked
42,Wikipedia-assisted concept thesaurus for better web media understanding.,2010,"Huan Wang, Liang-Tien Chia, Shenghua Gao",Multimedia Information Retrieval 2010: 349-358,MIR,Unranked
43,Improved saliency detection based on superpixel clustering and saliency propagation.,2010,"Zhixiang Ren, Yiqun Hu, Liang-Tien Chia, Deepu Rajan",ACM Multimedia 2010: 1099-1102,MM,Unranked
44,Automatic image tagging via category label and web data.,2010,"Shenghua Gao, Zhengxiang Wang, Liang-Tien Chia, Ivor Wai-Hung Tsang",ACM Multimedia 2010: 1115-1118,MM,Unranked
45,Discovering Class-Specific Informative Patches and Its Application in Landmark Charaterization.,2010,"Shenghua Gao, Xiangang Cheng, Liang-Tien Chia",MMM 2010: 218-228,MMM,B
46,Non-intrusive Speech Quality Assessment with Support Vector Regression.,2010,"Manish Narwaria, Weisi Lin, Ian Vince McLoughlin, Sabu Emmanuel, Liang-Tien Chia",MMM 2010: 325-335,MMM,B
47,Attention-from-motion: A factorization approach for detecting attention objects in motion.,2009,"Yiqun Hu, Deepu Rajan, Liang-Tien Chia",Comput. Vis. Image Underst. 113: 319-331 ,CVIU,Unranked
48,Coherent Phrase Model for Efficient Image Near-Duplicate Retrieval.,2009,"Yiqun Hu, Xiangang Cheng, Liang-Tien Chia, Xing Xie, Deepu Rajan, Ah-Hwee Tan",IEEE Trans. Multim. 11: 1434-1445 ,TMM,Unranked
49,A Latent Model for Visual Disambiguation of Keyword-based Image Search.,2009,"Kong-Wah Wan, Ah-Hwee Tan, Joo-Hwee Lim, Liang-Tien Chia, Sujoy Roy",BMVC 2009: 1-9,BMVC,A
50,Hierarchicalword image representation for parts-based object recognition.,2009,"Xiangang Cheng, Yiqun Hu, Liang-Tien Chia",ICIP 2009: 301-304,ICIP,B
51,Concept model-based unsupervised web image re-ranking.,2009,"Shenghua Gao, Xiangang Cheng, Huan Wang, Liang-Tien Chia",ICIP 2009: 793-796,ICIP,B
52,Learning instance-to-class distance for human action recognition.,2009,"Zhengxiang Wang, Yiqun Hu, Liang-Tien Chia",ICIP 2009: 3545-3548,ICIP,B
53,A Bayesian approach integrating regional and global features for image semantic learning.,2009,"Luong-Dong Nguyen, Ghim-Eng Yap, Ying Liu, Ah-Hwee Tan, Liang-Tien Chia, Joo-Hwee Lim",ICME 2009: 546-549,ICMCS,Unranked
54,LT codes decoding: Design and analysis.,2009,"Feng Lu, Chuan Heng Foh, Jianfei Cai, Liang-Tien Chia",ISIT 2009: 2492-2496,ISIT,B
55,NBgossip: An Energy-Efficient Gossip Algorithm for Wireless Sensor Networks.,2008,"Feng Lu, Liang-Tien Chia, Kok-Leong Tay, Wai-Hoe Chong",J. Comput. Sci. Technol. 23: 426-437 ,JCST,Unranked
56,Detection of visual attention regions in images using robust subspace analysis.,2008,"Yiqun Hu, Deepu Rajan, Liang-Tien Chia",J. Vis. Commun. Image Represent. 19: 199-216 ,JVCIR,Unranked
57,Study on the distribution of DCT residues and its application to R-D analysis of video coding.,2008,"Jun Xie, Liang-Tien Chia",J. Vis. Commun. Image Represent. 19: 411-425 ,JVCIR,Unranked
58,Image retrieval with a multi-modality ontology.,2008,"Huan Wang, Song Liu, Liang-Tien Chia",Multim. Syst. 13: 379-390 ,MMS,Unranked
59,Image retrieval ++ - web image retrieval with an enhanced multi-modality ontology.,2008,"Huan Wang, Liang-Tien Chia, Song Liu",Multim. Tools Appl. 39: 189-215 ,MTA,Unranked
60,Motion Context: A New Representation for Human Action Recognition.,2008,"Ziming Zhang, Yiqun Hu, Syin Chan, Liang-Tien Chia",ECCV  2008: 817-829,ECCV,A*
61,Ontology enhanced web image retrieval: aided by wikipedia & spreading activation theory.,2008,"Huan Wang, Xing Jiang, Liang-Tien Chia, Ah-Hwee Tan",Multimedia Information Retrieval 2008: 195-201,MIR,Unranked
62,Image near-duplicate retrieval using local dependencies in spatial-scale space.,2008,"Xiangang Cheng, Yiqun Hu, Liang-Tien Chia",ACM Multimedia 2008: 627-630,MM,Unranked
63,"Mapping, indexing and querying of MPEG-7 descriptors in RDBMS with IXMDB.",2007,"Yang Chu, Liang-Tien Chia, Sourav S. Bhowmick",Data Knowl. Eng. 63: 224-257 ,DKE,Unranked
64,Efficient sampling of training set in large and noisy multimedia data.,2007,"Surong Wang, Manoranjan Dash, Liang-Tien Chia, Min Xu",ACM Trans. Multim. Comput. Commun. Appl. 3: 14 ,TOMCCAP,Unranked
65,Discriminative Signatures for Image Classification.,2007,"Ziming Zhang, Syin Chan, Liang-Tien Chia",ICIP  2007: 197-200,ICIP,B
