,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Leveraging Modality-Specific Representations for Audio-Visual Speech Recognition via Reinforcement Learning.,2023,"Chen Chen, Yuchen Hu, Qiang Zhang, Heqing Zou, Beier Zhu, Eng Siong Chng",AAAI 2023: 12607-12615,AAAI,A*
1,"An Empirical Study on Punctuation Restoration for English, Mandarin, and Code-Switching Speech.",2023,"Changsong Liu, Thi-Nga Ho, Eng Siong Chng",ACIIDS  2023: 286-296,ACIIDS,B
2,Adapting Code-Switching Language Models with Statistical-Based Text Augmentation.,2023,"Chaiyasait Prachaseree, Kshitij Gupta, Thi-Nga Ho, Yizhou Peng, Kyaw Zin Tun, Eng Siong Chng, G. S. S. Chalapthi",ACIIDS  2023: 310-322,ACIIDS,B
3,UniS-MMC: Multimodal Classification via Unimodality-supervised Multimodal Contrastive Learning.,2023,"Heqing Zou, Meng Shen, Chen Chen, Yuchen Hu, Deepu Rajan, Eng Siong Chng",ACL  2023: 659-672,ACL,A*
4,MIR-GAN: Refining Frame-Level Modality-Invariant Representations with Adversarial Network for Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Chen Chen, Ruizhe Li, Heqing Zou, Eng Siong Chng",ACL  2023: 11610-11625,ACL,A*
5,Hearing Lips in Noise: Universal Viseme-Phoneme Mapping and Transfer for Robust Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Ruizhe Li, Chen Chen, Chengwei Qin, Qiu-Shi Zhu, Eng Siong Chng",ACL  2023: 15213-15232,ACL,A*
6,Cross-Modal Global Interaction and Local Alignment for Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Ruizhe Li, Chen Chen, Heqing Zou, Qiushi Zhu, Eng Siong Chng",IJCAI 2023: 5076-5084,IJCAI,A*
7,Improved Keyword Recognition Based on Aho-Corasick Automaton.,2023,"Yachao Guo, Zhibin Qiu, Hao Huang, Chng Eng Siong",IJCNN 2023: 1-7,IJCNN,B
8,Local and Global Context Modeling with Relation Matching Task for Dialog Act Recognition.,2023,"Yuke Si, Yan Zhang, Yuhang Li, Xiaobao Wang, Longbiao Wang, Jianwu Dang, Eng Siong Chng, Haizhou Li",IJCNN 2023: 1-8,IJCNN,B
9,Leveraging Audio-Tagging Assisted Sound Event Detection using Weakified Strong Labels and Frequency Dynamic Convolutions.,2023,"Tanmay Khandelwal, Rohan Kumar Das, Andrew Koh, Eng Siong Chng",SSP 2023: 329-333,SSP,Unranked
