,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Effectiveness Perspectives and a Deep Relevance Model for Spatial Keyword Queries.,2023,"Shang Liu, Gao Cong, Kaiyu Feng, Wanli Gu, Fuzheng Zhang",Proc. ACM Manag. Data 1: 11:1-11:25 ,PACMMOD,Unranked
1,The RLR-Tree: A Reinforcement Learning Based R-Tree for Spatial Data.,2023,"Tu Gu, Kaiyu Feng, Gao Cong, Cheng Long, Zheng Wang, Sheng Wang",Proc. ACM Manag. Data 1: 63:1-63:26 ,PACMMOD,Unranked
2,Mining Geospatial Relationships from Text.,2023,"Pasquale Balsebre, Dezhong Yao, Gao Cong, Weiming Huang, Zhen Hai",Proc. ACM Manag. Data 1: 93:1-93:26 ,PACMMOD,Unranked
3,WISK: A Workload-aware Learned Index for Spatial Keyword Queries.,2023,"Yufan Sheng, Xin Cao, Yixiang Fang, Kaiqi Zhao, Jianzhong Qi, Gao Cong, Wenjie Zhang",Proc. ACM Manag. Data 1: 187:1-187:27 ,PACMMOD,Unranked
4,Towards Designing and Learning Piecewise Space-Filling Curves.,2023,"Jiangneng Li, Zheng Wang, Gao Cong, Cheng Long, Han Mao Kiah, Bin Cui",Proc. VLDB Endow. 16: 2158-2171 ,PVLDB,Unranked
5,Similar Sports Play Retrieval With Deep Reinforcement Learning.,2023,"Zheng Wang, Cheng Long, Gao Cong",IEEE Trans. Knowl. Data Eng. 35: 4253-4266 ,TKDE,Unranked
6,Region Embedding With Intra and Inter-View Contrastive Learning.,2023,"Liang Zhang, Cheng Long, Gao Cong",IEEE Trans. Knowl. Data Eng. 35: 9031-9036 ,TKDE,Unranked
7,Online Anomalous Subtrajectory Detection on Road Networks with Deep Reinforcement Learning.,2023,"Qianru Zhang, Zheng Wang, Cheng Long, Chao Huang, Siu-Ming Yiu, Yiding Liu, Gao Cong, Jieming Shi",ICDE 2023: 246-258,ICDE,A*
8,Multivariate Time-series Imputation with Disentangled Temporal Representations.,2023,"Shuai Liu, Xiucheng Li, Gao Cong, Yile Chen, Yue Jiang",ICLR 2023,ICLR,A*
9,Urban Region Representation Learning with OpenStreetMap Building Footprints.,2023,"Yi Li, Weiming Huang, Gao Cong, Hao Wang, Zheng Wang",KDD 2023: 1363-1373,KDD,A*
10,Improving the Inference of Topic Models via Infinite Latent State Replications.,2023,"Daniel Rugeles, Zhen Hai, Juan Felipe Carmona, Manoranjan Dash, Gao Cong",CoRR abs/2301.12974 ,CORR,Unranked
11,WISK: A Workload-aware Learned Index for Spatial Keyword Queries.,2023,"Yufan Sheng, Xin Cao, Yixiang Fang, Kaiqi Zhao, Jianzhong Qi, Gao Cong, Wenjie Zhang",CoRR abs/2302.14287 ,CORR,Unranked
12,On the Opportunities and Challenges of Foundation Models for Geospatial Artificial Intelligence.,2023,"Gengchen Mai, Weiming Huang, Jin Sun, Suhang Song, Deepak Mishra, Ninghao Liu, Song Gao, Tianming Liu, Gao Cong, Yingjie Hu, Chris Cundy, Ziyuan Li, Rui Zhu, Ni Lao",CoRR abs/2304.06798 ,CORR,Unranked
13,CityFM: City Foundation Models to Solve Urban Challenges.,2023,"Pasquale Balsebre, Weiming Huang, Gao Cong, Yi Li",CoRR abs/2310.00583 ,CORR,Unranked
14,Exploring Progress in Multivariate Time Series Forecasting: Comprehensive Benchmarking and Heterogeneity Analysis.,2023,"Zezhi Shao, Fei Wang, Yongjun Xu, Wei Wei, Chengqing Yu, Zhao Zhang, Di Yao, Guangyin Jin, Xin Cao, Gao Cong, Christian S. Jensen, Xueqi Cheng",CoRR abs/2310.06119 ,CORR,Unranked
15,"A Survey on Trajectory Data Management, Analytics, and Learning.",2022,"Sheng Wang, Zhifeng Bao, J. Shane Culpepper, Gao Cong",ACM Comput. Surv. 54: 39:1-39:36 ,CSUR,Unranked
16,QueryFormer: A Tree Transformer Model for Query Plan Representation.,2022,"Yue Zhao, Gao Cong, Jiachen Shi, Chunyan Miao",Proc. VLDB Endow. 15: 1658-1670 ,PVLDB,Unranked
17,ABC: Attributed Bipartite Co-clustering.,2022,"Junghoon Kim, Kaiyu Feng, Gao Cong, Diwen Zhu, Wenyuan Yu, Chunyan Miao",Proc. VLDB Endow. 15: 2134-2147 ,PVLDB,Unranked
18,Example-based Spatial Pattern Matching.,2022,"Yue Chen, Kaiyu Feng, Gao Cong, Han Mao Kiah",Proc. VLDB Endow. 15: 2572-2584 ,PVLDB,Unranked
19,Learned Index Benefits: Machine Learning Based Index Performance Estimation.,2022,"Jiachen Shi, Gao Cong, Xiaoli Li",Proc. VLDB Endow. 15: 3950-3962 ,PVLDB,Unranked
20,Let Trajectories Speak Out the Traffic Bottlenecks.,2022,"Hui Luo, Zhifeng Bao, Gao Cong, J. Shane Culpepper, Nguyen Lu Dang Khoa",ACM Trans. Intell. Syst. Technol. 13: 8:1-8:21 ,TIST,Unranked
21,A Synopsis Based Approach for Itemset Frequency Estimation over Massive Multi-Transaction Stream.,2022,"Guangtao Wang, Gao Cong, Ying Zhang, Zhen Hai, Jieping Ye",ACM Trans. Knowl. Discov. Data 16: 29:1-29:30 ,TKDD,Unranked
22,PGeoTopic: A Distributed Solution for Mining Geographical Topic Models.,2022,"Kaiqi Zhao, Gao Cong, Xiucheng Li",IEEE Trans. Knowl. Data Eng. 34: 881-893 ,TKDE,Unranked
23,Deterministic Inference of Topic Models via Maximal Latent State Replication.,2022,"Daniel Rugeles, Zhen Hai, Manoranjan Dash, Gao Cong",IEEE Trans. Knowl. Data Eng. 34: 1684-1695 ,TKDE,Unranked
24,A Linear Time Approach to Computing Time Series Similarity Based on Deep Metric Learning.,2022,"Di Yao, Gao Cong, Chao Zhang, Xuying Meng, Rongchang Duan, Jingping Bi",IEEE Trans. Knowl. Data Eng. 34: 4554-4571 ,TKDE,Unranked
25,Learning Dynamics and Heterogeneity of Spatial-Temporal Graph Data for Traffic Forecasting.,2022,"Shengnan Guo, Youfang Lin, Huaiyu Wan, Xiucheng Li, Gao Cong",IEEE Trans. Knowl. Data Eng. 34: 5415-5428 ,TKDE,Unranked
26,Unsupervised Selectivity Estimation by Integrating Gaussian Mixture Models and an Autoregressive Model.,2022,"Zizhong Meng, Peizhi Wu, Gao Cong, Rong Zhu, Shuai Ma",EDBT 2022: 2:247-2:259,EDBT,A
27,TrajGAT: A Graph-based Long-term Dependency Modeling Approach for Trajectory Similarity Computation.,2022,"Di Yao, Haonan Hu, Lun Du, Gao Cong, Shi Han, Jingping Bi",KDD 2022: 2275-2285,KDD,A*
28,Entity Resolution with Hierarchical Graph Attention Networks.,2022,"Dezhong Yao, Yuhong Gu, Gao Cong, Hai Jin, Xinqiao Lv",SIGMOD Conference 2022: 429-442,SIGMOD,A*
29,DMCS : Density Modularity based Community Search.,2022,"Junghoon Kim, Siqiang Luo, Gao Cong, Wenyuan Yu",SIGMOD Conference 2022: 889-903,SIGMOD,A*
30,SAM: Database Generation from Query Workloads with Supervised Autoregressive Models.,2022,"Jingyi Yang, Peizhi Wu, Gao Cong, Tieying Zhang, Xiao He",SIGMOD Conference 2022: 1542-1555,SIGMOD,A*
31,The Datasets Dilemma: How Much Do We Really Know About Recommendation Datasets?,2022,"Jin Yao Chin, Yile Chen, Gao Cong",WSDM 2022: 141-149,WSDM,A
32,Geospatial Entity Resolution.,2022,"Pasquale Balsebre, Dezhong Yao, Gao Cong, Zhen Hai",WWW 2022: 3061-3070,WWW,A*
33,Points-of-Interest Relationship Inference with Spatial-enriched Graph Neural Networks.,2022,"Yile Chen, Xiucheng Li, Gao Cong, Cheng Long, Zhifeng Bao, Shang Liu, Wanli Gu, Fuzheng Zhang",CoRR abs/2202.13686 ,CORR,Unranked
34,DMCS : Density Modularity based Community Search.,2022,"Junghoon Kim, Siqiang Luo, Gao Cong, Wenyuan Yu",CoRR abs/2204.07720 ,CORR,Unranked
35,Not All Neighbors Are Worth Attending to: Graph Selective Attention Networks for Semi-supervised Learning.,2022,"Tiantian He, Haicang Zhou, Yew-Soon Ong, Gao Cong",CoRR abs/2210.07715 ,CORR,Unranked
36,Online Anomalous Subtrajectory Detection on Road Networks with Deep Reinforcement Learning.,2022,"Qianru Zhang, Zheng Wang, Cheng Long, Chao Huang, Siu-Ming Yiu, Yiding Liu, Gao Cong, Jieming Shi",CoRR abs/2211.08415 ,CORR,Unranked
37,Region Embedding with Intra and Inter-View Contrastive Learning.,2022,"Liang Zhang, Cheng Long, Gao Cong",CoRR abs/2211.08975 ,CORR,Unranked
38,Points-of-Interest Relationship Inference with Spatial-enriched Graph Neural Networks.,2021,"Yile Chen, Xiucheng Li, Gao Cong, Cheng Long, Zhifeng Bao, Shang Liu, Wanli Gu, Fuzheng Zhang",Proc. VLDB Endow. 15: 504-512 ,PVLDB,Unranked
