,Title,Year,Authors,Journal,Journal Acronym,Rank
0,UniS-MMC: Multimodal Classification via Unimodality-supervised Multimodal Contrastive Learning.,2023,"Heqing Zou, Meng Shen, Chen Chen, Yuchen Hu, Deepu Rajan, Eng Siong Chng",ACL  2023: 659-672,ACL,A*
1,UniS-MMC: Multimodal Classification via Unimodality-supervised Multimodal Contrastive Learning.,2023,"Heqing Zou, Meng Shen, Chen Chen, Yuchen Hu, Deepu Rajan, Eng Siong Chng",CoRR abs/2305.09299 ,CORR,Unranked
2,Towards Balanced Active Learning for Multimodal Classification.,2023,"Meng Shen, Yizheng Huang, Jianxiong Yin, Heqing Zou, Deepu Rajan, Simon See",CoRR abs/2306.08306 ,CORR,Unranked
3,A Unified Framework for Guiding Generative AI with Wireless Perception in Resource Constrained Mobile Edge Networks.,2023,"Jiacheng Wang, Hongyang Du, Dusit Niyato, Jiawen Kang, Zehui Xiong, Deepu Rajan, Shiwen Mao, Xuemin Shen",CoRR abs/2309.01426 ,CORR,Unranked
4,An embedded deep fuzzy association model for learning and explanation.,2022,"Xie Chen, Deepu Rajan, Dilip K. Prasad, Chai Quek",Appl. Soft Comput. 131: 109738 ,ASC,Unranked
5,Smart interpretable model (SIM) enabling subject matter experts in rule generation.,2022,"Hotman Christianto, Gary Kee Khoon Lee, Weigui Jair Zhou, Henry Kasim, Deepu Rajan",Expert Syst. Appl. 207: 117945 ,ESWA,Unranked
6,Speech Emotion Recognition with Co-Attention Based Multi-Level Acoustic Information.,2022,"Heqing Zou, Yuke Si, Chen Chen, Deepu Rajan, Eng Siong Chng",ICASSP 2022: 7367-7371,ICASSP,Unranked
7,Speech Emotion Recognition with Co-Attention based Multi-level Acoustic Information.,2022,"Heqing Zou, Yuke Si, Chen Chen, Deepu Rajan, Eng Siong Chng",CoRR abs/2203.15326 ,CORR,Unranked
8,An interpretable Neural Fuzzy Hammerstein-Wiener network for stock price prediction.,2021,"Xie Chen, Deepu Rajan, Chai Quek",Inf. Sci. 577: 324-335 ,ISCI,Unranked
9,Deep residual pooling network for texture recognition.,2021,"Shangbo Mao, Deepu Rajan, Liang-Tien Chia",Pattern Recognit. 112: 107817 ,PR,Unranked
10,An image similarity descriptor for classification tasks.,2020,"Liangliang Wang, Deepu Rajan",J. Vis. Commun. Image Represent. 71: 102847 ,JVCIR,Unranked
11,Saliency-based bit plane detection for network applications.,2020,"Maryam Asadzadeh Kaljahi, Palaiahnakote Shivakumara, Saqib Hakak, Mohd Yamani Idna Bin Idris, Mohammad Hossein Anisi, Deepu Rajan",Multim. Tools Appl. 79: 18495-18513 ,MTA,Unranked
12,Are Object Detection Assessment Criteria Ready for Maritime Computer Vision?,2020,"Dilip K. Prasad, Huixu Dong, Deepu Rajan, Chai Quek",IEEE Trans. Intell. Transp. Syst. 21: 5295-5304 ,TITS,Unranked
13,A Deep Hybrid Fuzzy Neural Hammerstein-Wiener Network for Stock Price Prediction.,2020,"Xie Chen, Deepu Rajan, Chai Quek",ICAIIC 2020: 288-293,ICAIIC,Unranked
14,CamType: assistive text entry using gaze with an off-the-shelf webcam.,2019,"Yi Liu, Bu-Sung Lee, Deepu Rajan, Andrzej Sluzek, Martin J. McKeown",Mach. Vis. Appl. 30: 407-421 ,MVA,National
15,CNN-based gender classification in near-infrared periocular images.,2019,"Anirudh Manyala, Hisham Cholakkal, Vijay Anand, Vivek Kanhangad, Deepu Rajan",Pattern Anal. Appl. 22: 1493-1504 ,PAA,Unranked
16,Object Detection in a Maritime Environment: Performance Evaluation of Background Subtraction Methods.,2019,"Dilip K. Prasad, Chandrashekar Krishna Prasath, Deepu Rajan, Lily Rachmawati, Eshan Rajabally, Chai Quek",IEEE Trans. Intell. Transp. Syst. 20: 1787-1802 ,TITS,Unranked
17,Free-Head Appearance-Based Eye Gaze Estimation on Mobile Devices.,2019,"Jigang Liu, Francis Bu-Sung Lee, Deepu Rajan",ICAIIC 2019: 232-237,ICAIIC,Unranked
18,Gaze Estimation Using Residual Neural Network.,2019,"En Teng Wong, Seanglidet Yean, Qingyao Hu, Bu-Sung Lee, Jigang Liu, Deepu Rajan",PerCom Workshops 2019: 411-414,PERCOM,A*
19,Comparative Convolutional Neural Network for Younger Face Identification.,2019,"Liangliang Wang, Deepu Rajan",VCIP 2019: 1-4,VCIP,C
20,Locality and context-aware top-down saliency.,2018,"Junxia Li, Deepu Rajan, Jian Yang",IET Image Process. 12: 400-407 ,IET-IPR,Unranked
21,Backtracking Spatial Pyramid Pooling-Based Image Classifier for Weakly Supervised Top-Down Salient Object Detection.,2018,"Hisham Cholakkal, Jubin Johnson, Deepu Rajan",IEEE Trans. Image Process. 27: 6064-6078 ,TIP,Unranked
22,Are object detection assessment criteria ready for maritime computer vision?,2018,"Dilip K. Prasad, Deepu Rajan, Chai Quek",CoRR abs/1809.04659 ,CORR,Unranked
