,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A Scalable Systolic Accelerator for Estimation of the Spectral Correlation Density Function and Its FPGA Implementation.,2023,"Xiangwei Li, Douglas L. Maskell, Carol Jingyi Li, Philip H. W. Leong, David Boland",ACM Trans. Reconfigurable Technol. Syst. 16: 9:1-9:24 ,TRETS,Unranked
1,Approximator: A Software Tool for Automatic Generation of Approximate Arithmetic Circuits.,2022,"Padmanabhan Balasubramanian, Raunaq Nayar, Okkar Min, Douglas L. Maskell",Comput. 11: 11 ,COMPUTERS,Unranked
2,Coarse Grained FPGA Overlay for Rapid Just-In-Time Accelerator Compilation.,2022,"Abhishek Kumar Jain, Douglas L. Maskell, Suhaib A. Fahmy",IEEE Trans. Parallel Distributed Syst. 33: 1478-1490 ,TPDS,Unranked
3,"An Approximate Adder With a Near-Normal Error Distribution: Design, Error Analysis and Practical Application.",2021,"Padmanabhan Balasubramanian, Raunaq Nayar, Douglas L. Maskell, Nikos E. Mastorakis",IEEE Access 9: 4518-4530 ,ACCESS,Unranked
4,An Approximate Adder with Reduced Error and Optimized Design Metrics.,2021,"Padmanabhan Balasubramanian, Raunaq Nayar, Douglas L. Maskell",APCCAS 2021: 21-24,APCCAS,Unranked
5,Image Compression using Approximate Addition.,2021,"Raunaq Nayar, Padmanabhan Balasubramanian, Douglas Leslie Maskell",TENCON 2021: 1-6,TENCON,Unranked
6,Gate-Level Static Approximate Adders.,2021,"P. Balasubramanian, Raunaq Nayar, Douglas L. Maskell",CoRR abs/2112.09320 ,CORR,Unranked
7,Energy Efficient In-memory Integer Multiplication Based on Racetrack Memory.,2020,"Tao Luo, Wei Zhang, Bingsheng He, Cheng Liu, Douglas L. Maskell",ICDCS 2020: 1409-1414,ICDCS,A
8,High Throughput Accelerator Interface Framework for a Linear Time-Multiplexed FPGA Overlay.,2020,"Xiangwei Li, Kizheppatt Vipin, Douglas L. Maskell, Suhaib A. Fahmy, Abhishek Kumar Jain",ISCAS 2020: 1-5,ISCAS,Unranked
9,Hardware Optimized Approximate Adder with Normal Error Distribution.,2020,"Raunaq Nayar, Padmanabhan Balasubramanian, Douglas L. Maskell",ISVLSI 2020: 84-89,ISVLSI,Unranked
10,Area Optimized Quasi Delay Insensitive Majority Voter for TMR Applications.,2020,"P. Balasubramanian, Douglas L. Maskell, Nikos E. Mastorakis",CoRR abs/2008.05685 ,CORR,Unranked
11,Generalized Majority Voter Design Method for N-Modular Redundant Systems Used in Mission- and Safety-Critical Applications.,2019,"Jaytrilok Choudhary, P. Balasubramanian, Danny M. Varghese, Dhirendra Pratap Singh, Douglas L. Maskell",Comput. 8: 10 ,COMPUTERS,Unranked
12,Time-Multiplexed FPGA Overlay Architectures: A Survey.,2019,"Xiangwei Li, Douglas L. Maskell",ACM Trans. Design Autom. Electr. Syst. 24: 54:1-54:19 ,TODAES,Unranked
13,Area Optimized Quasi Delay Insensitive Majority Voter for TMR Applications.,2019,"P. Balasubramanian, Douglas L. Maskell, Nikos E. Mastorakis",EECS 2019: 37-44,EECS,Unranked
14,Asynchronous Early Output Block Carry Lookahead Adder with Improved Quality of Results.,2019,"P. Balasubramanian, Douglas L. Maskell, Nikos E. Mastorakis",CoRR abs/1901.09315 ,CORR,Unranked
15,Majority and Minority Voted Redundancy for Safety-Critical Applications.,2019,"P. Balasubramanian, Douglas L. Maskell, Nikos E. Mastorakis",CoRR abs/1901.09316 ,CORR,Unranked
16,Speed and Energy Optimised Quasi-Delay-Insensitive Block Carry Lookahead Adder.,2019,"P. Balasubramanian, Douglas L. Maskell, Nikos E. Mastorakis",CoRR abs/1903.09433 ,CORR,Unranked
