,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Blockchain Meets Metaverse and Digital Asset Management: A Comprehensive Survey.,2023,"Vu Tuan Truong, Long Bao Le, Dusit Niyato",IEEE Access 11: 26258-26288 ,ACCESS,Unranked
1,Incentive Mechanism Design for Mitigating Frontrunning and Transaction Reordering in Decentralized Exchanges.,2023,"Daniel Mawunyo Doe, Jing Li, Dusit Niyato, Li Wang, Zhu Han",IEEE Access 11: 96014-96028 ,ACCESS,Unranked
2,Slicing4Meta: An Intelligent Integration Architecture with Multi-Dimensional Network Resources for Metaverse-as-a-Service in Web 3.0.,2023,"Yi-Jing Liu, Hongyang Du, Dusit Niyato, Gang Feng, Jiawen Kang, Zehui Xiong",IEEE Commun. Mag. 61: 20-26 ,CM,Unranked
3,A Blockchain-Based Semantic Exchange Framework for Web 3.0 Toward Participatory Economy.,2023,"Yijing Lin, Zhipeng Gao, Yaofeng Tu, Hongyang Du, Dusit Niyato, Jiawen Kang, Hui Yang",IEEE Commun. Mag. 61: 94-100 ,CM,Unranked
4,"Semantic Communications for Future Internet: Fundamentals, Applications, and Challenges.",2023,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 213-250 ,COMSUR,Unranked
5,"A Full Dive Into Realizing the Edge-Enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2023,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 656-700 ,COMSUR,Unranked
6,Editorial: First Quarter 2023 IEEE Communications Surveys and Tutorials.,2023,Dusit Niyato,IEEE Commun. Surv. Tutorials 25: i-vii ,COMSUR,Unranked
7,Editorial: Second Quarter 2023 IEEE Communications Surveys and Tutorials.,2023,Dusit Niyato,IEEE Commun. Surv. Tutorials 25: i-v ,COMSUR,Unranked
8,Editorial: Third Quarter 2023 IEEE Communications Surveys and Tutorials.,2023,Dusit Niyato,IEEE Commun. Surv. Tutorials 25: i-vi ,COMSUR,Unranked
9,"Joint Task Offloading, Resource Sharing and Computation Incentive for Edge Computing Networks.",2023,"Nan Zhao, Wei Du, Fan Ren, Yiyang Pei, Ying-Chang Liang, Dusit Niyato",IEEE Commun. Lett. 27: 258-262 ,ICL,Unranked
10,Dynamic Offloading for Edge Computing-Assisted Metaverse Systems.,2023,"Tien-Hoa Nguyen, Le Van Huy, Bui Duc Son, Nguyen Cong Luong, Dusit Niyato",IEEE Commun. Lett. 27: 1749-1753 ,ICL,Unranked
11,Secretive Coded Caching With Nonuniform Demands in Fog Radio Access Networks.,2023,"Qianli Tan, Yanxiang Jiang, Lingling Zhang, Ying Cui, Dusit Niyato, Fu-Chun Zheng, Xiaohu You",IEEE Commun. Lett. 27: 2252-2256 ,ICL,Unranked
12,Federated Semantic Learning Driven by Information Bottleneck for Task-Oriented Communications.,2023,"Hao Wei, Wanli Ni, Wenjun Xu, Fengyu Wang, Dusit Niyato, Ping Zhang",IEEE Commun. Lett. 27: 2652-2656 ,ICL,Unranked
13,Joint Beamforming Design for Multi-Functional RIS-Aided Uplink Communications.,2023,"Yingjie Yan, Ying Wang, Wanli Ni, Dusit Niyato",IEEE Commun. Lett. 27: 2697-2701 ,ICL,Unranked
14,A Dynamic Hierarchical Framework for IoT-Assisted Digital Twin Synchronization in the Metaverse.,2023,"Yue Han, Dusit Niyato, Cyril Leung, Dong In Kim, Kun Zhu, Shaohan Feng, Xuemin Shen, Chunyan Miao",IEEE Internet Things J. 10: 268-284 ,IOTJ,Unranked
15,"Correction to ""Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices"".",2023,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu",IEEE Internet Things J. 10: 973 ,IOTJ,Unranked
16,Stochastic Coded Offloading Scheme for Unmanned-Aerial-Vehicle-Assisted Edge Computing.,2023,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim",IEEE Internet Things J. 10: 5626-5643 ,IOTJ,Unranked
17,Robust Semisupervised Federated Learning for Images Automatic Recognition in Internet of Drones.,2023,"Zhe Zhang, Shiyao Ma, Zhaohui Yang, Zehui Xiong, Jiawen Kang, Yi Wu, Kejia Zhang, Dusit Niyato",IEEE Internet Things J. 10: 5733-5746 ,IOTJ,Unranked
18,From Eye to Brain: A Proactive and Distributed Crowdsensing Framework for Federated Learning.,2023,"Hongjia Wu, Hui Zeng, Tongqing Zhou, Zhiping Cai, Zehui Xiong, Dusit Niyato, Zhu Han",IEEE Internet Things J. 10: 8202-8214 ,IOTJ,Unranked
19,Understanding Security in Smart City Domains From the ANT-Centric Perspective.,2023,"Jiani Fan, Wenzhuo Yang, Ziyao Liu, Jiawen Kang, Dusit Niyato, Kwok-Yan Lam, Hongyang Du",IEEE Internet Things J. 10: 11199-11223 ,IOTJ,Unranked
20,Blockchains for Artificial Intelligence of Things: A Comprehensive Survey.,2023,"Meng Shen, Aijing Gu, Jiawen Kang, Xiangyun Tang, Xiaodong Lin, Liehuang Zhu, Dusit Niyato",IEEE Internet Things J. 10: 14483-14506 ,IOTJ,Unranked
21,Personalized Saliency in Task-Oriented Semantic Communications: Image Transmission and Performance Analysis.,2023,"Jiawen Kang, Hongyang Du, Zonghang Li, Zehui Xiong, Shiyao Ma, Dusit Niyato, Yuan Li",IEEE J. Sel. Areas Commun. 41: 186-201 ,JSAC,Unranked
22,Imitation Learning-Based Implicit Semantic-Aware Communication Networks: Multi-Layer Representation and Collaborative Reasoning.,2023,"Yong Xiao, Zijian Sun, Guangming Shi, Dusit Niyato",IEEE J. Sel. Areas Commun. 41: 639-658 ,JSAC,Unranked
23,Guest Editorial Rate Splitting for Future Wireless Networks.,2023,"Bruno Clerckx, Yijie Mao, Eduard A. Jorswieck, Jinhong Yuan, David J. Love, Elza Erkip, Dusit Niyato",IEEE J. Sel. Areas Commun. 41: 1259-1264 ,JSAC,Unranked
24,"A Primer on Rate-Splitting Multiple Access: Tutorial, Myths, and Frequently Asked Questions.",2023,"Bruno Clerckx, Yijie Mao, Eduard A. Jorswieck, Jinhong Yuan, David J. Love, Elza Erkip, Dusit Niyato",IEEE J. Sel. Areas Commun. 41: 1265-1308 ,JSAC,Unranked
25,Task-Oriented Delay-Aware Multi-Tier Computing in Cell-Free Massive MIMO Systems.,2023,"Kunlun Wang, Dusit Niyato, Wen Chen, Arumugam Nallanathan",IEEE J. Sel. Areas Commun. 41: 2000-2012 ,JSAC,Unranked
26,Attention-Aware Resource Allocation and QoE Analysis for Metaverse xURLLC Services.,2023,"Hongyang Du, Jiazhen Liu, Dusit Niyato, Jiawen Kang, Zehui Xiong, Junshan Zhang, Dong In Kim",IEEE J. Sel. Areas Commun. 41: 2158-2175 ,JSAC,Unranked
