,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A survey on semantic processing techniques.,2024,"Rui Mao, Kai He, Xulang Zhang, Guanyi Chen, Jinjie Ni, Zonglin Yang, Erik Cambria",Inf. Fusion 101: 101988 ,INFFUS,Unranked
1,A survey on deep reinforcement learning for audio-based applications.,2023,"Siddique Latif, Heriberto Cuayáhuitl, Farrukh Pervez, Fahad Shamshad, Hafiz Shehbaz Ali, Erik Cambria",Artif. Intell. Rev. 56: 2193-2240 ,AIR,Unranked
2,Recent advances in deep learning based dialogue systems: a systematic survey.,2023,"Jinjie Ni, Tom Young, Vlad Pandelea, Fuzhao Xue, Erik Cambria",Artif. Intell. Rev. 56: 3055-3155 ,AIR,Unranked
3,A survey on syntactic processing techniques.,2023,"Xulang Zhang, Rui Mao, Erik Cambria",Artif. Intell. Rev. 56: 5645-5728 ,AIR,Unranked
4,Survey on sentiment analysis: evolution of research methods and topics.,2023,"Jingfeng Cui, Zhaoxia Wang, Seng-Beng Ho, Erik Cambria",Artif. Intell. Rev. 56: 8469-8510 ,AIR,Unranked
5,Time expression recognition and normalization: a survey.,2023,"Xiaoshi Zhong, Erik Cambria",Artif. Intell. Rev. 56: 9115-9140 ,AIR,Unranked
6,A brief survey on recent advances in coreference resolution.,2023,"Ruicheng Liu, Rui Mao, Anh Tuan Luu, Erik Cambria",Artif. Intell. Rev. 56: 14439-14481 ,AIR,Unranked
7,A Mixed Approach for Aggressive Political Discourse Analysis on Twitter.,2023,"Javier Torregrosa, Sergio D'Antonio-Maceiras, Guillermo Villar-Rodríguez, Amir Hussain, Erik Cambria, David Camacho",Cogn. Comput. 15: 440-465 ,COGCOM,Unranked
8,Learning-Based Stock Trending Prediction by Incorporating Technical Indicators and Social Media Sentiment.,2023,"Zhaoxia Wang, Zhenda Hu, Fang Li, Seng-Beng Ho, Erik Cambria",Cogn. Comput. 15: 1092-1102 ,COGCOM,Unranked
9,Enhancing Arabic-text feature extraction utilizing label-semantic augmentation in few/zero-shot learning.,2023,"Seham Basabain, Erik Cambria, Khalid Alomar, Amir Hussain",Expert Syst. J. Knowl. Eng. 40 ,ES,Unranked
10,Virtual prompt pre-training for prototype-based few-shot relation extraction.,2023,"Kai He, Yucheng Huang, Rui Mao, Tieliang Gong, Chen Li, Erik Cambria",Expert Syst. Appl. 213: 118927 ,ESWA,Unranked
