,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Personalized task difficulty adaptation based on reinforcement learning.,2021,"Yaqian Zhang, Wooi-Boon Goh",User Model. User Adapt. Interact. 31: 753-784 ,UMUAI,Unranked
1,Why do people watch others eat food? An Empirical Study on the Motivations and Practices of Mukbang Viewers.,2020,"Laurensia Anjani, Terrance Tin Hoi Mok, Anthony Tang, Lora Oehlberg, Wooi Boon Goh",CHI 2020: 1-13,CHI,A*
2,Bootstrapped Policy Gradient for Difficulty Adaptation in Intelligent Tutoring Systems.,2019,"Yaqian Zhang, Wooi-Boon Goh",AAMAS 2019: 711-719,ATAL,Unranked
3,Towards EEG Generation Using GANs for BCI Applications.,2019,"Fatemeh Fahimi, Zhuo Zhang, Wooi Boon Goh, Kai Keng Ang, Cuntai Guan",BHI 2019: 1-4,BHI,Unranked
4,Designing a Multi-disciplinary Group Project for Computer Science and Engineering Students.,2019,"Kheng Leong Tan, Wooi Boon Goh",EDUCON 2019: 51-57,EDUCON,Unranked
5,Head-Fingers-Arms: Physically-Coupled and Decoupled Multimodal Interaction Designs in Mobile VR.,2019,"Pallavi Mohan, Wooi Boon Goh, Chi-Wing Fu, Sai-Kit Yeung",VRCAI 2019: 28:1-28:9,VRCAI,Unranked
6,The influence of peer accountability on attention during gameplay.,2018,"Yaqian Zhang, Wooi-Boon Goh",Comput. Hum. Behav. 84: 18-28 ,CHB,Unranked
7,Neural Indexes of Attention Extracted from EEG Correlate with Elderly Reaction Time in response to an Attentional Task.,2018,"Fatemeh Fahimi, Wooi Boon Goh, Tih Shih Lee, Cuntai Guan",ICCSE 2018: 33:1-33:6,ICCSE,Unranked
8,DualGaze: Addressing the Midas Touch Problem in Gaze Mediated VR Interaction.,2018,"Pallavi Mohan, Wooi Boon Goh, Chi-Wing Fu, Sai-Kit Yeung",ISMAR Adjunct 2018: 79-84,ISMAR,A*
9,Curvature-based method for determining the number of clusters.,2017,"Yaqian Zhang, Jacek Mandziuk, Hiok Chai Quek, Wooi-Boon Goh",Inf. Sci. 415: 414-428 ,ISCI,Unranked
10,Personalized features for attention detection in children with Attention Deficit Hyperactivity Disorder.,2017,"Fatemeh Fahimi, Cuntai Guan, Wooi Boon Goh, Kai Keng Ang, Choon Guan Lim, Tih Shih Lee",EMBC 2017: 414-417,EMBC,Unranked
11,MuSeeCol: A See-through Multi-touch Surface for Face-to-face Musical Collaboration.,2016,"Wooi Boon Goh, Lijia Yang, Kian Leong Ong",ACE 2016: 15:1-15:6,ACMACE,Unranked
12,CardboardSense: Interacting with DIY Cardboard VR Headset by Tapping.,2016,"Xiaoqi Yan, Chi-Wing Fu, Pallavi Mohan, Wooi-Boon Goh",Conference on Designing Interactive Systems 2016: 229-233,ACMDIS,Unranked
13,Hand-posture-augmented multitouch interactions for exploratory visualization.,2016,"Peng Song, Xiaoqi Yan, Wooi Boon Goh, Alex Qiang Chen, Chi-Wing Fu",SIGGRAPH Asia Technical Briefs 2016: 27,SIGGRAPH,A*
14,An iterative approach for makespan-minimized multi-agent path planning in discrete space.,2015,"Wenjie Wang, Wooi Boon Goh",Auton. Agents Multi Agent Syst. 29: 335-363 ,AAMAS,A*
15,A stochastic algorithm for makespan minimized multi-agent path planning in discrete space.,2015,"Wenjie Wang, Wooi-Boon Goh",Appl. Soft Comput. 30: 287-304 ,ASC,Unranked
