,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A transformer-based deep neural network model for SSVEP classification.,2023,"Jianbo Chen, Yangsong Zhang, Yudong Pan, Peng Xu, Cuntai Guan",Neural Networks 164: 521-534 ,NN,Unranked
1,E-Key: An EEG-Based Biometric Authentication and Driving Fatigue Detection System.,2023,"Tao Xu, Hongtao Wang, Guanyong Lu, Feng Wan, Mengqi Deng, Peng Qi, Anastasios Bezerianos, Cuntai Guan, Yu Sun",IEEE Trans. Affect. Comput. 14: 864-877 ,TAFFCO,Unranked
2,TSception: Capturing Temporal Dynamics and Spatial Asymmetry From EEG for Emotion Recognition.,2023,"Yi Ding, Neethu Robinson, Su Zhang, Qiuhao Zeng, Cuntai Guan",IEEE Trans. Affect. Comput. 14: 2238-2250 ,TAFFCO,Unranked
3,Quantifying Explainability of Saliency Methods in Deep Neural Networks With a Synthetic Dataset.,2023,"Erico Tjoa, Cuntai Guan",IEEE Trans. Artif. Intell. 4: 858-870 ,TAI,Unranked
4,Effects of Cognitive Distraction on Upper Limb Movement Decoding From EEG Signals.,2023,"Weijie Fei, Luzheng Bi, Jiarong Wang, Shengchao Xia, Xinan Fan, Cuntai Guan",IEEE Trans. Biomed. Eng. 70: 166-174 ,TBE,Unranked
5,Robust Bayesian Estimation of EEG-Based Brain Causality Networks.,2023,"Ke Liu, Qin Lai, Peiyang Li, Zhuliang Yu, Bin Xiao, Cuntai Guan, Wei Wu",IEEE Trans. Biomed. Eng. 70: 1879-1890 ,TBE,Unranked
6,OCTAve: 2D En Face Optical Coherence Tomography Angiography Vessel Segmentation in Weakly-Supervised Learning With Locality Augmentation.,2023,"Amrest Chinkamol, Vetit Kanjaras, Phattarapong Sawangjai, Yitian Zhao, Thapanun Sudhawiyangkul, Chantana Chantrapornchai, Cuntai Guan, Theerawit Wilaiprasitporn",IEEE Trans. Biomed. Eng. 70: 1931-1942 ,TBE,Unranked
7,ADAST: Attentive Cross-Domain EEG-Based Sleep Staging Framework With Iterative Self-Training.,2023,"Emadeldeen Eldele, Mohamed Ragab, Zhenghua Chen, Min Wu, Chee-Keong Kwoh, Xiaoli Li, Cuntai Guan",IEEE Trans. Emerg. Top. Comput. Intell. 7: 210-221 ,TETCI,Unranked
8,Video Based Cocktail Causal Container for Blood Pressure Classification and Blood Glucose Prediction.,2023,"Chuanhao Zhang, Emil Jovanov, Hongen Liao, Yuan-Ting Zhang, Benny Lo, Yuan Zhang, Cuntai Guan",IEEE J. Biomed. Health Informatics 27: 1118-1128 ,TITB,Unranked
9,LE-UDA: Label-Efficient Unsupervised Domain Adaptation for Medical Image Segmentation.,2023,"Ziyuan Zhao, Fangcheng Zhou, Kaixin Xu, Zeng Zeng, Cuntai Guan, S. Kevin Zhou",IEEE Trans. Medical Imaging 42: 633-646 ,TMI,Unranked
10,Efficient Representation Learning for Inner Speech Domain Generalization.,2023,"Han Wei Ng, Cuntai Guan",CAIP  2023: 131-141,CAIP,C
11,Multimodal Continuous Emotion Recognition: A Technical Report for ABAW5.,2023,"Su Zhang, Ziyuan Zhao, Cuntai Guan",CVPR Workshops 2023: 5764-5769,CVPR,A*
12,SemiGNN-PPI: Self-Ensembling Multi-Graph Neural Network for Efficient and Generalizable Protein-Protein Interaction Prediction.,2023,"Ziyuan Zhao, Peisheng Qian, Xulei Yang, Zeng Zeng, Cuntai Guan, Tam Wai Leong, Xiaoli Li",IJCAI 2023: 4984-4992,IJCAI,A*
13,Multimodal Continuous Emotion Recognition: A Technical Report for ABAW5.,2023,"Su Zhang, Ziyuan Zhao, Cuntai Guan",CoRR abs/2303.10335 ,CORR,Unranked
14,MS-MT: Multi-Scale Mean Teacher with Contrastive Unpaired Translation for Cross-Modality Vestibular Schwannoma and Cochlea Segmentation.,2023,"Ziyuan Zhao, Kaixin Xu, Huai Zhe Yeo, Xulei Yang, Cuntai Guan",CoRR abs/2303.15826 ,CORR,Unranked
15,Interpretable and Robust AI in EEG Systems: A Survey.,2023,"Xinliang Zhou, Chenyu Liu, Liming Zhai, Ziyu Jia, Cuntai Guan, Yang Liu",CoRR abs/2304.10755 ,CORR,Unranked
16,Meta-hallucinator: Towards Few-Shot Cross-Modality Cardiac Image Segmentation.,2023,"Ziyuan Zhao, Fangcheng Zhou, Zeng Zeng, Cuntai Guan, S. Kevin Zhou",CoRR abs/2305.06978 ,CORR,Unranked
17,SemiGNN-PPI: Self-Ensembling Multi-Graph Neural Network for Efficient and Generalizable Protein-Protein Interaction Prediction.,2023,"Ziyuan Zhao, Peisheng Qian, Xulei Yang, Zeng Zeng, Cuntai Guan, Tam Wai Leong, Xiaoli Li",CoRR abs/2305.08316 ,CORR,Unranked
18,Aggregating Intrinsic Information to Enhance BCI Performance through Federated Learning.,2023,"Rui Liu, Yuanyuan Chen, Anran Li, Yi Ding, Han Yu, Cuntai Guan",CoRR abs/2308.11636 ,CORR,Unranked
19,MASA-TCN: Multi-anchor Space-aware Temporal Convolutional Neural Networks for Continuous and Discrete EEG Emotion Recognition.,2023,"Yi Ding, Su Zhang, Chuangao Tang, Cuntai Guan",CoRR abs/2308.16207 ,CORR,Unranked
20,ME-PLAN: A deep prototypical learning with local attention network for dynamic micro-expression recognition.,2022,"Sirui Zhao, Huaying Tang, Shifeng Liu, Yangsong Zhang, Hao Wang, Tong Xu, Enhong Chen, Cuntai Guan",Neural Networks 153: 427-443 ,NN,Unranked
21,Visual-to-EEG cross-modal knowledge distillation for continuous emotion recognition.,2022,"Su Zhang, Chuangao Tang, Cuntai Guan",Pattern Recognit. 130: 108833 ,PR,Unranked
22,Design a Novel BCI for Neurorehabilitation Using Concurrent LFP and EEG Features: A Case Study.,2022,"Zhao Feng, Yi Sun, Linze Qian, Yu Qi, Yueming Wang, Cuntai Guan, Yu Sun",IEEE Trans. Biomed. Eng. 69: 1554-1563 ,TBE,Unranked
23,MIN2Net: End-to-End Multi-Task Learning for Subject-Independent Motor Imagery EEG Classification.,2022,"Phairot Autthasan, Rattanaphon Chaisaen, Thapanun Sudhawiyangkul, Phurin Rangpong, Suktipol Kiatthaveephong, Nat Dilokthanakul, Gun Bhakdisongkhram, Huy Phan, Cuntai Guan, Theerawit Wilaiprasitporn",IEEE Trans. Biomed. Eng. 69: 2105-2118 ,TBE,Unranked
24,Robust Traffic Prediction From Spatial-Temporal Data Based on Conditional Distribution Learning.,2022,"Zeng Zeng, Wei Zhao, Peisheng Qian, Yingjie Zhou, Ziyuan Zhao, Cen Chen, Cuntai Guan",IEEE Trans. Cybern. 52: 13458-13471 ,TCYB,Unranked
25,Spatio-Spectral Feature Representation for Motor Imagery Classification Using Convolutional Neural Networks.,2022,"Ji-Seon Bang, Min-Ho Lee, Siamac Fazli, Cuntai Guan, Seong-Whan Lee",IEEE Trans. Neural Networks Learn. Syst. 33: 3038-3049 ,TNN,Unranked
26,Continuous Emotion Recognition using Visual-audio-linguistic Information: A Technical Report for ABAW3.,2022,"Su Zhang, Ruyi An, Yi Ding, Cuntai Guan",CVPR Workshops 2022: 2375-2380,CVPR,A*
27,Self-supervised Assisted Active Learning for Skin Lesion Segmentation.,2022,"Ziyuan Zhao, Wenjing Lu, Zeng Zeng, Kaixin Xu, Bharadwaj Veeravalli, Cuntai Guan",EMBC 2022: 5043-5046,EMBC,Unranked
28,MMGL: Multi-Scale Multi-View Global-Local Contrastive Learning for Semi-Supervised Cardiac Image Segmentation.,2022,"Ziyuan Zhao, Jinxuan Hu, Zeng Zeng, Xulei Yang, Peisheng Qian, Bharadwaj Veeravalli, Cuntai Guan",ICIP 2022: 401-405,ICIP,B
29,ACT-NET: Asymmetric Co-Teacher Network for Semi-Supervised Memory-Efficient Medical Image Segmentation.,2022,"Ziyuan Zhao, Andong Zhu, Zeng Zeng, Bharadwaj Veeravalli, Cuntai Guan",ICIP 2022: 1426-1430,ICIP,B
