,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Robust and Accurate Feature Detection on Point Clouds.,2023,"Zheng Liu, Xiaopeng Xin, Zheng Xu, Weijie Zhou, Chunxue Wang, Renjie Chen, Ying He",Comput. Aided Des. 164: 103592 ,CAD,Unranked
1,GBGVD: Growth-based geodesic Voronoi diagrams.,2023,"Yunjia Qi, Chen Zong, Yunxiao Zhang, Shuang-Min Chen, Minfeng Xu, Lingqiang Ran, Jian Xu, Shiqing Xin, Ying He",Graph. Model. 129: 101196 ,CVGIP,Unranked
2,Flattening-Net: Deep Regular 2D Representation for 3D Point Cloud Analysis.,2023,"Qijian Zhang, Junhui Hou, Yue Qian, Yiming Zeng, Juyong Zhang, Ying He",IEEE Trans. Pattern Anal. Mach. Intell. 45: 9726-9742 ,PAMI,Unranked
3,Masonry Shell Structures with Discrete Equivalence Classes.,2023,"Rulin Chen, Pengyun Qiu, Peng Song, Bailin Deng, Ziqi Wang, Ying He",ACM Trans. Graph. 42: 115:1-115:12 ,TOG,Unranked
4,STD-Net: Structure-Preserving and Topology-Adaptive Deformation Network for Single-View 3D Reconstruction.,2023,"Aihua Mao, Canglan Dai, Qing Liu, Jie Yang, Lin Gao, Ying He, Yong-Jin Liu",IEEE Trans. Vis. Comput. Graph. 29: 1785-1798 ,TVCG,Unranked
5,A Variational Framework for Curve Shortening in Various Geometric Domains.,2023,"Na Yuan, Peihui Wang, Wenlong Meng, Shuang-Min Chen, Jian Xu, Shiqing Xin, Ying He, Wenping Wang",IEEE Trans. Vis. Comput. Graph. 29: 1951-1963 ,TVCG,Unranked
6,OPE-SR: Orthogonal Position Encoding for Designing a Parameter-free Upsampling Module in Arbitrary-scale Image Super-Resolution.,2023,"Gaochao Song, Qian Sun, Luo Zhang, Ran Su, Jianfeng Shi, Ying He",CVPR 2023: 10009-10020,CVPR,A*
7,IterativePFN: True Iterative Point Cloud Filtering.,2023,"Dasith de Silva Edirimuni, Xuequan Lu, Zhiwen Shao, Gang Li, Antonio Robles-Kelly, Ying He",CVPR 2023: 13530-13539,CVPR,A*
8,OPE-SR: Orthogonal Position Encoding for Designing a Parameter-free Upsampling Module in Arbitrary-scale Image Super-Resolution.,2023,"Gaochao Song, Luo Zhang, Ran Su, Jianfeng Shi, Ying He, Qian Sun",CoRR abs/2303.01091 ,CORR,Unranked
9,NeUDF: Learning Unsigned Distance Fields from Multi-view Images for Reconstructing Non-watertight Models.,2023,"Fei Hou, Jukai Deng, Xuhui Chen, Wencheng Wang, Ying He",CoRR abs/2303.15368 ,CORR,Unranked
10,Bi-directional Deformation for Parameterization of Neural Implicit Surfaces.,2023,"Baixin Xu, Jiangbei Hu, Fei Hou, Kwan-Yee Lin, Wayne Wu, Chen Qian, Ying He",CoRR abs/2310.05524 ,CORR,Unranked
11,An Accuracy Controllable and Memory Efficient Method for Computing High-Quality Geodesic Distances on Triangle Meshes.,2022,"Yohanes Yudhi Adikusuma, Jie Du, Zheng Fang, Ying He",Comput. Aided Des. 150: 103333 ,CAD,Unranked
12,Constructing self-supporting surfaces with planar quadrilateral elements.,2022,"Long Ma, Sidan Yao, Jianmin Zheng, Yang Liu, Yuanfeng Zhou, Shi-Qing Xin, Ying He",Comput. Vis. Media 8: 571-583 ,CVM,Unranked
13,RegGeoNet: Learning Regular Representations for Large-Scale 3D Point Clouds.,2022,"Qijian Zhang, Junhui Hou, Yue Qian, Antoni B. Chan, Juyong Zhang, Ying He",Int. J. Comput. Vis. 130: 3100-3122 ,IJCV,Unranked
14,Iterative poisson surface reconstruction (iPSR) for unoriented points.,2022,"Fei Hou, Chiyu Wang, Wencheng Wang, Hong Qin, Chen Qian, Ying He",ACM Trans. Graph. 41: 128:1-128:13 ,TOG,Unranked
15,Low Rank Matrix Approximation for 3D Geometry Filtering.,2022,"Xuequan Lu, Scott Schaefer, Jun Luo, Lizhuang Ma, Ying He",IEEE Trans. Vis. Comput. Graph. 28: 1835-1847 ,TVCG,Unranked
16,C3 Assignment: Camera Cubemap Color Assignment for Creative Interior Design.,2022,"Juncong Lin, Pintong Xiao, Yinan Fu, Yubin Shi, Hongran Wang, Shihui Guo, Ying He, Tong-Yee Lee",IEEE Trans. Vis. Comput. Graph. 28: 2895-2908 ,TVCG,Unranked
17,Geodesic Tracks: Computing Discrete Geodesics With Track-Based Steiner Point Propagation.,2022,"Wenlong Meng, Shiqing Xin, Changhe Tu, Shuang-Min Chen, Ying He, Wenping Wang",IEEE Trans. Vis. Comput. Graph. 28: 4887-4901 ,TVCG,Unranked
18,GeodesicEmbedding (GE): A High-Dimensional Embedding Approach for Fast Geodesic Distance Queries.,2022,"Qianwei Xia, Juyong Zhang, Zheng Fang, Jin Li, Mingyue Zhang, Bailin Deng, Ying He",IEEE Trans. Vis. Comput. Graph. 28: 4930-4939 ,TVCG,Unranked
19,IDEA-Net: Dynamic 3D Point Cloud Interpolation via Deep Embedding Alignment.,2022,"Yiming Zeng, Yue Qian, Qijian Zhang, Junhui Hou, Yixuan Yuan, Ying He",CVPR 2022: 6328-6337,CVPR,A*
20,Audio-Driven Stylized Gesture Generation with Flow-Based Model.,2022,"Sheng Ye, Yu-Hui Wen, Yanan Sun, Ying He, Ziyang Zhang, Yaoyuan Wang, Weihua He, Yong-Jin Liu",ECCV  2022: 712-728,ECCV,A*
21,Flexible Portrait Image Editing with Fine-Grained Control.,2022,"Linlin Liu, Qian Fu, Fei Hou, Ying He",CoRR abs/2204.01318 ,CORR,Unranked
22,Hierarchical Vectorization for Portrait Images.,2022,"Qian Fu, Linlin Liu, Fei Hou, Ying He",CoRR abs/2205.11880 ,CORR,Unranked
23,Iterative Poisson Surface Reconstruction (iPSR) for Unoriented Points.,2022,"Fei Hou, Chiyu Wang, Wencheng Wang, Hong Qin, Chen Qian, Ying He",CoRR abs/2209.09510 ,CORR,Unranked
