,Title,Year,Authors,Journal,Journal Acronym,Rank
0,MTSS - A Marine Traffic Simulation System and Scenario Studies for a Major Hub Port.,2016,"Shell-Ying Huang, Wen Jing Hsu, Hui Fang, Tiancheng Song",ACM Trans. Model. Comput. Simul. 27: 3 ,TOMACS,Unranked
1,A marine traffic simulation system for hub ports.,2013,"Shell-Ying Huang, Wen Jing Hsu, Hui Fang, Tiancheng Song",SIGSIM-PADS 2013: 295-304,PADS,B
2,Reducing simulation costs of embedded simulation in yard crane dispatching in container terminals.,2013,"Shell-Ying Huang, Xi Guo",SIGSIM-PADS 2013: 305-314,PADS,B
3,Dynamic Space and Time Partitioning for Yard Crane Workload Management in Container Terminals.,2012,"Xi Guo, Shell-Ying Huang",Transp. Sci. 46: 134-148 ,TRANSCI,Unranked
4,Embedding simulation in yard crane dispatching to minimize job tardiness in container terminals.,2012,"Shell-Ying Huang, Xi Guo, Wen Jing Hsu, Wei Lin Lim",WSC 2012: 146:1-146:11,WSC,C
5,Dynamic yard crane dispatching in container terminals with predicted vehicle arrival information.,2011,"Xi Guo, Shell-Ying Huang, Wen-Jing Hsu, Malcolm Yoke Hean Low",Adv. Eng. Informatics 25: 472-484 ,AEI,Unranked
6,Activity scheduling for a robotic caretaker agent for the elderly.,2011,"Shell-Ying Huang, Huiliang Zhang",Int. J. Intell. Inf. Database Syst. 5: 3-23 ,IJIIDS,Unranked
7,Improving Safety and Stability of Large Containerships in Automated Stowage Planning.,2011,"Malcolm Yoke Hean Low, Min Zeng, Wen-Jing Hsu, Shell-Ying Huang, Fan Liu, Cho Aye Win",IEEE Syst. J. 5: 50-60 ,SJ,Unranked
8,An improved Least Cost Heuristic for dynamic yard crane deployment in container terminals.,2011,"Shell-Ying Huang, Xi Guo",CASE 2011: 84-89,CASE,Unranked
9,Motivation Based Goal Adoption for Autonomous Intelligent Agents.,2011,"Umair Rafique, Shell-Ying Huang, Chunyan Miao",IAT 2011: 54-57,IAT,Unranked
10,A Three-Level Hierarchical Workload Management Scheme for Yard Cranes in Container Terminals.,2011,"Shell-Ying Huang, Xi Guo, Mei Mei Lau",ICCL 2011: 221-232,ICCL2,Unranked
11,Randomized Algorithm with Tabu Search for Multi-Objective Optimization of Large Containership Stowage Plans.,2011,"Fan Liu, Malcolm Yoke Hean Low, Wen-Jing Hsu, Shell-Ying Huang, Min Zeng, Cho Aye Win",ICCL 2011: 256-272,ICCL2,Unranked
