,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A contrastive learning framework for Event Detection via semantic type prototype representation modelling.,2023,"Anran Hao, Anh Tuan Luu, Siu Cheung Hui, Jian Su",Neurocomputing 556: 126613 ,IJON,Unranked
1,DML-PL: Deep metric learning based pseudo-labeling framework for class imbalanced semi-supervised learning.,2023,"Mi Yan, Siu Cheung Hui, Ning Li",Inf. Sci. 626: 641-657 ,ISCI,Unranked
2,Multi-view entity type overdependency reduction for event argument extraction.,2023,"Jing Xu, Dandan Song, Siu Cheung Hui, Fei Li, Hao Wang",Knowl. Based Syst. 265: 110375 ,KBS,Unranked
3,Dialogue State Distillation Network with Inter-slot Contrastive Learning for Dialogue State Tracking.,2023,"Jing Xu, Dandan Song, Chong Liu, Siu Cheung Hui, Fei Li, Qiang Ju, Xiaonan He, Jian Xie",AAAI 2023: 13834-13842,AAAI,A*
4,GranCATs: Cross-Lingual Enhancement through Granularity-Specific Contrastive Adapters.,2023,"Meizhen Liu, Jiakai He, Xu Guo, Jianye Chen, Siu Cheung Hui, Fengyu Zhou",CIKM 2023: 1461-1471,CIKM,A
5,Dialogue State Distillation Network with Inter-Slot Contrastive Learning for Dialogue State Tracking.,2023,"Jing Xu, Dandan Song, Chong Liu, Siu Cheung Hui, Fei Li, Qiang Ju, Xiaonan He, Jian Xie",CoRR abs/2302.08220 ,CORR,Unranked
6,A Multimodal Data-driven Framework for Anxiety Screening.,2023,"Haimiao Mo, Shuai Ding, Siu Cheung Hui",CoRR abs/2303.09041 ,CORR,Unranked
7,Semantic Pivoting Model for Effective Event Detection.,2022,"Anran Hao, Siu Cheung Hui, Jian Su",ACIIDS  2022: 534-546,ACIIDS,B
8,EvidenceNet: Evidence Fusion Network for Fact Verification.,2022,"Zhendong Chen, Siu Cheung Hui, Fuzhen Zhuang, Lejian Liao, Fei Li, Meihuizi Jia, Jiaqi Li",WWW 2022: 2636-2645,WWW,A*
9,Machine Learning for Food Review and Recommendation.,2022,"Tan Khang Le, Siu Cheung Hui",CoRR abs/2201.10978 ,CORR,Unranked
10,Semantic Pivoting Model for Effective Event Detection.,2022,"Anran Hao, Siu Cheung Hui, Jian Su",CoRR abs/2211.00709 ,CORR,Unranked
11,A segment enhanced span-based model for nested named entity recognition.,2021,"Fei Li, Zheng Wang, Siu Cheung Hui, Lejian Liao, Xinhua Zhu, Heyan Huang",Neurocomputing 465: 26-37 ,IJON,Unranked
12,Modularized Interaction Network for Named Entity Recognition.,2021,"Fei Li, Zheng Wang, Siu Cheung Hui, Lejian Liao, Dandan Song, Jing Xu, Guoxiu He, Meihuizi Jia",ACL/IJCNLP  2021: 200-209,ACL,A*
13,Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with 1/n Parameters.,2021,"Aston Zhang, Yi Tay, Shuai Zhang, Alvin Chan, Anh Tuan Luu, Siu Cheung Hui, Jie Fu",ICLR 2021,ICLR,A*
14,Gated Character-aware Convolutional Neural Network for Effective Automated Essay Scoring.,2021,"Huanyu Bai, Zhilin Huang, Anran Hao, Siu Cheung Hui",WI/IAT 2021: 351-359,WEBI,Unranked
15,Effective Named Entity Recognition with Boundary-aware Bidirectional Neural Networks.,2021,"Fei Li, Zheng Wang, Siu Cheung Hui, Lejian Liao, Dandan Song, Jing Xu",WWW 2021: 1695-1703,WWW,A*
16,Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with 1/n Parameters.,2021,"Aston Zhang, Yi Tay, Shuai Zhang, Alvin Chan, Anh Tuan Luu, Siu Cheung Hui, Jie Fu",CoRR abs/2102.08597 ,CORR,Unranked
17,Holographic Factorization Machines for Recommendation.,2019,"Yi Tay, Shuai Zhang, Anh Tuan Luu, Siu Cheung Hui, Lina Yao, Tran Dang Quang Vinh",AAAI 2019: 5143-5150,AAAI,A*
18,Lightweight and Efficient Neural Natural Language Processing with Quaternion Networks.,2019,"Yi Tay, Aston Zhang, Anh Tuan Luu, Jinfeng Rao, Shuai Zhang, Shuohang Wang, Jie Fu, Siu Cheung Hui",ACL  2019: 1494-1503,ACL,A*
19,Simple and Effective Curriculum Pointer-Generator Networks for Reading Comprehension over Long Narratives.,2019,"Yi Tay, Shuohang Wang, Anh Tuan Luu, Jie Fu, Minh C. Phan, Xingdi Yuan, Jinfeng Rao, Siu Cheung Hui, Aston Zhang",ACL  2019: 4922-4931,ACL,A*
20,Collecting and Analyzing Multidimensional Data with Local Differential Privacy.,2019,"Ning Wang, Xiaokui Xiao, Yin Yang, Jun Zhao, Siu Cheung Hui, Hyejin Shin, Junbum Shin, Ge Yu",ICDE 2019: 638-649,ICDE,A*
21,Compositional De-Attention Networks.,2019,"Yi Tay, Anh Tuan Luu, Aston Zhang, Shuohang Wang, Siu Cheung Hui",NeurIPS 2019: 6132-6142,NIPS,Unranked
22,Simple and Effective Curriculum Pointer-Generator Networks for Reading Comprehension over Long Narratives.,2019,"Yi Tay, Shuohang Wang, Luu Anh Tuan, Jie Fu, Minh C. Phan, Xingdi Yuan, Jinfeng Rao, Siu Cheung Hui, Aston Zhang",CoRR abs/1905.10847 ,CORR,Unranked
23,Lightweight and Efficient Neural Natural Language Processing with Quaternion Networks.,2019,"Yi Tay, Aston Zhang, Luu Anh Tuan, Jinfeng Rao, Shuai Zhang, Shuohang Wang, Jie Fu, Siu Cheung Hui",CoRR abs/1906.04393 ,CORR,Unranked
24,Collecting and Analyzing Multidimensional Data with Local Differential Privacy.,2019,"Ning Wang, Xiaokui Xiao, Yin Yang, Jun Zhao, Siu Cheung Hui, Hyejin Shin, Junbum Shin, Ge Yu",CoRR abs/1907.00782 ,CORR,Unranked
25,Personalized question recommendation for English grammar learning.,2018,"Lanting Fang, Luu Anh Tuan, Siu Cheung Hui, Lenan Wu",Expert Syst. J. Knowl. Eng. 35 ,ES,Unranked
26,Syntactic based approach for grammar question retrieval.,2018,"Lanting Fang, Luu Anh Tuan, Siu Cheung Hui, Lenan Wu",Inf. Process. Manag. 54: 184-202 ,IPM,Unranked
27,Cross Temporal Recurrent Networks for Ranking Question Answer Pairs.,2018,"Yi Tay, Luu Anh Tuan, Siu Cheung Hui",AAAI 2018: 5512-5519,AAAI,A*
28,SkipFlow: Incorporating Neural Coherence Features for End-to-End Automatic Text Scoring.,2018,"Yi Tay, Minh C. Phan, Luu Anh Tuan, Siu Cheung Hui",AAAI 2018: 5948-5955,AAAI,A*
29,Learning to Attend via Word-Aspect Associative Fusion for Aspect-Based Sentiment Analysis.,2018,"Yi Tay, Luu Anh Tuan, Siu Cheung Hui",AAAI 2018: 5956-5963,AAAI,A*
30,Reasoning with Sarcasm by Reading In-Between.,2018,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui, Jian Su",ACL  2018: 1010-1020,ACL,A*
31,Privacy Protection for Flexible Parametric Survival Models.,2018,"Thông T. Nguyên, Siu Cheung Hui",CIKM 2018: 1273-1282,CIKM,A
32,"Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference.",2018,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui",EMNLP 2018: 1565-1575,EMNLP,A*
33,Multi-Granular Sequence Encoding via Dilated Compositional Units for Reading Comprehension.,2018,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui",EMNLP 2018: 2141-2151,EMNLP,A*
34,Attentive Gated Lexicon Reader with Contrastive Contextual Co-Attention for Sentiment Classification.,2018,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui, Jian Su",EMNLP 2018: 3443-3453,EMNLP,A*
35,Co-Stack Residual Affinity Networks with Multi-level Attention Refinement for Matching Text Sequences.,2018,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui",EMNLP 2018: 4492-4502,EMNLP,A*
