,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Multi-modal graph neural network for early diagnosis of Alzheimer's disease from sMRI and PET scans.,2023,"Yanteng Zhang, Xiaohai He, Yi Hao Chan, Qizhi Teng, Jagath C. Rajapakse",Comput. Biol. Medicine 164: 107328 ,CBM,Unranked
1,Graph Neural Networks With Multiple Prior Knowledge for Multi-Omics Data Analysis.,2023,"Shunxin Xiao, Huibin Lin, Conghao Wang, Shiping Wang, Jagath C. Rajapakse",IEEE J. Biomed. Health Informatics 27: 4591-4600 ,TITB,Unranked
2,Multi-modal Graph Neural Network for Early Diagnosis of Alzheimer's Disease from sMRI and PET Scans.,2023,"Yanteng Zhang, Xiaohai He, Yi Hao Chan, Qizhi Teng, Jagath C. Rajapakse",CoRR abs/2307.16366 ,CORR,Unranked
3,Self-supervised learning for hotspot detection and isolation from thermal images.,2023,"Shreyas Goyal, Jagath C. Rajapakse",CoRR abs/2308.13204 ,CORR,Unranked
4,Integrating Contrastive Learning into a Multitask Transformer Model for Effective Domain Adaptation.,2023,"Chung Soo Ahn, Jagath C. Rajapakse, Rajib Rana",CoRR abs/2310.04703 ,CORR,Unranked
5,Cascaded Adversarial Learning for Speaker Independent Emotion Recognition.,2022,"Chamara Kasun Liyanaarachchi Lekamalage, Zhiping Lin, Guang-Bin Huang, Jagath Chandana Rajapakse",IJCNN 2022: 1-8,IJCNN,B
6,Recurrent multi-head attention fusion network for combining audio and text for speech emotion recognition.,2022,"Chung Soo Ahn, L. L. Chamara Kasun, Sunil Sivadas, Jagath C. Rajapakse",INTERSPEECH 2022: 744-748,INTERSPEECH,Unranked
7,Discriminative Adversarial Learning for Speaker Independent Emotion Recognition.,2022,"L. L. Chamara Kasun, Chung Soo Ahn, Jagath C. Rajapakse, Zhiping Lin, Guang-Bin Huang",INTERSPEECH 2022: 4975-4979,INTERSPEECH,Unranked
8,Semi-supervised Learning with Data Harmonisation for Biomarker Discovery from Resting State fMRI.,2022,"Yi Hao Chan, Wei Chee Yew, Jagath C. Rajapakse",MICCAI  2022: 441-451,MICCAI,A
9,Deep learning and multi-omics approach to predict drug responses in cancer.,2021,"Conghao Wang, Xintong Lye, Rama Kaalia, Parvin Kumar, Jagath C. Rajapakse",BMC Bioinform. 22-S: 632 ,BMCBI,Unranked
10,Obtaining leaner deep neural networks for decoding brain functional connectome in a single shot.,2021,"Sukrit Gupta, Yi Hao Chan, Jagath C. Rajapakse, Alzheimer's Disease Neuroimaging Initiative",Neurocomputing 453: 326-336 ,IJON,Unranked
11,Graph embeddings on gene ontology annotations for protein-protein interaction prediction.,2020,"Xiaoshi Zhong, Jagath C. Rajapakse",BMC Bioinform. 21-S: 560 ,BMCBI,Unranked
12,Decoding Task States by Spotting Salient Patterns at Time Points and Brain Regions.,2020,"Yi Hao Chan, Sukrit Gupta, L. L. Chamara Kasun, Jagath C. Rajapakse",MLCN/RNO-AI@MICCAI 2020: 88-97,MICCAI,A
13,Functional homogeneity and specificity of topological modules in human proteome.,2019,"Rama Kaalia, Jagath C. Rajapakse",BMC Bioinform. 19-S: 125-138 ,BMCBI,Unranked
14,Fusing gene expressions and transitive protein-protein interactions for inference of gene regulatory networks.,2019,"Wenting Liu, Jagath C. Rajapakse",BMC Syst. Biol. 13-S: 37:1-37:13 ,BMCSB,Unranked
15,Predicting Missing and Spurious Protein-Protein Interactions Using Graph Embeddings on GO Annotation Graph.,2019,"Xiaoshi Zhong, Jagath C. Rajapakse",BIBM 2019: 1828-1835,BIBM,Unranked
16,Decoding Brain Functional Connectivity Implicated in AD and MCI.,2019,"Sukrit Gupta, Yi Hao Chan, Jagath C. Rajapakse",MICCAI  2019: 781-789,MICCAI,A
17,Predicting Affective States of Programming Using Keyboard Data and Mouse Behaviors.,2018,"Hualin Liu, Owen Noel Newton Fernando, Jagath C. Rajapakse",ICARCV 2018: 1408-1413,ICARCV,C
18,Nodal degree distributions of resting-state functional brain modules.,2018,"Sukrit Gupta, Jagath C. Rajapakse",ISBI 2018: 1256-1259,ISBI,Unranked
19,Automatic segmentation of skin lesions using deep learning.,2018,"Joshua Peter Ebenezer, Jagath C. Rajapakse",CoRR abs/1807.04893 ,CORR,Unranked
20,Deep neural network ensemble by data augmentation and bagging for skin lesion classification.,2018,"Manik Goyal, Jagath C. Rajapakse",CoRR abs/1807.05496 ,CORR,Unranked
21,Named Entity Analysis and Extraction with Uncommon Words.,2018,"Xiaoshi Zhong, Erik Cambria, Jagath C. Rajapakse",CoRR abs/1810.06818 ,CORR,Unranked
22,Discovering Power Laws in Entity Length.,2018,"Xiaoshi Zhong, Erik Cambria, Jagath C. Rajapakse",CoRR abs/1811.03325 ,CORR,Unranked
23,MultiDCoX: Multi-factor analysis of differential co-expression.,2017,"Herty Liany, Jagath C. Rajapakse, R. Krishna Murthy Karuturi",BMC Bioinform. 18: 111-124 ,BMCBI,Unranked
24,Detecting functional modules of the brain using eigen value decomposition of the signless Laplacian.,2017,"Xiuchao Sui, Shaohua Li, Jagath C. Rajapakse",ISBI 2017: 511-514,ISBI,Unranked
25,Fitting networks models for functional brain connectivity.,2017,"Jagath C. Rajapakse, Sukrit Gupta, Xiuchao Sui",ISBI 2017: 515-519,ISBI,Unranked
26,Gene and sample selection using T-score with sample selection.,2016,"Piyushkumar A. Mundra, Jagath C. Rajapakse",J. Biomed. Informatics 59: 31-41 ,JBI,Unranked
27,Mixed Spectrum Analysis on fMRI Time-Series.,2016,"Arun Kumar, Feng Lin, Jagath C. Rajapakse",IEEE Trans. Medical Imaging 35: 1555-1564 ,TMI,Unranked
28,Mixed spectrum analysis in spatial context: Application to fMRI.,2016,"Arun Kumar, Lin Feng, Jagath C. Rajapakse",ISBI 2016: 302-305,ISBI,Unranked
29,Locality regularized sparse subspace clustering with application to cortex parcellation on resting fMRI.,2016,"Xiuchao Sui, Shaohua Li, Jagath C. Rajapakse",ISBI 2016: 1286-1290,ISBI,Unranked
30,Extracting rate changes in transcriptional regulation from MEDLINE abstracts.,2014,"Wenting Liu, Kui Miao, Guangxia Li, Kuiyu Chang, Jie Zheng, Jagath C. Rajapakse",BMC Bioinform. 15: S4 ,BMCBI,Unranked
31,CUDAGRN: Parallel Speedup of Inferring Large Gene Regulatory Networks from Expression Data Using Random Forest.,2014,"Seyed Ziaeddin Alborzi, D. A. K. Maduranga, Rui Fan, Jagath C. Rajapakse, Jie Zheng",PRIB 2014: 85-97,PRIB,Unranked
32,"Pattern Recognition in Bioinformatics - 9th IAPR International Conference, PRIB 2014, Stockholm, Sweden, August 21-23, 2014. Proceedings.",2014,"Matteo Comin, Lukas Käll, Elena Marchiori, Alioune Ngom, Jagath C. Rajapakse","Lecture Notes in Computer Science 8626, Springer 2014, ISBN 978-3-319-09191-4 ",PRIB,Unranked
33,Multiclass Gene Selection Using Pareto-Fronts.,2013,"Jagath C. Rajapakse, Piyushkumar A. Mundra",IEEE ACM Trans. Comput. Biol. Bioinform. 10: 87-97 ,TCBB,Unranked
34,Inferring Time-Delayed Gene Regulatory Networks Using Cross-Correlation and Sparse Regression.,2013,"Piyushkumar A. Mundra, Jie Zheng, Mahesan Niranjan, Roy E. Welsch, Jagath C. Rajapakse",ISBRA 2013: 64-75,ISBRA,Unranked
35,Gene Regulatory Networks from Gene Ontology.,2013,"Wenting Liu, Kuiyu Chang, Jie Zheng, Jain Divya, Jung-Jae Kim, Jagath C. Rajapakse",ISBRA 2013: 87-98,ISBRA,Unranked
36,Inferring Gene Regulatory Networks from Time-Series Expressions Using Random Forests Ensemble.,2013,"D. A. K. Maduranga, Jie Zheng, Piyushkumar A. Mundra, Jagath C. Rajapakse",PRIB 2013: 13-22,PRIB,Unranked
37,Simultaneous Sample and Gene Selection Using T-score and Approximate Support Vectors.,2013,"Piyushkumar A. Mundra, Jagath C. Rajapakse, D. A. K. Maduranga",PRIB 2013: 79-90,PRIB,Unranked
38,Tree-structured algorithm for long weak motif discovery.,2011,"He Quan Sun, Malcolm Yoke Hean Low, Wen-Jing Hsu, Ching-Wai Tan, Jagath C. Rajapakse",Bioinform. 27: 2641-2647 ,BIOINFORMATICS,Unranked
39,Stability of building gene regulatory networks with sparse autoregressive models.,2011,"Jagath C. Rajapakse, Piyushkumar A. Mundra",BMC Bioinform. 12: S17 ,BMCBI,Unranked
40,Correlation of cell membrane dynamics and cell motility.,2011,"Merlin Veronika, Roy E. Welsch, Alvin Ng, Paul Matsudaira, Jagath C. Rajapakse",BMC Bioinform. 12: S19 ,BMCBI,Unranked
41,Toward Better Understanding of Protein Secondary Structure: Extracting Prediction Rules.,2011,"Minh Ngoc Nguyen, Jacek M. Zurada, Jagath C. Rajapakse",IEEE ACM Trans. Comput. Biol. Bioinform. 8: 858-864 ,TCBB,Unranked
42,Automated scoring of liver fibrosis through combined features from different collagen groups.,2011,"Shuoyu Xu, Dean Tai, Aileen Wee, Roy E. Welsch, Peter So, Hanry Yu, Jagath C. Rajapakse",EMBC 2011: 4503-4506,EMBC,Unranked
43,Staging tissues with conditional random fields.,2011,"Jagath C. Rajapakse, Song Liu",EMBC 2011: 5128-5131,EMBC,Unranked
44,Estimation of the population of neutrophils induced to differentiate from the MPRO mouse promyelocytic cell line.,2011,"Fransiskus Xaverius Ivan, Roy E. Welsch, Vincent T. K. Chow, Jagath C. Rajapakse",EMBC 2011: 6001-6004,EMBC,Unranked
45,Features for cells and nuclei classification.,2011,"Song Liu, Piyushkumar A. Mundra, Jagath C. Rajapakse",EMBC 2011: 6601-6604,EMBC,Unranked
46,Integration of Epigenetic Data in Bayesian Network Modeling of Gene Regulatory Network.,2011,"Jie Zheng, Iti Chaturvedi, Jagath C. Rajapakse",PRIB 2011: 87-96,PRIB,Unranked
47,Stability of Inferring Gene Regulatory Structure with Dynamic Bayesian Networks.,2011,"Jagath C. Rajapakse, Iti Chaturvedi",PRIB 2011: 237-246,PRIB,Unranked
48,Automated Scoring System for Liver Fibrosis Diagnosis with Second Harmonic Generation Microscopy.,2010,"Shuoyu Xu, Dean Tai, Peter So, Hanry Yu, Jagath C. Rajapakse",Aust. J. Intell. Inf. Process. Syst. 12 ,AJIIPS,Unranked
49,RecMotif: a novel fast algorithm for weak motif discovery.,2010,"He Quan Sun, Malcolm Yoke Hean Low, Wen-Jing Hsu, Jagath C. Rajapakse",BMC Bioinform. 11: S8 ,BMCBI,Unranked
50,Gene and sample selection for cancer classification with support vectors based t-statistic.,2010,"Piyushkumar A. Mundra, Jagath C. Rajapakse",Neurocomputing 73: 2353-2362 ,IJON,Unranked
51,Building gene networks with time-delayed regulations.,2010,"Iti Chaturvedi, Jagath C. Rajapakse",Pattern Recognit. Lett. 31: 2133-2137 ,PRL,Unranked
52,Support vectors based correlation coefficient for gene and sample selection in cancer classification.,2010,"Piyushkumar A. Mundra, Jagath C. Rajapakse",CIBCB 2010: 1-7,CIBCB,C
53,Identifying Cells in Histopathological Images.,2010,"Jierong Cheng, Merlin Veronika, Jagath C. Rajapakse",ICPR Contests 2010: 244-252,ICPR,B
54,Evolutionary approach to ICA-R.,2010,"Swathi Kavuri Sri, Jacek M. Zurada, Jagath C. Rajapakse",IJCNN 2010: 1-6,IJCNN,B
55,Complex ICA-R.,2010,"Jagath C. Rajapakse, Wenda Chen",IJCNN 2010: 1-8,IJCNN,B
56,Gene regulatory networks with variable-order dynamic Bayesian networks.,2010,"Jagath C. Rajapakse, Iti Chaturvedi",IJCNN 2010: 1-5,IJCNN,B
57,ListMotif: A time and memory efficient algorithm for weak motif discovery.,2010,"He Quan Sun, Malcolm Yoke Hean Low, Wen-Jing Hsu, Jagath C. Rajapakse",ISKE 2010: 254-260,ISKE,National
58,Quantification of Cytoskeletal Protein Localization from High-Content Images.,2010,"Shiwen Zhu, Paul Matsudaira, Roy E. Welsch, Jagath C. Rajapakse",PRIB 2010: 289-300,PRIB,Unranked
59,Di-codon usage for classification of genes.,2009,"Minh Ngoc Nguyen, Jianmin Ma, Gary B. Fogel, Jagath C. Rajapakse",Biosyst. 98: 1-6 ,BIOSYSTEMS,Unranked
60,Sub-population analysis based on temporal features of high content images.,2009,"Merlin Veronika, James Evans, Paul Matsudaira, Roy E. Welsch, Jagath C. Rajapakse",BMC Bioinform. 10: 4 ,BMCBI,Unranked
61,Segmentation of Clustered Nuclei With Shape Markers and Marking Function.,2009,"Jierong Cheng, Jagath C. Rajapakse",IEEE Trans. Biomed. Eng. 56: 741-748 ,TBE,Unranked
62,Gene Classification Using Codon Usage and Support Vector Machines.,2009,"Jianmin Ma, Minh Ngoc Nguyen, Jagath C. Rajapakse",IEEE ACM Trans. Comput. Biol. Bioinform. 6: 134-143 ,TCBB,Unranked
63,Time Efficient DT-MRI Acquisition Parameters for Robust Estimation of Fiber Tracts.,2009,"Bo Zheng, Jagath C. Rajapakse",J. Signal Process. Syst. 54: 25-31 ,VLSISP,Unranked
64,F-score with Pareto Front Analysis for Multiclass Gene Selection.,2009,"Piyushkumar A. Mundra, Jagath C. Rajapakse",EvoBIO 2009: 56-67,EVOW,Unranked
65,Joint Tracking of Cell Morphology and Motion.,2009,"Jierong Cheng, Esther G. L. Koh, Sohail Ahmed, Jagath C. Rajapakse",PRIB 2009: 36-45,PRIB,Unranked
66,Di-codon Usage for Gene Classification.,2009,"Minh Ngoc Nguyen, Jianmin Ma, Gary B. Fogel, Jagath C. Rajapakse",PRIB 2009: 211-221,PRIB,Unranked
67,Fuzzy approach to incorporate hemodynamic variability and contextual information for detection of brain activation.,2008,"Juan Helen Zhou, Jagath C. Rajapakse",Neurocomputing 71: 3184-3192 ,IJON,Unranked
68,Probabilistic Framework for Brain Connectivity From Functional MR Images.,2008,"Jagath C. Rajapakse, Yang Wang, Xuebin Zheng, Juan Helen Zhou",IEEE Trans. Medical Imaging 27: 825-833 ,TMI,Unranked
