,Title,Year,Authors,Journal,Journal Acronym,Rank
0,PIANO: Influence Maximization Meets Deep Reinforcement Learning.,2023,"Hui Li, Mengting Xu, Sourav S. Bhowmick, Shafiq Rayhan Joty, Changsheng Sun, Jiangtao Cui",IEEE Trans. Comput. Soc. Syst. 10: 1288-1300 ,TCSS,Unranked
1,A Systematic Study and Comprehensive Evaluation of ChatGPT on Benchmark Datasets.,2023,"Md. Tahmid Rahman Laskar, M. Saiful Bari, Mizanur Rahman, Md Amran Hossen Bhuiyan, Shafiq Joty, Jimmy X. Huang",ACL  2023: 431-469,ACL,A*
2,Did You Read the Instructions? Rethinking the Effectiveness of Task Definitions in Instruction Learning.,2023,"Fan Yin, Jesse Vig, Philippe Laban, Shafiq Joty, Caiming Xiong, Chien-Sheng Wu",ACL  2023: 3063-3079,ACL,A*
3,Revisiting the Gold Standard: Grounding Summarization Evaluation with Robust Human Evaluation.,2023,"Yixin Liu, Alexander R. Fabbri, Pengfei Liu, Yilun Zhao, Linyong Nan, Ruilin Han, Simeng Han, Shafiq Joty, Chien-Sheng Wu, Caiming Xiong, Dragomir Radev",ACL  2023: 4140-4170,ACL,A*
4,Towards Robust Low-Resource Fine-Tuning with Multi-View Compressed Representations.,2023,"Linlin Liu, Xingxuan Li, Megh Thakkar, Xin Li, Shafiq Joty, Luo Si, Lidong Bing",ACL  2023: 4799-4816,ACL,A*
5,Randomized Smoothing with Masked Inference for Adversarially Robust Text Classifications.,2023,"Han Cheol Moon, Shafiq R. Joty, Ruochen Zhao, Megh Thakkar, Chi Xu",ACL  2023: 5145-5165,ACL,A*
6,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework.,2023,"Ruochen Zhao, Xingxuan Li, Shafiq Joty, Chengwei Qin, Lidong Bing",ACL  2023: 5823-5840,ACL,A*
7,Unsupervised Summarization Re-ranking.,2023,"Mathieu Ravaut, Shafiq R. Joty, Nancy F. Chen",ACL  2023: 8341-8376,ACL,A*
8,SWiPE: A Dataset for Document-Level Simplification of Wikipedia Pages.,2023,"Philippe Laban, Jesse Vig, Wojciech Kryscinski, Shafiq Joty, Caiming Xiong, Chien-Sheng Wu",ACL  2023: 10674-10695,ACL,A*
9,Modeling What-to-ask and How-to-ask for Answer-unaware Conversational Question Generation.,2023,"Xuan Long Do, Bowei Zou, Shafiq R. Joty, Anh Tran Tai, Liangming Pan, Nancy F. Chen, Ai Ti Aw",ACL  2023: 10785-10803,ACL,A*
10,Is GPT-3 a Good Data Annotator?,2023,"Bosheng Ding, Chengwei Qin, Linlin Liu, Yew Ken Chia, Boyang Li, Shafiq Joty, Lidong Bing",ACL  2023: 11173-11195,ACL,A*
11,Learning to Initialize: Can Meta Learning Improve Cross-task Generalization in Prompt Tuning?,2023,"Chengwei Qin, Shafiq R. Joty, Qian Li, Ruochen Zhao",ACL  2023: 11802-11832,ACL,A*
12,Contrastive Learning with Generated Representations for Inductive Knowledge Graph Embedding.,2023,"Qian Li, Shafiq Joty, Daling Wang, Shi Feng, Yifei Zhang, Chengwei Qin",ACL  2023: 14273-14287,ACL,A*
13,"Proceedings of the 24th Meeting of the Special Interest Group on Discourse and Dialogue, SIGDIAL 2023, Prague, Czechia, September 11 - 15, 2023.",2023,"David Schlangen, Svetlana Stoyanchev, Shafiq Joty, Ondrej Dusek, Casey Kennington, Malihe Alikhani","Association for Computational Linguistics 2023, ISBN 979-8-89176-028-8 ",SIGDIAL,Unranked
14,Dynamic Scheduled Sampling with Imitation Loss for Neural Text Generation.,2023,"Xiang Lin, Prathyusha Jwalapuram, Shafiq R. Joty",CoRR abs/2301.13753 ,CORR,Unranked
15,Learning to Initialize: Can Meta Learning Improve Cross-task Generalization in Prompt Tuning?,2023,"Chengwei Qin, Shafiq R. Joty, Qian Li, Ruochen Zhao",CoRR abs/2302.08143 ,CORR,Unranked
16,"xCodeEval: A Large Scale Multilingual Multitask Benchmark for Code Understanding, Generation, Translation and Retrieval.",2023,"Mohammad Abdullah Matin Khan, M. Saiful Bari, Xuan Long Do, Weishi Wang, Md. Rizwan Parvez, Shafiq R. Joty",CoRR abs/2303.03004 ,CORR,Unranked
17,Towards Interpretable and Efficient Automatic Reference-Based Summarization Evaluation.,2023,"Yixin Liu, Alexander R. Fabbri, Yilun Zhao, Pengfei Liu, Shafiq R. Joty, Chien-Sheng Wu, Caiming Xiong, Dragomir Radev",CoRR abs/2303.03608 ,CORR,Unranked
18,Retrieving Multimodal Information for Augmented Generation: A Survey.,2023,"Ruochen Zhao, Hailin Chen, Weishi Wang, Fangkai Jiao, Xuan Long Do, Chengwei Qin, Bosheng Ding, Xiaobao Guo, Minzhi Li, Xingxuan Li, Shafiq R. Joty",CoRR abs/2303.10868 ,CORR,Unranked
19,A Data-centric Framework for Improving Domain-specific Machine Reading Comprehension Datasets.,2023,"Iva Bojic, Josef Halim, Verena Suharman, Sreeja Tar, Qi Chwen Ong, Duy Phung, Mathieu Ravaut, Shafiq Joty, Josip Car",CoRR abs/2304.00483 ,CORR,Unranked
20,Efficiently Aligned Cross-Lingual Transfer Learning for Conversational Tasks using Prompt-Tuning.,2023,"Lifu Tu, Jin Qu, Semih Yavuz, Shafiq Joty, Wenhao Liu, Caiming Xiong, Yingbo Zhou",CoRR abs/2304.01295 ,CORR,Unranked
21,Explaining Language Models' Predictions with High-Impact Concepts.,2023,"Ruochen Zhao, Shafiq R. Joty, Yongjie Wang, Tan Wang",CoRR abs/2305.02160 ,CORR,Unranked
22,Modeling What-to-ask and How-to-ask for Answer-unaware Conversational Question Generation.,2023,"Xuan Long Do, Bowei Zou, Shafiq R. Joty, Anh Tai Tran, Liangming Pan, Nancy F. Chen, Ai Ti Aw",CoRR abs/2305.03088 ,CORR,Unranked
23,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework.,2023,"Ruochen Zhao, Xingxuan Li, Shafiq R. Joty, Chengwei Qin, Lidong Bing",CoRR abs/2305.03268 ,CORR,Unranked
24,Randomized Smoothing with Masked Inference for Adversarially Robust Text Classifications.,2023,"Han Cheol Moon, Shafiq R. Joty, Ruochen Zhao, Megh Thakkar, Xu Chi",CoRR abs/2305.06522 ,CORR,Unranked
25,Chain of Knowledge: A Framework for Grounding Large Language Models with Structured Knowledge Bases.,2023,"Xingxuan Li, Ruochen Zhao, Yew Ken Chia, Bosheng Ding, Lidong Bing, Shafiq R. Joty, Soujanya Poria",CoRR abs/2305.13269 ,CORR,Unranked
