,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A universal transfer network for machinery fault diagnosis.,2023,"Xiaolei Yu, Zhibin Zhao, Xingwu Zhang, Shaohua Tian, Chee-Keong Kwoh, Xiaoli Li, Xuefeng Chen",Comput. Ind. 151: 103976 ,CII,Unranked
1,Virulence network of interacting domains of influenza a and mouse proteins.,2023,"Teng Ann Ng, Shamima Rashid, Chee Keong Kwoh",Frontiers Bioinform. 3 ,FBINF,Unranked
2,Directed collaboration patterns in funded teams: A perspective of knowledge flow.,2023,"Bentao Zou, Yuefen Wang, Chee Keong Kwoh, Yonghua Cen",Inf. Process. Manag. 60: 103237 ,IPM,Unranked
3,ViPal: A framework for virulence prediction of influenza viruses with prior viral knowledge using genomic sequences.,2023,"Rui Yin, Zihan Luo, Pei Zhuang, Min Zeng, Min Li, Zhuoyi Lin, Chee Keong Kwoh",J. Biomed. Informatics 142: 104388 ,JBI,Unranked
4,Empirical Study of Protein Feature Representation on Deep Belief Networks Trained With Small Data for Secondary Structure Prediction.,2023,"Shamima Rashid, Suresh Sundaram, Chee Keong Kwoh",IEEE ACM Trans. Comput. Biol. Bioinform. 20: 955-966 ,TCBB,Unranked
5,ADAST: Attentive Cross-Domain EEG-Based Sleep Staging Framework With Iterative Self-Training.,2023,"Emadeldeen Eldele, Mohamed Ragab, Zhenghua Chen, Min Wu, Chee-Keong Kwoh, Xiaoli Li, Cuntai Guan",IEEE Trans. Emerg. Top. Comput. Intell. 7: 210-221 ,TETCI,Unranked
6,COMET: Convolutional Dimension Interaction for Collaborative Filtering.,2023,"Zhuoyi Lin, Lei Feng, Xingzhi Guo, Yu Zhang, Rui Yin, Chee Keong Kwoh, Chi Xu",ACM Trans. Intell. Syst. Technol. 14: 59:1-59:18 ,TIST,Unranked
7,ADATIME: A Benchmarking Suite for Domain Adaptation on Time Series Data.,2023,"Mohamed Ragab, Emadeldeen Eldele, Wee Ling Tan, Chuan-Sheng Foo, Zhenghua Chen, Min Wu, Chee Keong Kwoh, Xiaoli Li",ACM Trans. Knowl. Discov. Data 17: 106:1-106:18 ,TKDD,Unranked
8,Attention Over Self-Attention: Intention-Aware Re-Ranking With Dynamic Transformer Encoders for Recommendation.,2023,"Zhuoyi Lin, Sheng Zang, Rundong Wang, Zhu Sun, J. Senthilnath, Chi Xu, Chee Keong Kwoh",IEEE Trans. Knowl. Data Eng. 35: 7782-7795 ,TKDE,Unranked
9,Label-efficient Time Series Representation Learning: A Review.,2023,"Emadeldeen Eldele, Mohamed Ragab, Zhenghua Chen, Min Wu, Chee Keong Kwoh, Xiaoli Li",CoRR abs/2302.06433 ,CORR,Unranked
10,Adaptive Stylization Modulation for Domain Generalized Semantic Segmentation.,2023,"Gabriel Tjio, Ping Liu, Chee-Keong Kwoh, Joey Tianyi Zhou",CoRR abs/2304.09347 ,CORR,Unranked
11,Generating Reliable Pixel-Level Labels for Source Free Domain Adaptation.,2023,"Gabriel Tjio, Ping Liu, Yawei Luo, Chee Keong Kwoh, Joey Tianyi Zhou",CoRR abs/2307.00893 ,CORR,Unranked
12,"Graph representation learning in bioinformatics: trends, methods and applications.",2022,"Hai-Cheng Yi, Zhu-Hong You, De-Shuang Huang, Chee Keong Kwoh",Briefings Bioinform. 23 ,BIB,Unranked
