,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Dynamic spectrum access for Internet-of-Things with hierarchical federated deep reinforcement learning.,2023,"Songbo Zhang, Kwok-Yan Lam, Bowen Shen, Li Wang, Feng Li",Ad Hoc Networks 149: 103257 ,ADHOC,Unranked
1,SPoFC: A framework for stream data aggregation with local differential privacy.,2023,"Mengmeng Yang, Kwok-Yan Lam, Tianqing Zhu, Chenghua Tang",Concurr. Comput. Pract. Exp. 35 ,CONCURRENCY,Unranked
2,Deep reinforcement learning based scheduling strategy for federated learning in sensor-cloud systems.,2023,"Tinghao Zhang, Kwok-Yan Lam, Jun Zhao",Future Gener. Comput. Syst. 144: 219-229 ,FGCS,Unranked
3,Understanding Security in Smart City Domains From the ANT-Centric Perspective.,2023,"Jiani Fan, Wenzhuo Yang, Ziyao Liu, Jiawen Kang, Dusit Niyato, Kwok-Yan Lam, Hongyang Du",IEEE Internet Things J. 10: 11199-11223 ,IOTJ,Unranked
4,BitAnalysis: A Visualization System for Bitcoin Wallet Investigation.,2023,"Yujing Sun, Hao Xiong, Siu Ming Yiu, Kwok-Yan Lam",IEEE Trans. Big Data 9: 621-636 ,TBD,Unranked
5,Differentially Private Distributed Frequency Estimation.,2023,"Mengmeng Yang, Ivan Tjuawinata, Kwok-Yan Lam, Tianqing Zhu, Jun Zhao",IEEE Trans. Dependable Secur. Comput. 20: 3910-3926 ,TDSC,Unranked
6,Efficient Dropout-Resilient Aggregation for Privacy-Preserving Machine Learning.,2023,"Ziyao Liu, Jiale Guo, Kwok-Yan Lam, Jun Zhao",IEEE Trans. Inf. Forensics Secur. 18: 1839-1854 ,TIFS,Unranked
7,Asymmetric Modality Translation for Face Presentation Attack Detection.,2023,"Zhi Li, Haoliang Li, Xin Luo, Yongjian Hu, Kwok-Yan Lam, Alex C. Kot",IEEE Trans. Multim. 25: 62-76 ,TMM,Unranked
8,Reputation-based power allocation for NOMA cognitive radio networks.,2023,"Feng Li, Zhongming Sun, Kwok-Yan Lam, Songbo Zhang, Lianzhong Sun, Li Wang",Wirel. Networks 29: 449-457 ,WINET,Unranked
9,Dynamic spectrum optimization for Internet-of-Things with social distance model.,2023,"Feng Li, Songbo Zhang, Kwok-Yan Lam, Xin Liu, Li Wang",Wirel. Networks 29: 2825-2832 ,WINET,Unranked
10,Dipping PLMs Sauce: Bridging Structure and Text for Effective Knowledge Graph Completion via Conditional Soft Prompting.,2023,"Chen Chen, Yufei Wang, Aixin Sun, Bing Li, Kwok-Yan Lam",ACL  2023: 11489-11503,ACL,A*
11,A Practical Intrusion Detection System Trained on Ambiguously Labeled Data for Enhancing IIoT Security.,2023,"Wenzhuo Yang, Zhaowei Chu, Jiani Fan, Ziyao Liu, Kwok-Yan Lam",CPSS@AsiaCCS 2023: 14-23,CPSS,Unranked
12,Applying Large Language Models for Enhancing Contract Drafting.,2023,"Kwok-Yan Lam, Victor C. W. Cheng, Zee Kin Yeong",LegalAIIA@ICAIL 2023: 70-80,ICAIL,C
13,Differentiated Security in the Age of Cognitive Internet of Things (CIoT).,2023,"Jiani Fan, Kwok-Yan Lam, Dusit Niyato",ICDCS 2023: 965-966,ICDCS,A
14,UAV aided Metaverse over Wireless Communications: A Reinforcement Learning Approach.,2023,"Peiyuan Si, Wenhan Yu, Jun Zhao, Kwok-Yan Lam, Qing Yang",CoRR abs/2301.01474 ,CORR,Unranked
15,A Hybrid Framework of Reinforcement Learning and Convex Optimization for UAV-Based Autonomous Metaverse Data Collection.,2023,"Peiyuan Si, Liangxin Qian, Jun Zhao, Kwok-Yan Lam",CoRR abs/2305.18481 ,CORR,Unranked
