,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Computer vision framework for crack detection of civil infrastructure - A review.,2023,"Dihao Ai, Guiyuan Jiang, Siew-Kei Lam, Peilan He, Chengwu Li",Eng. Appl. Artif. Intell. 117: 105478 ,EAAI,Unranked
1,Hardware-Efficient Scheme for Trailer Robot Parking by Truck Robot in an Indoor Environment with Rendezvous.,2023,"Divya Vani G, Srinivasa Rao Karumuri, Chinnaiah M. C., Siew-Kei Lam, Janardhan Narambhatlu, Sanjay Dubey",Sensors 23: 5097 ,SENSORS,Unranked
2,Two-Level Scheduling Algorithms for Deep Neural Network Inference in Vehicular Networks.,2023,"Yalan Wu, Jigang Wu, Mianyang Yao, Bosheng Liu, Long Chen, Siew Kei Lam",IEEE Trans. Intell. Transp. Syst. 24: 9324-9343 ,TITS,Unranked
3,Blockchain-Based Secure Key Management for Mobile Edge Computing.,2023,"Jiaxing Li, Jigang Wu, Long Chen, Jin Li, Siew-Kei Lam",IEEE Trans. Mob. Comput. 22: 100-114 ,TMC,Unranked
4,DNN Model Theft Through Trojan Side-Channel on Edge FPGA Accelerator.,2023,"Srivatsan Chandrasekar, Siew-Kei Lam, Srikanthan Thambipillai",ARC 2023: 146-158,ARC,Unranked
5,Multi-fold Correlation Attention Network for Predicting Traffic Speeds with Heterogeneous Frequency.,2022,"Yidan Sun, Guiyuan Jiang, Siew-Kei Lam, Peilan He, Fangxin Ning",Appl. Soft Comput. 124: 108977 ,ASC,Unranked
6,ML-MMAS: Self-learning ant colony optimization for multi-criteria journey planning.,2022,"Peilan He, Guiyuan Jiang, Siew-Kei Lam, Yidan Sun",Inf. Sci. 609: 1052-1074 ,ISCI,Unranked
7,Decoupled self-supervised label augmentation for fully-supervised image classification.,2022,"Wanshun Gao, Meiqing Wu, Siew-Kei Lam, Qihui Xia, Jianhua Zou",Knowl. Based Syst. 235: 107605 ,KBS,Unranked
8,A Multi-Scale Attributes Attention Model for Transport Mode Identification.,2022,"Guiyuan Jiang, Siew-Kei Lam, Peilan He, Changhai Ou, Dihao Ai",IEEE Trans. Intell. Transp. Syst. 23: 152-164 ,TITS,Unranked
9,A Unified Multi-Task Learning Architecture for Fast and Accurate Pedestrian Detection.,2022,"Chengju Zhou, Meiqing Wu, Siew-Kei Lam",IEEE Trans. Intell. Transp. Syst. 23: 982-996 ,TITS,Unranked
10,Learning Traffic Network Embeddings for Predicting Congestion Propagation.,2022,"Yidan Sun, Guiyuan Jiang, Siew-Kei Lam, Peilan He",IEEE Trans. Intell. Transp. Syst. 23: 11591-11604 ,TITS,Unranked
11,Enhanced Multi-Task Learning Architecture for Detecting Pedestrian at Far Distance.,2022,"Chengju Zhou, Meiqing Wu, Siew-Kei Lam",IEEE Trans. Intell. Transp. Syst. 23: 15588-15604 ,TITS,Unranked
12,Exploring Public Transport Transfer Opportunities for Pareto Search of Multicriteria Journeys.,2022,"Peilan He, Guiyuan Jiang, Siew-Kei Lam, Yidan Sun, Fangxin Ning",IEEE Trans. Intell. Transp. Syst. 23: 22895-22908 ,TITS,Unranked
13,Fast Semantic-Aware Motion State Detection for Visual SLAM in Dynamic Environment.,2022,"Gaurav Singh, Meiqing Wu, Do Van Minh, Siew-Kei Lam",IEEE Trans. Intell. Transp. Syst. 23: 23014-23030 ,TITS,Unranked
14,Reinforced Continual Learning for Graphs.,2022,"Appan Rakaraddi, Siew-Kei Lam, Mahardhika Pratama, Marcus de Carvalho",CIKM 2022: 1666-1674,CIKM,A
15,Reinforced Continual Learning for Graphs.,2022,"Appan Rakaraddi, Siew Kei Lam, Mahardhika Pratama, Marcus de Carvalho",CoRR abs/2209.01556 ,CORR,Unranked
16,Snowball: Another View on Side-Channel Key Recovery Tools.,2022,"Jiangshan Long, Changhai Ou, Zhu Wang, Shihui Zheng, Fei Yan, Fan Zhang, Siew-Kei Lam",IACR Cryptol. ePrint Arch. 2022: 728 ,IACR,Unranked
17,Passenger-centric vehicle routing for first-mile transportation considering request uncertainty.,2021,"Fangxin Ning, Guiyuan Jiang, Siew-Kei Lam, Changhai Ou, Peilan He, Yidan Sun",Inf. Sci. 570: 241-261 ,ISCI,Unranked
18,ACSL: Adaptive correlation-driven sparsity learning for deep neural network compression.,2021,"Wei He, Meiqing Wu, Siew-Kei Lam",Neural Networks 144: 465-477 ,NN,Unranked
19,SNR-Centric Power Trace Extractors for Side-Channel Attacks.,2021,"Changhai Ou, Siew-Kei Lam, Degang Sun, Xinping Zhou, Kexin Qiao, Qu Wang",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 40: 620-632 ,TCAD,Unranked
20,The Science of Guessing in Collision-Optimized Divide-and-Conquer Attacks.,2021,"Changhai Ou, Siew-Kei Lam, Guiyuan Jiang",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 40: 1039-1051 ,TCAD,Unranked
21,Information Entropy-Based Leakage Profiling.,2021,"Changhai Ou, Xinping Zhou, Siew-Kei Lam, Chengju Zhou, Fangxin Ning",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 40: 1052-1062 ,TCAD,Unranked
22,Multiple-Differential Mechanism for Collision-Optimized Divide-and-Conquer Attacks.,2021,"Changhai Ou, Chengju Zhou, Siew-Kei Lam, Guiyuan Jiang",IEEE Trans. Inf. Forensics Secur. 16: 418-430 ,TIFS,Unranked
23,XDIVINSA: eXtended DIVersifying INStruction Agent to Mitigate Power Side-Channel Leakage.,2021,"Thinh Hung Pham, Ben Marshall, Alexander Fell, Siew-Kei Lam, Daniel Page",ASAP 2021: 179-186,ASAP,Unranked
24,Cache-Aware Dynamic Skewed Tree for Fast Memory Authentication.,2021,"Saru Vig, Siew-Kei Lam, Rohan Juneja",ASP-DAC 2021: 402-407,ASPDAC,C
