,Title,Year,Authors,Journal,Journal Acronym,Rank
0,MIGPerf: A Comprehensive Benchmark for Deep Learning Training and Inference Workloads on Multi-Instance GPUs.,2023,"Huaizheng Zhang, Yuanming Li, Wencong Xiao, Yizheng Huang, Xing Di, Jianxiong Yin, Simon See, Yong Luo, Chiew Tong Lau, Yang You",CoRR abs/2301.00407 ,CORR,Unranked
1,Active-Learning-as-a-Service: An Efficient MLOps System for Data-Centric AI.,2022,"Yizheng Huang, Huaizheng Zhang, Yuanming Li, Chiew Tong Lau, Yang You",CoRR abs/2207.09109 ,CORR,Unranked
2,MG-Join: A Scalable Join for Massively Parallel Multi-GPU Architectures.,2021,"Johns Paul, Shengliang Lu, Bingsheng He, Chiew Tong Lau",SIGMOD Conference 2021: 1413-1425,SIGMOD,A*
3,Classification of Travel Patterns Including Wandering Based on Bi-directional Long Short-Term Memory Networks.,2021,"Nhu Khue Vuong, Yong Liu, Syin Chan, Chiew Tong Lau, Zhenghua Chen, Min Wu, Xiaoli Li",Generalization with Deep Learning 2021: 279-301,COLLECTIONS,Unranked
4,Revisiting hash join on graphics processors: a decade later.,2020,"Johns Paul, Bingsheng He, Shengliang Lu, Chiew Tong Lau",Distributed Parallel Databases 38: 771-793 ,DPD,Unranked
5,Improving Execution Efficiency of Just-in-time Compilation based Query Processing on GPUs.,2020,"Johns Paul, Bingsheng He, Shengliang Lu, Chiew Tong Lau",Proc. VLDB Endow. 14: 202-214 ,PVLDB,Unranked
6,Deep learning with long short-term memory networks for classification of dementia related travel patterns.,2020,"Nhu Khue Vuong, Yong Liu, Syin Chan, Chiew Tong Lau, Zhenghua Chen, Min Wu, Xiaoli Li",EMBC 2020: 5563-5566,EMBC,Unranked
7,Revisiting Hash Join on Graphics Processors: A Decade Later.,2019,"Johns Paul, Bingsheng He, Shengliang Lu, Chiew Tong Lau",ICDE Workshops 2019: 294-299,ICDE,A*
8,GPU-Based Hardware Platforms.,2019,"Johns Paul, Bingsheng He, Chiew Tong Lau",Encyclopedia of Big Data Technologies 2019,BDT,Unranked
9,Search and Query Accelerators.,2019,"Johns Paul, Bingsheng He, Chiew Tong Lau",Encyclopedia of Big Data Technologies 2019,BDT,Unranked
