,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A Study of the Ambient Noise in the Public Space on Campus and the Correlation Between the Campus Crowds' Ambient Noise and the WiFi Log.,2023,"Yun Jie Lim, Seanglidet Yean, Bu-Sung Lee, Peter Edwards",J. Ubiquitous Syst. Pervasive Networks 18: 23-30 ,JUSPN,Unranked
1,extendGAN+: Transferable Data Augmentation Framework Using WGAN-GP for Data-Driven Indoor Localisation Model.,2023,"Seanglidet Yean, Wayne Goh, Bu-Sung Lee, Hong Lye Oh",Sensors 23: 4402 ,SENSORS,Unranked
2,Attention-Based Sound Classification Pipeline with Sound Spectrum.,2023,"Ki In Tan, Seanglidet Yean, Bu-Sung Lee",SAS 2023: 1-6,SAS2,Unranked
3,SingTRACeX: Navigation System to Address Wandering Behavior for Elders and Their Caregivers.,2022,"Wei Jie Teo, Seanglidet Yean, Bo Zhi Lim, Hong Lye Oh, Bu-Sung Lee",Comput. Informatics 41: 646-664 ,CAI,Unranked
4,"Critique of ""MemXCT: Memory-Centric X-Ray CT Reconstruction With Massive Parallelization"" by SCC Team From Nanyang Technological University.",2022,"Shenggui Li, Bu-Sung Lee",IEEE Trans. Parallel Distributed Syst. 33: 2058-2061 ,TPDS,Unranked
5,What Could Ambient Noise around Campus Tell Us? A Study on Campus Crowd Noise.,2022,"Yun Jie Lim, Seanglidet Yean, Bu-Sung Lee, Peter Edwards",ANT/EDI40 2022: 390-397,ANT,Unranked
6,Reinforcement Learning Approach for Multi-period Inventory with Stochastic Demand.,2022,"Manoj Shakya, Huey Yuen Ng, Darrell Joshua Ong, Bu-Sung Lee",AIAI  2022: 282-291,IFIP12,Unranked
7,A Deep Reinforcement Learning Approach for Inventory Control under Stochastic Lead Time and Demand.,2022,"Manoj Shakya, Bu-Sung Lee, Huey Yuen Ng",SSCI 2022: 760-766,SSCI,Unranked
8,Lower-Limb Rehabilitation at Home: A Survey on Exercise Assessment and Initial Study on Exercise State Identification Toward Biofeedback.,2021,"Seanglidet Yean, Bu-Sung Lee, Chai Kiat Yeo",Int. J. Interdiscip. Telecommun. Netw. 13: 12-23 ,IJITN,Unranked
9,GAN+: Data Augmentation Method Using Generative Adversarial Networks and Dirichlet for Indoor Localisation.,2021,"Seanglidet Yean, Palak Somani, Bu-Sung Lee, Hong Lye Oh",IPIN-WiP 2021,IPIN,C
10,Epsilon: A Microservices based distributed scheduler for Kubernetes Cluster.,2021,"Alex Neo Jing Hui, Bu-Sung Lee",JCSSE 2021: 1-6,JCSSE,Unranked
11,Using Mobility Patterns for the Planning of Vehicle-to-Grid Infrastructures that Support Photovoltaics in Cities.,2021,"Markus Schläpfer, Hong Jun Chew, Seanglidet Yean, Bu-Sung Lee",CoRR abs/2112.15006 ,CORR,Unranked
12,Lower-Limb Rehabilitation at Home: A Survey on Exercise Assessment and Initial Study on Exercise State Identification Toward Biofeedback.,2020,"Seanglidet Yean, Bu-Sung Lee, Chai Kiat Yeo",Int. J. Interdiscip. Telecommun. Netw. 12: 15-27 ,IJITN,Unranked
