,Title,Year,Authors,Journal,Journal Acronym,Rank
0,ST4ML: Machine Learning Oriented Spatio-Temporal Data Processing at Scale.,2023,"Kaiqi Liu, Panrong Tong, Mo Li, Yue Wu, Jianqiang Huang",Proc. ACM Manag. Data 1: 87:1-87:28 ,PACMMOD,Unranked
1,CrowdAtlas: Estimating Crowd Distribution within the Urban Rail Transit System.,2023,"Jinlong E, Mo Li, Jianqiang Huang",ACM Trans. Knowl. Discov. Data 17: 48:1-48:24 ,TKDD,Unranked
2,Channel Adapted Antenna Augmentation for Improved Wi-Fi Throughput.,2023,"Yanbo Zhang, Weiping Sun, Yidong Ren, Sung-Ju Lee, Mo Li",IEEE Trans. Mob. Comput. 22: 6297-6310 ,TMC,Unranked
3,Predicting the Impact of Disruptions to Urban Rail Transit Systems.,2023,"Xiaoyun Mo, Chu Cao, Mo Li, David Z. W. Wang",ACM Trans. Sens. Networks 19: 2:1-2:17 ,TOSN,Unranked
4,LMAC: Efficient Carrier-Sense Multiple Access for LoRa.,2023,"Amalinda Gamage, Jansen Christian Liando, Chaojie Gu, Rui Tan, Mo Li, Olivier Seller",ACM Trans. Sens. Networks 19: 44:1-44:27 ,TOSN,Unranked
5,XCopy: Boosting Weak Links for Reliable LoRa Communication.,2023,"Xianjin Xia, Qianwu Chen, Ningning Hou, Yuanqing Zheng, Mo Li",MobiCom 2023: 14:1-14:15,MOBICOM,A*
6,Practically Adopting Human Activity Recognition.,2023,"Huatao Xu, Pengfei Zhou, Rui Tan, Mo Li",MobiCom 2023: 85:1-85:15,MOBICOM,A*
7,SiFall: Practical Online Fall Detection with RF Sensing.,2023,"Sijie Ji, Yaxiong Xie, Mo Li",CoRR abs/2301.03773 ,CORR,Unranked
8,LIMU-BERT: Unleashing the Potential of Unlabeled Data for IMU Sensing Applications.,2022,"Huatao Xu, Pengfei Zhou, Rui Tan, Mo Li, Guobin Shen",GetMobile Mob. Comput. Commun. 26: 39-42 ,SIGMOBILE,Unranked
9,Attack-aware Synchronization-free Data Timestamping in LoRaWAN.,2022,"Chaojie Gu, Linshan Jiang, Rui Tan, Mo Li, Jun Huang",ACM Trans. Sens. Networks 18: 10:1-10:31 ,TOSN,Unranked
10,Introduction to the Special Issue on Low Power Wide Area Networks.,2022,"Mo Li, Jiliang Wang, Swarun Kumar, Yuanqing Zheng",ACM Trans. Sens. Networks 18: 58e:1-58e:2 ,TOSN,Unranked
11,Experience: adopting indoor outdoor detection in on-demand food delivery business.,2022,"Pengfei Zhou, Yi Ding, Yang Li, Mo Li, Guobin Shen, Tian He",MobiCom 2022: 94-105,MOBICOM,A*
12,Passive DSSS: Empowering the Downlink Communication for Backscatter Systems.,2022,"Songfan Li, Hui Zheng, Chong Zhang, Yihang Song, Shen Yang, Minghua Chen, Li Lu, Mo Li",NSDI 2022: 913-928,NSDI,National
13,Predicting Abnormal Events in Urban Rail Transit Systems with Multivariate Point Process.,2022,"Xiaoyun Mo, Mingqian Li, Mo Li",PAKDD  2022: 41-53,PAKDD,B
