,Title,Year,Authors,Journal,Journal Acronym,Rank
0,LCReg: Long-tailed image classification with Latent Categories based Recognition.,2024,"Weide Liu, Zhonghua Wu, Yiming Wang, Henghui Ding, Fayao Liu, Jie Lin, Guosheng Lin",Pattern Recognit. 145: 109971 ,PR,Unranked
1,Learning Structural Representations for Recipe Generation and Food Retrieval.,2023,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao",IEEE Trans. Pattern Anal. Mach. Intell. 45: 3363-3377 ,PAMI,Unranked
2,DeepEMD: Differentiable Earth Mover's Distance for Few-Shot Learning.,2023,"Chi Zhang, Yujun Cai, Guosheng Lin, Chunhua Shen",IEEE Trans. Pattern Anal. Mach. Intell. 45: 5632-5648 ,PAMI,Unranked
3,Depth and Video Segmentation Based Visual Attention for Embodied Question Answering.,2023,"Haonan Luo, Guosheng Lin, Yazhou Yao, Fayao Liu, Zichuan Liu, Zhenmin Tang",IEEE Trans. Pattern Anal. Mach. Intell. 45: 6807-6819 ,PAMI,Unranked
4,Unsupervised 3D Pose Transfer With Cross Consistency and Dual Reconstruction.,2023,"Chaoyue Song, Jiacheng Wei, Ruibo Li, Fayao Liu, Guosheng Lin",IEEE Trans. Pattern Anal. Mach. Intell. 45: 10488-10499 ,PAMI,Unranked
5,Contrastive Generative Network with Recursive-Loop for 3D point cloud generalized zero-shot classification.,2023,"Yun Hao, Yukun Su, Guosheng Lin, Hanjing Su, Qingyao Wu",Pattern Recognit. 144: 109843 ,PR,Unranked
6,Improving Tail-Class Representation with Centroid Contrastive Learning.,2023,"Anthony Meng Huat Tiong, Junnan Li, Guosheng Lin, Boyang Li, Caiming Xiong, Steven C. H. Hoi",Pattern Recognit. Lett. 168: 123-130 ,PRL,Unranked
7,Self-Training Vision Language BERTs With a Unified Conditional Model.,2023,"Xiaofeng Yang, Fengmao Lv, Fayao Liu, Guosheng Lin",IEEE Trans. Circuits Syst. Video Technol. 33: 3560-3569 ,TCSV,Unranked
8,Efficient Few-Shot Object Detection via Knowledge Inheritance.,2023,"Ze Yang, Chi Zhang, Ruibo Li, Yi Xu, Guosheng Lin",IEEE Trans. Image Process. 32: 321-334 ,TIP,Unranked
9,Single-View 3D Mesh Reconstruction for Seen and Unseen Categories.,2023,"Xianghui Yang, Guosheng Lin, Luping Zhou",IEEE Trans. Image Process. 32: 3746-3758 ,TIP,Unranked
10,Semantic Consistent Embedding for Domain Adaptive Zero-Shot Learning.,2023,"Jianyang Zhang, Guowu Yang, Ping Hu, Guosheng Lin, Fengmao Lv",IEEE Trans. Image Process. 32: 4024-4035 ,TIP,Unranked
11,Cross-Image Region Mining With Region Prototypical Network for Weakly Supervised Segmentation.,2023,"Weide Liu, Xiangfei Kong, Tzu-Yi Hung, Guosheng Lin",IEEE Trans. Multim. 25: 1148-1160 ,TMM,Unranked
12,3D Cinemagraphy from a Single Image.,2023,"Xingyi Li, Zhiguo Cao, Huiqiang Sun, Jianming Zhang, Ke Xian, Guosheng Lin",CVPR 2023: 4595-4605,CVPR,A*
13,Neural Vector Fields: Implicit Representation by Explicit Learning.,2023,"Xianghui Yang, Guosheng Lin, Zhenghao Chen, Luping Zhou",CVPR 2023: 16727-16738,CVPR,A*
14,TAPS3D: Text-Guided 3D Textured Shape Generation from Pseudo Supervision.,2023,"Jiacheng Wei, Hao Wang, Jiashi Feng, Guosheng Lin, Kim-Hui Yap",CVPR 2023: 16805-16815,CVPR,A*
15,Weakly Supervised Class-agnostic Motion Prediction for Autonomous Driving.,2023,"Ruibo Li, Hanyu Shi, Ziang Fu, Zhe Wang, Guosheng Lin",CVPR 2023: 17599-17608,CVPR,A*
16,Iterative Refinement for Multi-Source Visual Domain Adaptation (Extended abstract).,2023,"Hanrui Wu, Yuguang Yan, Guosheng Lin, Min Yang, Michael K. Ng, Qingyao Wu",ICDE 2023: 3829-3830,ICDE,A*
17,Effective End-to-End Vision Language Pretraining with Semantic Visual Loss.,2023,"Xiaofeng Yang, Fayao Liu, Guosheng Lin",CoRR abs/2301.07236 ,CORR,Unranked
18,Neural Vector Fields: Implicit Representation by Explicit Learning.,2023,"Xianghui Yang, Guosheng Lin, Zhenghao Chen, Luping Zhou",CoRR abs/2303.04341 ,CORR,Unranked
19,Reliability-Adaptive Consistency Regularization for Weakly-Supervised Point Cloud Segmentation.,2023,"Zhonghua Wu, Yicheng Wu, Guosheng Lin, Jianfei Cai",CoRR abs/2303.05164 ,CORR,Unranked
20,3D Cinemagraphy from a Single Image.,2023,"Xingyi Li, Zhiguo Cao, Huiqiang Sun, Jianming Zhang, Ke Xian, Guosheng Lin",CoRR abs/2303.05724 ,CORR,Unranked
21,TAPS3D: Text-Guided 3D Textured Shape Generation from Pseudo Supervision.,2023,"Jiacheng Wei, Hao Wang, Jiashi Feng, Guosheng Lin, Kim-Hui Yap",CoRR abs/2303.13273 ,CORR,Unranked
22,Harmonizing Base and Novel Classes: A Class-Contrastive Approach for Generalized Few-Shot Segmentation.,2023,"Weide Liu, Zhonghua Wu, Yang Zhao, Yuming Fang, Chuan-Sheng Foo, Jun Cheng, Guosheng Lin",CoRR abs/2303.13724 ,CORR,Unranked
23,StarNet: Style-Aware 3D Point Cloud Generation.,2023,"Yunfan Zhang, Hao Wang, Guosheng Lin, Vun Chan Hua Nicholas, Zhiqi Shen, Chunyan Miao",CoRR abs/2303.15805 ,CORR,Unranked
24,MoDA: Modeling Deformable 3D Objects from Casual Videos.,2023,"Chaoyue Song, Tianyi Chen, Yiwen Chen, Jiacheng Wei, Chuan Sheng Foo, Fayao Liu, Guosheng Lin",CoRR abs/2304.08279 ,CORR,Unranked
25,OR-NeRF: Object Removing from 3D Scenes Guided by Multiview Segmentation with Neural Radiance Fields.,2023,"Youtan Yin, Zhoujie Fu, Fan Yang, Guosheng Lin",CoRR abs/2305.10503 ,CORR,Unranked
26,StyleAvatar3D: Leveraging Image-Text Diffusion Models for High-Fidelity 3D Avatar Generation.,2023,"Chi Zhang, Yiwen Chen, Yijun Fu, Zhenglin Zhou, Gang Yu, Billzb Wang, Bin Fu, Tao Chen, Guosheng Lin, Chunhua Shen",CoRR abs/2305.19012 ,CORR,Unranked
27,Neural Video Depth Stabilizer.,2023,"Yiran Wang, Min Shi, Jiaqi Li, Zihao Huang, Zhiguo Cao, Jianming Zhang, Ke Xian, Guosheng Lin",CoRR abs/2307.08695 ,CORR,Unranked
28,Weakly Supervised 3D Instance Segmentation without Instance-level Annotations.,2023,"Shichao Dong, Guosheng Lin",CoRR abs/2308.01721 ,CORR,Unranked
29,Self-Calibrated Cross Attention Network for Few-Shot Segmentation.,2023,"Qianxiong Xu, Wenting Zhao, Guosheng Lin, Cheng Long",CoRR abs/2308.09294 ,CORR,Unranked
30,Unlimited Knowledge Distillation for Action Recognition in the Dark.,2023,"Ruibing Jin, Guosheng Lin, Min Wu, Jie Lin, Zhengguo Li, Xiaoli Li, Zhenghua Chen",CoRR abs/2308.09327 ,CORR,Unranked
31,StableLLaVA: Enhanced Visual Instruction Tuning with Synthesized Image-Dialogue Data.,2023,"Yanda Li, Chi Zhang, Gang Yu, Zhibin Wang, Bin Fu, Guosheng Lin, Chunhua Shen, Ling Chen, Yunchao Wei",CoRR abs/2308.10253 ,CORR,Unranked
32,Make-It-4D: Synthesizing a Consistent Long-Term Dynamic Scene Video from a Single Image.,2023,"Liao Shen, Xingyi Li, Huiqiang Sun, Juewen Peng, Ke Xian, Zhiguo Cao, Guosheng Lin",CoRR abs/2308.10257 ,CORR,Unranked
33,IT3D: Improved Text-to-3D Generation with Explicit View Synthesis.,2023,"Yiwen Chen, Chi Zhang, Xiaofeng Yang, Zhongang Cai, Gang Yu, Lei Yang, Guosheng Lin",CoRR abs/2308.11473 ,CORR,Unranked
34,Improving Video Violence Recognition with Human Interaction Learning on 3D Skeleton Point Clouds.,2023,"Yukun Su, Guosheng Lin, Qingyao Wu",CoRR abs/2308.13866 ,CORR,Unranked
35,Neural Vector Fields: Generalizing Distance Vector Fields by Codebooks and Zero-Curl Regularization.,2023,"Xianghui Yang, Guosheng Lin, Zhenghao Chen, Luping Zhou",CoRR abs/2309.01512 ,CORR,Unranked
36,LCReg: Long-Tailed Image Classification with Latent Categories based Recognition.,2023,"Weide Liu, Zhonghua Wu, Yiming Wang, Henghui Ding, Fayao Liu, Jie Lin, Guosheng Lin",CoRR abs/2309.07186 ,CORR,Unranked
37,CRCNet: Few-Shot Segmentation with Cross-Reference and Region-Global Conditional Networks.,2022,"Weide Liu, Chi Zhang, Guosheng Lin, Fayao Liu",Int. J. Comput. Vis. 130: 3140-3157 ,IJCV,Unranked
38,Learning language to symbol and language to vision mapping for visual grounding.,2022,"Su He, Xiaofeng Yang, Guosheng Lin",Image Vis. Comput. 122: 104451 ,IVC,Unranked
39,Online Active Proposal Set Generation for weakly supervised object detection.,2022,"Ruibing Jin, Guosheng Lin, Changyun Wen",Knowl. Based Syst. 237: 107726 ,KBS,Unranked
40,Tackling background ambiguities in multi-class few-shot point cloud semantic segmentation.,2022,"Lvlong Lai, Jian Chen, Chi Zhang, Zehong Zhang, Guosheng Lin, Qingyao Wu",Knowl. Based Syst. 253: 109508 ,KBS,Unranked
41,Feature flow: In-network feature flow estimation for video object detection.,2022,"Ruibing Jin, Guosheng Lin, Changyun Wen, Jianliang Wang, Fayao Liu",Pattern Recognit. 122: 108323 ,PR,Unranked
42,Decomposing generation networks with structure prediction for recipe generation.,2022,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao",Pattern Recognit. 126: 108578 ,PR,Unranked
43,Dense Semantics-Assisted Networks for Video Action Recognition.,2022,"Haonan Luo, Guosheng Lin, Yazhou Yao, Zhenmin Tang, Qingyao Wu, Xiansheng Hua",IEEE Trans. Circuits Syst. Video Technol. 32: 3073-3084 ,TCSV,Unranked
44,Cross-Modal Graph With Meta Concepts for Video Captioning.,2022,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao",IEEE Trans. Image Process. 31: 5150-5162 ,TIP,Unranked
45,Iterative Refinement for Multi-Source Visual Domain Adaptation.,2022,"Hanrui Wu, Yuguang Yan, Guosheng Lin, Min Yang, Michael K. Ng, Qingyao Wu",IEEE Trans. Knowl. Data Eng. 34: 2810-2823 ,TKDE,Unranked
46,Point Discriminative Learning for Data-efficient 3D Point Cloud Analysis.,2022,"Fayao Liu, Guosheng Lin, Chuan-Sheng Foo, Chaitanya K. Joshi, Jie Lin",3DV 2022: 42-51,3DIM,Unranked
47,Self-Supervised Object Localization with Joint Graph Partition.,2022,"Yukun Su, Guosheng Lin, Yun Hao, Yiwen Cao, Wenjun Wang, Qingyao Wu",AAAI 2022: 2289-2297,AAAI,A*
48,SymmNeRF: Learning to Explore Symmetry Prior for Single-View View Synthesis.,2022,"Xingyi Li, Chaoyi Hong, Yiran Wang, Zhiguo Cao, Ke Xian, Guosheng Lin",ACCV  2022: 228-244,ACCV,B
49,Weakly Supervised Segmentation on Outdoor 4D point clouds with Temporal Matching and Spatial Graph Propagation.,2022,"Hanyu Shi, Jiacheng Wei, Ruibo Li, Fayao Liu, Guosheng Lin",CVPR 2022: 11830-11839,CVPR,A*
