,Title,Year,Authors,Journal,Journal Acronym,Rank
0,SMT Solver With Hardware Acceleration.,2023,"Yean-Ru Chen, Si-Han Chen, Shangwei Lin",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 42: 2055-2068 ,TCAD,Unranked
1,An Automatic Test Plan Generation Approach for Automotive Software Testing.,2023,"Yushi Cao, Yanran Li, Yon Shin Teo, Yan Zheng, Zhexin Liang, Shang-Wei Lin",SoMeT 2023: 18-27,SOMET,Unranked
2,A Quantum SMT Solver for Bit-Vector Theory.,2023,"Shang-Wei Lin, Si-Han Chen, Tzu-Fan Wang, Yean-Ru Chen",CoRR abs/2303.09353 ,CORR,Unranked
3,A Parallel and Distributed Quantum SAT Solver Based on Entanglement and Quantum Teleportation.,2023,"Shang-Wei Lin, Tzu-Fan Wang, Yean-Ru Chen, Zhe Hou, David Sanán, Yon Shin Teo",CoRR abs/2308.03344 ,CORR,Unranked
4,A Survey of Smart Contract Formal Specification and Verification.,2022,"Palina Tolmach, Yi Li, Shangwei Lin, Yang Liu, Zengxiang Li",ACM Comput. Surv. 54: 148:1-148:38 ,CSUR,Unranked
5,A Quantum interpretation of separating conjunction for local reasoning of Quantum programs based on separation logic.,2022,"Xuan-Bach Le, Shang-Wei Lin, Jun Sun, David Sanán",Proc. ACM Program. Lang. 6: 1-27 ,PACMPL,Unranked
6,Oracle-Supported Dynamic Exploit Generation for Smart Contracts.,2022,"Haijun Wang, Ye Liu, Yi Li, Shangwei Lin, Cyrille Artho, Lei Ma, Yang Liu",IEEE Trans. Dependable Secur. Comput. 19: 1795-1809 ,TDSC,Unranked
7,Pasadena: Perceptually Aware and Stealthy Adversarial Denoise Attack.,2022,"Yupeng Cheng, Qing Guo, Felix Juefei-Xu, Shang-Wei Lin, Wei Feng, Weisi Lin, Yang Liu",IEEE Trans. Multim. 24: 3807-3822 ,TMM,Unranked
8,Finding permission bugs in smart contracts with role mining.,2022,"Ye Liu, Yi Li, Shang-Wei Lin, Cyrille Artho",ISSTA 2022: 716-727,ISSTA,A
9,Property-Based Automated Repair of DeFi Protocols.,2022,"Palina Tolmach, Yi Li, Shang-Wei Lin",ASE 2022: 184:1-184:5,KBSE,Unranked
10,SolSEE: a source-level symbolic execution engine for solidity.,2022,"Shang-Wei Lin, Palina Tolmach, Ye Liu, Yi Li",ESEC/SIGSOFT FSE 2022: 1687-1691,SIGSOFT,Unranked
11,A Holistic Automated Software Structure Exploration Framework for Testing.,2022,"Yushi Cao, Yon Shin Teo, Yan Zheng, Yuxuan Toh, Shang-Wei Lin",SoMeT 2022: 286-297,SOMET,Unranked
12,Enhancing Security Patch Identification by Capturing Structures in Commits.,2022,"Bozhi Wu, Shangqing Liu, Ruitao Feng, Xiaofei Xie, Jing Kai Siow, Shang-Wei Lin",CoRR abs/2207.09022 ,CORR,Unranked
13,A security type verifier for smart contracts.,2021,"Xinwen Hu, Yi Zhuang, Shangwei Lin, Fuyuan Zhang, Shuanglong Kan, Zining Cao",Comput. Secur. 108: 102343 ,COMPSEC,Unranked
14,A Performance-Sensitive Malware Detection System Using Deep Learning on Mobile Devices.,2021,"Ruitao Feng, Sen Chen, Xiaofei Xie, Guozhu Meng, Shang-Wei Lin, Yang Liu",IEEE Trans. Inf. Forensics Secur. 16: 1563-1578 ,TIFS,Unranked
15,CSim2: Compositional Top-down Verification of Concurrent Systems using Rely-Guarantee.,2021,"David Sanán, Yongwang Zhao, Shang-Wei Lin, Yang Liu",ACM Trans. Program. Lang. Syst. 43: 2:1-2:46 ,TOPLAS,Unranked
16,Formal Analysis of Composable DeFi Protocols.,2021,"Palina Tolmach, Yi Li, Shang-Wei Lin, Yang Liu",Financial Cryptography Workshops 2021: 149-161,FC,A
17,Automatic HMI Structure Exploration Via Curiosity-Based Reinforcement Learning.,2021,"Yushi Cao, Yan Zheng, Shang-Wei Lin, Yang Liu, Yon Shin Teo, Yuxuan Toh, Vinay Vishnumurthy Adiga",ASE 2021: 1151-1155,KBSE,Unranked
18,Formal Analysis of Composable DeFi Protocols.,2021,"Palina Tolmach, Yi Li, Shang-Wei Lin, Yang Liu",CoRR abs/2103.00540 ,CORR,Unranked
19,A distributed method to avoid higher-order deadlocks in multi-robot systems.,2020,"Yuan Zhou, Hesuan Hu, Yang Liu, Shang-Wei Lin, Zuohua Ding",Autom. 112 ,AUTOMATICA,Unranked
20,A Generalized Formal Semantic Framework for Smart Contracts.,2020,"Jiao Jiao, Shang-Wei Lin, Jun Sun",FASE 2020: 75-96,FASE,B
21,Automatic Verification of Multi-threaded Programs by Inference of Rely-Guarantee Specifications.,2020,"Xuan-Bach Le, David Sanán, Jun Sun, Shang-Wei Lin",ICECCS 2020: 43-52,ICECCS,B
