,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Collaborative structure and feature learning for multi-view clustering.,2023,"Weiqing Yan, Meiqi Gu, Jinlai Ren, Guanghui Yue, Zhaowei Liu, Jindong Xu, Weisi Lin",Inf. Fusion 98: 101832 ,INFFUS,Unranked
1,Complementary networks for person re-identification.,2023,"Guoqing Zhang, Weisi Lin, Arun Kumar Chandran, Xuan Jing",Inf. Sci. 633: 70-84 ,ISCI,Unranked
2,HVS-inspired adversarial image generation with high perceptual quality.,2023,"Yuan Xue, Jian Jin, Wen Sun, Weisi Lin",J. Cloud Comput. 12: 86 ,JCLOUDC,Unranked
3,Intrinsic and Isotropic Resampling for 3D Point Clouds.,2023,"Chenlei Lv, Weisi Lin, Baoquan Zhao",IEEE Trans. Pattern Anal. Mach. Intell. 45: 3274-3291 ,PAMI,Unranked
4,A Thorough Benchmark and a New Model for Light Field Saliency Detection.,2023,"Wei Gao, Songlin Fan, Ge Li, Weisi Lin",IEEE Trans. Pattern Anal. Mach. Intell. 45: 8003-8019 ,PAMI,Unranked
5,Minimum Noticeable Difference-Based Adversarial Privacy Preserving Image Generation.,2023,"Wen Sun, Jian Jin, Weisi Lin",IEEE Trans. Circuits Syst. Video Technol. 33: 1069-1081 ,TCSV,Unranked
6,AFD-Former: A Hybrid Transformer With Asymmetric Flow Division for Synthesized View Quality Enhancement.,2023,"Xu Zhang, Nian Cai, Huan Zhang, Yun Zhang, Jianglei Di, Weisi Lin",IEEE Trans. Circuits Syst. Video Technol. 33: 3786-3798 ,TCSV,Unranked
7,Camera Contrast Learning for Unsupervised Person Re-Identification.,2023,"Guoqing Zhang, Hongwei Zhang, Weisi Lin, Arun Kumar Chandran, Xuan Jing",IEEE Trans. Circuits Syst. Video Technol. 33: 4096-4107 ,TCSV,Unranked
8,DisCoVQA: Temporal Distortion-Content Transformers for Video Quality Assessment.,2023,"Haoning Wu, Chaofeng Chen, Liang Liao, Jingwen Hou, Wenxiu Sun, Qiong Yan, Weisi Lin",IEEE Trans. Circuits Syst. Video Technol. 33: 4840-4854 ,TCSV,Unranked
9,Real-World Non-Homogeneous Haze Removal by Sliding Self-Attention Wavelet Network.,2023,"Yuxin Feng, Xiaozhe Meng, Fan Zhou, Weisi Lin, Zhuo Su",IEEE Trans. Circuits Syst. Video Technol. 33: 5470-5485 ,TCSV,Unranked
10,Adjacent Context Coordination Network for Salient Object Detection in Optical Remote Sensing Images.,2023,"Gongyang Li, Zhi Liu, Dan Zeng, Weisi Lin, Haibin Ling",IEEE Trans. Cybern. 53: 526-538 ,TCYB,Unranked
11,Lightweight Salient Object Detection in Optical Remote-Sensing Images via Semantic Matching and Edge Alignment.,2023,"Gongyang Li, Zhi Liu, Xinpeng Zhang, Weisi Lin",IEEE Trans. Geosci. Remote. Sens. 61: 1-11 ,TGRS,Unranked
12,Uplink-Assist Downlink Remote-Sensing Image Compression via Historical Referencing.,2023,"Huiwen Wang, Liang Liao, Jing Xiao, Weisi Lin, Mi Wang",IEEE Trans. Geosci. Remote. Sens. 61: 1-15 ,TGRS,Unranked
13,KSS-ICP: Point Cloud Registration Based on Kendall Shape Space.,2023,"Chenlei Lv, Weisi Lin, Baoquan Zhao",IEEE Trans. Image Process. 32: 1681-1693 ,TIP,Unranked
14,Learning Detail-Structure Alternative Optimization for Blind Super-Resolution.,2023,"Feng Li, Yixuan Wu, Huihui Bai, Weisi Lin, Runmin Cong, Yao Zhao",IEEE Trans. Multim. 25: 2825-2838 ,TMM,Unranked
15,Efficient Geometry Surface Coding in V-PCC.,2023,"Jian Xiong, Hao Gao, Miaohui Wang, Hongliang Li, King Ngi Ngan, Weisi Lin",IEEE Trans. Multim. 25: 3329-3342 ,TMM,Unranked
16,GCFAgg: Global and Cross-View Feature Aggregation for Multi-View Clustering.,2023,"Weiqing Yan, Yuanyang Zhang, Chenlei Lv, Chang Tang, Guanghui Yue, Liang Liao, Weisi Lin",CVPR 2023: 19863-19872,CVPR,A*
17,Evaluating the efficacy of skincare product: A realistic short-term facial pore simulation.,2023,"Ling Li, Bandara Dissanayake, Tatsuya Omotezako, Yunjie Zhong, Qing Zhang, Rizhao Cai, Qian Zheng, Dennis Sng, Weisi Lin, Yufei Wang, Alex C. Kot",Imaging and Multimedia Analytics at the Edge 2023: 1-6,EI-IMAWM,Unranked
18,Exploring Opinion-Unaware Video Quality Assessment with Semantic Affinity Criterion.,2023,"Haoning Wu, Liang Liao, Jingwen Hou, Chaofeng Chen, Erli Zhang, Annan Wang, Wenxiu Sun, Qiong Yan, Weisi Lin",ICME 2023: 366-371,ICMCS,Unranked
19,Post-Training Quantization for Vision Transformer in Transformed Domain.,2023,"Kai Feng, Zhuo Chen, Fei Gao, Zhe Wang, Long Xu, Weisi Lin",ICME 2023: 1457-1462,ICMCS,Unranked
20,Inter-Intra Camera Identity Learning for Person Re-Identification with Training in Single Camera.,2023,"Guoqing Zhang, Zhiyuan Luo, Weisi Lin, Xuan Jing",ICME 2023: 2429-2434,ICMCS,Unranked
21,Multi-level Part-aware Feature Disentangling for Text-based Person Search.,2023,"Yuhao Chen, Guoqing Zhang, Hongwei Zhang, Yuhui Zheng, Weisi Lin",ICME 2023: 2801-2806,ICMCS,Unranked
22,Lightweight Salient Object Detection in Optical Remote Sensing Images via Semantic Matching and Edge Alignment.,2023,"Gongyang Li, Zhi Liu, Xinpeng Zhang, Weisi Lin",CoRR abs/2301.02778 ,CORR,Unranked
