,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Latency-constrained DNN architecture learning for edge systems using zerorized batch normalization.,2023,"Shuo Huai, Di Liu, Hao Kong, Weichen Liu, Ravi Subramaniam, Christian Makaya, Qian Lin",Future Gener. Comput. Syst. 142: 314-327 ,FGCS,Unranked
1,SurgeNAS: A Comprehensive Surgery on Hardware-Aware Differentiable Neural Architecture Search.,2023,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu",IEEE Trans. Computers 72: 1081-1094 ,TC,Unranked
2,FAT: An In-Memory Accelerator With Fast Addition for Ternary Weight Neural Networks.,2023,"Shien Zhu, Luan H. K. Duong, Hui Chen, Di Liu, Weichen Liu",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 42: 781-794 ,TCAD,Unranked
3,LightNAS: On Lightweight and Scalable Neural Architecture Search for Embedded Platforms.,2023,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 42: 1784-1797 ,TCAD,Unranked
4,CRIMP: Compact & Reliable DNN Inference on In-Memory Processing via Crossbar-Aligned Compression and Non-ideality Adaptation.,2023,"Shuo Huai, Hao Kong, Xiangzhong Luo, Shiqing Li, Ravi Subramaniam, Christian Makaya, Qian Lin, Weichen Liu",ACM Trans. Embed. Comput. Syst. 22: 123:1-123:25 ,TECS,Unranked
5,Crossbar-Aligned & Integer-Only Neural Network Compression for Efficient in-Memory Acceleration.,2023,"Shuo Huai, Di Liu, Xiangzhong Luo, Hui Chen, Weichen Liu, Ravi Subramaniam",ASP-DAC 2023: 234-239,ASPDAC,C
6,MUGNoC: A Software-Configured Multicast-Unicast-Gather NoC for Accelerating CNN Dataflows.,2023,"Hui Chen, Di Liu, Shiqing Li, Shuo Huai, Xiangzhong Luo, Weichen Liu",ASP-DAC 2023: 308-313,ASPDAC,C
7,Towards Efficient Convolutional Neural Network for Embedded Hardware via Multi-Dimensional Pruning.,2023,"Hao Kong, Di Liu, Xiangzhong Luo, Shuo Huai, Ravi Subramaniam, Christian Makaya, Qian Lin, Weichen Liu",DAC 2023: 1-6,DAC,Unranked
8,FIONA: Fine-grained Incoherent Optical DNN Accelerator Search for Superior Efficiency and Robustness.,2023,"Mengquan Li, Kenli Li, Mingfeng Lan, Jie Xiong, Zhuo Tang, Weichen Liu",DAC 2023: 1-6,DAC,Unranked
9,EMNAPE: Efficient Multi-Dimensional Neural Architecture Pruning for EdgeAI.,2023,"Hao Kong, Xiangzhong Luo, Shuo Huai, Di Liu, Ravi Subramaniam, Christian Makaya, Qian Lin, Weichen Liu",DATE 2023: 1-2,DATE,B
10,Accelerating Gustavson-based SpMM on Embedded FPGAs with Element-wise Parallelism and Access Pattern-aware Caches.,2023,"Shiqing Li, Weichen Liu",DATE 2023: 1-6,DATE,B
11,iMAT: Energy-Efficient In-Memory Acceleration for Ternary Neural Networks With Sparse Dot Product.,2023,"Shien Zhu, Shuo Huai, Guochu Xiong, Weichen Liu",ISLPED 2023: 1-6,ISLPED,Unranked
12,Evolutionary game-based incentive models for sustainable trust enhancement in a blockchained shared manufacturing network.,2022,"Fuqiang Zhang, Lei Wu, Weichen Liu, Kai Ding, Jizhuang Hui, Jiewu Leng, Xueliang Zhou",Adv. Eng. Informatics 54: 101791 ,AEI,Unranked
13,EDLAB: A Benchmark for Edge Deep Learning Accelerators.,2022,"Hao Kong, Shuo Huai, Di Liu, Lei Zhang, Hui Chen, Shien Zhu, Shiqing Li, Weichen Liu, Manu Rastogi, Ravi Subramaniam, Madhu Athreya, M. Anthony Lewis",IEEE Des. Test 39: 8-17 ,DT,Unranked
14,Bringing AI to edge: From deep learning's perspective.,2022,"Di Liu, Hao Kong, Xiangzhong Luo, Weichen Liu, Ravi Subramaniam",Neurocomputing 485: 297-320 ,IJON,Unranked
15,Contention Minimization in Emerging SMART NoC via Direct and Indirect Routes.,2022,"Peng Chen, Hui Chen, Jun Zhou, Mengquan Li, Weichen Liu, Chunhua Xiao, Yiyuan Xie, Nan Guan",IEEE Trans. Computers 71: 1874-1888 ,TC,Unranked
16,ArSMART: An Improved SMART NoC Design Supporting Arbitrary-Turn Transmission.,2022,"Hui Chen, Peng Chen, Jun Zhou, Luan H. K. Duong, Weichen Liu",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 41: 1316-1329 ,TCAD,Unranked
