,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Asking Clarifying Questions: To benefit or to disturb users in Web search?,2023,"Jie Zou, Aixin Sun, Cheng Long, Mohammad Aliannejadi, Evangelos Kanoulas",Inf. Process. Manag. 60: 103176 ,IPM,Unranked
1,HRL4EC: Hierarchical reinforcement learning for multi-mode epidemic control.,2023,"Xinqi Du, Hechang Chen, Bo Yang, Cheng Long, Songwei Zhao",Inf. Sci. 640: 119065 ,ISCI,Unranked
2,Maximum k-Biplex Search on Bipartite Graphs: A Symmetric-BK Branching Approach.,2023,"Kaiqiang Yu, Cheng Long",Proc. ACM Manag. Data 1: 49:1-49:26 ,PACMMOD,Unranked
3,The RLR-Tree: A Reinforcement Learning Based R-Tree for Spatial Data.,2023,"Tu Gu, Kaiyu Feng, Gao Cong, Cheng Long, Zheng Wang, Sheng Wang",Proc. ACM Manag. Data 1: 63:1-63:26 ,PACMMOD,Unranked
4,T-FSM: A Task-Based System for Massively Parallel Frequent Subgraph Pattern Mining from a Big Graph.,2023,"Lyuheng Yuan, Da Yan, Wenwen Qu, Saugat Adhikari, Jalal Khalil, Cheng Long, Xiaoling Wang",Proc. ACM Manag. Data 1: 74:1-74:26 ,PACMMOD,Unranked
5,High-Dimensional Approximate Nearest Neighbor Search: with Reliable and Efficient Distance Comparison Operations.,2023,"Jianyang Gao, Cheng Long",Proc. ACM Manag. Data 1: 137:1-137:27 ,PACMMOD,Unranked
6,Towards Pointsets Representation Learning via Self-Supervised Learning and Set Augmentation.,2023,"Pattaramanee Arsomngern, Cheng Long, Supasorn Suwajanakorn, Sarana Nutanong",IEEE Trans. Pattern Anal. Mach. Intell. 45: 1201-1216 ,PAMI,Unranked
7,Towards Designing and Learning Piecewise Space-Filling Curves.,2023,"Jiangneng Li, Zheng Wang, Gao Cong, Cheng Long, Han Mao Kiah, Bin Cui",Proc. VLDB Endow. 16: 2158-2171 ,PVLDB,Unranked
8,Road Extraction With Satellite Images and Partial Road Maps.,2023,"Qianxiong Xu, Cheng Long, Liang Yu, Chen Zhang",IEEE Trans. Geosci. Remote. Sens. 61: 1-14 ,TGRS,Unranked
9,Summarizing User-item Matrix By Group Utility Maximization.,2023,"Yongjie Wang, Ke Wang, Cheng Long, Chunyan Miao",ACM Trans. Knowl. Discov. Data 17: 86:1-86:22 ,TKDD,Unranked
10,Road Network Representation Learning: A Dual Graph-based Approach.,2023,"Liang Zhang, Cheng Long",ACM Trans. Knowl. Discov. Data 17: 121:1-121:25 ,TKDD,Unranked
11,On Efficient Large Maximal Biplex Discovery.,2023,"Kaiqiang Yu, Cheng Long, Deepak P, Tanmoy Chakraborty",IEEE Trans. Knowl. Data Eng. 35: 824-829 ,TKDE,Unranked
