,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Investigating Pose Representations and Motion Contexts Modeling for 3D Motion Prediction.,2023,"Zhenguang Liu, Shuang Wu, Shuyuan Jin, Shouling Ji, Qi Liu, Shijian Lu, Li Cheng",IEEE Trans. Pattern Anal. Mach. Intell. 45: 681-697 ,PAMI,Unranked
1,Unsupervised Point Cloud Representation Learning With Deep Neural Networks: A Survey.,2023,"Aoran Xiao, Jiaxing Huang, Dayan Guan, Xiaoqin Zhang, Shijian Lu, Ling Shao",IEEE Trans. Pattern Anal. Mach. Intell. 45: 11321-11339 ,PAMI,Unranked
2,Meta-DETR: Image-Level Few-Shot Detection With Inter-Class Correlation Exploitation.,2023,"Gongjie Zhang, Zhipeng Luo, Kaiwen Cui, Shijian Lu, Eric P. Xing",IEEE Trans. Pattern Anal. Mach. Intell. 45: 12832-12843 ,PAMI,Unranked
3,Image-to-Character-to-Word Transformers for Accurate Scene Text Recognition.,2023,"Chuhui Xue, Jiaxing Huang, Wenqing Zhang, Shijian Lu, Changhu Wang, Song Bai",IEEE Trans. Pattern Anal. Mach. Intell. 45: 12908-12921 ,PAMI,Unranked
4,Audio-driven talking face generation with diverse yet realistic facial animations.,2023,"Rongliang Wu, Yingchen Yu, Fangneng Zhan, Jiahui Zhang, Xiaoqin Zhang, Shijian Lu",Pattern Recognit. 144: 109865 ,PR,Unranked
5,Cross-Domain Facial Expression Recognition via Contrastive Warm up and Complexity-Aware Self-Training.,2023,"Yingjian Li, Jiaxing Huang, Shijian Lu, Zheng Zhang, Guangming Lu",IEEE Trans. Image Process. 32: 5438-5450 ,TIP,Unranked
6,Learning Disentangled Representation Implicitly Via Transformer for Occluded Person Re-Identification.,2023,"Mengxi Jia, Xinhua Cheng, Shijian Lu, Jian Zhang",IEEE Trans. Multim. 25: 1294-1305 ,TMM,Unranked
7,Class-Independent Regularization for Learning with Noisy Labels.,2023,"Rumeng Yi, Dayan Guan, Yaping Huang, Shijian Lu",AAAI 2023: 3276-3284,AAAI,A*
8,Face Transformer: Towards High Fidelity and Accurate Face Swapping.,2023,"Kaiwen Cui, Rongliang Wu, Fangneng Zhan, Shijian Lu",CVPR Workshops 2023: 668-677,CVPR,A*
9,KD-DLGAN: Data Limited Image Generation via Knowledge Distillation.,2023,"Kaiwen Cui, Yingchen Yu, Fangneng Zhan, Shengcai Liao, Shijian Lu, Eric P. Xing",CVPR 2023: 3872-3882,CVPR,A*
10,Towards Efficient Use of Multi-Scale Features in Transformer-Based Object Detectors.,2023,"Gongjie Zhang, Zhipeng Luo, Zichen Tian, Jingyi Zhang, Xiaoqin Zhang, Shijian Lu",CVPR 2023: 6206-6216,CVPR,A*
11,StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields.,2023,"Kunhao Liu, Fangneng Zhan, Yiwen Chen, Jiahui Zhang, Yingchen Yu, Abdulmotaleb El-Saddik, Shijian Lu, Eric P. Xing",CVPR 2023: 8338-8348,CVPR,A*
12,3D Semantic Segmentation in the Wild: Learning Generalized Models for Adverse-Condition Point Clouds.,2023,"Aoran Xiao, Jiaxing Huang, Weihao Xuan, Ruijie Ren, Kangcheng Liu, Dayan Guan, Abdulmotaleb El-Saddik, Shijian Lu, Eric P. Xing",CVPR 2023: 9382-9392,CVPR,A*
13,FAC: 3D Representation Learning via Foreground Aware Feature Contrast.,2023,"Kangcheng Liu, Aoran Xiao, Xiaoqin Zhang, Shijian Lu, Ling Shao",CVPR 2023: 9476-9485,CVPR,A*
14,UniDAformer: Unified Domain Adaptive Panoptic Segmentation Transformer via Hierarchical Mask Calibration.,2023,"Jingyi Zhang, Jiaxing Huang, Xiaoqin Zhang, Shijian Lu",CVPR 2023: 11227-11237,CVPR,A*
15,Backdoor Attacks Against Deep Image Compression via Adaptive Frequency Trigger.,2023,"Yi Yu, Yufei Wang, Wenhan Yang, Shijian Lu, Yap-Peng Tan, Alex C. Kot",CVPR 2023: 12250-12259,CVPR,A*
16,Regularized Vector Quantization for Tokenized Image Synthesis.,2023,"Jiahui Zhang, Fangneng Zhan, Christian Theobalt, Shijian Lu",CVPR 2023: 18467-18476,CVPR,A*
17,DA-DETR: Domain Adaptive Detection Transformer with Information Fusion.,2023,"Jingyi Zhang, Jiaxing Huang, Zhipeng Luo, Gongjie Zhang, Xiaoqin Zhang, Shijian Lu",CVPR 2023: 23787-23798,CVPR,A*
18,TransPillars: Coarse-to-Fine Aggregation for Multi-Frame 3D Object Detection.,2023,"Zhipeng Luo, Gongjie Zhang, Changqing Zhou, Tianrui Liu, Shijian Lu, Liang Pan",WACV 2023: 4219-4228,WACV,A
19,Backdoor Attacks Against Deep Image Compression via Adaptive Frequency Trigger.,2023,"Yi Yu, Yufei Wang, Wenhan Yang, Shijian Lu, Yap-Peng Tan, Alex C. Kot",CoRR abs/2302.14677 ,CORR,Unranked
20,FAC: 3D Representation Learning via Foreground Aware Feature Contrast.,2023,"Kangcheng Liu, Aoran Xiao, Xiaoqin Zhang, Shijian Lu, Ling Shao",CoRR abs/2303.06388 ,CORR,Unranked
21,Regularized Vector Quantization for Tokenized Image Synthesis.,2023,"Jiahui Zhang, Fangneng Zhan, Christian Theobalt, Shijian Lu",CoRR abs/2303.06424 ,CORR,Unranked
22,Modeling Continuous Motion for 3D Point Cloud Object Tracking.,2023,"Zhipeng Luo, Gongjie Zhang, Changqing Zhou, Zhonghua Wu, Qingyi Tao, Lewei Lu, Shijian Lu",CoRR abs/2303.07605 ,CORR,Unranked
23,StyleRF: Zero-shot 3D Style Transfer of Neural Radiance Fields.,2023,"Kunhao Liu, Fangneng Zhan, Yiwen Chen, Jiahui Zhang, Yingchen Yu, Abdulmotaleb El-Saddik, Shijian Lu, Eric P. Xing",CoRR abs/2303.10598 ,CORR,Unranked
24,KD-DLGAN: Data Limited Image Generation via Knowledge Distillation.,2023,"Kaiwen Cui, Yingchen Yu, Fangneng Zhan, Shengcai Liao, Shijian Lu, Eric P. Xing",CoRR abs/2303.17158 ,CORR,Unranked
25,Vision-Language Models for Vision Tasks: A Survey.,2023,"Jingyi Zhang, Jiaxing Huang, Sheng Jin, Shijian Lu",CoRR abs/2304.00685 ,CORR,Unranked
26,3D Semantic Segmentation in the Wild: Learning Generalized Models for Adverse-Condition Point Clouds.,2023,"Aoran Xiao, Jiaxing Huang, Weihao Xuan, Ruijie Ren, Kangcheng Liu, Dayan Guan, Abdulmotaleb El-Saddik, Shijian Lu, Eric P. Xing",CoRR abs/2304.00690 ,CORR,Unranked
27,Face Transformer: Towards High Fidelity and Accurate Face Swapping.,2023,"Kaiwen Cui, Rongliang Wu, Fangneng Zhan, Shijian Lu",CoRR abs/2304.02530 ,CORR,Unranked
28,Self-Supervised 3D Action Representation Learning with Skeleton Cloud Colorization.,2023,"Siyuan Yang, Jun Liu, Shijian Lu, Meng Hwa Er, Yongjian Hu, Alex C. Kot",CoRR abs/2304.08799 ,CORR,Unranked
29,POCE: Pose-Controllable Expression Editing.,2023,"Rongliang Wu, Yingchen Yu, Fangneng Zhan, Jiahui Zhang, Shengcai Liao, Shijian Lu",CoRR abs/2304.08938 ,CORR,Unranked
30,Audio-Driven Talking Face Generation with Diverse yet Realistic Facial Animations.,2023,"Rongliang Wu, Yingchen Yu, Fangneng Zhan, Jiahui Zhang, Xiaoqin Zhang, Shijian Lu",CoRR abs/2304.08945 ,CORR,Unranked
31,3D Open-vocabulary Segmentation with Foundation Models.,2023,"Kunhao Liu, Fangneng Zhan, Jiahui Zhang, Muyu Xu, Yingchen Yu, Abdulmotaleb El-Saddik, Christian Theobalt, Eric P. Xing, Shijian Lu",CoRR abs/2305.14093 ,CORR,Unranked
32,A Survey of Label-Efficient Deep Learning for 3D Point Clouds.,2023,"Aoran Xiao, Xiaoqin Zhang, Ling Shao, Shijian Lu",CoRR abs/2305.19812 ,CORR,Unranked
33,Online Map Vectorization for Autonomous Driving: A Rasterization Perspective.,2023,"Gongjie Zhang, Jiahao Lin, Shuang Wu, Yilin Song, Zhipeng Luo, Yang Xue, Shijian Lu, Zuoguan Wang",CoRR abs/2306.10502 ,CORR,Unranked
34,Prompt Ensemble Self-training for Open-Vocabulary Domain Adaptation.,2023,"Jiaxing Huang, Jingyi Zhang, Han Qiu, Sheng Jin, Shijian Lu",CoRR abs/2306.16658 ,CORR,Unranked
35,One-Shot Action Recognition via Multi-Scale Spatial-Temporal Skeleton Matching.,2023,"Siyuan Yang, Jun Liu, Shijian Lu, Meng Hwa Er, Alex C. Kot",CoRR abs/2307.07286 ,CORR,Unranked
36,WaveNeRF: Wavelet-based Generalizable Neural Radiance Fields.,2023,"Muyu Xu, Fangneng Zhan, Jiahui Zhang, Yingchen Yu, Xiaoqin Zhang, Christian Theobalt, Ling Shao, Shijian Lu",CoRR abs/2308.04826 ,CORR,Unranked
37,Black-box Unsupervised Domain Adaptation with Bi-directional Atkinson-Shiffrin Memory.,2023,"Jingyi Zhang, Jiaxing Huang, Xueying Jiang, Shijian Lu",CoRR abs/2308.13236 ,CORR,Unranked
38,Pose-Free Neural Radiance Fields via Implicit Pose Regularization.,2023,"Jiahui Zhang, Fangneng Zhan, Yingchen Yu, Kunhao Liu, Rongliang Wu, Xiaoqin Zhang, Ling Shao, Shijian Lu",CoRR abs/2308.15049 ,CORR,Unranked
39,Domain Generalization via Balancing Training Difficulty and Model Capability.,2023,"Xueying Jiang, Jiaxing Huang, Sheng Jin, Shijian Lu",CoRR abs/2309.00844 ,CORR,Unranked
40,Bridging Semantic Gaps for Language-Supervised Semantic Segmentation.,2023,"Yun Xing, Jian Kang, Aoran Xiao, Jiahao Nie, Ling Shao, Shijian Lu",CoRR abs/2309.13505 ,CORR,Unranked
41,Noise-Tolerant Unsupervised Adapter for Vision-Language Models.,2023,"Eman Ali, Dayan Guan, Shijian Lu, Abdulmotaleb Elsaddik",CoRR abs/2309.14928 ,CORR,Unranked
