,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Fast and Correct Gradient-Based Optimisation for Probabilistic Programming via Smoothing.,2023,"Basim Khajwal, C.-H. Luke Ong, Dominik Wagner",ESOP 2023: 479-506,ESOP,A
1,Fast and Correct Gradient-Based Optimisation for Probabilistic Programming via Smoothing.,2023,"Basim Khajwal, C.-H. Luke Ong, Dominik Wagner",CoRR abs/2301.03415 ,CORR,Unranked
2,Exact Bayesian Inference on Discrete Models via Probability Generating Functions: A Probabilistic Programming Approach.,2023,"Fabian Zaiser, Andrzej S. Murawski, Luke Ong",CoRR abs/2305.17058 ,CORR,Unranked
3,Template-Based Static Posterior Inference for Bayesian Probabilistic Programming.,2023,"Peixin Wang, Hongfei Fu, Tengshun Yang, Guanyan Li, Luke Ong",CoRR abs/2307.13160 ,CORR,Unranked
4,Nonparametric Involutive Markov Chain Monte Carlo.,2022,"Carol Mak, Fabian Zaiser, Luke Ong",ICML 2022: 14802-14859,ICML,A*
5,Probabilistic Verification Beyond Context-Freeness.,2022,"Guanyan Li, Andrzej S. Murawski, Luke Ong",LICS 2022: 33:1-33:13,LICS,A*
6,Rethinking Variational Inference for Probabilistic Programs with Stochastic Support.,2022,"Tim Reichelt, Luke Ong, Thomas Rainforth",NeurIPS 2022,NIPS,Unranked
7,CycleQ: an efficient basis for cyclic equational reasoning.,2022,"Eddie Jones, C.-H. Luke Ong, Steven J. Ramsay",PLDI 2022: 395-409,PLDI,A*
8,Guaranteed bounds for posterior inference in universal probabilistic programming.,2022,"Raven Beutner, C.-H. Luke Ong, Fabian Zaiser",PLDI 2022: 536-551,PLDI,A*
9,Expectation programming: Adapting probabilistic programming systems to estimate expectations efficiently.,2022,"Tim Reichelt, Adam Golinski, Luke Ong, Tom Rainforth",UAI 2022: 1676-1685,UAI,A
10,Guaranteed Bounds for Posterior Inference in Universal Probabilistic Programming.,2022,"Raven Beutner, Luke Ong, Fabian Zaiser",CoRR abs/2204.02948 ,CORR,Unranked
11,Nonparametric Involutive Markov Chain Monte Carlo.,2022,"Carol Mak, Fabian Zaiser, Luke Ong",CoRR abs/2211.01100 ,CORR,Unranked
12,Higher-order Recursion Schemes and Collapsible Pushdown Automata: Logical Properties.,2021,"Christopher H. Broadbent, Arnaud Carayol, C.-H. Luke Ong, Olivier Serre",ACM Trans. Comput. Log. 22: 12:1-12:37 ,TOCL,Unranked
13,Collapsible Pushdown Parity Games.,2021,"Christopher H. Broadbent, Arnaud Carayol, Matthew Hague, Andrzej S. Murawski, C.-H. Luke Ong, Olivier Serre",ACM Trans. Comput. Log. 22: 16:1-16:51 ,TOCL,Unranked
