,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Toward a Comprehensive Evaluation on the Online Methods for Monitoring Transformer Turn-to-Turn Faults.,2024,"Xi Ouyang, Quan Zhou, Hujun Shang, Yuping Zheng, Shuyan Pan, Jun Luo",IEEE Trans. Ind. Electron. 71: 1997-2007 ,TIE,Unranked
1,ISACoT: Integrating Sensing with Data Traffic for Ubiquitous IoT Devices.,2023,"Zhe Chen, Tianyue Zheng, Chao Hu, Hangcheng Cao, Yanbing Yang, Hongbo Jiang, Jun Luo",IEEE Commun. Mag. 61: 98-104 ,CM,Unranked
2,EarAcE: Empowering Versatile Acoustic Sensing via Earable Active Noise Cancellation Platform.,2023,"Yetong Cao, Chao Cai, Anbo Yu, Fan Li, Jun Luo",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. 7: 47:1-47:23 ,IMWUT,Unranked
3,PupilHeart: Heart Rate Variability Monitoring via Pupillary Fluctuations on Mobile Devices.,2023,"Xiangyu Shen, Hongbo Jiang, Daibo Liu, Kehua Yang, Feiyang Deng, Taiyuan Zhang, Zhu Xiao, John C. S. Lui, Jiangchuan Liu, Schahram Dustdar, Jun Luo",IEEE Internet Things J. 10: 18042-18053 ,IOTJ,Unranked
4,RF-Based Human Activity Recognition Using Signal Adapted Convolutional Neural Network.,2023,"Zhe Chen, Chao Cai, Tianyue Zheng, Jun Luo, Jie Xiong, Xin Wang",IEEE Trans. Mob. Comput. 22: 487-499 ,TMC,Unranked
5,Acoustic Software Defined Platform: A Versatile Sensing and General Benchmarking Platform.,2023,"Chao Cai, Henglin Pu, Menglan Hu, Rong Zheng, Jun Luo",IEEE Trans. Mob. Comput. 22: 647-660 ,TMC,Unranked
6,"Active Acoustic Sensing for ""Hearing"" Temperature Under Acoustic Interference.",2023,"Chao Cai, Henglin Pu, Liyuan Ye, Hongbo Jiang, Jun Luo",IEEE Trans. Mob. Comput. 22: 661-673 ,TMC,Unranked
7,Catch Your Breath: Simultaneous RF Tracking and Respiration Monitoring With Radar Pairs.,2023,"Tianyue Zheng, Zhe Chen, Shujie Zhang, Jun Luo",IEEE Trans. Mob. Comput. 22: 6283-6296 ,TMC,Unranked
8,PURE: Passive Multi-Person Identification via Footstep for Mobile Service Networks.,2023,"Chao Cai, Ruinan Jin, Jiangtian Nie, Jiawen Kang, Yang Zhang, Jun Luo",IEEE Trans. Veh. Technol. 72: 12221-12233 ,TVT,Unranked
9,HeartPrint: Passive Heart Sounds Authentication Exploiting In-Ear Microphones.,2023,"Yetong Cao, Chao Cai, Fan Li, Zhe Chen, Jun Luo",INFOCOM 2023: 1-10,INFOCOM,A*
10,Wider is Better? Contact-free Vibration Sensing via Different COTS-RF Technologies.,2023,"Zhe Chen, Tianyue Zheng, Chao Cai, Yue Gao, Pengfei Hu, Jun Luo",INFOCOM 2023: 1-10,INFOCOM,A*
11,AutoFed: Heterogeneity-Aware Federated Multimodal Learning for Robust Autonomous Driving.,2023,"Tianyue Zheng, Ang Li, Zhe Chen, Hongbo Wang, Jun Luo",MobiCom 2023: 15:1-15:15,MOBICOM,A*
12,AutoFed: Heterogeneity-Aware Federated Multimodal Learning for Robust Autonomous Driving.,2023,"Tianyue Zheng, Ang Li, Zhe Chen, Hongbo Wang, Jun Luo",CoRR abs/2302.08646 ,CORR,Unranked
13,Multi-band Reconfigurable Holographic Surface Based ISAC Systems: Design and Optimization.,2023,"Jingzhi Hu, Zhe Chen, Jun Luo",CoRR abs/2303.15686 ,CORR,Unranked
14,OCHID-Fi: Occlusion-Robust Hand Pose Estimation in 3D via RF-Vision.,2023,"Shujie Zhang, Tianyue Zheng, Zhe Chen, Jingzhi Hu, Abdelwahed Khamis, Jiajun Liu, Jun Luo",CoRR abs/2308.10146 ,CORR,Unranked
15,MIMOCrypt: Multi-User Privacy-Preserving Wi-Fi Sensing via MIMO Encryption.,2023,"Jun Luo, Hangcheng Cao, Hongbo Jiang, Yanbing Yang, Zhe Chen",CoRR abs/2309.00250 ,CORR,Unranked
16,Ubiquitous Acoustic Sensing on Commodity IoT Devices: A Survey.,2022,"Chao Cai, Rong Zheng, Jun Luo",IEEE Commun. Surv. Tutorials 24: 432-454 ,COMSUR,Unranked
17,No Perfect Outdoors: Towards a Deep Profiling of GNSS-Based Location Contexts.,2022,"Jin Wang, Jun Luo",Future Internet 14: 7 ,FI,Unranked
18,Stop Deceiving! An Effective Defense Scheme Against Voice Impersonation Attacks on Smart Devices.,2022,"Wenbin Huang, Wenjuan Tang, Hongbo Jiang, Jun Luo, Yaoxue Zhang",IEEE Internet Things J. 9: 5304-5314 ,IOTJ,Unranked
19,PupilRec: Leveraging Pupil Morphology for Recommending on Smartphones.,2022,"Xiangyu Shen, Hongbo Jiang, Daibo Liu, Kehua Yang, Feiyang Deng, John C. S. Lui, Jiangchuan Liu, Schahram Dustdar, Jun Luo",IEEE Internet Things J. 9: 15538-15553 ,IOTJ,Unranked
20,Person Tracking by Detection Using Dual Visible-Infrared Cameras.,2022,"Xuewen Geng, Minglei Li, Wenping Liu, Shengkai Zhu, Hongbo Jiang, Jiawen Bian, Xuezhi Fan, Ruiqing Peng, Jun Luo",IEEE Internet Things J. 9: 23241-23251 ,IOTJ,Unranked
21,A Lightweight Approach for Passive Human Localization Using an Infrared Thermal Camera.,2022,"Xuewen Geng, Ruiqing Peng, Minglei Li, Wenping Liu, Guoyin Jiang, Hongbo Jiang, Jun Luo",IEEE Internet Things J. 9: 24800-24811 ,IOTJ,Unranked
22,Boosting Chirp Signal Based Aerial Acoustic Communication Under Dynamic Channel Conditions.,2022,"Chao Cai, Zhe Chen, Jun Luo, Henglin Pu, Menglan Hu, Rong Zheng",IEEE Trans. Mob. Comput. 21: 3110-3121 ,TMC,Unranked
23,Low Rank Matrix Approximation for 3D Geometry Filtering.,2022,"Xuequan Lu, Scott Schaefer, Jun Luo, Lizhuang Ma, Ying He",IEEE Trans. Vis. Comput. Graph. 28: 1835-1847 ,TVCG,Unranked
24,Sound of Motion: Real-time Wrist Tracking with A Smart Watch-Phone Pair.,2022,"Tianyue Zheng, Chao Cai, Zhe Chen, Jun Luo",INFOCOM 2022: 110-119,INFOCOM,A*
25,Can We Obtain Fine-grained Heartbeat Waveform via Contact-free RF-sensing?,2022,"Shujie Zhang, Tianyue Zheng, Zhe Chen, Jun Luo",INFOCOM 2022: 1759-1768,INFOCOM,A*
26,Integrating monostatic sensing with communication for IoT.,2022,"Zhe Chen, Tianyue Zheng, Chao Hu, Hangcheng Cao, Yanbing Yang, Hongbo Jiang, Jun Luo",ISACom@MobiCom 2022: 43-48,MOBICOM,A*
27,CORE-lens: simultaneous communication and object recognition with disentangled-GAN cameras.,2022,"Ziwei Liu, Tianyue Zheng, Chao Hu, Yanbing Yang, Yimao Sun, Yi Zhang, Zhe Chen, Liangyin Chen, Jun Luo",MobiCom 2022: 172-185,MOBICOM,A*
28,Quantifying the Physical Separability of RF-Based Multi-Person Respiration Monitoring via SINR.,2022,"Shujie Zhang, Tianyue Zheng, Hongbo Wang, Zhe Chen, Jun Luo",SenSys 2022: 47-60,SENSYS,A*
29,Enhancing RF Sensing with Deep Learning: A Layered Approach.,2021,"Tianyue Zheng, Zhe Chen, Shuya Ding, Jun Luo",IEEE Commun. Mag. 59: 70-76 ,CM,Unranked
30,AI and machine learning for the analysis of data flow characteristics in industrial network communication security.,2021,"Zhi Xu, Jun Luo, Xin Wang, JiaHai Zhang, Mamoun Alazab, Vicente García-Díaz",Int. J. Ad Hoc Ubiquitous Comput. 37: 125-136 ,IJAHUC,Unranked
31,We Hear Your PACE: Passive Acoustic Localization of Multiple Walking Persons.,2021,"Chao Cai, Henglin Pu, Peng Wang, Zhe Chen, Jun Luo",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. 5: 55:1-55:24 ,IMWUT,Unranked
32,Finding Group Steiner Trees in Graphs with both Vertex and Edge Weights.,2021,"Yahui Sun, Xiaokui Xiao, Bin Cui, Saman K. Halgamuge, Theodoros Lappas, Jun Luo",Proc. VLDB Endow. 14: 1137-1149 ,PVLDB,Unranked
33,Towards Robust Multiple Blind Source Localization Using Source Separation and Beamforming.,2021,"Henglin Pu, Chao Cai, Menglan Hu, Tianping Deng, Rong Zheng, Jun Luo",Sensors 21: 532 ,SENSORS,Unranked
34,A Meta-learning Based Multimodal Neural Network for Multistep Ahead Battery Thermal Runaway Forecasting.,2021,"Shuya Ding, Chaoyu Dong, Tianyang Zhao, Liang Mong Koh, Xiaoyin Bai, Jun Luo",IEEE Trans. Ind. Informatics 17: 4503-4511 ,TII,Unranked
35,$M^3$M3: Multipath Assisted Wi-Fi Localization with a Single Access Point.,2021,"Zhe Chen, Guorong Zhu, Sulei Wang, Yuedong Xu, Jie Xiong, Jin Zhao, Jun Luo, Xin Wang",IEEE Trans. Mob. Comput. 20: 588-602 ,TMC,Unranked
36,Pushing the Data Rate of Practical VLC via Combinatorial Light Emission.,2021,"Yanbing Yang, Jun Luo, Chen Chen, Zequn Chen, Wen-De Zhong, Liangyin Chen",IEEE Trans. Mob. Comput. 20: 1979-1992 ,TMC,Unranked
37,SST: Software Sonic Thermometer on Acoustic-Enabled IoT Devices.,2021,"Chao Cai, Henglin Pu, Menglan Hu, Rong Zheng, Jun Luo",IEEE Trans. Mob. Comput. 20: 2067-2079 ,TMC,Unranked
38,A Multi-Leader Multi-Follower Game-Based Analysis for Incentive Mechanisms in Socially-Aware Mobile Crowdsensing.,2021,"Jiangtian Nie, Jun Luo, Zehui Xiong, Dusit Niyato, Ping Wang, H. Vincent Poor",IEEE Trans. Wirel. Commun. 20: 1457-1471 ,TWC,Unranked
39,SiWa: see into walls via deep UWB radar.,2021,"Tianyue Zheng, Zhe Chen, Jun Luo, Lin Ke, Chaoyang Zhao, Yaowen Yang",MobiCom 2021: 323-336,MOBICOM,A*
40,MoVi-Fi: motion-robust vital signs waveform recovery via deep interpreted RF sensing.,2021,"Zhe Chen, Tianyue Zheng, Chao Cai, Jun Luo",MobiCom 2021: 392-405,MOBICOM,A*
41,Octopus: a practical and versatile wideband MIMO sensing platform.,2021,"Zhe Chen, Tianyue Zheng, Jun Luo",MobiCom 2021: 601-614,MOBICOM,A*
42,MoRe-Fi: Motion-robust and Fine-grained Respiration Monitoring via Deep-Learning UWB Radar.,2021,"Tianyue Zheng, Zhe Chen, Shujie Zhang, Chao Cai, Jun Luo",SenSys 2021: 111-124,SENSYS,A*
43,Multi-Leader Multi-Follower Game-based Incentive Scheme for Socially-Aware Mobile Crowdsensing.,2021,"Jiangtian Nie, Jun Luo, Zehui Xiong, Dusit Niyato, Ping Wang, Yang Zhang",WCNC 2021: 1-6,WCNC,B
44,PURE: Passive mUlti-peRson idEntification via Deep Footstep Separation and Recognition.,2021,"Chao Cai, Ruinan Jin, Peng Wang, Liyuan Ye, Hongbo Jiang, Jun Luo",CoRR abs/2104.07177 ,CORR,Unranked
45,SiWa: See into Walls via Deep UWB Radar.,2021,"Tianyue Zheng, Zhe Chen, Jun Luo, Lin Ke, Chaoyang Zhao, Yaowen Yang",CoRR abs/2110.14279 ,CORR,Unranked
