,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Distributed Graph Embedding with Information-Oriented Random Walks.,2023,"Peng Fang, Arijit Khan, Siqiang Luo, Fang Wang, Dan Feng, Zhenli Li, Wei Yin, Yuchao Cao",Proc. VLDB Endow. 16: 1643-1656 ,PVLDB,Unranked
1,Effective and Efficient Route Planning Using Historical Trajectories on Road Networks.,2023,"Wei Tian, Jieming Shi, Siqiang Luo, Hui Li, Xike Xie, Yuanhang Zou",Proc. VLDB Endow. 16: 2512-2524 ,PVLDB,Unranked
2,"Machine Learning for Subgraph Extraction: Methods, Applications and Challenges.",2023,"Kai Siong Yow, Ningyi Liao, Siqiang Luo, Reynold Cheng",Proc. VLDB Endow. 16: 3864-3867 ,PVLDB,Unranked
3,Single-Source Personalized PageRanks With Workload Robustness.,2023,"Dingheng Mo, Siqiang Luo",IEEE Trans. Knowl. Data Eng. 35: 6320-6334 ,TKDE,Unranked
4,Efficient Community Search in Edge-Attributed Graphs.,2023,"Ling Li, Yuhai Zhao, Siqiang Luo, Guoren Wang, Zhengkui Wang",IEEE Trans. Knowl. Data Eng. 35: 10790-10806 ,TKDE,Unranked
5,Deep Graph Structural Infomax.,2023,"Wenting Zhao, Gongping Xu, Zhen Cui, Siqiang Luo, Cheng Long, Tong Zhang",AAAI 2023: 4920-4928,AAAI,A*
6,Multi-Task Processing in Vertex-Centric Graph Systems: Evaluations and Insights.,2023,"Siqiang Luo, Zichen Zhu, Xiaokui Xiao, Yin Yang, Chunbo Li, Ben Kao",EDBT 2023: 247-259,EDBT,A
7,COCLEP: Contrastive Learning-based Semi-Supervised Community Search.,2023,"Ling Li, Siqiang Luo, Yuhai Zhao, Caihua Shan, Zhengkui Wang, Lu Qin",ICDE 2023: 2483-2495,ICDE,A*
8,Example Searcher: A Spatial Query System via Example.,2023,"Jun Xuan Yew, Ningyi Liao, Dingheng Mo, Siqiang Luo",ICDE 2023: 3635-3638,ICDE,A*
9,Less is More: Towards Lightweight Cost Estimator for Database Systems.,2023,"Weiping Yu, Siqiang Luo",CoRR abs/2303.10983 ,CORR,Unranked
10,Distributed Graph Embedding with Information-Oriented Random Walks.,2023,"Peng Fang, Arijit Khan, Siqiang Luo, Fang Wang, Dan Feng, Zhenli Li, Wei Yin, Yuchao Cao",CoRR abs/2303.15702 ,CORR,Unranked
11,Massively Parallel Single-Source SimRanks in o(log n) Rounds.,2023,"Siqiang Luo, Zulun Zhu",CoRR abs/2304.04015 ,CORR,Unranked
12,SIMGA: A Simple and Effective Heterophilous Graph Neural Network with Efficient Global Aggregation.,2023,"Haoyu Liu, Ningyi Liao, Siqiang Luo",CoRR abs/2305.09958 ,CORR,Unranked
13,River of No Return: Graph Percolation Embeddings for Efficient Knowledge Graph Reasoning.,2023,"Kai Wang, Siqiang Luo, Dan Lin",CoRR abs/2305.09974 ,CORR,Unranked
