,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A brief survey on recent advances in coreference resolution.,2023,"Ruicheng Liu, Rui Mao, Anh Tuan Luu, Erik Cambria",Artif. Intell. Rev. 56: 14439-14481 ,AIR,Unranked
1,A contrastive learning framework for Event Detection via semantic type prototype representation modelling.,2023,"Anran Hao, Anh Tuan Luu, Siu Cheung Hui, Jian Su",Neurocomputing 556: 126613 ,IJON,Unranked
2,Benchmarking Graph Neural Networks.,2023,"Vijay Prakash Dwivedi, Chaitanya K. Joshi, Anh Tuan Luu, Thomas Laurent, Yoshua Bengio, Xavier Bresson",J. Mach. Learn. Res. 24: 43:1-43:48 ,JMLR,Unranked
3,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Nguyen, Chaoqun Liu, Liangming Pan, Anh Tuan Luu",AAAI 2023: 13763-13771,AAAI,A*
4,Gradient-Boosted Decision Tree for Listwise Context Model in Multimodal Review Helpfulness Prediction.,2023,"Thong Nguyen, Xiaobao Wu, Xinshuai Dong, Cong-Duy Nguyen, Zhen Hai, Lidong Bing, Anh Tuan Luu",ACL  2023: 1670-1696,ACL,A*
5,Zero-Shot Text Classification via Self-Supervised Tuning.,2023,"Chaoqun Liu, Wenxuan Zhang, Guizhen Chen, Xiaobao Wu, Anh Tuan Luu, Chip-Hong Chang, Lidong Bing",ACL  2023: 1743-1761,ACL,A*
6,Fact-Checking Complex Claims with Program-Guided Reasoning.,2023,"Liangming Pan, Xiaobao Wu, Xinyuan Lu, Anh Tuan Luu, William Yang Wang, Min-Yen Kan, Preslav Nakov",ACL  2023: 6981-7004,ACL,A*
7,Jointprop: Joint Semi-supervised Learning for Entity and Relation Extraction with Heterogeneous Graph-based Propagation.,2023,"Yandan Zheng, Anran Hao, Anh Tuan Luu",ACL  2023: 14541-14555,ACL,A*
8,Unlocking the Potential of User Feedback: Leveraging Large Language Model as User Simulators to Enhance Dialogue System.,2023,"Zhiyuan Hu, Yue Feng, Anh Tuan Luu, Bryan Hooi, Aldo Lipani",CIKM 2023: 3953-3957,CIKM,A
9,Using Punctuation as an Adversarial Attack on Deep Learning-Based NLP Systems: An Empirical Study.,2023,"Brian Formento, Chuan-Sheng Foo, Anh Tuan Luu, See-Kiong Ng",EACL  2023: 1-34,EACL,A
10,Effective Neural Topic Modeling with Embedding Clustering Regularization.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Thanh Nguyen, Anh Tuan Luu",ICML 2023: 37335-37357,ICML,A*
11,Knowledge Bases and Language Models: Complementing Forces.,2023,"Fabian M. Suchanek, Anh Tuan Luu",RuleML+RR 2023: 3-15,RULEMLRR,Unranked
12,Towards Interpretable Federated Learning.,2023,"Anran Li, Rui Liu, Ming Hu, Luu Anh Tuan, Han Yu",CoRR abs/2302.13473 ,CORR,Unranked
13,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Nguyen, Chaoqun Liu, Liangming Pan, Anh Tuan Luu",CoRR abs/2304.03544 ,CORR,Unranked
14,Prompt as Triggers for Backdoor Attack: Examining the Vulnerability in Language Models.,2023,"Shuai Zhao, Jinming Wen, Luu Anh Tuan, Junbo Zhao, Jie Fu",CoRR abs/2305.01219 ,CORR,Unranked
15,Zero-Shot Text Classification via Self-Supervised Tuning.,2023,"Chaoqun Liu, Wenxuan Zhang, Guizhen Chen, Xiaobao Wu, Anh Tuan Luu, Chip-Hong Chang, Lidong Bing",CoRR abs/2305.11442 ,CORR,Unranked
16,Gradient-Boosted Decision Tree for Listwise Context Model in Multimodal Review Helpfulness Prediction.,2023,"Thong Nguyen, Xiaobao Wu, Xinshuai Dong, Anh Tuan Luu, Cong-Duy Nguyen, Zhen Hai, Lidong Bing",CoRR abs/2305.12678 ,CORR,Unranked
17,Fact-Checking Complex Claims with Program-Guided Reasoning.,2023,"Liangming Pan, Xiaobao Wu, Xinyuan Lu, Anh Tuan Luu, William Yang Wang, Min-Yen Kan, Preslav Nakov",CoRR abs/2305.12744 ,CORR,Unranked
18,Jointprop: Joint Semi-supervised Learning for Entity and Relation Extraction with Heterogeneous Graph-based Propagation.,2023,"Yandan Zheng, Anran Hao, Anh Tuan Luu",CoRR abs/2305.15872 ,CORR,Unranked
19,Effective Neural Topic Modeling with Embedding Clustering Regularization.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Nguyen, Anh Tuan Luu",CoRR abs/2306.04217 ,CORR,Unranked
20,Unlocking the Potential of User Feedback: Leveraging Large Language Model as User Simulator to Enhance Dialogue System.,2023,"Zhiyuan Hu, Yue Feng, Anh Tuan Luu, Bryan Hooi, Aldo Lipani",CoRR abs/2306.09821 ,CORR,Unranked
21,Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models.,2023,"Yue Zhang, Yafu Li, Leyang Cui, Deng Cai, Lemao Liu, Tingchen Fu, Xinting Huang, Enbo Zhao, Yu Zhang, Yulong Chen, Longyue Wang, Anh Tuan Luu, Wei Bi, Freda Shi, Shuming Shi",CoRR abs/2309.01219 ,CORR,Unranked
22,Towards the TopMost: A Topic Modeling System Toolkit.,2023,"Xiaobao Wu, Fengjun Pan, Anh Tuan Luu",CoRR abs/2309.06908 ,CORR,Unranked
23,Enhancing Large Language Model Induced Task-Oriented Dialogue Systems Through Look-Forward Motivated Goals.,2023,"Zhiyuan Hu, Yue Feng, Yang Deng, Zekun Li, See-Kiong Ng, Anh Tuan Luu, Bryan Hooi",CoRR abs/2309.08949 ,CORR,Unranked
24,Rethinking Negative Pairs in Code Search.,2023,"Haochen Li, Xin Zhou, Luu Anh Tuan, Chunyan Miao",CoRR abs/2310.08069 ,CORR,Unranked
25,Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation.,2022,"Thong Thanh Nguyen, Anh Tuan Luu",AAAI 2022: 11103-11111,AAAI,A*
26,Is Discourse Role Important for Emotion Recognition in Conversation?,2022,"Donovan Ong, Jian Su, Bin Chen, Anh Tuan Luu, Ashok Narendranath, Yue Li, Shuqi Sun, Yingzhan Lin, Haifeng Wang",AAAI 2022: 11121-11129,AAAI,A*
27,Mitigating Data Sparsity for Short Text Topic Modeling by Topic-Semantic Contrastive Learning.,2022,"Xiaobao Wu, Anh Tuan Luu, Xinshuai Dong",EMNLP 2022: 2748-2760,EMNLP,A*
28,Textual Manifold-based Defense Against Natural Language Adversarial Examples.,2022,"Dang Nguyen Minh, Anh Tuan Luu",EMNLP 2022: 6612-6625,EMNLP,A*
29,Adaptive Contrastive Learning on Multimodal Transformer for Review Helpfulness Prediction.,2022,"Thong Nguyen, Xiaobao Wu, Anh Tuan Luu, Zhen Hai, Lidong Bing",EMNLP 2022: 10085-10096,EMNLP,A*
30,Graph Neural Networks with Learnable Structural and Positional Representations.,2022,"Vijay Prakash Dwivedi, Anh Tuan Luu, Thomas Laurent, Yoshua Bengio, Xavier Bresson",ICLR 2022,ICLR,A*
31,Certified Robustness Against Natural Language Attacks by Causal Intervention.,2022,"Haiteng Zhao, Chang Ma, Xinshuai Dong, Anh Tuan Luu, Zhi-Hong Deng, Hanwang Zhang",ICML 2022: 26958-26970,ICML,A*
32,Audio-Visual Domain Adaptation Feature Fusion for Speech Emotion Recognition.,2022,"Jie Wei, Guanyu Hu, Xinyu Yang, Anh Tuan Luu, Yizhuo Dong",INTERSPEECH 2022: 1988-1992,INTERSPEECH,Unranked
33,Long Range Graph Benchmark.,2022,"Vijay Prakash Dwivedi, Ladislav Rampásek, Michael Galkin, Ali Parviz, Guy Wolf, Anh Tuan Luu, Dominique Beaini",NeurIPS 2022,NIPS,Unranked
34,"Recipe for a General, Powerful, Scalable Graph Transformer.",2022,"Ladislav Rampásek, Michael Galkin, Vijay Prakash Dwivedi, Anh Tuan Luu, Guy Wolf, Dominique Beaini",NeurIPS 2022,NIPS,Unranked
35,Certified Robustness Against Natural Language Attacks by Causal Intervention.,2022,"Haiteng Zhao, Chang Ma, Xinshuai Dong, Anh Tuan Luu, Zhi-Hong Deng, Hanwang Zhang",CoRR abs/2205.12331 ,CORR,Unranked
36,"Recipe for a General, Powerful, Scalable Graph Transformer.",2022,"Ladislav Rampásek, Mikhail Galkin, Vijay Prakash Dwivedi, Anh Tuan Luu, Guy Wolf, Dominique Beaini",CoRR abs/2205.12454 ,CORR,Unranked
37,Long Range Graph Benchmark.,2022,"Vijay Prakash Dwivedi, Ladislav Rampásek, Mikhail Galkin, Ali Parviz, Guy Wolf, Anh Tuan Luu, Dominique Beaini",CoRR abs/2206.08164 ,CORR,Unranked
38,Vision-and-Language Pretraining.,2022,"Thong Nguyen, Cong-Duy Nguyen, Xiaobao Wu, Anh Tuan Luu",CoRR abs/2207.01772 ,CORR,Unranked
39,Textual Manifold-based Defense Against Natural Language Adversarial Examples.,2022,"Dang Minh Nguyen, Luu Anh Tuan",CoRR abs/2211.02878 ,CORR,Unranked
40,Adaptive Contrastive Learning on Multimodal Transformer for Review Helpfulness Predictions.,2022,"Thong Nguyen, Xiaobao Wu, Anh Tuan Luu, Cong-Duy Nguyen, Zhen Hai, Lidong Bing",CoRR abs/2211.03524 ,CORR,Unranked
41,How to train your draGAN: A task oriented solution to imbalanced classification.,2022,"Leon O. Guertler, Andri Ashfahani, Anh Tuan Luu",CoRR abs/2211.10065 ,CORR,Unranked
42,Mitigating Data Sparsity for Short Text Topic Modeling by Topic-Semantic Contrastive Learning.,2022,"Xiaobao Wu, Anh Tuan Luu, Xinshuai Dong",CoRR abs/2211.12878 ,CORR,Unranked
43,Enriching and Controlling Global Semantics for Text Summarization.,2021,"Thong Nguyen, Anh Tuan Luu, Truc Lu, Tho Quan",EMNLP  2021: 9443-9456,EMNLP,A*
44,Towards Robustness Against Natural Language Word Substitutions.,2021,"Xinshuai Dong, Anh Tuan Luu, Rongrong Ji, Hong Liu",ICLR 2021,ICLR,A*
45,Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with 1/n Parameters.,2021,"Aston Zhang, Yi Tay, Shuai Zhang, Alvin Chan, Anh Tuan Luu, Siu Cheung Hui, Jie Fu",ICLR 2021,ICLR,A*
46,How Should Pre-Trained Language Models Be Fine-Tuned Towards Adversarial Robustness?,2021,"Xinshuai Dong, Anh Tuan Luu, Min Lin, Shuicheng Yan, Hanwang Zhang",NeurIPS 2021: 4356-4369,NIPS,Unranked
47,Contrastive Learning for Neural Topic Model.,2021,"Thong Nguyen, Anh Tuan Luu",NeurIPS 2021: 11974-11986,NIPS,Unranked
48,Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with 1/n Parameters.,2021,"Aston Zhang, Yi Tay, Shuai Zhang, Alvin Chan, Anh Tuan Luu, Siu Cheung Hui, Jie Fu",CoRR abs/2102.08597 ,CORR,Unranked
49,Towards Robustness Against Natural Language Word Substitutions.,2021,"Xinshuai Dong, Anh Tuan Luu, Rongrong Ji, Hong Liu",CoRR abs/2107.13541 ,CORR,Unranked
50,Enriching and Controlling Global Semantics for Text Summarization.,2021,"Thong Nguyen, Anh Tuan Luu, Truc Lu, Tho Quan",CoRR abs/2109.10616 ,CORR,Unranked
51,Graph Neural Networks with Learnable Structural and Positional Representations.,2021,"Vijay Prakash Dwivedi, Anh Tuan Luu, Thomas Laurent, Yoshua Bengio, Xavier Bresson",CoRR abs/2110.07875 ,CORR,Unranked
52,Contrastive Learning for Neural Topic Model.,2021,"Thong Nguyen, Anh Tuan Luu",CoRR abs/2110.12764 ,CORR,Unranked
53,Improving Neural Cross-Lingual Summarization via Employing Optimal Transport Distance for Knowledge Distillation.,2021,"Thong Nguyen, Luu Anh Tuan",CoRR abs/2112.03473 ,CORR,Unranked
54,How Should Pre-Trained Language Models Be Fine-Tuned Towards Adversarial Robustness?,2021,"Xinshuai Dong, Luu Anh Tuan, Min Lin, Shuicheng Yan, Hanwang Zhang",CoRR abs/2112.11668 ,CORR,Unranked
55,Holistic Multi-Modal Memory Network for Movie Question Answering.,2020,"Anran Wang, Anh Tuan Luu, Chuan-Sheng Foo, Hongyuan Zhu, Yi Tay, Vijay Chandrasekhar",IEEE Trans. Image Process. 29: 489-499 ,TIP,Unranked
56,Capturing Greater Context for Question Generation.,2020,"Luu Anh Tuan, Darsh J. Shah, Regina Barzilay",AAAI 2020: 9065-9072,AAAI,A*
57,Would you Rather? A New Benchmark for Learning Machine Alignment with Cultural Values and Social Preferences.,2020,"Yi Tay, Donovan Ong, Jie Fu, Alvin Chan, Nancy Chen, Anh Tuan Luu, Chris Pal",ACL 2020: 5369-5373,ACL,A*
58,Holographic Factorization Machines for Recommendation.,2019,"Yi Tay, Shuai Zhang, Anh Tuan Luu, Siu Cheung Hui, Lina Yao, Tran Dang Quang Vinh",AAAI 2019: 5143-5150,AAAI,A*
59,Lightweight and Efficient Neural Natural Language Processing with Quaternion Networks.,2019,"Yi Tay, Aston Zhang, Anh Tuan Luu, Jinfeng Rao, Shuai Zhang, Shuohang Wang, Jie Fu, Siu Cheung Hui",ACL  2019: 1494-1503,ACL,A*
60,Simple and Effective Curriculum Pointer-Generator Networks for Reading Comprehension over Long Narratives.,2019,"Yi Tay, Shuohang Wang, Anh Tuan Luu, Jie Fu, Minh C. Phan, Xingdi Yuan, Jinfeng Rao, Siu Cheung Hui, Aston Zhang",ACL  2019: 4922-4931,ACL,A*
61,Compositional De-Attention Networks.,2019,"Yi Tay, Anh Tuan Luu, Aston Zhang, Shuohang Wang, Siu Cheung Hui",NeurIPS 2019: 6132-6142,NIPS,Unranked
62,Simple and Effective Curriculum Pointer-Generator Networks for Reading Comprehension over Long Narratives.,2019,"Yi Tay, Shuohang Wang, Luu Anh Tuan, Jie Fu, Minh C. Phan, Xingdi Yuan, Jinfeng Rao, Siu Cheung Hui, Aston Zhang",CoRR abs/1905.10847 ,CORR,Unranked
63,Lightweight and Efficient Neural Natural Language Processing with Quaternion Networks.,2019,"Yi Tay, Aston Zhang, Luu Anh Tuan, Jinfeng Rao, Shuai Zhang, Shuohang Wang, Jie Fu, Siu Cheung Hui",CoRR abs/1906.04393 ,CORR,Unranked
64,Capturing Greater Context for Question Generation.,2019,"Luu Anh Tuan, Darsh J. Shah, Regina Barzilay",CoRR abs/1910.10274 ,CORR,Unranked
65,Personalized question recommendation for English grammar learning.,2018,"Lanting Fang, Luu Anh Tuan, Siu Cheung Hui, Lenan Wu",Expert Syst. J. Knowl. Eng. 35 ,ES,Unranked
66,Syntactic based approach for grammar question retrieval.,2018,"Lanting Fang, Luu Anh Tuan, Siu Cheung Hui, Lenan Wu",Inf. Process. Manag. 54: 184-202 ,IPM,Unranked
67,Cross Temporal Recurrent Networks for Ranking Question Answer Pairs.,2018,"Yi Tay, Luu Anh Tuan, Siu Cheung Hui",AAAI 2018: 5512-5519,AAAI,A*
