,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Conference Report on 2022 IEEE Symposium Series on Computational Intelligence (IEEE SSCI 2022) [Conference Reports].,2023,"Ah-Hwee Tan, Dipti Srinivasan, Chunyan Miao",IEEE Comput. Intell. Mag. 18: 6-9 ,CIM,Unranked
1,"Semantic Communications for Future Internet: Fundamentals, Applications, and Challenges.",2023,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 213-250 ,COMSUR,Unranked
2,"A Full Dive Into Realizing the Edge-Enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2023,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 656-700 ,COMSUR,Unranked
3,A Dynamic Hierarchical Framework for IoT-Assisted Digital Twin Synchronization in the Metaverse.,2023,"Yue Han, Dusit Niyato, Cyril Leung, Dong In Kim, Kun Zhu, Shaohan Feng, Xuemin Shen, Chunyan Miao",IEEE Internet Things J. 10: 268-284 ,IOTJ,Unranked
4,Stochastic Coded Offloading Scheme for Unmanned-Aerial-Vehicle-Assisted Edge Computing.,2023,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim",IEEE Internet Things J. 10: 5626-5643 ,IOTJ,Unranked
5,SSD-KD: A self-supervised diverse knowledge distillation method for lightweight skin lesion classification using dermoscopic images.,2023,"Yongwei Wang, Yuheng Wang, Jiayue Cai, Tim K. Lee, Chunyan Miao, Z. Jane Wang",Medical Image Anal. 84: 102693 ,MIA,Unranked
6,Learning Structural Representations for Recipe Generation and Food Retrieval.,2023,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao",IEEE Trans. Pattern Anal. Mach. Intell. 45: 3363-3377 ,PAMI,Unranked
7,Incorporating Surprisingly Popular Algorithm and Euclidean distance-based adaptive topology into PSO.,2023,"Xuan Wu, Jizong Han, Di Wang, Pengyue Gao, Quanlong Cui, Liang Chen, Yanchun Liang, Han Huang, Heow Pueh Lee, Chunyan Miao, You Zhou, Chunguo Wu",Swarm Evol. Comput. 76: 101222 ,SWEVO,Unranked
8,Summarizing User-item Matrix By Group Utility Maximization.,2023,"Yongjie Wang, Ke Wang, Cheng Long, Chunyan Miao",ACM Trans. Knowl. Discov. Data 17: 86:1-86:22 ,TKDD,Unranked
9,Contextualized Graph Attention Network for Recommendation With Item Knowledge Graph.,2023,"Yong Liu, Susen Yang, Yonghui Xu, Chunyan Miao, Min Wu, Juyong Zhang",IEEE Trans. Knowl. Data Eng. 35: 181-195 ,TKDE,Unranked
10,Learning Hierarchical Review Graph Representations for Recommendation.,2023,"Yong Liu, Susen Yang, Yinan Zhang, Chunyan Miao, Zaiqing Nie, Juyong Zhang",IEEE Trans. Knowl. Data Eng. 35: 658-671 ,TKDE,Unranked
11,Aspect-Guided Syntax Graph Learning for Explainable Recommendation.,2023,"Yidan Hu, Yong Liu, Chunyan Miao, Gongqi Lin, Yuan Miao",IEEE Trans. Knowl. Data Eng. 35: 7768-7781 ,TKDE,Unranked
12,Brain-Inspired Search Engine Assistant Based on Knowledge Graph.,2023,"Xuejiao Zhao, Huanhuan Chen, Zhenchang Xing, Chunyan Miao",IEEE Trans. Neural Networks Learn. Syst. 34: 4386-4400 ,TNN,Unranked
13,Reliable Distributed Computing for Metaverse: A Hierarchical Game-Theoretic Approach.,2023,"Yuna Jiang, Jiawen Kang, Dusit Niyato, Xiaohu Ge, Zehui Xiong, Chunyan Miao, Xuemin Shen",IEEE Trans. Veh. Technol. 72: 1084-1100 ,TVT,Unranked
