,Title,Year,Authors,Journal,Journal Acronym,Rank
0,EXTENT: Enabling Approximation-Oriented Energy Efficient STT-RAM Write Circuit.,2022,"Saeed Seyedfaraji, Javad Talafy Daryani, Mohamed M. Sabry Aly, Semeen Rehman",IEEE Access 10: 82144-82155 ,ACCESS,Unranked
1,SonicFFT: A system architecture for ultrasonic-based FFT acceleration.,2022,"Darayus Adil Patel, Viet Phuong Bui, Kevin Tshun Chuan Chai, Amit Lal, Mohamed M. Sabry Aly",ASP-DAC 2022: 345-351,ASPDAC,C
2,Pearl: Towards Optimization of DNN-accelerators Via Closed-Form Analytical Representation.,2022,"Arko Dutt, Suprojit Nandy, Mohamed M. Sabry",ASP-DAC 2022: 714-719,ASPDAC,C
3,Scalable Hardware Acceleration of Non-Maximum Suppression.,2022,"Chunyun Chen, Tianyi Zhang, Zehui Yu, Adithi Raghuraman, Shwetalaxmi Udayan, Jie Lin, Mohamed M. Sabry Aly",DATE 2022: 96-99,DATE,B
4,RDO-Q: Extremely Fine-Grained Channel-Wise Quantization via Rate-Distortion Optimization.,2022,"Zhe Wang, Jie Lin, Xue Geng, Mohamed M. Sabry Aly, Vijay Chandrasekhar",ECCV  2022: 157-172,ECCV,A*
5,"Sub-10nm Ultra-thin ZnO Channel FET with Record-High 561 µA/µm ION at VDS 1V, High µ-84 cm2/V-s and1T-1RRAM Memory Cell Demonstration Memory Implications for Energy-Efficient Deep-Learning Computing.",2022,"Umesh Chand, Mohamed M. Sabry Aly, Manohar Lal, Chen Chun-Kuei, Sonu Hooda, Shih-Hao Tsai, Zihang Fang, Hasita Veluri, Aaron Voon-Yew Thean",VLSI Technology and Circuits 2022: 326-327,VLSIT,Unranked
6,OPQ: Compressing Deep Neural Networks with One-shot Pruning-Quantization.,2022,"Peng Hu, Xi Peng, Hongyuan Zhu, Mohamed M. Sabry Aly, Jie Lin",CoRR abs/2205.11141 ,CORR,Unranked
7,EXTENT: Enabling Approximation-Oriented Energy Efficient STT-RAM Write Circuit.,2022,"Saeed Seyedfaraji, Javad Talafy, Mohamed M. Sabry, Semeen Rehman",CoRR abs/2208.07838 ,CORR,Unranked
8,OPQ: Compressing Deep Neural Networks with One-shot Pruning-Quantization.,2021,"Peng Hu, Xi Peng, Hongyuan Zhu, Mohamed M. Sabry Aly, Jie Lin",AAAI 2021: 7780-7788,AAAI,A*
9,PSRR-MaxpoolNMS: Pyramid Shifted MaxpoolNMS With Relationship Recovery.,2021,"Tianyi Zhang, Jie Lin, Peng Hu, Bin Zhao, Mohamed M. Sabry Aly",CVPR 2021: 15840-15848,CVPR,A*
10,Efficient Tunstall Decoder for Deep Neural Network Compression.,2021,"Chunyun Chen, Zhe Wang, Xiaowei Chen, Jie Lin, Mohamed M. Sabry Aly",DAC 2021: 1021-1026,DAC,Unranked
11,Rate-Distortion Optimized Coding for Efficient CNN Compression.,2021,"Wang Zhe, Jie Lin, Mohamed M. Sabry Aly, Sean I. Young, Vijay Chandrasekhar, Bernd Girod",DCC 2021: 253-262,DCC,B
12,A*HAR: A New Benchmark towards Semi-supervised learning for Class-imbalanced Human Activity Recognition.,2021,"Govind Narasimman, Kangkang Lu, Arun Raja, Chuan Sheng Foo, Mohamed M. Sabry Aly, Jie Lin, Vijay Chandrasekhar",CoRR abs/2101.04859 ,CORR,Unranked
13,PSRR-MaxpoolNMS: Pyramid Shifted MaxpoolNMS with Relationship Recovery.,2021,"Tianyi Zhang, Jie Lin, Peng Hu, Bin Zhao, Mohamed M. Sabry Aly",CoRR abs/2105.12990 ,CORR,Unranked
14,Quantifying the Benefits of Monolithic 3D Computing Systems Enabled by TFT and RRAM.,2020,"Abdallah M. Felfel, Kamalika Datta, Arko Dutt, Hasita Veluri, Ahmed Zaky, Aaron Voon-Yew Thean, Mohamed M. Sabry Aly",DATE 2020: 43-48,DATE,B
15,Fledge: Flexible Edge Platforms Enabled by In-memory Computing.,2020,"Kamalika Datta, Arko Dutt, Ahmed Zaky, Umesh Chand, Devendra Singh, Yida Li, Jackson Chun-Yang Huang, Aaron Thean, Mohamed M. Sabry Aly",DATE 2020: 1181-1186,DATE,B
16,Towards Deeply Scaled 3D MPSoCs with Integrated Flow Cell Array Technology.,2020,"Halima Najibi, Alexandre Levisse, Marina Zapater, Mohamed M. Sabry Aly, David Atienza",ACM Great Lakes Symposium on VLSI 2020: 513-518,GLVLSI,Unranked
17,The N3XT Approach to Energy-Efficient Abundant-Data Computing.,2019,"Mohamed M. Sabry Aly, Tony F. Wu, Andrew Bartolo, Yash H. Malviya, William Hwang, Gage Hills, Igor L. Markov, Mary Wootters, Max M. Shulaker, H.-S. Philip Wong, Subhasish Mitra",Proc. IEEE 107: 19-48 ,PIEEE,Unranked
18,EAST-DNN: Expediting architectural SimulaTions using deep neural networks: work-in-progress.,2019,"Arko Dutt, Govind Narasimman, Lin Jie, Vijay Ramaseshan Chandrasekhar, Mohamed M. Sabry",CODES+ISSS 2019: 4:1-4:2,CODES,Unranked
19,MaxpoolNMS: Getting Rid of NMS Bottlenecks in Two-Stage Object Detectors.,2019,"Lile Cai, Bin Zhao, Zhe Wang, Jie Lin, Chuan Sheng Foo, Mohamed M. Sabry Aly, Vijay Chandrasekhar",CVPR 2019: 9356-9364,CVPR,A*
20,Dataflow-Based Joint Quantization for Deep Neural Networks.,2019,"Xue Geng, Jie Fu, Bin Zhao, Jie Lin, Mohamed M. Sabry Aly, Christopher J. Pal, Vijay Chandrasekhar",DCC 2019: 574,DCC,B
21,N3XT Monolithic 3D Energy-Efficient Computing Systems.,2019,Mohamed M. Sabry Aly,ACM Great Lakes Symposium on VLSI 2019: 463,GLVLSI,Unranked
22,TEA-DNN: the Quest for Time-Energy-Accuracy Co-optimized Deep Neural Networks.,2019,"Lile Cai, Anne-Maelle Barneche, Arthur Herbout, Chuan Sheng Foo, Jie Lin, Vijay Ramaseshan Chandrasekhar, Mohamed M. Sabry Aly",ISLPED 2019: 1-6,ISLPED,Unranked
23,A 43pJ/Cycle Non-Volatile Microcontroller with 4.7μs Shutdown/Wake-up Integrating 2.3-bit/Cell Resistive RAM and Resilience Techniques.,2019,"Tony F. Wu, Binh Q. Le, Robert M. Radway, Andrew Bartolo, William Hwang, Seungbin Jeong, Haitong Li, Pulkit Tandon, Elisa Vianello, Pascal Vivet, Etienne Nowak, Mary Wootters, H.-S. Philip Wong, Mohamed M. Sabry Aly, Edith Beigné, Subhasish Mitra",ISSCC 2019: 226-228,ISSCC,Unranked
24,Dataflow-based Joint Quantization of Weights and Activations for Deep Neural Networks.,2019,"Xue Geng, Jie Fu, Bin Zhao, Jie Lin, Mohamed M. Sabry Aly, Christopher J. Pal, Vijay Chandrasekhar",CoRR abs/1901.02064 ,CORR,Unranked
25,PowerCool: Simulation of Cooling and Powering of 3D MPSoCs with Integrated Flow Cell Arrays.,2018,"Artem Aleksandrovich Andreev, Arvind Sridhar, Mohamed M. Sabry, Marina Zapater, Patrick W. Ruch, Bruno Michel, David Atienza",IEEE Trans. Computers 67: 73-85 ,TC,Unranked
26,Hardware-Aware Softmax Approximation for Deep Neural Networks.,2018,"Xue Geng, Jie Lin, Bin Zhao, Anmin Kong, Mohamed M. Sabry Aly, Vijay Chandrasekhar",ACCV  2018: 107-122,ACCV,B
27,TEA-DNN: the Quest for Time-Energy-Accuracy Co-optimized Deep Neural Networks.,2018,"Lile Cai, Anne-Maelle Barneche, Arthur Herbout, Chuan Sheng Foo, Jie Lin, Vijay Ramaseshan Chandrasekhar, Mohamed M. Sabry",CoRR abs/1811.12065 ,CORR,Unranked
28,Classification of Resilience Techniques Against Functional Errors at Higher Abstraction Layers of Digital Systems.,2017,"Georgia Psychou, Dimitrios Rodopoulos, Mohamed M. Sabry, Tobias Gemmeke, David Atienza, Tobias G. Noll, Francky Catthoor",ACM Comput. Surv. 50: 50:1-50:38 ,CSUR,Unranked
