,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Survey on AI Sustainability: Emerging Trends on Learning Algorithms and Research Challenges [Review Article].,2023,"Zhenghua Chen, Min Wu, Alvin Chan, Xiaoli Li, Yew-Soon Ong",IEEE Comput. Intell. Mag. 18: 60-77 ,CIM,Unranked
1,Jack and Masters of all Trades: One-Pass Learning Sets of Model Sets From Large Pre-Trained Models.,2023,"Han Xiang Choong, Yew-Soon Ong, Abhishek Gupta, Caishun Chen, Ray Lim",IEEE Comput. Intell. Mag. 18: 29-40 ,CIM,Unranked
2,Breaking Hardware Boundaries of IoT Devices via Inverse Feature Completion.,2023,"Yuan Gao, Yew-Soon Ong, Maoguo Gong, Fenlong Jiang, Yuanqiao Zhang, Shanfeng Wang",IEEE Internet Things J. 10: 5519-5529 ,IOTJ,Unranked
3,Transfer Kernel Learning for Multi-Source Transfer Gaussian Process Regression.,2023,"Pengfei Wei, Thanh Vinh Vo, Xinghua Qu, Yew Soon Ong, Zejun Ma",IEEE Trans. Pattern Anal. Mach. Intell. 45: 3862-3876 ,PAMI,Unranked
4,Adaptive Transfer Kernel Learning for Transfer Gaussian Process Regression.,2023,"Pengfei Wei, Yiping Ke, Yew-Soon Ong, Zejun Ma",IEEE Trans. Pattern Anal. Mach. Intell. 45: 7142-7156 ,PAMI,Unranked
5,DaisyRec 2.0: Benchmarking Recommendation for Rigorous Evaluation.,2023,"Zhu Sun, Hui Fang, Jie Yang, Xinghua Qu, Hongyang Liu, Di Yu, Yew-Soon Ong, Jie Zhang",IEEE Trans. Pattern Anal. Mach. Intell. 45: 8206-8226 ,PAMI,Unranked
6,Heterogeneous Multi-Party Learning With Data-Driven Network Sampling.,2023,"Maoguo Gong, Yuan Gao, Yue Wu, Yuanqiao Zhang, Alex Kai Qin, Yew-Soon Ong",IEEE Trans. Pattern Anal. Mach. Intell. 45: 13328-13343 ,PAMI,Unranked
7,Compact network embedding for fast node classification.,2023,"Xiaobo Shen, Yew-Soon Ong, Zheng Mao, Shirui Pan, Weiwei Liu, Yuhui Zheng",Pattern Recognit. 136: 109236 ,PR,Unranked
8,Multispace Evolutionary Search for Large-Scale Optimization With Applications to Recommender Systems.,2023,"Liang Feng, Qingxia Shang, Yaqing Hou, Kay Chen Tan, Yew-Soon Ong",IEEE Trans. Artif. Intell. 4: 107-120 ,TAI,Unranked
9,Multitask Neuroevolution for Reinforcement Learning With Long and Short Episodes.,2023,"Nick Zhang, Abhishek Gupta, Zefeng Chen, Yew-Soon Ong",IEEE Trans. Cogn. Dev. Syst. 15: 1474-1486 ,TAMD,Unranked
10,Choose Appropriate Subproblems for Collaborative Modeling in Expensive Multiobjective Optimization.,2023,"Zhenkun Wang, Qingfu Zhang, Yew-Soon Ong, Shunyu Yao, Haitao Liu, Jianping Luo",IEEE Trans. Cybern. 53: 483-496 ,TCYB,Unranked
11,GrpAvoid: Multigroup Collision-Avoidance Control and Optimization for UAV Swarm.,2023,"Linbo Luo, Xinyu Wang, Jianfeng Ma, Yew-Soon Ong",IEEE Trans. Cybern. 53: 1776-1789 ,TCYB,Unranked
12,Multiparty Dual Learning.,2023,"Yuan Gao, Maoguo Gong, Yu Xie, A. Kai Qin, Ke Pan, Yew-Soon Ong",IEEE Trans. Cybern. 53: 2955-2968 ,TCYB,Unranked
13,Generative Multiform Bayesian Optimization.,2023,"Zhendong Guo, Haitao Liu, Yew-Soon Ong, Xinghua Qu, Yuzhe Zhang, Jianmin Zheng",IEEE Trans. Cybern. 53: 4347-4360 ,TCYB,Unranked
14,Scalable Transfer Evolutionary Optimization: Coping With Big Task Instances.,2023,"Mojtaba Shakeri, Erfan Miahi, Abhishek Gupta, Yew-Soon Ong",IEEE Trans. Cybern. 53: 6160-6172 ,TCYB,Unranked
