,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Voyaging: Crowdsource Application for Safe Travelling Experience.,2023,"Richie Ang, Owen Noel Newton Fernando",HCI  2023: 3-9,HCI,National
1,iWIll: A Real-Time Mobile Application to Expedite First-Aid and Reduce Casualties.,2023,"Palaniselvam Shyam Sundar, Owen Noel Newton Fernando",HCI  2023: 156-162,HCI,National
2,Interactive Course Materials in Higher Institute Learning.,2023,"Jabez Ng Yong Xin, Chia-Wen Cheng, Trinh Tuan Dung, Owen Noel Newton Fernando",HCI  2023: 325-333,HCI,National
3,Animal Hunt: AI-Based Animal Sound Recognition Application.,2023,"Yi-Heng Lin, Owen Noel Newton Fernando",HCI  2023: 465-474,HCI,National
4,PoseBuddy : Pose Estimation Workout Mobile Application.,2022,"Zixin Cai, Owen Noel Newton Fernando, Jia Ying Ong",CW 2022: 151-154,CW,C
5,Foodscover: Eliminating food waste in the retail sector through technology.,2021,"Wan Ting Wong, Owen Noel Newton Fernando, Chitra Panchapakesan, Jessica Kee Si Jia",CW 2021: 85-92,CW,C
6,La Petite Fee Cosmo: Learning Data Structures Through Game-Based Learning.,2019,"Vinayak Teoh Kannappan, Owen Noel Newton Fernando, Anupam Chattopadhyay, Xavier Tan, Jeffrey Yan Jack Hong, Hock Soon Seah, Hui En Lye",CW 2019: 207-210,CW,C
7,Finding Hidden Shrines using AR and Clustering Techniques.,2019,"Liu Jihao Bryan, Owen Noel Newton Fernando, Sujatha Arundathi Meegama, Hedren Sum Wai Yuan, Muhammad Faisal Bin Husni",CW 2019: 348-351,CW,C
8,Augmented Reality Hologram.,2019,"Jia Jun Gan, Owen Noel Newton Fernando",CW 2019: 352-355,CW,C
9,Twittener: An Aggregated News Platform.,2019,"Owen Noel Newton Fernando, Chan-Wei Chang",CW 2019: 378-381,CW,C
10,La Petite Fee Cosmo.,2019,"Owen Noel Newton Fernando, Vinayak Teoh Kannappan, Xavier Tan, Jeffrey Yan Jack Hong, Anupam Chattopadhyay, Hock Soon Seah",VRCAI 2019: 20:1-20:9,VRCAI,Unranked
11,GPS Trail Visualizer for Online Communities.,2018,"Andreas Chrisna Mayong, Vajisha Udayangi Wanniarachchi, Owen Noel Newton Fernando, May O. Lwin",CW 2018: 164-167,CW,C
12,Audio Fingerprint Application for the Media Industry.,2018,"Andrew Putra Kusuma, Vajisha U. Wanniarachchi, Owen Noel Newton Fernando, Wee Keong Ng",UbiComp/ISWC Adjunct 2018: 114-117,HUC,Unranked
13,Predicting Affective States of Programming Using Keyboard Data and Mouse Behaviors.,2018,"Hualin Liu, Owen Noel Newton Fernando, Jagath C. Rajapakse",ICARCV 2018: 1408-1413,ICARCV,C
14,Twittener: Listen to your Twitter Feed.,2017,"Yohan Fernandopulle, Rianne Wally Meurzec, Ng Hong Quan, Fairul Akmaruddin, Owen Noel Newton Fernando",Creativity & Cognition 2017: 260-262,CANDC,Unranked
15,Snake Alert Application: A Snake Tracking & Reporting System.,2017,"Owen Noel Newton Fernando, Santosh Vijaykumar, Rianne Wally Meurzec, Tan Quang Ngo, Karthikayen Jayasundar, Yohan Fernandopulle, Vajisha Wanniarachchi",DH 2017: 21-22,EHEALTH,Unranked
16,Application of beacon technology for enhanced customer engagement in insurance companies.,2017,"Vajisha U. Wanniarachchi, Owen Noel Newton Fernando, Yohan Fernandopulle",SIGGRAPH ASIA Mobile Graphics and Interactive Applications 2017: 28:1-28:3,SIGGRAPHA,Unranked
17,Automated virtual observation therapy.,2014,"Yin-Leng Theng, Owen Noel Newton Fernando, Chamika Deshan, Lynette Ying Qin Goh, Jason Wen Yau Lee, Schubert Shou-Boon Foo",CHI Extended Abstracts 2014: 1693-1698,CHI,A*
18,Designing Interactive Paper-Craft Systems with Selective Inductive Power Transmission.,2013,"Kening Zhu, Hideaki Nii, Owen Noel Newton Fernando, Jeffrey Tzu Kwan Valino Koh, Karin Aue, Adrian David Cheok",Interact. Comput. 25: 143-153 ,IWC,Unranked
19,AmbiKraf Byobu: Merging Technology with Traditional Craft.,2013,"Roshan Lalintha Peiris, Jeffrey Tzu Kwan Valino Koh, Mili John Tharakan, Owen Noel Newton Fernando, Adrian David Cheok",Interact. Comput. 25: 173-182 ,IWC,Unranked
20,"AmbiKraf - Non-emissive, ubiquitous textile display.",2013,"Roshan Lalintha Peiris, Mili John Tharakan, Owen Noel Newton Fernando, Adrian David Cheok",Multim. Tools Appl. 66: 81-94 ,MTA,Unranked
