,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Clustered Task-Aware Meta-Learning by Learning From Learning Paths.,2023,"Danni Peng, Sinno Jialin Pan",IEEE Trans. Pattern Anal. Mach. Intell. 45: 9426-9438 ,PAMI,Unranked
1,Bidirectional Generative Framework for Cross-domain Aspect-based Sentiment Analysis.,2023,"Yue Deng, Wenxuan Zhang, Sinno Jialin Pan, Lidong Bing",ACL  2023: 12272-12285,ACL,A*
2,Distribution-Regularized Federated Learning on Non-IID Data.,2023,"Yansheng Wang, Yongxin Tong, Zimu Zhou, Ruisheng Zhang, Sinno Jialin Pan, Lixin Fan, Qiang Yang",ICDE 2023: 2113-2125,ICDE,A*
3,Pruning via Sparsity-indexed ODE: a Continuous Sparsity Viewpoint.,2023,"Zhanfeng Mo, Haosen Shi, Sinno Jialin Pan",ICML 2023: 25018-25036,ICML,A*
4,"Trustworthy Machine Learning: Robustness, Generalization, and Interpretability.",2023,"Jindong Wang, Haoliang Li, Haohan Wang, Sinno Jialin Pan, Xing Xie",KDD 2023: 5827-5828,KDD,A*
5,A Tutorial on Domain Generalization.,2023,"Jindong Wang, Haoliang Li, Sinno Jialin Pan, Xing Xie",WSDM 2023: 1236-1239,WSDM,A
6,Bidirectional Generative Framework for Cross-domain Aspect-based Sentiment Analysis.,2023,"Yue Deng, Wenxuan Zhang, Sinno Jialin Pan, Lidong Bing",CoRR abs/2305.09509 ,CORR,Unranked
7,Sentiment Analysis in the Era of Large Language Models: A Reality Check.,2023,"Wenxuan Zhang, Yue Deng, Bing Liu, Sinno Jialin Pan, Lidong Bing",CoRR abs/2305.15005 ,CORR,Unranked
8,Multilingual Jailbreak Challenges in Large Language Models.,2023,"Yue Deng, Wenxuan Zhang, Sinno Jialin Pan, Lidong Bing",CoRR abs/2310.06474 ,CORR,Unranked
9,Semantic-Discriminative Mixup for Generalizable Sensor-based Cross-domain Activity Recognition.,2022,"Wang Lu, Jindong Wang, Yiqiang Chen, Sinno Jialin Pan, Chunyu Hu, Xin Qin",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. 6: 65:1-65:19 ,IMWUT,Unranked
10,On Acceleration for Convex Composite Minimization with Noise-Corrupted Gradients and Approximate Proximal Mapping.,2022,"Qiang Zhou, Sinno Jialin Pan",J. Mach. Learn. Res. 23: 223:1-223:59 ,JMLR,Unranked
11,Deep Inductive Logic Reasoning for Multi-Hop Reading Comprehension.,2022,"Wenya Wang, Sinno Jialin Pan",ACL  2022: 4999-5009,ACL,A*
12,Learning Generalizable Representations for Reinforcement Learning via Adaptive Meta-learner of Behavioral Similarities.,2022,"Jianda Chen, Sinno Jialin Pan",ICLR 2022,ICLR,A*
13,Modeling Trajectories with Multi-task Learning.,2022,"Kaijun Liu, Sijie Ruan, Qianxiong Xu, Cheng Long, Nan Xiao, Nan Hu, Liang Yu, Sinno Jialin Pan",MDM 2022: 208-213,MDM,B
14,Domain Confused Contrastive Learning for Unsupervised Domain Adaptation.,2022,"Quanyu Long, Tianze Luo, Wenya Wang, Sinno Jialin Pan",NAACL-HLT 2022: 2982-2995,NAACL,A
15,Learning Representations via a Robust Behavioral Metric for Deep Reinforcement Learning.,2022,"Jianda Chen, Sinno Jialin Pan",NeurIPS 2022,NIPS,Unranked
16,Convergence Analysis of Linear Coupling with Inexact Proximal Operator.,2022,"Qiang Zhou, Sinno Jialin Pan",UAI 2022: 2394-2403,UAI,A
17,Semantic-Discriminative Mixup for Generalizable Sensor-based Cross-domain Activity Recognition.,2022,"Wang Lu, Jindong Wang, Yiqiang Chen, Sinno Jialin Pan, Chunyu Hu, Xin Qin",CoRR abs/2206.06629 ,CORR,Unranked
18,Domain Confused Contrastive Learning for Unsupervised Domain Adaptation.,2022,"Quanyu Long, Tianze Luo, Wenya Wang, Sinno Jialin Pan",CoRR abs/2207.04564 ,CORR,Unranked
19,Learning Gradient-based Mixup towards Flatter Minima for Domain Generalization.,2022,"Danni Peng, Sinno Jialin Pan",CoRR abs/2209.14742 ,CORR,Unranked
20,Fast Graph Generation via Spectral Diffusion.,2022,"Tianze Luo, Zhanfeng Mo, Sinno Jialin Pan",CoRR abs/2211.08892 ,CORR,Unranked
21,Learning Generalizable Representations for Reinforcement Learning via Adaptive Meta-learner of Behavioral Similarities.,2022,"Jianda Chen, Sinno Jialin Pan",CoRR abs/2212.13088 ,CORR,Unranked
22,Weakly-supervised sensor-based activity segmentation and recognition via learning from distributions.,2021,"Hangwei Qian, Sinno Jialin Pan, Chunyan Miao",Artif. Intell. 292: 103429 ,AI,Australasian B
23,Variational Deep Logic Network for Joint Inference of Entities and Relations.,2021,"Wenya Wang, Sinno Jialin Pan",Comput. Linguistics 47: 775-812 ,COLING,B
24,Weakly-Supervised Cross-Domain Road Scene Segmentation via Multi-Level Curriculum Adaptation.,2021,"Fengmao Lv, Guosheng Lin, Peng Liu, Guowu Yang, Sinno Jialin Pan, Lixin Duan",IEEE Trans. Circuits Syst. Video Technol. 31: 3493-3503 ,TCSV,Unranked
25,Towards Faster Deep Collaborative Filtering via Hierarchical Decision Networks.,2021,"Yu Chen, Sinno Jialin Pan",AAAI 2021: 4001-4009,AAAI,A*
26,Sequential Generative Exploration Model for Partially Observable Reinforcement Learning.,2021,"Haiyan Yin, Jianda Chen, Sinno Jialin Pan, Sebastian Tschiatschek",AAAI 2021: 10700-10708,AAAI,A*
27,Latent Independent Excitation for Generalizable Sensor-based Cross-Person Activity Recognition.,2021,"Hangwei Qian, Sinno Jialin Pan, Chunyan Miao",AAAI 2021: 11921-11929,AAAI,A*
