,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Dynamic portfolio rebalancing with lag-optimised trading indicators using SeroFAM and genetic algorithms.,2023,"Leon Lai Xiang Yeo, Qi Cao, Chai Quek",Expert Syst. Appl. 216: 119440 ,ESWA,Unranked
1,VDPC: Variational density peak clustering algorithm.,2023,"Yizhang Wang, Di Wang, You Zhou, Xiaofeng Zhang, Chai Quek",Inf. Sci. 621: 627-651 ,ISCI,Unranked
2,Poisoning the Well: Can We Simultaneously Attack a Group of Learning Agents?,2023,"Ridhima Bector, Hang Xu, Abhay Aradhya, Chai Quek, Zinovi Rabinovich",IJCAI 2023: 3470-3478,IJCAI,A*
3,An embedded deep fuzzy association model for learning and explanation.,2022,"Xie Chen, Deepu Rajan, Dilip K. Prasad, Chai Quek",Appl. Soft Comput. 131: 109738 ,ASC,Unranked
4,Hierarchical Reinforcement Learning: A Comprehensive Survey.,2022,"Shubham Pateria, Budhitama Subagdja, Ah-Hwee Tan, Chai Quek",ACM Comput. Surv. 54: 109:1-109:35 ,CSUR,Unranked
5,Representation recovery via L1-norm minimization with corrupted data.,2022,"Woon Huei Chai, Shen-Shyang Ho, Hiok Chai Quek",Inf. Sci. 595: 395-426 ,ISCI,Unranked
6,Emotionally charged text classification with deep learning and sentiment semantic.,2022,"Jeow Li Huan, Arif Ahmed Sekh, Chai Quek, Dilip K. Prasad",Neural Comput. Appl. 34: 2341-2351 ,NCA,B
7,Dynamic portfolio rebalancing through reinforcement learning.,2022,"Qing Yang Eddy Lim, Qi Cao, Chai Quek",Neural Comput. Appl. 34: 7125-7139 ,NCA,B
8,Who are the 'silent spreaders'?: contact tracing in spatio-temporal memory models.,2022,"Yue Hu, Budhitama Subagdja, Ah-Hwee Tan, Chai Quek, Quanjun Yin",Neural Comput. Appl. 34: 14859-14879 ,NCA,B
9,A Novel Quasi-Newton Method for Composite Convex Minimization.,2022,"Woon Huei Chai, Shen-Shyang Ho, Hiok Chai Quek",Pattern Recognit. 122: 108281 ,PR,Unranked
10,EEG-Video Emotion-Based Summarization: Learning With EEG Auxiliary Signals.,2022,"Wai-Cheong Lincoln Lew, Di Wang, Kai Keng Ang, Joo-Hwee Lim, Chai Quek, Ah-Hwee Tan",IEEE Trans. Affect. Comput. 13: 1827-1839 ,TAFFCO,Unranked
