,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Shape correspondence for cel animation based on a shape association graph and spectral matching.,2023,"Shaolong Liu, Xingce Wang, Xiangyuan Liu, Zhongke Wu, Hock Soon Seah",Comput. Vis. Media 9: 633-656 ,CVM,Unranked
1,Stroke-Based Drawing and Inbetweening with Boundary Strokes.,2022,"Jie Jiang, Hock Soon Seah, Hong-Ze Liew",Comput. Graph. Forum 41: 257-269 ,CGF,Unranked
2,Skeleton-Based Parametric 2-D Region Representation: Disk B-Spline Curves.,2021,"Zhongke Wu, Xingce Wang, Shaolong Liu, Quan Chen, Hock Soon Seah, Feng Tian",IEEE Computer Graphics and Applications 41: 59-70 ,CGA,Unranked
3,Handling gaps for vector graphics coloring.,2021,"Jie Jiang, Hock Soon Seah, Hong-Ze Liew",Vis. Comput. 37: 2473-2484 ,VC,Unranked
4,Reinforcement Learning for Quadruped Locomotion.,2021,"Kangqiao Zhao, Feng Lin, Hock Soon Seah",CGI 2021: 167-177,CGI,C
5,Collective Intelligence of Autonomous Animals in VR Hunting.,2021,"Kangqiao Zhao, Feng Lin, Hock Soon Seah",VR Workshops 2021: 14-22,VR,A*
6,Shape correspondence based on Kendall shape space and RAG for 2D animation.,2020,"Shaolong Liu, Xingce Wang, Zhongke Wu, Hock Soon Seah",Vis. Comput. 36: 2457-2469 ,VC,Unranked
7,Generating Orthogonal Voronoi Treemap for Visualization of Hierarchical Data.,2020,"Yan-Chao Wang, Jigang Liu, Feng Lin, Seah Hock Soon",CGI 2020: 394-402,CGI,C
8,2D Image Deformation Based on Guaranteed Feature Correspondence and Mesh Mapping.,2019,"Yaqiong Liu, Xin Lin, Guochu Shou, Hock Soon Seah",IEEE Access 7: 5208-5221 ,ACCESS,Unranked
9,Progressive sketching with instant previewing.,2019,"Kai Wang, Jianmin Zheng, Hock Soon Seah",Comput. Graph. 81: 9-19 ,CG,Unranked
10,Multi-Channel Convolutional Neural Network Based 3D Object Detection for Indoor Robot Environmental Perception.,2019,"Li Wang, Ruifeng Li, Hezi Shi, Jingwen Sun, Lijun Zhao, Hock Soon Seah, Chee Kwang Quah, Budianto Tandianus",Sensors 19: 893 ,SENSORS,Unranked
11,Multi-View Fusion-Based 3D Object Detection for Robot Indoor Scene Perception.,2019,"Li Wang, Ruifeng Li, Jingwen Sun, Xingxing Liu, Lijun Zhao, Hock Soon Seah, Chee Kwang Quah, Budianto Tandianus",Sensors 19: 4092 ,SENSORS,Unranked
12,PolarViz: a discriminating visualization and visual analytics tool for high-dimensional data.,2019,"Yan Chao Wang, Qian Zhang, Feng Lin, Chi-Keong Goh, Hock Soon Seah",Vis. Comput. 35: 1567-1582 ,VC,Unranked
13,EngineQV: Investigating External Cause of Engine Failures Based on Geo-Temporal Association.,2019,"Yan-Chao Wang, Qian Zhang, Feng Lin, Hock Soon Seah",PacificVis 2019: 184-188,APVIS,Unranked
14,La Petite Fee Cosmo: Learning Data Structures Through Game-Based Learning.,2019,"Vinayak Teoh Kannappan, Owen Noel Newton Fernando, Anupam Chattopadhyay, Xavier Tan, Jeffrey Yan Jack Hong, Hock Soon Seah, Hui En Lye",CW 2019: 207-210,CW,C
15,Object-Aware Hybrid Map for Indoor Robot Visual Semantic Navigation.,2019,"Li Wang, Ruifeng Li, Jingwen Sun, Lijun Zhao, Hezi Shi, Hock Soon Seah, Budianto Tandianus",ROBIO 2019: 1166-1172,ROBIO,Unranked
16,La Petite Fee Cosmo.,2019,"Owen Noel Newton Fernando, Vinayak Teoh Kannappan, Xavier Tan, Jeffrey Yan Jack Hong, Anupam Chattopadhyay, Hock Soon Seah",VRCAI 2019: 20:1-20:9,VRCAI,Unranked
17,Orthogonal Voronoi Diagram and Treemap.,2019,"Yan-Chao Wang, Feng Lin, Hock Soon Seah",CoRR abs/1904.02348 ,CORR,Unranked
18,An intersection algorithm for disk B-spline curves.,2018,"Xuefeng Ao, Qian Fu, Zhongke Wu, Xingce Wang, Mingquan Zhou, Quan Chen, Hock Soon Seah",Comput. Graph. 70: 99-107 ,CG,Unranked
19,FTP-SC: Fuzzy Topology Preserving Stroke Correspondence.,2018,"Wenwu Yang, Seah Hock Soon, Quan Chen, Hong-Ze Liew, Daniel Sýkora",Comput. Graph. Forum 37: 125-135 ,CGF,Unranked
20,Evaluation of Star Coordinate Boundaries.,2018,"Yan Chao Wang, Feng Lin, Hock Soon Seah",CGI 2018: 87-96,CGI,C
21,Enhancing Sketching and Sculpting for Shape Modeling.,2018,"Kai Wang, Jianmin Zheng, Hock Soon Seah",CW 2018: 66-73,CW,C
22,Real-Time Art-Directed Charcoal Cyber Arts.,2018,"Yee Xin Chiew, Hock Soon Seah, Santiago E. Montesdeoca",CW 2018: 90-95,CW,C
23,Cloud-Based Dynamic Streaming and Loading of 3D Scene.,2018,"Budianto Tandianus, Hock Soon Seah, Tuan Dat Vu, Anh Tu Phan",CW 2018: 409-414,CW,C
24,Feature-Based and Convolutional Neural Network Fusion Method for Visual Relocalization.,2018,"Li Wang, Ruifeng Li, Jingwen Sun, Hock Soon Seah, Chee Kwang Quah, Lijun Zhao",ICARCV 2018: 1489-1495,ICARCV,C
25,MNPR: a framework for real-time expressive non-photorealistic rendering of 3D computer graphics.,2018,"Santiago E. Montesdeoca, Hock Soon Seah, Amir Semmo, Pierre Bénard, Romain Vergne, Joëlle Thollot, Davide Benvenuti",Expressive 2018: 9:1-9:11,NPAR,Unranked
26,Art-directed watercolor stylization of 3D animations in real-time.,2017,"Santiago E. Montesdeoca, Hock Soon Seah, Hans-Martin Rall, Davide Benvenuti",Comput. Graph. 65: 60-72 ,CG,Unranked
27,Constrained energy-efficient routing in time-aware road networks.,2017,"Yaqiong Liu, Hock Soon Seah, Guochu Shou",GeoInformatica 21: 89-117 ,GEOINFORMATICA,Unranked
28,Modeling and dynamics simulation for deformable objects of orthotropic materials.,2017,"Jianping Cai, Feng Lin, Yong Tsui Lee, Kemao Qian, Hock Soon Seah",Vis. Comput. 33: 1307-1318 ,VC,Unranked
29,Histogram equalization and specification for high-dimensional data visualization using RadViz.,2017,"Yan-Chao Wang, Qian Zhang, Feng Lin, Chi-Keong Goh, Xuan Wang, Hock Soon Seah",CGI 2017: 15:1-15:6,CGI,C
30,Edge- and substrate-based effects for watercolor stylization.,2017,"Santiago E. Montesdeoca, Hock Soon Seah, Pierre Bénard, Romain Vergne, Joëlle Thollot, Hans-Martin Rall, Davide Benvenuti",NPAR@Expressive 2017: 2:1-2:10,NPAR,Unranked
31,Direct 3D stylization pipelines.,2017,"Santiago E. Montesdeoca, Hock Soon Seah, Davide Benvenuti, Pierre Bénard, Hans-Martin Rall, Joëlle Thollot, Romain Vergne",SIGGRAPH Real Time Live! 2017: 18,SIGGRAPH,A*
32,Cost-Optimal Time-dEpendent Routing with Time and Speed Constraints in Directed Acyclic Road Networks.,2016,"Yaqiong Liu, Hock Soon Seah, Guochu Shou",Int. J. Inf. Technol. Decis. Mak. 15: 1413-1450 ,IJITDM,Unranked
33,A Novel Embedded Interpolation Algorithm with Negative Squared Distance for Real-Time Endomicroscopy.,2016,"Wei Ming Chiew, Feng Lin, Hock Soon Seah",ACM Trans. Embed. Comput. Syst. 15: 75:1-75:19 ,TECS,Unranked
34,Art-directed watercolor rendered animation.,2016,"Santiago E. Montesdeoca, Hock Soon Seah, Hans-Martin Rall",Expressive 2016: 51-58,EXPRESSIVE,Unranked
35,Interaction in marker-less augmented reality based on hand detection using leap motion.,2016,"Juncheng Zhao, Hock Soon Seah",VRCAI 2016: 147-150,VRCAI,Unranked
36,Subregion graph: A path planning acceleration structure for characters with various motion types in very large environments.,2015,"Nicholas Mario Wardhana, Henry Johan, Hock Soon Seah",Comput. Vis. Media 1: 105-118 ,CVM,Unranked
37,Points of interest recommendation from GPS trajectories.,2015,"Yaqiong Liu, Hock Soon Seah",Int. J. Geogr. Inf. Sci. 29: 953-979 ,GIS,Unranked
