,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Reversing skin cancer adversarial examples by multiscale diffusive and denoising aggregation mechanism.,2023,"Yongwei Wang, Yuan Li, Zhiqi Shen, Yuhui Qiao",Comput. Biol. Medicine 164: 107310 ,CBM,Unranked
1,Dynamic Multi-Objective Optimization Framework With Interactive Evolution for Sequential Recommendation.,2023,"Wei Zhou, Yong Liu, Min Li, Yu Wang, Zhiqi Shen, Liang Feng, Zexuan Zhu",IEEE Trans. Emerg. Top. Comput. Intell. 7: 1228-1241 ,TETCI,Unranked
2,Next POI Recommendation with Dynamic Graph and Explicit Dependency.,2023,"Feiyu Yin, Yong Liu, Zhiqi Shen, Lisi Chen, Shuo Shang, Peng Han",AAAI 2023: 4827-4834,AAAI,A*
3,MHCCL: Masked Hierarchical Cluster-Wise Contrastive Learning for Multivariate Time Series.,2023,"Qianwen Meng, Hangwei Qian, Yong Liu, Lizhen Cui, Yonghui Xu, Zhiqi Shen",AAAI 2023: 9153-9161,AAAI,A*
4,Revisiting Item Promotion in GNN-Based Collaborative Filtering: A Masked Targeted Topological Attack Perspective.,2023,"Yongwei Wang, Yong Liu, Zhiqi Shen",AAAI 2023: 15206-15214,AAAI,A*
5,A Teachable Agent to Enhance Elderly's Ikigai.,2023,"Ping Chen, Xinjia Yu, Sufang Lim, Zhiqi Shen",AAMAS 2023: 2319-2321,ATAL,Unranked
6,Capturing Popularity Trends: A Simplistic Non-Personalized Approach for Enhanced Item Recommendation.,2023,"Jiazheng Jing, Yinan Zhang, Xin Zhou, Zhiqi Shen",CIKM 2023: 1014-1024,CIKM,A
7,Dual Graph Multitask Framework for Imbalanced Delivery Time Estimation.,2023,"Lei Zhang, Mingliang Wang, Xin Zhou, Xingyu Wu, Yiming Cao, Yonghui Xu, Lizhen Cui, Zhiqi Shen",DASFAA  2023: 606-618,DASFAA,B
8,Enhancing Dyadic Relations with Homogeneous Graphs for Multimodal Recommendation.,2023,"Hongyu Zhou, Xin Zhou, Lingzi Zhang, Zhiqi Shen",ECAI 2023: 3123-3130,ECAI,A
9,Delivery Time Prediction Using Large-Scale Graph Structure Learning Based on Quantile Regression.,2023,"Lei Zhang, Xin Zhou, Zhiwei Zeng, Yiming Cao, Yonghui Xu, Mingliang Wang, Xingyu Wu, Yong Liu, Lizhen Cui, Zhiqi Shen",ICDE 2023: 3403-3416,ICDE,A*
10,Federated Learning for Personalized Image Aesthetics Assessment.,2023,"Zhiwei Xiong, Han Yu, Zhiqi Shen",ICME 2023: 336-341,ICMCS,Unranked
11,CSP-RM: Reputation Management Decision Support for Crowdsourcing Service Providers.,2023,"Shipeng Wang, Qingzhong Li, Lizhen Cui, Yali Jiang, Zhiqi Shen, Han Yu",ICWS 2023: 161-169,ICWS,A
12,Inductive Graph Transformer for Delivery Time Estimation.,2023,"Xin Zhou, Jinglong Wang, Yong Liu, Xingyu Wu, Zhiqi Shen, Cyril Leung",WSDM 2023: 679-687,WSDM,A
13,Enhancing Dyadic Relations with Homogeneous Graphs for Multimodal Recommendation.,2023,"Hongyu Zhou, Xin Zhou, Zhiqi Shen",CoRR abs/2301.12097 ,CORR,Unranked
14,"A Comprehensive Survey on Multimodal Recommender Systems: Taxonomy, Evaluation, and Future Directions.",2023,"Hongyu Zhou, Xin Zhou, Zhiwei Zeng, Lingzi Zhang, Zhiqi Shen",CoRR abs/2302.04473 ,CORR,Unranked
15,Dual Graph Multitask Framework for Imbalanced Delivery Time Estimation.,2023,"Lei Zhang, Mingliang Wang, Xin Zhou, Xingyu Wu, Yiming Cao, Yonghui Xu, Lizhen Cui, Zhiqi Shen",CoRR abs/2302.07429 ,CORR,Unranked
16,Multimodal Pre-training Framework for Sequential Recommendation via Contrastive Learning.,2023,"Lingzi Zhang, Xin Zhou, Zhiqi Shen",CoRR abs/2303.11879 ,CORR,Unranked
17,StarNet: Style-Aware 3D Point Cloud Generation.,2023,"Yunfan Zhang, Hao Wang, Guosheng Lin, Vun Chan Hua Nicholas, Zhiqi Shen, Chunyan Miao",CoRR abs/2303.15805 ,CORR,Unranked
18,Unifying gradient regularization for Heterogeneous Graph Neural Networks.,2023,"Xiao Yang, Xuejiao Zhao, Zhiqi Shen",CoRR abs/2305.15811 ,CORR,Unranked
19,Unsupervised Representation Learning for Time Series: A Review.,2023,"Qianwen Meng, Hangwei Qian, Yong Liu, Yonghui Xu, Zhiqi Shen, Lizhen Cui",CoRR abs/2308.01578 ,CORR,Unranked
20,Capturing Popularity Trends: A Simplistic Non-Personalized Approach for Enhanced Item Recommendation.,2023,"Jiazheng Jing, Yinan Zhang, Xin Zhou, Zhiqi Shen",CoRR abs/2308.08799 ,CORR,Unranked
21,Image Aesthetics Assessment via Learnable Queries.,2023,"Zhiwei Xiong, Yunfan Zhang, Zhiqi Shen, Peiran Ren, Han Yu",CoRR abs/2309.02861 ,CORR,Unranked
