,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A Mixed Lubrication Model for Predicting the Lubrication Performance Degradation Behavior of Slipper Pair in Early Wear Failure.,2023,"Siyuan Liu, Ziang Li, Wen Sun, Chao Ai, Weizhe Zhang, Yongqiang Zhang, Zilong Chen",IEEE Access 11: 100479-100494 ,ACCESS,Unranked
1,Abstraction-Based Verification of Approximate Preopacity for Control Systems.,2023,"Junyao Hou, Siyuan Liu, Xiang Yin, Majid Zamani",IEEE Control. Syst. Lett. 7: 1087-1092 ,CSYSL,Unranked
2,Behavioral Propagation Based on Passionate Psychology on Single Networks with Limited Contact.,2023,"Siyuan Liu, Yang Tian, Xuzhen Zhu",Entropy 25: 303 ,ENTROPY,Unranked
3,Towards Generating Hop-constrained s-t Simple Path Graphs.,2023,"Yuzheng Cai, Siyuan Liu, Weiguo Zheng, Xuemin Lin",Proc. ACM Manag. Data 1: 61:1-61:26 ,PACMMOD,Unranked
4,Multi-Dimensional Spread Target Detection with Across Range-Doppler Unit Phenomenon Based on Generalized Radon-Fourier Transform.,2023,"Guanxing Wang, Yangkai Wei, Zegang Ding, Pengjie You, Siyuan Liu, Tianyi Zhang",Remote. Sens. 15: 2158 ,REMOTESENSING,Unranked
5,Circle-Net: An Unsupervised Lightweight-Attention Cyclic Network for Hyperspectral and Multispectral Image Fusion.,2023,"Shuaiqi Liu, Siyu Miao, Siyuan Liu, Bing Li, Weiming Hu, Yu-Dong Zhang",IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens. 16: 4499-4515 ,STAEORS,Unranked
6,Research on Visual Measurement of Aperture and Hole Group Center Distance Based on Geometric Constraint.,2023,"Chunfeng Li, Xiping Xu, Zhen Ren, Siyuan Liu",Symmetry 15: 1255 ,SYMMETRY,Unranked
7,A Parametric 3-D ISAR Imaging Method of Celestial Target Under Low SNR.,2023,"Zegang Ding, Guanxing Wang, Tianyi Zhang, Siyuan Liu, Yangkai Wei, Tao Zeng",IEEE Trans. Geosci. Remote. Sens. 61: 1-18 ,TGRS,Unranked
8,CasFlow: Exploring Hierarchical Structures and Propagation Uncertainty for Cascade Prediction.,2023,"Xovee Xu, Fan Zhou, Kunpeng Zhang, Siyuan Liu, Goce Trajcevski",IEEE Trans. Knowl. Data Eng. 35: 3484-3499 ,TKDE,Unranked
9,CCGL: Contrastive Cascade Graph Learning.,2023,"Xovee Xu, Fan Zhou, Kunpeng Zhang, Siyuan Liu",IEEE Trans. Knowl. Data Eng. 35: 4539-4554 ,TKDE,Unranked
10,Semi-Supervised Anomaly Detection Via Neural Process.,2023,"Fan Zhou, Guanyu Wang, Kunpeng Zhang, Siyuan Liu, Ting Zhong",IEEE Trans. Knowl. Data Eng. 35: 10423-10435 ,TKDE,Unranked
11,Counterfactual Graph Learning for Anomaly Detection on Attributed Networks.,2023,"Chunjing Xiao, Xovee Xu, Yue Lei, Kunpeng Zhang, Siyuan Liu, Fan Zhou",IEEE Trans. Knowl. Data Eng. 35: 10540-10553 ,TKDE,Unranked
12,BEQAIN: An Effective and Efficient Identifier Normalization Approach With BERT and the Question Answering System.,2023,"Jingxuan Zhang, Siyuan Liu, Lina Gong, Haoxiang Zhang, Zhiqiu Huang, He Jiang",IEEE Trans. Software Eng. 49: 2597-2620 ,TSE,Unranked
13,MeshDeform: Surface Reconstruction of Subcortical Structures via Human Brain MRI.,2023,"Junjie Zhao, Siyuan Liu, Sahar Ahmad, Pew-Thian Yap",IPMI 2023: 536-547,IPMI,Unranked
14,SurfFlow: A Flow-Based Approach for Rapid and Accurate Cortical Surface Reconstruction from Infant Brain MRI.,2023,"Xiaoyang Chen, Junjie Zhao, Siyuan Liu, Sahar Ahmad, Pew-Thian Yap",MICCAI  2023: 380-388,MICCAI,A
15,Brain Tissue Segmentation Across the Human Lifespan via Supervised Contrastive Learning.,2023,"Xiaoyang Chen, Jinjian Wu, Wenjiao Lyu, Yicheng Zou, Kim-Han Thung, Siyuan Liu, Ye Wu, Sahar Ahmad, Pew-Thian Yap",CoRR abs/2301.01369 ,CORR,Unranked
16,Addressing Class Variable Imbalance in Federated Semi-supervised Learning.,2023,"Zehui Dong, Wenjing Liu, Siyuan Liu, Xingzhi Chen",CoRR abs/2303.11809 ,CORR,Unranked
17,Towards Generating Hop-constrained s-t Simple Path Graphs.,2023,"Yuzheng Cai, Siyuan Liu, Weiguo Zheng, Xuemin Lin",CoRR abs/2304.12656 ,CORR,Unranked
18,Secure-by-Construction Synthesis for Control Systems.,2023,"Bingzhuo Zhong, Siyuan Liu, Marco Caccamo, Majid Zamani",CoRR abs/2307.02564 ,CORR,Unranked
19,Controller Synthesis of Collaborative Signal Temporal Logic Tasks for Multi-Agent Systems via Assume-Guarantee Contracts.,2023,"Siyuan Liu, Adnane Saoud, Dimos V. Dimarogonas",CoRR abs/2309.13499 ,CORR,Unranked
20,M-OFDFT: Overcoming the Barrier of Orbital-Free Density Functional Theory for Molecular Systems Using Deep Learning.,2023,"He Zhang, Siyuan Liu, Jiacheng You, Chang Liu, Shuxin Zheng, Ziheng Lu, Tong Wang, Nanning Zheng, Bin Shao",CoRR abs/2309.16578 ,CORR,Unranked
21,Secure-by-Construction Synthesis of Cyber-Physical Systems.,2022,Siyuan Liu,"Technical University of Munich, Germany, 2022",NAN,Unranked
