,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A Survey of Algorithmic and Hardware Optimization Techniques for Vision Convolutional Neural Networks on FPGAs.,2021,"Arish Sateesan, Sharad Sinha, Smitha K. G., A. P. Vinod",Neural Process. Lett. 53: 2331-2377 ,NPL,Unranked
1,Use of Mobile EEG in Decoding Hand Movement Speed and Position.,2021,"Neethu Robinson, Tan Wei Jie Chester, Smitha K. G.",IEEE Trans. Hum. Mach. Syst. 51: 120-129 ,THMS,Unranked
2,DASH: Design Automation for Synthesis and Hardware Generation for CNN.,2020,"Arish Sateesan, Sharad Sinha, Smitha K. G.",FPT 2020: 72-75,ICFPT,Unranked
3,Smart Nation: Indoor Navigation for the Visually Impaired.,2019,"Lim Boon Leng, Smitha K. G., Sharad Sinha",ICITE 2019: 147-151,ICITE,Unranked
4,Smart Nation: Offline Public Transport Made Easy.,2019,"Ang Poh Keong, K. G. Smitha, Sharad Sinha",ICITE 2019: 175-179,ICITE,Unranked
5,Optimization of Convolutional Neural Networks on Resource Constrained Devices.,2019,"Arish S, Sharad Sinha, Smitha K. G.",ISVLSI 2019: 19-24,ISVLSI,Unranked
6,Pipelined MIPS Simulation: A plug-in to MARS simulator for supporting pipeline simulation and branch prediction.,2019,"Di Xiang Lim, K. G. Smitha",TALE 2019: 1-7,TALE,Unranked
7,EEG-based Discriminative Features During Hand Movement Execution and Imagination.,2018,"Kavitha P. Thomas, Neethu Robinson, Kavallur Gopi Smitha, A. Prasad Vinod",ICARCV 2018: 883-888,ICARCV,C
8,Low-Cost Wireless Electrooculography Speller.,2018,"Hoi Ka Hou, Smitha Kavallur Pisharath Gopi",SMC 2018: 123-128,SMC,B
9,Covert Visuospatial Attention (VSA) for EEG-Based Asynchronous Control of Robot.,2018,"Oh Yoke Chew, Neethu Robinson, Smitha Kavallur Pisharath Gopi",SMC 2018: 528-533,SMC,B
10,Classifying subjective emotional stress response evoked by multitasking using EEG.,2017,"Kavallur Gopi Smitha, Ng Yu Xin, Seah Sze Lian, Neethu Robinson",SMC 2017: 3036-3041,SMC,B
11,Voice familiarity detection using EEG-based Brain-Computer Interface.,2016,"Kavallur Gopi Smitha, A. Prasad Vinod, Mahesh K",SMC 2016: 1626-1631,SMC,B
12,EEG based stress level identification.,2016,"Guo Jun, Kavallur Gopi Smitha",SMC 2016: 3270-3274,SMC,B
13,Facial emotion recognition system for autistic children: a feasible study based on FPGA implementation.,2015,"Kavallur Gopi Smitha, A. Prasad Vinod",Medical Biol. Eng. Comput. 53: 1221-1229 ,MBEC,Unranked
14,Flexible Low Complexity Uniform and Nonuniform Digital Filter Banks With High Frequency Resolution for Multistandard Radios.,2015,"Abhishek Ambede, Smitha K. G., A. Prasad Vinod",IEEE Trans. Very Large Scale Integr. Syst. 23: 631-641 ,TVLSI,Unranked
15,A Comparative Study on the Effect of Audio and Visual Stimuli for Enhancing Attention and Memory in Brain Computer Interface System.,2015,"Tushar Chouhan, Ankit Panse, Kavallur Gopi Smitha, A. Prasad Vinod",SMC 2015: 3104-3109,SMC,B
16,Detection of Familiar and Unfamiliar Images Using EEG-Based Brain-Computer Interface.,2015,"Zheng Hui Ernest Tan, Kavallur Gopi Smitha, A. Prasad Vinod",SMC 2015: 3152-3157,SMC,B
17,Design of Reconfigurable Filter Bank Architecture Using Improved Coefficient Decimation-Interpolation-Masking Technique for Multi-Standard Wireless Communication Receivers.,2014,"Sumedh Dhabu, Kavallur Gopi Smitha, A. Prasad Vinod",J. Low Power Electron. 10: 417-428 ,JOLPE,Unranked
