,Title,Year,Authors,Journal,Journal Acronym,Rank
0,CLOSET: Data-Driven COI Detection and Management in Peer-Review Venues.,2023,Sourav S. Bhowmick,Commun. ACM 66: 70-71 ,CACM,Unranked
1,To Draw Is Human: Toward No-Code Subgraph Search.,2023,"Sourav S. Bhowmick, Byron Choi",Commun. ACM 66: 83-84 ,CACM,Unranked
2,A Framework for Privacy Preserving Localized Graph Pattern Query Processing.,2023,"Lyu Xu, Byron Choi, Yun Peng, Jianliang Xu, Sourav S. Bhowmick",Proc. ACM Manag. Data 1: 129:1-129:27 ,PACMMOD,Unranked
3,Theories and Principles Matter: Towards Visually Appealing and Effective Abstraction of Property Graph Queries.,2023,"Jiebing Ma, Sourav S. Bhowmick, Byron Choi, Lester Tay",Proc. ACM Manag. Data 1: 132:1-132:26 ,PACMMOD,Unranked
4,"Diversity, Equity and Inclusion Activities in Database Conferences: A 2022 Report.",2023,"Sihem Amer-Yahia, Divyakant Agrawal, Yael Amsterdamer, Sourav S. Bhowmick, Angela Bonifati, Renata Borovica-Gajic, Jesús Camacho-Rodríguez, Barbara Catania, Panos K. Chrysanthis, Carlo Curino, Jérôme Darmont, Gillian Dobbie, Amr El Abbadi, Avrilia Floratou, Juliana Freire, Alekh Jindal, Vana Kalogeraki, Sujaya Maiyya, Alexandra Meliou, Madhulika Mohanty, Behrooz Omidvar-Tehrani, Fatma Özcan, Liat Peterfreund, Wenny Rahayu, Shazia Sadiq, Sana Sellami, Utku Sirin, Wang-Chiew Tan, Bhavani Thuraisingham, Yuanyuan Tian, Pinar Tözün, Genoveva Vargas-Solar, Neeraja J. Yadwadkar, Victor Zakhary, Meihui Zhang",SIGMOD Rec. 52: 38-42 ,SIGMOD,A*
5,PIANO: Influence Maximization Meets Deep Reinforcement Learning.,2023,"Hui Li, Mengting Xu, Sourav S. Bhowmick, Shafiq Rayhan Joty, Changsheng Sun, Jiangtao Cui",IEEE Trans. Comput. Soc. Syst. 10: 1288-1300 ,TCSS,Unranked
6,SVP-T: A Shape-Level Variable-Position Transformer for Multivariate Time Series Classification.,2023,"Rundong Zuo, Guozhong Li, Byron Choi, Sourav S. Bhowmick, Daphne Ngar-yin Mah, Grace Lai-Hung Wong",AAAI 2023: 11497-11505,AAAI,A*
7,VOYAGER: Automatic Computation of Visual Complexity and Aesthetics of Graph Query Interfaces.,2023,"Duy Pham, Sourav S. Bhowmick",EDBT 2023: 815-818,EDBT,A
8,ARENA: Alternative Relational Query Plan Exploration for Database Education.,2023,"Hu Wang, Hui Li, Sourav S. Bhowmick, Baochao Xu",SIGMOD Conference Companion 2023: 107-110,SIGMOD,A*
9,"Proceedings 26th International Conference on Extending Database Technology, EDBT 2023, Ioannina, Greece, March 28-31, 2023.",2023,"Julia Stoyanovich, Jens Teubner, Nikos Mamoulis, Evaggelia Pitoura, Jan Mühlig, Katja Hose, Sourav S. Bhowmick, Matteo Lissandrini","OpenProceedings.org 2023, ISBN 978-3-89318-088-2 ",EDBT,A
10,DKWS: A Distributed System for Keyword Search on Massive Graphs (Complete Version).,2023,"Jiaxin Jiang, Byron Choi, Xin Huang, Jianliang Xu, Sourav S. Bhowmick",CoRR abs/2309.01199 ,CORR,Unranked
11,Influence Maximization in Social Networks: A Survey.,2023,"Hui Li, Susu Yang, Mengting Xu, Sourav S. Bhowmick, Jiangtao Cui",CoRR abs/2309.04668 ,CORR,Unranked
12,FLAG: Towards Graph Query Autocompletion for Large Graphs.,2022,"Peipei Yi, Jianping Li, Byron Choi, Sourav S. Bhowmick, Jianliang Xu",Data Sci. Eng. 7: 175-191 ,DASE,Unranked
13,Towards Technology-Enabled Learning of Relational Query Processing.,2022,"Sourav S. Bhowmick, Hui Li",IEEE Data Eng. Bull. 45: 29-46 ,DEBU,Unranked
14,Toward automatic support for leading court debates: a novel task proposal & effective approach of judicial question generation.,2022,"Changzhen Ji, Yating Zhang, Xiaozhong Liu, Adam Jatowt, Sourav S. Bhowmick, Changlong Sun, Conghui Zhu, Tiejun Zhao",Neural Comput. Appl. 34: 16367-16385 ,NCA,B
15,MOCHA: A Tool for Visualizing Impact of Operator Choices in Query Execution Plans for Database Education.,2022,"Jess Tan, Desmond Yeo, Rachael Neoh, Huey-Eng Chua, Sourav S. Bhowmick",Proc. VLDB Endow. 15: 3602-3605 ,PVLDB,Unranked
16,SENSOR: Data-driven Construction of Sketch-based Visual Query Interfaces for Time Series Data.,2022,"Li Yan, Nerissa Xu, Guozhong Li, Sourav S. Bhowmick, Byron Choi, Jianliang Xu",Proc. VLDB Endow. 15: 3650-3653 ,PVLDB,Unranked
17,"No PANE, No Gain: Scaling Attributed Network Embedding in a Single Server.",2022,"Renchi Yang, Jieming Shi, Xiaokui Xiao, Yin Yang, Sourav S. Bhowmick, Juncheng Liu",SIGMOD Rec. 51: 42-49 ,SIGMOD,A*
