,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Asking Clarifying Questions: To benefit or to disturb users in Web search?,2023,"Jie Zou, Aixin Sun, Cheng Long, Mohammad Aliannejadi, Evangelos Kanoulas",Inf. Process. Manag. 60: 103176 ,IPM,Unranked
1,EDU-Capsule: aspect-based sentiment analysis at clause level.,2023,"Ting Lin, Aixin Sun, Yequan Wang",Knowl. Inf. Syst. 65: 517-541 ,KAIS,Unranked
2,Temporal Sentence Grounding in Videos: A Survey and Future Directions.,2023,"Hao Zhang, Aixin Sun, Wei Jing, Joey Tianyi Zhou",IEEE Trans. Pattern Anal. Mach. Intell. 45: 10443-10465 ,PAMI,Unranked
3,Generative Adversarial Reward Learning for Generalized Behavior Tendency Inference.,2023,"Xiaocong Chen, Lina Yao, Xianzhi Wang, Aixin Sun, Quan Z. Sheng",IEEE Trans. Knowl. Data Eng. 35: 9878-9889 ,TKDE,Unranked
4,A Critical Study on Data Leakage in Recommender System Offline Evaluation.,2023,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li",ACM Trans. Inf. Syst. 41: 75:1-75:27 ,TOIS,Unranked
5,MS-DETR: Natural Language Video Localization with Sampling Moment-Moment Interaction.,2023,"Wang Jing, Aixin Sun, Hao Zhang, Xiaoli Li",ACL  2023: 1387-1400,ACL,A*
6,Negation Scope Refinement via Boundary Shift Loss.,2023,"Yin Wu, Aixin Sun",ACL  2023: 6090-6099,ACL,A*
7,Take a Break in the Middle: Investigating Subgoals towards Hierarchical Script Generation.,2023,"Xinze Li, Yixin Cao, Muhao Chen, Aixin Sun",ACL  2023: 10129-10147,ACL,A*
8,A Synthetic Data Generation Framework for Grounded Dialogues.,2023,"Jianzhu Bao, Rui Wang, Yasheng Wang, Aixin Sun, Yitong Li, Fei Mi, Ruifeng Xu",ACL  2023: 10866-10882,ACL,A*
9,Few-shot Event Detection: An Empirical Study and a Unified View.,2023,"Yubo Ma, Zehao Wang, Yixin Cao, Aixin Sun",ACL  2023: 11211-11236,ACL,A*
10,Dipping PLMs Sauce: Bridging Structure and Text for Effective Knowledge Graph Completion via Conditional Soft Prompting.,2023,"Chen Chen, Yufei Wang, Aixin Sun, Bing Li, Kwok-Yan Lam",ACL  2023: 11489-11503,ACL,A*
11,The 1st Workshop on Recommendation with Generative Models.,2023,"Wenjie Wang, Yong Liu, Yang Zhang, Weiwen Liu, Fuli Feng, Xiangnan He, Aixin Sun",CIKM 2023: 5300-5303,CIKM,A
12,A Survey on Deep Learning for Named Entity Recognition : Extended Abstract.,2023,"Jing Li, Aixin Sun, Jianglei Han, Chenliang Li",ICDE 2023: 3817-3818,ICDE,A*
13,A Study on Transformer Configuration and Training Objective.,2023,"Fuzhao Xue, Jianghai Chen, Aixin Sun, Xiaozhe Ren, Zangwei Zheng, Xiaoxin He, Yongming Chen, Xin Jiang, Yang You",ICML 2023: 38913-38925,ICML,A*
14,On Challenges of Evaluating Recommender Systems in an Offline Setting.,2023,Aixin Sun,RecSys 2023: 1284-1285,RECSYS,Unranked
15,A Preference Learning Decoupling Framework for User Cold-Start Recommendation.,2023,"Chunyang Wang, Yanmin Zhu, Aixin Sun, Zhaobo Wang, Ke Wang",SIGIR 2023: 1168-1177,SIGIR,A*
16,Take a Fresh Look at Recommender Systems from an Evaluation Standpoint.,2023,Aixin Sun,SIGIR 2023: 2629-2638,SIGIR,A*
17,DOCoR: Document-level OpenIE with Coreference Resolution.,2023,"Shan Jie Yong, Kuicai Dong, Aixin Sun",WSDM 2023: 1204-1207,WSDM,A
18,"Large Language Model Is Not a Good Few-shot Information Extractor, but a Good Reranker for Hard Samples!",2023,"Yubo Ma, Yixin Cao, YongChing Hong, Aixin Sun",CoRR abs/2303.08559 ,CORR,Unranked
19,GCRE-GPT: A Generative Model for Comparative Relation Extraction.,2023,"Yequan Wang, Hengran Zhang, Aixin Sun, Xuying Meng",CoRR abs/2303.08601 ,CORR,Unranked
20,DiffuRec: A Diffusion Model for Sequential Recommendation.,2023,"Zihao Li, Aixin Sun, Chenliang Li",CoRR abs/2304.00686 ,CORR,Unranked
21,FreeLM: Fine-Tuning-Free Language Model.,2023,"Xiang Li, Xin Jiang, Xuying Meng, Aixin Sun, Yequan Wang",CoRR abs/2305.01616 ,CORR,Unranked
22,Few-shot Event Detection: An Empirical Study and a Unified View.,2023,"Yubo Ma, Zehao Wang, Yixin Cao, Aixin Sun",CoRR abs/2305.01901 ,CORR,Unranked
23,Open Information Extraction via Chunks.,2023,"Kuicai Dong, Aixin Sun, Jung-Jae Kim, Xiaoli Li",CoRR abs/2305.03299 ,CORR,Unranked
24,Retraining A Graph-based Recommender with Interests Disentanglement.,2023,"Yitong Ji, Aixin Sun, Jie Zhang",CoRR abs/2305.03624 ,CORR,Unranked
25,Shall We Trust All Relational Tuples by Open Information Extraction? A Study on Speculation Detection.,2023,"Kuicai Dong, Aixin Sun, Jung-Jae Kim, Xiaoli Li",CoRR abs/2305.04181 ,CORR,Unranked
26,Take a Break in the Middle: Investigating Subgoals towards Hierarchical Script Generation.,2023,"Xinze Li, Yixin Cao, Muhao Chen, Aixin Sun",CoRR abs/2305.10907 ,CORR,Unranked
27,LogicLLM: Exploring Self-supervised Logic-enhanced Training for Large Language Models.,2023,"Fangkai Jiao, Zhiyang Teng, Shafiq R. Joty, Bosheng Ding, Aixin Sun, Zhengyuan Liu, Nancy F. Chen",CoRR abs/2305.13718 ,CORR,Unranked
28,MS-DETR: Natural Language Video Localization with Sampling Moment-Moment Interaction.,2023,"Jing Wang, Aixin Sun, Hao Zhang, Xiaoli Li",CoRR abs/2305.18969 ,CORR,Unranked
29,Dipping PLMs Sauce: Bridging Structure and Text for Effective Knowledge Graph Completion via Conditional Soft Prompting.,2023,"Chen Chen, Yufei Wang, Aixin Sun, Bing Li, Kwok-Yan Lam",CoRR abs/2307.01709 ,CORR,Unranked
30,Research Explosion: More Effort to Climb onto Shoulders of the Giant.,2023,"Guoxiu He, Aixin Sun, Wei Lu",CoRR abs/2307.06506 ,CORR,Unranked
31,Our Model Achieves Excellent Performance on MovieLens: What Does it Mean?,2023,"Yu-chen Fan, Yitong Ji, Jie Zhang, Aixin Sun",CoRR abs/2307.09985 ,CORR,Unranked
32,FLM-101B: An Open LLM and How to Train It with $100K Budget.,2023,"Xiang Li, Yiqun Yao, Xin Jiang, Xuezhi Fang, Xuying Meng, Siqi Fan, Peng Han, Jing Li, Li Du, Bowen Qin, Zheng Zhang, Aixin Sun, Yequan Wang",CoRR abs/2309.03852 ,CORR,Unranked
33,An Image Dataset for Benchmarking Recommender Systems with Raw Pixels.,2023,"Yu Cheng, Yunzhu Pan, Jiaqi Zhang, Yongxin Ni, Aixin Sun, Fajie Yuan",CoRR abs/2309.06789 ,CORR,Unranked
34,Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution.,2023,"Xinze Li, Yixin Cao, Liangming Pan, Yubo Ma, Aixin Sun",CoRR abs/2310.05634 ,CORR,Unranked
35,Real-time dynamic network learning for location inference modelling and computing.,2022,"Jianxin Li, Aixin Sun, Ziyu Guan, Muhammad Aamir Cheema, Geyong Min",Neurocomputing 472: 198-200 ,IJON,Unranked
