,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A multi-source data-driven model of lake water level based on variational modal decomposition and external factors with optimized bi-directional long short-term memory neural network.,2023,"Rui Tan, Yuan Hu, Zhaocai Wang",Environ. Model. Softw. 167: 105766 ,ENVSOFT,Unranked
1,TouchKey: Touch to Generate Symmetric Keys by Skin Electric Potentials Induced by Powerline Radiation.,2023,"Yuchen Miao, Chaojie Gu, Zhenyu Yan, Sze Yiu Chau, Rui Tan, Qi Lin, Wen Hu, Shibo He, Jiming Chen",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. 7: 70:1-70:21 ,IMWUT,Unranked
2,"Correction to ""Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices"".",2023,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu",IEEE Internet Things J. 10: 973 ,IOTJ,Unranked
3,Identification of Rubber Plantations in Southwestern China Based on Multi-Source Remote Sensing Data and Phenology Windows.,2023,"Guokun Chen, Zicheng Liu, Qingke Wen, Rui Tan, Yiwen Wang, Jingjing Zhao, Junxin Feng",Remote. Sens. 15: 1228 ,REMOTESENSING,Unranked
4,Touch-to-Access Device Authentication For Indoor Smart Objects.,2023,"Zhenyu Yan, Qun Song, Rui Tan",IEEE Trans. Mob. Comput. 22: 1185-1197 ,TMC,Unranked
5,Configuration-Adaptive Wireless Visual Sensing System With Deep Reinforcement Learning.,2023,"Siyuan Zhou, Duc Van Le, Rui Tan, Joy Qiping Yang, Daren Ho",IEEE Trans. Mob. Comput. 22: 5078-5091 ,TMC,Unranked
6,Physics-directed Data Augmentation for Deep Model Transfer to Specific Sensor.,2023,"Wenjie Luo, Zhenyu Yan, Qun Song, Rui Tan",ACM Trans. Sens. Networks 19: 21:1-21:30 ,TOSN,Unranked
7,LMAC: Efficient Carrier-Sense Multiple Access for LoRa.,2023,"Amalinda Gamage, Jansen Christian Liando, Chaojie Gu, Rui Tan, Mo Li, Olivier Seller",ACM Trans. Sens. Networks 19: 44:1-44:27 ,TOSN,Unranked
8,Towards Efficient Personalized Driver Behavior Modeling with Machine Unlearning.,2023,"Qun Song, Rui Tan, Jianping Wang",CPS-IoT Week Workshops 2023: 31-36,CPSWEEK,Unranked
9,Physics-Informed Machine Learning Model Generalization in AIoT: Opportunites and Challenges.,2023,"Rui Tan, Wenjie Luo",CPS-IoT Week Workshops 2023: 170-176,CPSWEEK,Unranked
10,Susceptibility of Autonomous Driving Agents to Learning-Based Action-Space Attacks.,2023,"Yuting Wu, Xin Lou, Pengfei Zhou, Rui Tan, Zbigniew T. Kalbarczyk, Ravishankar K. Iyer",DSN-W 2023: 76-83,DSN,A
11,Uncertainty-Encoded Multi-Modal Fusion for Robust Object Detection in Autonomous Driving.,2023,"Yang Lou, Qun Song, Qian Xu, Rui Tan, Jianping Wang",ECAI 2023: 1593-1600,ECAI,A
12,Phyllis: Physics-Informed Lifelong Reinforcement Learning for Data Center Cooling Control.,2023,"Ruihang Wang, Zhiwei Cao, Xin Zhou, Yonggang Wen, Rui Tan",e-Energy 2023: 114-126,EENERGY,Unranked
13,BubCam: A Vision System for Automated Quality Inspection at Manufacturing Lines.,2023,"Jiale Chen, Duc Van Le, Rui Tan, Daren Ho",ICCPS 2023: 12-21,ICCPS,Unranked
14,Effects of Learning-Based Action-Space Attacks on Autonomous Driving Agents.,2023,"Yuting Wu, Xin Lou, Pengfei Zhou, Rui Tan, Zbigniew Kalbarczyk, Ravishankar K. Iyer",ICCPS 2023: 239-240,ICCPS,Unranked
15,Interpersonal Distance Tracking with mmWave Radar and IMUs.,2023,"Yimin Dai, Xian Shuai, Rui Tan, Guoliang Xing",IPSN 2023: 123-135,IPSN,A*
16,Practically Adopting Human Activity Recognition.,2023,"Huatao Xu, Pengfei Zhou, Rui Tan, Mo Li",MobiCom 2023: 85:1-85:15,MOBICOM,A*
17,Interpersonal Distance Tracking with mmWave Radar and IMUs.,2023,"Yimin Dai, Xian Shuai, Rui Tan, Guoliang Xing",CoRR abs/2303.12798 ,CORR,Unranked
18,Uncertainty-Encoded Multi-Modal Fusion for Robust Object Detection in Autonomous Driving.,2023,"Yang Lou, Qun Song, Qian Xu, Rui Tan, Jianping Wang",CoRR abs/2307.16121 ,CORR,Unranked
19,A data-assisted first-principle approach to modeling server outlet temperature in air free-cooled data centers.,2022,"Yingbo Liu, Duc Van Le, Rui Tan",Future Gener. Comput. Syst. 129: 225-235 ,FGCS,Unranked
20,ILLOC: In-Hall Localization with Standard LoRaWAN Uplink Frames.,2022,"Dongfang Guo, Chaojie Gu, Linshan Jiang, Wenjie Luo, Rui Tan",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. 6: 13:1-13:26 ,IMWUT,Unranked
21,Special issue on neural computing and applications 2021.,2022,"Kai Liu, Jingjing Cao, Yimin Yang, Wun-She Yap, Rui Tan, Zenghui Wang",Neural Comput. Appl. 34: 16169-16171 ,NCA,B
22,DSSM: A Deep Neural Network with Spectrum Separable Module for Multi-Spectral Remote Sensing Image Segmentation.,2022,"Hongming Zhu, Rui Tan, Letong Han, Hongfei Fan, Zeju Wang, Bowen Du, Sicong Liu, Qin Liu",Remote. Sens. 14: 818 ,REMOTESENSING,Unranked
23,LIMU-BERT: Unleashing the Potential of Unlabeled Data for IMU Sensing Applications.,2022,"Huatao Xu, Pengfei Zhou, Rui Tan, Mo Li, Guobin Shen",GetMobile Mob. Comput. Commun. 26: 39-42 ,SIGMOBILE,Unranked
24,Real-Time Cooling Power Attribution for Co-Located Data Center Rooms with Distinct Temperatures and Humidities.,2022,"Rongrong Wang, Duc Van Le, Rui Tan, Yew-Wah Wong",ACM Trans. Cyber Phys. Syst. 6: 7:1-7:28 ,TCPS,Unranked
25,DeepMTD: Moving Target Defense for Deep Visual Sensing against Adversarial Examples.,2022,"Qun Song, Zhenyu Yan, Rui Tan",ACM Trans. Sens. Networks 18: 5:1-5:32 ,TOSN,Unranked
26,Attack-aware Synchronization-free Data Timestamping in LoRaWAN.,2022,"Chaojie Gu, Linshan Jiang, Rui Tan, Mo Li, Jun Huang",ACM Trans. Sens. Networks 18: 10:1-10:31 ,TOSN,Unranked
27,"Vulnerability Analysis, Robustness Verification, and Mitigation Strategy for Machine Learning-Based Power System Stability Assessment Model Under Adversarial Examples.",2022,"Chao Ren, Xiaoning Du, Yan Xu, Qun Song, Yang Liu, Rui Tan",IEEE Trans. Smart Grid 13: 1622-1632 ,TSG,Unranked
28,"Air Free-Cooled Tropical Data Center: Design, Evaluation, and Learned Lessons.",2022,"Duc Van Le, Yingbo Liu, Rongrong Wang, Rui Tan, Lek Heng Ngoh",IEEE Trans. Sustain. Comput. 7: 579-594 ,TSUSC,Unranked
29,Sardino: Ultra-Fast Dynamic Ensemble for Secure Visual Sensing at Mobile Edge.,2022,"Qun Song, Zhenyu Yan, Wenjie Luo, Rui Tan",EWSN 2022: 24-35,EWSN,B
30,Toward Physics-Guided Safe Deep Reinforcement Learning for Green Data Center Cooling Control.,2022,"Ruihang Wang, Xinyi Zhang, Xin Zhou, Yonggang Wen, Rui Tan",ICCPS 2022: 159-169,ICCPS,Unranked
31,Demo Abstract: 3D Simultaneous localization and Mapping with Power Network Electromagnetic Radiation.,2022,"Rongrong Wang, Zhenyu Yan, Yuting Wu, Rui Tan, Chris Xiaoxuan Lu",IPSN 2022: 491-492,IPSN,A*
32,Telesonar: Robocall Alarm System by Detecting Echo Channel and Breath Timing.,2022,"Zhenyu Yan, Rui Tan, Qun Song, Chris Xiaoxuan Lu",SenSys 2022: 61-74,SENSYS,A*
33,PriMask: Cascadable and Collusion-Resilient Data Masking for Mobile Cloud Inference.,2022,"Linshan Jiang, Qun Song, Rui Tan, Mo Li",SenSys 2022: 164-178,SENSYS,A*
34,Indoor Smartphone SLAM with Learned Echoic Location Features.,2022,"Wenjie Luo, Qun Song, Zhenyu Yan, Rui Tan, Guosheng Lin",SenSys 2022: 489-503,SENSYS,A*
35,Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation.,2022,"Nicholas Lim, Bryan Hooi, See-Kiong Ng, Yong Liang Goh, Renrong Weng, Rui Tan",SIGIR 2022: 1133-1143,SIGIR,A*
36,Sardino: Ultra-Fast Dynamic Ensemble for Secure Visual Sensing at Mobile Edge.,2022,"Qun Song, Zhenyu Yan, Wenjie Luo, Rui Tan",CoRR abs/2204.08189 ,CORR,Unranked
37,Indoor Smartphone SLAM with Learned Echoic Location Features.,2022,"Wenjie Luo, Qun Song, Zhenyu Yan, Rui Tan, Guosheng Lin",CoRR abs/2210.08493 ,CORR,Unranked
38,Holographic-Type Communication for Digital Twin: A Learning-based Auction Approach.,2022,"Xiuyu Zhang, Minrui Xu, Rui Tan, Dusit Niyato",CoRR abs/2211.01016 ,CORR,Unranked
39,PriMask: Cascadable and Collusion-Resilient Data Masking for Mobile Cloud Inference.,2022,"Linshan Jiang, Qun Song, Rui Tan, Mo Li",CoRR abs/2211.06716 ,CORR,Unranked
40,A Partial Hierarchical Model for Online Low-Resolution Wear Particle Images Classification.,2021,"Xuxu Guo, Rui Tan, Mingyang Yang, Xinrong He, Jia Guo, Suli Fan, Junnan Hu, Taohong Zhang, Aziguli Wulamu",Comput. Intell. Neurosci. 2021: 6630247:1-6630247:10 ,CIN,Unranked
41,Fast Detection of Deceptive Reviews by Combining the Time Series and Machine Learning.,2021,"Minjuan Zhong, Zhenjin Li, Shengzong Liu, Bo Yang, Rui Tan, Xilong Qu",Complex. 2021: 9923374:1-9923374:11 ,COMPLEXITY,Unranked
42,Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices.,2021,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu",IEEE Internet Things J. 8: 1817-1829 ,IOTJ,Unranked
43,Joint IT-Facility Optimization for Green Data Centers via Deep Reinforcement Learning.,2021,"Xin Zhou, Ruihang Wang, Yonggang Wen, Rui Tan",IEEE Netw. 35: 255-262 ,NETWORK,Unranked
44,Hybrid Attention Based Residual Network for Pansharpening.,2021,"Qin Liu, Letong Han, Rui Tan, Hongfei Fan, Weiqi Li, Hongming Zhu, Bowen Du, Sicong Liu",Remote. Sens. 13: 1962 ,REMOTESENSING,Unranked
45,On Lightweight Privacy-preserving Collaborative Learning for Internet of Things by Independent Random Projections.,2021,"Linshan Jiang, Rui Tan, Xin Lou, Guosheng Lin",ACM Trans. Internet Things 2: 11:1-11:32 ,TIOT,Unranked
46,Deep Reinforcement Learning for Tropical Air Free-cooled Data Center Control.,2021,"Duc Van Le, Rongrong Wang, Yingbo Liu, Rui Tan, Yew-Wah Wong, Yonggang Wen",ACM Trans. Sens. Networks 17: 24:1-24:28 ,TOSN,Unranked
47,Learning-Based Simultaneous Detection and Characterization of Time Delay Attack in Cyber-Physical Systems.,2021,"Prakhar Ganesh, Xin Lou, Yao Chen, Rui Tan, David K. Y. Yau, Deming Chen, Marianne Winslett",IEEE Trans. Smart Grid 12: 3581-3593 ,TSG,Unranked
48,Mixed Numerology Interference Recognition Approach for 5G NR.,2021,"Fan Wu, Rui Tan, Cong Zhang, Wenhao Fan, Xi Chen, Dusit Niyato, Yuan'an Liu",IEEE Wirel. Commun. Lett. 10: 2135-2139 ,WCL,Unranked
49,Understanding Credibility of Adversarial Examples against Smart Grid: A Case Study for Voltage Stability Assessment.,2021,"Qun Song, Rui Tan, Chao Ren, Yan Xu",e-Energy 2021: 95-106,EENERGY,Unranked
50,Split Convolutional Neural Networks for Distributed Inference on Concurrent IoT Sensors.,2021,"Jiale Chen, Duc Van Le, Rui Tan, Daren Ho",ICPADS 2021: 66-73,ICPADS,B
51,An Electromagnetic Covert Channel based on Neural Network Architecture.,2021,"Chaojie Gu, Jiale Chen, Rui Tan, Linshan Jiang",ICPADS 2021: 177-184,ICPADS,B
52,Dynamic Analysis of a Coupled Aquaculture Ship and Cage Mooring System in Deep Sea.,2021,"Pengchao Wang, Rui Tan, Yan He",ICRAI 2021: 130-135,ICRAI,Unranked
