,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Sensitivity-Tunable Terahertz Liquid/Gas Biosensor Based on Surface Plasmon Resonance with Dirac Semimetal.,2023,"Mengjiao Ren, Chengpeng Ji, Xueyan Tang, Haishan Tian, Leyong Jiang, Xiaoyu Dai, Xinghua Wu, Yuanjiang Xiang",Sensors 23: 5520 ,SENSORS,Unranked
1,2-hop+ Sampling: Efficient and Effective Influence Estimation.,2023,"Yuqing Zhu, Jing Tang, Xueyan Tang, Sibo Wang, Andrew Lim",IEEE Trans. Knowl. Data Eng. 35: 1088-1103 ,TKDE,Unranked
2,Minimising Task Tardiness for Multi-Agent Pickup and Delivery.,2023,"Saravanan Ramanathan, Yihao Liu, Xueyan Tang, Wentong Cai, Jingning Li",AAMAS 2023: 2349-2351,ATAL,Unranked
3,Dynamic Bin Packing with Predictions.,2023,"Mozhengfu Liu, Xueyan Tang",SIGMETRICS  2023: 57-58,SIGMETRICS,A*
4,Smart Contract Migration: Security Analysis and Recommendations from Ethereum to Arbitrum.,2023,"Xueyan Tang, Lingzhi Shi, Alan Lai, Yuying Du, Jing Deng, Jialu Fu, Jiayi Li",CoRR abs/2307.14773 ,CORR,Unranked
5,Busy-Time Scheduling on Heterogeneous Machines: Algorithms and Analysis.,2022,"Mozhengfu Liu, Xueyan Tang",IEEE Trans. Parallel Distributed Syst. 33: 3942-3958 ,TPDS,Unranked
6,Optimal price profile for influential nodes in online social networks.,2022,"Yuqing Zhu, Jing Tang, Xueyan Tang",VLDB J. 31: 779-795 ,VLDB,A*
7,On Task Assignment and Scheduling for Distributed Job Execution.,2022,"Yitong Guan, Xueyan Tang",CCGRID 2022: 726-735,CCGRID,B
8,Distributed Influence Maximization for Large-Scale Online Social Networks.,2022,"Jing Tang, Yuqing Zhu, Xueyan Tang, Kai Han",ICDE 2022: 81-95,ICDE,A*
9,Revisiting Modified Greedy Algorithm for Monotone Submodular Maximization with a Knapsack Constraint.,2021,"Jing Tang, Xueyan Tang, Andrew Lim, Kai Han, Chongshou Li, Junsong Yuan",Proc. ACM Meas. Anal. Comput. Syst. 5: 08:1-08:22 ,POMACS,Unranked
10,Dynamic Bin Packing with Predictions.,2021,"Mozhengfu Liu, Xueyan Tang",Proc. ACM Meas. Anal. Comput. Syst. 6: 45:1-45:24 ,POMACS,Unranked
11,Analysis of Influence Contribution in Social Advertising.,2021,"Yuqing Zhu, Jing Tang, Xueyan Tang, Lei Chen",Proc. VLDB Endow. 15: 348-360 ,PVLDB,Unranked
