,Title,Year,Authors,Journal,Journal Acronym,Rank
0,DNN Model Theft Through Trojan Side-Channel on Edge FPGA Accelerator.,2023,"Srivatsan Chandrasekar, Siew-Kei Lam, Srikanthan Thambipillai",ARC 2023: 146-158,ARC,Unranked
1,Reconfiguration algorithms for synchronous communication on switch based degradable arrays.,2022,"Yalan Wu, Jigang Wu, Peng Liu, Yinhe Han, Thambipillai Srikanthan",Parallel Comput. 111: 102901 ,PC,Unranked
2,Traffic Speed Prediction of Road Cluster with Heterogeneous Sampling Frequency.,2022,"Guiyuan Jiang, Peilan He, Jigang Wu, Yidan Sun, Thambipillai Srikanthan",PAAP 2022: 1-6,PAAP,Unranked
3,Longevity Framework: Leveraging Online Integrated Aging-Aware Hierarchical Mapping and VF-Selection for Lifetime Reliability Optimization in Manycore Processors.,2021,"Vijeta Rathore, Vivek Chaturvedi, Amit Kumar Singh, Thambipillai Srikanthan, Muhammad Shafique",IEEE Trans. Computers 70: 1106-1119 ,TC,Unranked
4,Power-Efficient Mapping of Large Applications on Modern Heterogeneous FPGAs.,2021,"Kalindu Herath, Alok Prakash, Suhaib A. Fahmy, Thambipillai Srikanthan",IEEE Trans. Comput. Aided Des. Integr. Circuits Syst. 40: 2508-2521 ,TCAD,Unranked
5,Incorporating Compiler Optimization in Software Estimation for FPGA-based Embedded Processors.,2021,"Deshya Wijesundera, Thilina Perera, Dilina Dehigama, Thambipillai Srikanthan",ICICT 2021: 137-141,ICICT2,Unranked
6,Road-network aware Dynamic Workload Balancing Technique for Real-time Route Generation in On-Demand Public Transit.,2021,"Thilina Perera, Lahiru Wijerathna, Deshya Wijesundera, Thambipillai Srikanthan",SSCI 2021: 1-8,SSCI,Unranked
7,Blockchain-based public auditing for big data in cloud storage.,2020,"Jiaxing Li, Jigang Wu, Guiyuan Jiang, Thambipillai Srikanthan",Inf. Process. Manag. 57: 102382 ,IPM,Unranked
8,Improving accuracy of HPC-based malware classification for embedded platforms using gradient descent optimization.,2020,"Manaar Alam, Debdeep Mukhopadhyay, Sai Praveen Kadiyala, Siew-Kei Lam, Thambipillai Srikanthan",J. Cryptogr. Eng. 10: 289-303 ,JCE,Unranked
9,LAMBDA: Lightweight Assessment of Malware for emBeddeD Architectures.,2020,"Sai Praveen Kadiyala, Manaar Alam, Yash Shrivastava, Sikhar Patranabis, Muhamed Fauzi Bin Abbas, Arnab Kumar Biswas, Debdeep Mukhopadhyay, Thambipillai Srikanthan",ACM Trans. Embed. Comput. Syst. 19: 23:1-23:31 ,TECS,Unranked
