,Title,Year,Authors,Journal,Journal Acronym,Rank
0,VEntNet: Hybrid deep convolutional neural network model for automated multi-class categorization of chest X-rays.,2022,"Vidya K. Sudarshan, Reshma A. Ramachandra, Nicole Si Min Tan, Smit Ojha, Ru San Tan",Int. J. Imaging Syst. Technol. 32: 778-797 ,IMST,Unranked
1,Performance evaluation of Emergency Department patient arrivals forecasting models by including meteorological and calendar information: A comparative study.,2021,"Vidya K. Sudarshan, Mikkel Brabrand, Troels Martin Range, Uffe Kock Wiil",Comput. Biol. Medicine 135: 104541 ,CBM,Unranked
2,Automated interpretation of biopsy images for the detection of celiac disease using a machine learning approach.,2021,"Joel Koh En Wei, Simona De Michele, K. Vidya Sudarshan, V. Jahmunah, Edward J. Ciaccio, Ooi Chui Ping, Raj Gururajan, Rashmi Gururajan, Shu Lih Oh, Suzanne K. Lewis, Peter H. R. Green, Govind Bhagat, U. Rajendra Acharya",Comput. Methods Programs Biomed. 203: 106010 ,CMPB,Unranked
3,Future IoT tools for COVID-19 contact tracing and prediction: A review of the state-of-the-science.,2021,"Jahmunah Vicnesh, K. Vidya Sudarshan, Shu Lih Oh, Raj Gururajan, Rashmi Gururajan, Xujuan Zhou, Xiaohui Tao, Oliver Faust, Edward J. Ciaccio, Kwan Hoong Ng, U. Rajendra Acharya",Int. J. Imaging Syst. Technol. 31: 455-471 ,IMST,Unranked
4,Automated characterization of cardiovascular diseases using relative wavelet nonlinear features extracted from ECG signals.,2018,"Muhammad Adam, Shu Lih Oh, K. Vidya Sudarshan, Joel E. W. Koh, Yuki Hagiwara, Jen Hong Tan, Ru San Tan, U. Rajendra Acharya",Comput. Methods Programs Biomed. 161: 133-143 ,CMPB,Unranked
5,Application of higher-order spectra for the characterization of Coronary artery disease using electrocardiogram signals.,2017,"U. Rajendra Acharya, K. Vidya Sudarshan, Joel E. W. Koh, Roshan Joy Martis, Jen Hong Tan, Shu Lih Oh, Muhammad Adam, Yuki Hagiwara, Muthu Rama Krishnan Mookiah, Chua Kok Poo, Chua Kuang Chua, Ru San Tan",Biomed. Signal Process. Control. 31: 31-43 ,BSPC,Unranked
6,Data mining framework for breast lesion classification in shear wave ultrasound: A hybrid feature paradigm.,2017,"U. Rajendra Acharya, Wei Lin Ng, Kartini Rahmat, K. Vidya Sudarshan, Joel E. W. Koh, Jen Hong Tan, Yuki Hagiwara, Chai Hong Yeong, Kwan Hoong Ng",Biomed. Signal Process. Control. 33: 400-410 ,BSPC,Unranked
7,Automated diagnosis of congestive heart failure using dual tree complex wavelet transform and statistical features extracted from 2 s of ECG signals.,2017,"K. Vidya Sudarshan, U. Rajendra Acharya, Shu Lih Oh, Muhammad Adam, Jen Hong Tan, Chua Kuang Chua, Chua Kok Poo, Ru San Tan",Comput. Biol. Medicine 83: 48-58 ,CBM,Unranked
8,Automated detection of premature delivery using empirical mode and wavelet packet decomposition techniques with uterine electromyogram signals.,2017,"U. Rajendra Acharya, K. Vidya Sudarshan, Soon Qing Rong, Zechariah Tan, Choo Min Lim, Joel E. W. Koh, Sujatha Nayak, Sulatha V. Bhandary",Comput. Biol. Medicine 85: 33-42 ,CBM,Unranked
9,Shear wave elastography for characterization of breast lesions: Shearlet transform and local binary pattern histogram techniques.,2017,"U. Rajendra Acharya, Wei Lin Ng, Kartini Rahmat, K. Vidya Sudarshan, Joel E. W. Koh, Jen Hong Tan, Yuki Hagiwara, Arkadiusz Gertych, Farhana Fadzli, Chai Hong Yeong, Kwan Hoong Ng",Comput. Biol. Medicine 91: 13-20 ,CBM,Unranked
