,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A fully differentiable ligand pose optimization framework guided by deep learning and a traditional scoring function.,2023,"Zechen Wang, Liangzhen Zheng, Sheng Wang, Mingzhi Lin, Zhihao Wang, Adams Wai-Kin Kong, Yuguang Mu, Yanjie Wei, Weifeng Li",Briefings Bioinform. 24 ,BIB,Unranked
1,A Practical Upper Bound for the Worst-Case Attribution Deviations.,2023,"Fan Wang, Adams Wai-Kin Kong",CVPR 2023: 24616-24625,CVPR,A*
2,Flexible-modal Deception Detection with Audio-Visual Adapter.,2023,"Zhaoxu Li, Zitong Yu, Nithish Muthuchamy Selvaraj, Xiaobao Guo, Bingquan Shen, Adams Wai-Kin Kong, Alex C. Kot",CoRR abs/2302.05727 ,CORR,Unranked
3,A Practical Upper Bound for the Worst-Case Attribution Deviations.,2023,"Fan Wang, Adams Wai-Kin Kong",CoRR abs/2303.00340 ,CORR,Unranked
4,TF-ICON: Diffusion-Based Training-Free Cross-Domain Image Composition.,2023,"Shilin Lu, Yanzhu Liu, Adams Wai-Kin Kong",CoRR abs/2307.12493 ,CORR,Unranked
5,Using double attention for text tattoo localisation.,2022,"Xingpeng Xu, Shitala Prasad, Kuanhong Cheng, Adams Wai-Kin Kong",IET Biom. 11: 199-214 ,IET-BMT,Unranked
6,Pure Transformer with Integrated Experts for Scene Text Recognition.,2022,"Yew Lee Tan, Adams Wai-Kin Kong, Jung-Jae Kim",ECCV  2022: 481-497,ECCV,A*
7,Transferable Adversarial Attack based on Integrated Gradients.,2022,"Yi Huang, Adams Wai-Kin Kong",ICLR 2022,ICLR,A*
8,Portmanteauing Features for Scene Text Recognition.,2022,"Yew Lee Tan, Ernest Yu Kai Chew, Adams Wai-Kin Kong, Jung-Jae Kim, Joo Hwee Lim",ICPR 2022: 1499-1505,ICPR,B
9,Exploiting the Relationship Between Kendall's Rank Correlation and Cosine Similarity for Attribution Protection.,2022,"Fan Wang, Adams Wai-Kin Kong",NeurIPS 2022,NIPS,Unranked
10,Exploiting the Relationship Between Kendall's Rank Correlation and Cosine Similarity for Attribution Protection.,2022,"Fan Wang, Adams Wai-Kin Kong",CoRR abs/2205.07279 ,CORR,Unranked
11,Transferable Adversarial Attack based on Integrated Gradients.,2022,"Yi Huang, Adams Wai-Kin Kong",CoRR abs/2205.13152 ,CORR,Unranked
12,Pure Transformer with Integrated Experts for Scene Text Recognition.,2022,"Yew Lee Tan, Adams Wai-Kin Kong, Jung-Jae Kim",CoRR abs/2211.04963 ,CORR,Unranked
13,Portmanteauing Features for Scene Text Recognition.,2022,"Yew Lee Tan, Ernest Yu Kai Chew, Adams Wai-Kin Kong, Jung-Jae Kim, Joo Hwee Lim",CoRR abs/2211.05036 ,CORR,Unranked
14,Pixel-wise ordinal classification for salient object grading.,2021,"Yanzhu Liu, Yanan Wang, Adams Wai-Kin Kong",Image Vis. Comput. 106: 104086 ,IVC,Unranked
15,Segmenting Vitiligo on Clinical Face Images Using CNN Trained on Synthetic and Internet Images.,2021,"Yanling Li, Adams Wai-Kin Kong, Steven Thng",IEEE J. Biomed. Health Informatics 25: 3082-3093 ,TITB,Unranked
