,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Beaver Triple Generator from Multiplicatively Homomorphic Key Management Protocol.,2022,"Huafei Zhu, Wee Keong Ng",AINA  2022: 492-503,AINA,B
1,Highly Scalable Beaver Triple Generator from Additively Homomorphic Encryption.,2022,"Huafei Zhu, Wee Keong Ng",AINA  2022: 504-514,AINA,B
2,"Kaputa - Blockchain, Non-Fungible Token and Model Card Integrated 5G/6G Network Slice Broker and Marketplace.",2022,"Eranga Bandara, Sachin Shetty, Ravi Mukkamala, Abdul Rahman, Peter Foytik, Xueping Liang, Wee Keong Ng",MILCOM 2022: 559-564,MILCOM,Unranked
3,Skunk - A Blockchain and Zero Trust Security Enabled Federated Learning Platform for 5G/6G Network Slicing.,2022,"Eranga Bandara, Xueping Liang, Sachin Shetty, Ravi Mukkamala, Abdul Rahman, Wee Keong Ng",SECON 2022: 109-117,SECON,B
4,Comprehensive Performance Analysis of Homomorphic Cryptosystems for Practical Data Processing.,2022,"Vasily Sidorov, Ethan Yi Fan Wei, Wee Keong Ng",CoRR abs/2202.02960 ,CORR,Unranked
5,Promize - Blockchain and Self Sovereign Identity Empowered Mobile ATM Platform.,2021,"Eranga Bandara, Xueping Liang, Peter Foytik, Sachin Shetty, Nalin Ranasinghe, Kasun De Zoysa, Wee Keong Ng",SAI  2021: 891-911,SAI,Unranked
6,Protecting Big Data Privacy Using Randomized Tensor Network Decomposition and Dispersed Tensor Computation.,2021,"Jenn-Bing Ong, Wee Keong Ng, Ivan Tjuawinata, Chao Li, Jielin Yang, Sai None Myne, Huaxiong Wang, Kwok-Yan Lam, C.-C. Jay Kuo",CoRR abs/2101.04194 ,CORR,Unranked
7,Context-Aware Sliding Window for Sentiment Classification.,2020,"Muhammad Ali Masood, Rabeeh Ayaz Abbasi, Wee Keong Ng",IEEE Access 8: 4870-4884 ,ACCESS,Unranked
8,Privacy-Preserving Weighted Federated Learning Within the Secret Sharing Framework.,2020,"Huafei Zhu, Rick Siow Mong Goh, Wee Keong Ng",IEEE Access 8: 198275-198284 ,ACCESS,Unranked
9,Lekana - Blockchain Based Archive Storage for Large-Scale Cloud Systems.,2020,"Eranga Bandara, Xueping Liang, Sachin Shetty, Wee Keong Ng, Peter Foytik, Nalin Ranasinghe, Kasun De Zoysa, Bård Langöy, David Larsson",ICBC 2020: 169-184,ICBC,C
10,Connect - Blockchain and Self-Sovereign Identity Empowered Contact Tracing Platform.,2020,"Eranga Bandara, Xueping Liang, Peter Foytik, Sachin Shetty, Crissie Hall, Daniel Bowden, Nalin Ranasinghe, Kasun De Zoysa, Wee Keong Ng",MobiHealth 2020: 208-223,MOBIHEALTH,Unranked
11,SaaS - Microservices-Based Scalable Smart Contract Architecture.,2020,"Eranga Bandara, Xueping Liang, Peter Foytik, Sachin Shetty, Nalin Ranasinghe, Kasun De Zoysa, Wee Keong Ng",SSCC 2020: 228-243,SSCC,Unranked
12,"Scalable, On-Demand Secure Multiparty Computation for Privacy-Aware Blockchains.",2019,"Shantanu Sharma, Wee Keong Ng",BlockSys 2019: 196-211,BLOCKSYS,Unranked
13,Aplos: Smart Contracts Made Smart.,2019,"Eranga Bandara, Wee Keong Ng, Nalin Ranasinghe, Kasun De Zoysa",BlockSys 2019: 431-445,BLOCKSYS,Unranked
14,Transitive Pseudonyms Mediated EHRs Sharing for Very Important Patients.,2019,"Huafei Zhu, Wee Keong Ng",ICWS 2019: 80-94,ICWS2,Unranked
15,Learning under concept drift with follow the regularized leader and adaptive decaying proximal.,2018,"Huynh Ngoc Anh, Wee Keong Ng, Kanishka Ariyapala",Expert Syst. Appl. 96: 49-63 ,ESWA,Unranked
16,Mystiko - Blockchain Meets Big Data.,2018,"Eranga Bandara, Wee Keong Ng, Kasun De Zoysa, Newton Fernando, Supun Tharaka, P. Maurakirinathan, Namal Jayasuriya",IEEE BigData 2018: 3024-3032,BIGDATACONF,Unranked
17,A Practical Expert System with (Near) Real-Time Analysis of Large Spatial Sets of Air Traffic Data.,2018,"Vasily Sidorov, Wee Keong Ng, Mohamed Faisal Bin Mohamed Salleh",IEEE BigData 2018: 3478-3484,BIGDATACONF,Unranked
18,Audio Fingerprint Application for the Media Industry.,2018,"Andrew Putra Kusuma, Vajisha U. Wanniarachchi, Owen Noel Newton Fernando, Wee Keong Ng",UbiComp/ISWC Adjunct 2018: 114-117,HUC,Unranked
19,Sustainable Data Management Strategies and Systems in Untrust Cloud Environments.,2018,"Huafei Zhu, Wee Keong Ng",ICIT 2018: 163-167,ICIT,Unranked
20,A Collision-Free Path Planning Algorithm for Unmanned Aerial Vehicle Delivery.,2018,"Ziji Shi, Wee Keong Ng",CoRR abs/1805.03358 ,CORR,Unranked
21,Convolutional Neural Networks with Transformed Input based on Robust Tensor Network Decomposition.,2018,"Jenn-Bing Ong, Wee Keong Ng, C.-C. Jay Kuo",CoRR abs/1812.02622 ,CORR,Unranked
22,Hybrid Subspace Mixture Models for Prediction and Anomaly Detection in High Dimensions.,2017,"Jenn-Bing Ong, Wee Keong Ng",ADMA 2017: 326-339,ADMA,C
23,A New Adaptive Learning Algorithm and Its Application to Online Malware Detection.,2017,"Huynh Ngoc Anh, Wee Keong Ng, Kanishka Ariyapala",DS 2017: 18-32,DIS,A
24,Blockchain-Based System for Secure Data Storage with Private Keyword Search.,2017,"Hoang Giang Do, Wee Keong Ng",SERVICES 2017: 90-93,SERVICES,B
