,Title,Year,Authors,Journal,Journal Acronym,Rank
0,"Semantic Communications for Future Internet: Fundamentals, Applications, and Challenges.",2023,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 213-250 ,COMSUR,Unranked
1,"A Full Dive Into Realizing the Edge-Enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2023,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 656-700 ,COMSUR,Unranked
2,Stochastic Coded Offloading Scheme for Unmanned-Aerial-Vehicle-Assisted Edge Computing.,2023,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim",IEEE Internet Things J. 10: 5626-5643 ,IOTJ,Unranked
3,Economics of Semantic Communication System: An Auction Approach.,2023,"Zi Qin Liew, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Dong In Kim",IEEE Trans. Veh. Technol. 72: 13559-13574 ,TVT,Unranked
4,Realizing the Metaverse with Edge Intelligence: A Match Made in Heaven.,2023,"Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xianbin Cao, Chunyan Miao, Sumei Sun, Qiang Yang",IEEE Wirel. Commun. 30: 64-71 ,WC,Unranked
5,Economics of Semantic Communication in Metaverse: An Auction Approach.,2023,"Zi Qin Liew, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Han Yu",CCNC 2023: 398-403,CCNC,Unranked
6,Reputation-Aware Opportunistic Budget Optimization for Auction-based Federation Learning.,2023,"Xavier Tan, Wei Yang Bryan Lim, Dusit Niyato, Han Yu",IJCNN 2023: 1-8,IJCNN,B
7,Sustainable AIGC Workload Scheduling of Geo-Distributed Data Centers: A Multi-Agent Reinforcement Learning Approach.,2023,"Siyue Zhang, Minrui Xu, Wei Yang Bryan Lim, Dusit Niyato",CoRR abs/2304.07948 ,CORR,Unranked
8,Federated Learning Over Wireless Edge Networks.,2022,"Wei Yang Bryan Lim, Jer Shyuan Ng, Zehui Xiong, Dusit Niyato, Chunyan Miao","Wireless Networks, Springer 2022, ISBN 978-3-031-07837-8, pp. 1-150",WN,Unranked
9,A Hierarchical Incentive Design Toward Motivating Participation in Coded Federated Learning.,2022,"Jer Shyuan Ng, Wei Yang Bryan Lim, Zehui Xiong, Xianbin Cao, Dusit Niyato, Cyril Leung, Dong In Kim",IEEE J. Sel. Areas Commun. 40: 359-375 ,JSAC,Unranked
10,Aerial Refueling: Scheduling Wireless Energy Charging for UAV Enabled Data Collection.,2022,"Kun Zhu, Jia Yang, Yang Zhang, Jiangtian Nie, Wei Yang Bryan Lim, Hongliang Zhang, Zehui Xiong",IEEE Trans. Green Commun. Netw. 6: 1494-1510 ,TGCN,Unranked
11,When Information Freshness Meets Service Latency in Federated Learning: A Task-Aware Incentive Scheme for Smart Industries.,2022,"Wei Yang Bryan Lim, Zehui Xiong, Jiawen Kang, Dusit Niyato, Cyril Leung, Chunyan Miao, Xuemin Shen",IEEE Trans. Ind. Informatics 18: 457-466 ,TII,Unranked
12,Toward Efficient Data Trading in AI Enabled Reconfigurable Wireless Sensor Network Using Contract and Game Theories.,2022,"Xumin Huang, Sahil Garg, Jiangtian Nie, Wei Yang Bryan Lim, Yuanhang Qi, Yang Zhang, M. Shamim Hossain",IEEE Trans. Netw. Sci. Eng. 9: 98-108 ,TNSE,Unranked
13,Deep Learning-Powered Vessel Trajectory Prediction for Improving Smart Traffic Services in Maritime Internet of Things.,2022,"Ryan Wen Liu, Maohan Liang, Jiangtian Nie, Wei Yang Bryan Lim, Yang Zhang, Mohsen Guizani",IEEE Trans. Netw. Sci. Eng. 9: 3080-3094 ,TNSE,Unranked
14,Decentralized Edge Intelligence: A Dynamic Resource Allocation Framework for Hierarchical Federated Learning.,2022,"Wei Yang Bryan Lim, Jer Shyuan Ng, Zehui Xiong, Jiangming Jin, Yang Zhang, Dusit Niyato, Cyril Leung, Chunyan Miao",IEEE Trans. Parallel Distributed Syst. 33: 536-550 ,TPDS,Unranked
15,Reputation-Aware Hedonic Coalition Formation for Efficient Serverless Hierarchical Federated Learning.,2022,"Jer Shyuan Ng, Wei Yang Bryan Lim, Zehui Xiong, Xianbin Cao, Jiangming Jin, Dusit Niyato, Cyril Leung, Chunyan Miao",IEEE Trans. Parallel Distributed Syst. 33: 2675-2686 ,TPDS,Unranked
16,A Double Auction Mechanism for Resource Allocation in Coded Vehicular Edge Computing.,2022,"Jer Shyuan Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Cyril Leung, Chunyan Miao",IEEE Trans. Veh. Technol. 71: 1832-1845 ,TVT,Unranked
17,Semantic Communication Meets Edge Intelligence.,2022,"Wanting Yang, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xianbin Cao, Khaled B. Letaief",IEEE Wirel. Commun. 29: 28-35 ,WC,Unranked
18,CrowdFL: A Marketplace for Crowdsourced Federated Learning.,2022,"Daifei Feng, Cicilia Helena, Wei Yang Bryan Lim, Jer Shyuan Ng, Hongchao Jiang, Zehui Xiong, Jiawen Kang, Han Yu, Dusit Niyato, Chunyan Miao",AAAI 2022: 13164-13166,AAAI,A*
19,Dynamic Incentive Mechanism Design for COVID-19 Social Distancing.,2022,"Xuan Rong Zane Ho, Wei Yang Bryan Lim, Hongchao Jiang, Jer Shyuan Ng, Han Yu, Zehui Xiong, Dusit Niyato, Chunyan Miao",AAAI 2022: 13173-13175,AAAI,A*
20,Economics of Semantic Communication System in Wireless Powered Internet of Things.,2022,"Zi Qin Liew, Yanyu Cheng, Wei Yang Bryan Lim, Dusit Niyato, Chunyan Miao, Sumei Sun",ICASSP 2022: 8637-8641,ICASSP,Unranked
21,Evolutionary Model Owner Selection for Federated Learning with Heterogeneous Privacy Budgets.,2022,"Wei Yang Bryan Lim, Jer Shyuan Ng, Jiangtian Nie, Qin Hu, Zehui Xiong, Dusit Niyato, Chunyan Miao",ICC 2022: 980-985,ICC,Unranked
22,UAV-assisted Wireless Power Charging for Efficient Hybrid Coded Edge Computing Network.,2022,"Jer Shyuan Ng, Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Cyril Leung, Chunyan Miao",ICC 2022: 4037-4042,ICC,Unranked
23,Unified Resource Allocation Framework for the Edge Intelligence-Enabled Metaverse.,2022,"Wei Chong Ng, Wei Yang Bryan Lim, Jer Shyuan Ng, Zehui Xiong, Dusit Niyato, Chunyan Miao",ICC 2022: 5214-5219,ICC,Unranked
24,Realizing the Metaverse with Edge Intelligence: A Match Made in Heaven.,2022,"Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xianbin Cao, Chunyan Miao, Sumei Sun, Qiang Yang",CoRR abs/2201.01634 ,CORR,Unranked
25,Semantic Communication Meets Edge Intelligence.,2022,"Wanting Yang, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xianbin Cao, Khaled B. Letaief",CoRR abs/2202.06471 ,CORR,Unranked
26,Stochastic Coded Offloading Scheme for Unmanned Aerial Vehicle-Assisted Edge Computing.,2022,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim",CoRR abs/2202.11697 ,CORR,Unranked
27,"A Full Dive into Realizing the Edge-enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2022,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2203.05471 ,CORR,Unranked
28,"Semantic Communications for 6G Future Internet: Fundamentals, Applications, and Challenges.",2022,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2207.00427 ,CORR,Unranked
29,Economics of Semantic Communication System: An Auction Approach.,2022,"Zi Qin Liew, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Dong In Kim",CoRR abs/2208.05040 ,CORR,Unranked
30,Stochastic Resource Allocation for Semantic Communication-aided Virtual Transportation Networks in the Metaverse.,2022,"Wei Chong Ng, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao",CoRR abs/2208.14661 ,CORR,Unranked
31,Cooperative Resource Management in Quantum Key Distribution (QKD) Networks for Semantic Communication.,2022,"Rakpong Kaewpuang, Minrui Xu, Wei Yang Bryan Lim, Dusit Niyato, Han Yu, Jiawen Kang, Xuemin Sherman Shen",CoRR abs/2209.11957 ,CORR,Unranked
