,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Learning Chemical Rules of Retrosynthesis with Pre-training.,2023,"Yinjie Jiang, Ying Wei, Fei Wu, Zhengxing Huang, Kun Kuang, Zhihua Wang",AAAI 2023: 5113-5121,AAAI,A*
1,Learning to Substitute Spans towards Improving Compositional Generalization.,2023,"Zhaoyi Li, Ying Wei, Defu Lian",ACL  2023: 2791-2811,ACL,A*
2,Blind Image Quality Assessment via Vision-Language Correspondence: A Multitask Learning Perspective.,2023,"Weixia Zhang, Guangtao Zhai, Ying Wei, Xiaokang Yang, Kede Ma",CVPR 2023: 14071-14081,CVPR,A*
3,Blind Image Quality Assessment via Vision-Language Correspondence: A Multitask Learning Perspective.,2023,"Weixia Zhang, Guangtao Zhai, Ying Wei, Xiaokang Yang, Kede Ma",CoRR abs/2303.14968 ,CORR,Unranked
4,Learning to Substitute Spans towards Improving Compositional Generalization.,2023,"Zhaoyi Li, Ying Wei, Defu Lian",CoRR abs/2306.02840 ,CORR,Unranked
5,Disentangling Task Relations for Few-shot Text Classification via Self-Supervised Hierarchical Task Clustering.,2022,"Juan Zha, Zheng Li, Ying Wei, Yu Zhang",EMNLP  2022: 5236-5247,EMNLP,A*
6,Frustratingly Easy Transferability Estimation.,2022,"Long-Kai Huang, Junzhou Huang, Yu Rong, Qiang Yang, Ying Wei",ICML 2022: 9201-9225,ICML,A*
7,The Role of Deconfounding in Meta-learning.,2022,"Yinjie Jiang, Zhengyu Chen, Kun Kuang, Luotian Yuan, Xinhai Ye, Zhihua Wang, Fei Wu, Ying Wei",ICML 2022: 10161-10176,ICML,A*
8,Self-Supervised Text Erasing with Controllable Image Synthesis.,2022,"Gangwei Jiang, Shiyao Wang, Tiezheng Ge, Yuning Jiang, Ying Wei, Defu Lian",ACM Multimedia 2022: 1973-1983,MM,Unranked
9,Improving Task-Specific Generalization in Few-Shot Learning via Adaptive Vicinal Risk Minimization.,2022,"Long-Kai Huang, Ying Wei",NeurIPS 2022,NIPS,Unranked
10,Adversarial Task Up-sampling for Meta-learning.,2022,"Yichen Wu, Long-Kai Huang, Ying Wei",NeurIPS 2022,NIPS,Unranked
