,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Region-adaptive Concept Aggregation for Few-shot Visual Recognition.,2023,"Mengya Han, Yibing Zhan, Baosheng Yu, Yong Luo, Han Hu, Bo Du, Yonggang Wen, Dacheng Tao",Mach. Intell. Res. 20: 554-568 ,IJAUTCOMP,Unranked
1,Automatic Transformation Search Against Deep Leakage From Gradients.,2023,"Wei Gao, Xu Zhang, Shangwei Guo, Tianwei Zhang, Tao Xiang, Han Qiu, Yonggang Wen, Yang Liu",IEEE Trans. Pattern Anal. Mach. Intell. 45: 10650-10668 ,PAMI,Unranked
2,Learning Relation Prototype From Unlabeled Texts for Long-Tail Relation Extraction.,2023,"Yixin Cao, Jun Kuang, Ming Gao, Aoying Zhou, Yonggang Wen, Tat-Seng Chua",IEEE Trans. Knowl. Data Eng. 35: 1761-1774 ,TKDE,Unranked
3,"A Review on Generative Adversarial Networks: Algorithms, Theory, and Applications.",2023,"Jie Gui, Zhenan Sun, Yonggang Wen, Dacheng Tao, Jieping Ye",IEEE Trans. Knowl. Data Eng. 35: 3313-3332 ,TKDE,Unranked
4,Editorial.,2023,Yonggang Wen,IEEE Trans. Multim. 25: 1060 ,TMM,Unranked
5,Two-Stream Prototype Learning Network for Few-Shot Face Recognition Under Occlusions.,2023,"Xingyu Yang, Mengya Han, Yong Luo, Han Hu, Yonggang Wen",IEEE Trans. Multim. 25: 1555-1563 ,TMM,Unranked
6,Optimizing Performance of Federated Person Re-identification: Benchmarking and Analysis.,2023,"Weiming Zhuang, Xin Gan, Yonggang Wen, Shuai Zhang",ACM Trans. Multim. Comput. Commun. Appl. 19: 38:1-38:18 ,TOMCCAP,Unranked
7,Optimizing Data Center Energy Efficiency via Event-Driven Deep Reinforcement Learning.,2023,"Yongyi Ran, Xin Zhou, Han Hu, Yonggang Wen",IEEE Trans. Serv. Comput. 16: 1296-1309 ,TSC,Unranked
8,Optimizing Energy Efficiency for Data Center via Parameterized Deep Reinforcement Learning.,2023,"Yongyi Ran, Han Hu, Yonggang Wen, Xin Zhou",IEEE Trans. Serv. Comput. 16: 1310-1323 ,TSC,Unranked
9,FedABC: Targeting Fair Competition in Personalized Federated Learning.,2023,"Dui Wang, Li Shen, Yong Luo, Han Hu, Kehua Su, Yonggang Wen, Dacheng Tao",AAAI 2023: 10095-10103,AAAI,A*
10,Discriminative Reasoning with Sparse Event Representation for Document-level Event-Event Relation Extraction.,2023,"Changsen Yuan, Heyan Huang, Yixin Cao, Yonggang Wen",ACL  2023: 16222-16234,ACL,A*
11,"Lucid: A Non-intrusive, Scalable and Interpretable Scheduler for Deep Learning Training Jobs.",2023,"Qinghao Hu, Meng Zhang, Peng Sun, Yonggang Wen, Tianwei Zhang",ASPLOS  2023: 457-472,ASPLOS,A*
12,Phyllis: Physics-Informed Lifelong Reinforcement Learning for Data Center Cooling Control.,2023,"Ruihang Wang, Zhiwei Cao, Xin Zhou, Yonggang Wen, Rui Tan",e-Energy 2023: 114-126,EENERGY,Unranked
13,Toward Model-Assisted Safe Reinforcement Learning for Data Center Cooling Control: A Lyapunov-based Approach.,2023,"Zhiwei Cao, Ruihang Wang, Xin Zhou, Yonggang Wen",e-Energy 2023: 333-346,EENERGY,Unranked
14,Hydro: Surrogate-Based Hyperparameter Tuning Service in Datacenters.,2023,"Qinghao Hu, Zhisheng Ye, Meng Zhang, Qiaoling Chen, Peng Sun, Yonggang Wen, Tianwei Zhang",OSDI 2023: 757-777,OSDI,A*
15,FedABC: Targeting Fair Competition in Personalized Federated Learning.,2023,"Dui Wang, Li Shen, Yong Luo, Han Hu, Kehua Su, Yonggang Wen, Dacheng Tao",CoRR abs/2302.07450 ,CORR,Unranked
16,Boosting Distributed Full-graph GNN Training with Asynchronous One-bit Communication.,2023,"Meng Zhang, Qinghao Hu, Peng Sun, Yonggang Wen, Tianwei Zhang",CoRR abs/2303.01277 ,CORR,Unranked
17,FHA-Kitchens: A Novel Dataset for Fine-Grained Hand Action Recognition in Kitchen Scenes.,2023,"Ting Zhe, Yongqian Li, Jing Zhang, Yong Luo, Han Hu, Bo Du, Yonggang Wen, Dacheng Tao",CoRR abs/2306.10858 ,CORR,Unranked
18,MAS: Towards Resource-Efficient Federated Multiple-Task Learning.,2023,"Weiming Zhuang, Yonggang Wen, Lingjuan Lyu, Shuai Zhang",CoRR abs/2307.11285 ,CORR,Unranked
19,Rethinking the Localization in Weakly Supervised Object Localization.,2023,"Rui Xu, Yong Luo, Han Hu, Bo Du, Jialie Shen, Yonggang Wen",CoRR abs/2308.06161 ,CORR,Unranked
20,PartSeg: Few-shot Part Segmentation via Part-aware Prompt Learning.,2023,"Mengya Han, Heliang Zheng, Chaoyue Wang, Yong Luo, Han Hu, Jing Zhang, Yonggang Wen",CoRR abs/2308.12757 ,CORR,Unranked
21,Toward a Systematic Survey for Carbon Neutral Data Centers.,2022,"Zhiwei Cao, Xin Zhou, Han Hu, Zhi Wang, Yonggang Wen",IEEE Commun. Surv. Tutorials 24: 895-936 ,COMSUR,Unranked
22,FogChain: A Blockchain-Based Peer-to-Peer Solar Power Trading System Powered by Fog AI.,2022,"Guanyu Gao, Chengru Song, T. G. Thusitha Asela Bandara, Meng Shen, Fan Yang, Wolf Posdorfer, Dacheng Tao, Yonggang Wen",IEEE Internet Things J. 9: 5200-5215 ,IOTJ,Unranked
23,EasyFL: A Low-Code Federated Learning Platform for Dummies.,2022,"Weiming Zhuang, Xin Gan, Yonggang Wen, Shuai Zhang",IEEE Internet Things J. 9: 13740-13754 ,IOTJ,Unranked
24,GradientFlow: Optimizing Network Performance for Large-Scale Distributed DNN Training.,2022,"Peng Sun, Yonggang Wen, Ruobing Han, Wansen Feng, Shengen Yan",IEEE Trans. Big Data 8: 495-507 ,TBD,Unranked
25,CycleResume: A Cycle Learning Framework with Hybrid Attention for Fine-Grained Talent-Job Fit.,2022,"Zichen Zhang, Yong Luo, Yonggang Wen, Xinwen Zhang",CICAI  2022: 260-271,CICAI,Unranked
26,Titan: a scheduler for foundation model fine-tuning workloads.,2022,"Wei Gao, Peng Sun, Yonggang Wen, Tianwei Zhang",SoCC 2022: 348-354,CLOUD,B
27,Toward Physics-Guided Safe Deep Reinforcement Learning for Green Data Center Cooling Control.,2022,"Ruihang Wang, Xinyi Zhang, Xin Zhou, Yonggang Wen, Rui Tan",ICCPS 2022: 159-169,ICCPS,Unranked
28,Divergence-aware Federated Self-Supervised Learning.,2022,"Weiming Zhuang, Yonggang Wen, Shuai Zhang",ICLR 2022,ICLR,A*
29,Federated Unsupervised Domain Adaptation for Face Recognition.,2022,"Weiming Zhuang, Xin Gan, Xuesen Zhang, Yonggang Wen, Shuai Zhang, Shuai Yi",ICME 2022: 1-6,ICMCS,Unranked
30,Optimizing Federated Unsupervised Person Re-identification via Camera-aware Clustering.,2022,"Jiabei Liu, Weiming Zhuang, Yonggang Wen, Jun Huang, Wei Lin",MMSP 2022: 1-6,MMSP,C
31,Nonlinear Multi-Model Reuse.,2022,"Yong Luo, Ling-Yu Duan, Yan Bai, Tongliang Liu, Yihang Lou, Yonggang Wen",MMSP 2022: 1-6,MMSP,C
32,Reducio: model reduction for data center predictive digital twins via physics-guided machine learning.,2022,"Zhiwei Cao, Ruihang Wang, Xin Zhou, Yonggang Wen",BuildSys@SenSys 2022: 1-10,SENSYS,A*
33,Optimizing Data Centre Energy Efficiency via Event Driven Deep Reinforcement Learning.,2022,"Yongyi Ran, Xin Zhou, Han Hu, Yonggang Wen",SERVICES 2022: 20,SERVICES,B
