,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Digital-Twin Consistency Checking Based on Observed Timed Events With Unobservable Transitions in Smart Manufacturing.,2023,"Moon Gi Seok, Wen Jun Tan, Wentong Cai, Daejin Park",IEEE Trans. Ind. Informatics 19: 6208-6219 ,TII,Unranked
1,Crowd-Level Abnormal Behavior Detection via Multi-Scale Motion Consistency Learning.,2023,"Linbo Luo, Yuanjing Li, Haiyan Yin, Shangwei Xie, Ruimin Hu, Wentong Cai",AAAI 2023: 8984-8992,AAAI,A*
2,Minimising Task Tardiness for Multi-Agent Pickup and Delivery.,2023,"Saravanan Ramanathan, Yihao Liu, Xueyan Tang, Wentong Cai, Jingning Li",AAMAS 2023: 2349-2351,ATAL,Unranked
3,Characterization of Pedestrian Contact Interaction Trajectories.,2023,"Jaeyoung Kwak, Michael Harold Lees, Wentong Cai",ICCS  2023: 18-32,ICCS,Multiconference
4,Towards a Performance-Aware Partitioning Algorithm for Cloud-Based Microscopic Vehicle Traffic Simulations.,2023,"Anibal Siguenza-Torres, Wentong Cai, Alois Knoll",SIGSIM-PADS 2023: 44-45,PADS,B
5,Equipment-centric Data-driven Reliability Assessment of Complex Manufacturing Systems.,2023,"Jonas Friederich, Wentong Cai, Boon Ping Gan, Sanja Lazarova-Molnar",SIGSIM-PADS 2023: 62-72,PADS,B
6,Automatic Model Generation and Data Assimilation Framework for Cyber-Physical Production Systems.,2023,"Wen Jun Tan, Moon Gi Seok, Wentong Cai",SIGSIM-PADS 2023: 73-83,PADS,B
7,Research on the collaboration of service selection and resource scheduling for IoT simulation workflows.,2022,"Feng Li, T. Warren Liao, Wentong Cai",Adv. Eng. Informatics 52: 101528 ,AEI,Unranked
8,E2T-CVL: An Efficient and Error-Tolerant Approach for Collaborative Vehicle Localization.,2022,"Xiangting Hou, Linbo Luo, Wentong Cai, Bin Guo",IEEE Internet Things J. 9: 3481-3494 ,IOTJ,Unranked
9,A wholistic optimization of containerized workflow scheduling and deployment in the cloud-edge environment.,2022,"Feng Li, Wen Jun Tan, Wentong Cai",Simul. Model. Pract. Theory 118: 102521 ,SIMPRA,Unranked
10,Distribution-Based Weights Estimation for Map Matching Algorithms.,2022,"Xiangting Hou, Linbo Luo, Wentong Cai",IEEE Syst. J. 16: 4256-4266 ,SJ,Unranked
