,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Traffic forecasting with graph spatial-temporal position recurrent network.,2023,"Yibi Chen, Kenli Li, Chai Kiat Yeo, Keqin Li",Neural Networks 162: 340-349 ,NN,Unranked
1,Siamese Centerness Prediction Network for Real-Time Visual Object Tracking.,2023,"Yue Wu, Chengtao Cai, Chai Kiat Yeo",Neural Process. Lett. 55: 1029-1044 ,NPL,Unranked
2,DeformToon3D: Deformable 3D Toonification from Neural Radiance Fields.,2023,"Junzhe Zhang, Yushi Lan, Shuai Yang, Fangzhou Hong, Quan Wang, Chai Kiat Yeo, Ziwei Liu, Chen Change Loy",CoRR abs/2309.04410 ,CORR,Unranked
3,Transferability of Representations Learned using Supervised Contrastive Learning Trained on a Multi-Domain Dataset.,2023,"Alvin De Jun Tan, Clement Tan, Chai Kiat Yeo",CoRR abs/2309.15486 ,CORR,Unranked
4,Hybrid market-based resources allocation in Mobile Edge Computing systems under stochastic information.,2022,"Xiaowen Huang, Shimin Gong, Jingmin Yang, Wenjie Zhang, Liwei Yang, Chai Kiat Yeo",Future Gener. Comput. Syst. 127: 80-91 ,FGCS,Unranked
5,Approximate personalized propagation for unsupervised embedding in heterogeneous graphs.,2022,"Yibi Chen, Yikun Hu, Keqin Li, Chai Kiat Yeo, Kenli Li",Inf. Sci. 600: 287-300 ,ISCI,Unranked
6,Privacy-preserving knowledge transfer for intrusion detection with federated deep autoencoding gaussian mixture model.,2022,"Yang Chen, Junzhe Zhang, Chai Kiat Yeo",Inf. Sci. 609: 1204-1220 ,ISCI,Unranked
7,Identification of rumour stances by considering network topology and social media comments.,2022,"Yongcong Luo, Jing Ma, Chai Kiat Yeo",J. Inf. Sci. 48: 118-130 ,JIS,Unranked
8,Exploiting user network topology and comment semantic for accurate rumour stance recognition on social media.,2022,"Yongcong Luo, Jing Ma, Chai Kiat Yeo",J. Inf. Sci. 48: 660-675 ,JIS,Unranked
9,Optimal sequential relay-remote selection and computation offloading in mobile edge computing.,2022,"Che Chen, Rongzong Guo, Wenjie Zhang, Jingmin Yang, Chai Kiat Yeo",J. Supercomput. 78: 1093-1116 ,TJS,Unranked
10,Distributed algorithm for computation offloading in mobile edge computing considering user mobility and task randomness.,2022,"F. Yifeng Zheng, S. Lei Huang, Wenjie Zhang, F. Jingmin Yang, F. Liwei Yang, Chai Kiat Yeo",J. Supercomput. 78: 12476-12504 ,TJS,Unranked
11,NSGZero: Efficiently Learning Non-exploitable Policy in Large-Scale Network Security Games with Neural Monte Carlo Tree Search.,2022,"Wanqi Xue, Bo An, Chai Kiat Yeo",AAAI 2022: 4646-4653,AAAI,A*
12,Mis-spoke or mis-lead: Achieving Robustness in Multi-Agent Communicative Reinforcement Learning.,2022,"Wanqi Xue, Wei Qiu, Bo An, Zinovi Rabinovich, Svetlana Obraztsova, Chai Kiat Yeo",AAMAS 2022: 1418-1426,ATAL,Unranked
13,Monocular 3D Object Reconstruction with GAN Inversion.,2022,"Junzhe Zhang, Daxuan Ren, Zhongang Cai, Chai Kiat Yeo, Bo Dai, Chen Change Loy",ECCV  2022: 673-689,ECCV,A*
14,Deep Reinforcement Learning based Contract Incentive for UAVs and Energy Harvest Assisted Computing.,2022,"Che Chen, Shimin Gong, Wenjie Zhang, Yifeng Zheng, Chai Kiat Yeo",GLOBECOM 2022: 2224-2229,GLOBECOM,B
15,Context-Aware Memory Attention Network for Video-Based Action Recognition.,2022,"Thean Chun Koh, Chai Kiat Yeo, Vaitesswar U. S, Xuan Jing",IVMSP 2022: 1-5,IVMSP,Unranked
16,Self-Supervised Superpixel Correspondences For Video Object Segmentation.,2022,"Clement Tan, Chai Kiat Yeo, Cheston Tan, Basura Fernando",VSIP 2022: 117-121,VSIP,Unranked
17,NSGZero: Efficiently Learning Non-Exploitable Policy in Large-Scale Network Security Games with Neural Monte Carlo Tree Search.,2022,"Wanqi Xue, Bo An, Chai Kiat Yeo",CoRR abs/2201.07224 ,CORR,Unranked
18,Monocular 3D Object Reconstruction with GAN Inversion.,2022,"Junzhe Zhang, Daxuan Ren, Zhongang Cai, Chai Kiat Yeo, Bo Dai, Chen Change Loy",CoRR abs/2207.10061 ,CORR,Unranked
19,Abductive Action Inference.,2022,"Clement Tan, Chai Kiat Yeo, Cheston Tan, Basura Fernando",CoRR abs/2210.13984 ,CORR,Unranked
20,Market-based dynamic resource allocation in Mobile Edge Computing systems with multi-server and multi-user.,2021,"Xiaowen Huang, Wenjie Zhang, Jingmin Yang, Liwei Yang, Chai Kiat Yeo",Comput. Commun. 165: 43-52 ,COMCOM,Unranked
21,Lower-Limb Rehabilitation at Home: A Survey on Exercise Assessment and Initial Study on Exercise State Identification Toward Biofeedback.,2021,"Seanglidet Yean, Bu-Sung Lee, Chai Kiat Yeo",Int. J. Interdiscip. Telecommun. Netw. 13: 12-23 ,IJITN,Unranked
22,Multi-scale Self-Organizing Map assisted Deep Autoencoding Gaussian Mixture Model for unsupervised intrusion detection.,2021,"Yang Chen, Nami Ashizawa, Chai Kiat Yeo, Naoto Yanai, Seanglidet Yean",Knowl. Based Syst. 224: 107086 ,KBS,Unranked
23,BCMM: A novel post-based augmentation representation for early rumour detection on social media.,2021,"Yongcong Luo, Jing Ma, Chai Kiat Yeo",Pattern Recognit. 113: 107818 ,PR,Unranked
24,Self-Organizing Map assisted Deep Autoencoding Gaussian Mixture Model for Intrusion Detection.,2021,"Yang Chen, Nami Ashizawa, Seanglidet Yean, Chai Kiat Yeo, Naoto Yanai",CCNC 2021: 1-6,CCNC,Unranked
25,Unsupervised 3D Shape Completion Through GAN Inversion.,2021,"Junzhe Zhang, Xinyi Chen, Zhongang Cai, Liang Pan, Haiyu Zhao, Shuai Yi, Chai Kiat Yeo, Bo Dai, Chen Change Loy",CVPR 2021: 1768-1777,CVPR,A*
26,Solving Large-Scale Extensive-Form Network Security Games via Neural Fictitious Self-Play.,2021,"Wanqi Xue, Youzhi Zhang, Shuxin Li, Xinrun Wang, Bo An, Chai Kiat Yeo",IJCAI 2021: 3713-3720,IJCAI,A*
27,Unsupervised 3D Shape Completion through GAN Inversion.,2021,"Junzhe Zhang, Xinyi Chen, Zhongang Cai, Liang Pan, Haiyu Zhao, Shuai Yi, Chai Kiat Yeo, Bo Dai, Chen Change Loy",CoRR abs/2104.13366 ,CORR,Unranked
28,Solving Large-Scale Extensive-Form Network Security Games via Neural Fictitious Self-Play.,2021,"Wanqi Xue, Youzhi Zhang, Shuxin Li, Xinrun Wang, Bo An, Chai Kiat Yeo",CoRR abs/2106.00897 ,CORR,Unranked
29,Mis-spoke or mis-lead: Achieving Robustness in Multi-Agent Communicative Reinforcement Learning.,2021,"Wanqi Xue, Wei Qiu, Bo An, Zinovi Rabinovich, Svetlana Obraztsova, Chai Kiat Yeo",CoRR abs/2108.03803 ,CORR,Unranked
30,Distributed algorithm for AP association with random arrivals and departures of users.,2020,"Zhenwei Chen, Wenjie Zhang, Yifeng Zheng, Liwei Yang, Chai Kiat Yeo",IET Commun. 14: 846-856 ,IET-COM,Unranked
31,Two-tier trading strategy design for spectrum allocation in heterogeneous cognitive radio networks.,2020,"Xiaowen Huang, Wenjie Zhang, Jingmin Yang, Liwei Yang, Chai Kiat Yeo",IET Commun. 14: 2759-2768 ,IET-COM,Unranked
