,Title,Year,Authors,Journal,Journal Acronym,Rank
0,"Editorial for Special Issue on Large-scale Pre-training: Data, Models, and Fine-tuning.",2023,"Ji-Rong Wen, Zi Huang, Hanwang Zhang",Mach. Intell. Res. 20: 145-146 ,IJAUTCOMP,Unranked
1,Compositional Prompting Video-language Models to Understand Procedure in Instructional Videos.,2023,"Guyue Hu, Bin He, Hanwang Zhang",Mach. Intell. Res. 20: 249-262 ,IJAUTCOMP,Unranked
2,Learning to Collocate Visual-Linguistic Neural Modules for Image Captioning.,2023,"Xu Yang, Hanwang Zhang, Chongyang Gao, Jianfei Cai",Int. J. Comput. Vis. 131: 82-100 ,IJCV,Unranked
3,Deconfounded Image Captioning: A Causal Retrospect.,2023,"Xu Yang, Hanwang Zhang, Jianfei Cai",IEEE Trans. Pattern Anal. Mach. Intell. 45: 12996-13010 ,PAMI,Unranked
4,Counterfactual Samples Synthesizing and Training for Robust Visual Question Answering.,2023,"Long Chen, Yuhang Zheng, Yulei Niu, Hanwang Zhang, Jun Xiao",IEEE Trans. Pattern Anal. Mach. Intell. 45: 13218-13234 ,PAMI,Unranked
5,Cross-GCN: Enhancing Graph Convolutional Network with $k$k-Order Feature Interactions.,2023,"Fuli Feng, Xiangnan He, Hanwang Zhang, Tat-Seng Chua",IEEE Trans. Knowl. Data Eng. 35: 225-236 ,TKDE,Unranked
6,Causal Interventional Training for Image Recognition.,2023,"Wei Qin, Hanwang Zhang, Richang Hong, Ee-Peng Lim, Qianru Sun",IEEE Trans. Multim. 25: 1033-1044 ,TMM,Unranked
7,VL-NMS: Breaking Proposal Bottlenecks in Two-stage Visual-language Matching.,2023,"Chenchi Zhang, Wenbo Ma, Jun Xiao, Hanwang Zhang, Jian Shao, Yueting Zhuang, Long Chen",ACM Trans. Multim. Comput. Commun. Appl. 19: 166:1-166:24 ,TOMCCAP,Unranked
8,Debiased Fine-Tuning for Vision-Language Models by Prompt Regularization.,2023,"Beier Zhu, Yulei Niu, Saeil Lee, Minhoe Hur, Hanwang Zhang",AAAI 2023: 3834-3842,AAAI,A*
9,Hypothetical Training for Robust Machine Reading Comprehension of Tabular Context.,2023,"Moxin Li, Wenjie Wang, Fuli Feng, Hanwang Zhang, Qifan Wang, Tat-Seng Chua",ACL  2023: 1220-1236,ACL,A*
10,Counterfactual Active Learning for Out-of-Distribution Generalization.,2023,"Xun Deng, Wenjie Wang, Fuli Feng, Hanwang Zhang, Xiangnan He, Yong Liao",ACL  2023: 11362-11377,ACL,A*
11,Semantic Scene Completion with Cleaner Self.,2023,"Fengyun Wang, Dong Zhang, Hanwang Zhang, Jinhui Tang, Qianru Sun",CVPR 2023: 867-877,CVPR,A*
12,Bootstrap Your Own Prior: Towards Distribution-Agnostic Novel Class Discovery.,2023,"Muli Yang, Liancheng Wang, Cheng Deng, Hanwang Zhang",CVPR 2023: 3459-3468,CVPR,A*
13,Unbiased Multiple Instance Learning for Weakly Supervised Video Anomaly Detection.,2023,"Hui Lv, Zhongqi Yue, Qianru Sun, Bin Luo, Zhen Cui, Hanwang Zhang",CVPR 2023: 8022-8031,CVPR,A*
14,Compositional Prompt Tuning with Motion Cues for Open-vocabulary Video Relation Detection.,2023,"Kaifeng Gao, Long Chen, Hanwang Zhang, Jun Xiao, Qianru Sun",ICLR 2023,ICLR,A*
15,Learning Trajectory-Word Alignments for Video-Language Tasks.,2023,"Xu Yang, Zhangzikang Li, Haiyang Xu, Hanwang Zhang, Qinghao Ye, Chenliang Li, Ming Yan, Yu Zhang, Fei Huang, Songfang Huang",CoRR abs/2301.01953 ,CORR,Unranked
16,Adaptively Clustering Neighbor Elements for Image Captioning.,2023,"Zihua Wang, Xu Yang, Haiyang Xu, Hanwang Zhang, Chenliang Li, Songfang Huang, Fei Huang, Yu Zhang",CoRR abs/2301.01955 ,CORR,Unranked
17,Debiased Fine-Tuning for Vision-language Models by Prompt Regularization.,2023,"Beier Zhu, Yulei Niu, Saeil Lee, Minhoe Hur, Hanwang Zhang",CoRR abs/2301.12429 ,CORR,Unranked
18,Compositional Prompt Tuning with Motion Cues for Open-vocabulary Video Relation Detection.,2023,"Kaifeng Gao, Long Chen, Hanwang Zhang, Jun Xiao, Qianru Sun",CoRR abs/2302.00268 ,CORR,Unranked
19,Semantic Scene Completion with Cleaner Self.,2023,"Fengyun Wang, Dong Zhang, Hanwang Zhang, Jinhui Tang, Qianru Sun",CoRR abs/2303.09977 ,CORR,Unranked
20,Unbiased Multiple Instance Learning for Weakly Supervised Video Anomaly Detection.,2023,"Hui Lv, Zhongqi Yue, Qianru Sun, Bin Luo, Zhen Cui, Hanwang Zhang",CoRR abs/2303.12369 ,CORR,Unranked
21,Equivariant Similarity for Vision-Language Foundation Models.,2023,"Tan Wang, Kevin Lin, Linjie Li, Chung-Ching Lin, Zhengyuan Yang, Hanwang Zhang, Zicheng Liu, Lijuan Wang",CoRR abs/2303.14465 ,CORR,Unranked
22,Decoupled Kullback-Leibler Divergence Loss.,2023,"Jiequan Cui, Zhuotao Tian, Zhisheng Zhong, Xiaojuan Qi, Bei Yu, Hanwang Zhang",CoRR abs/2305.13948 ,CORR,Unranked
23,An Overview of Challenges in Egocentric Text-Video Retrieval.,2023,"Burak Satar, Hongyuan Zhu, Hanwang Zhang, Joo Hwee Lim",CoRR abs/2306.04345 ,CORR,Unranked
24,Fast Diffusion Model.,2023,"Zike Wu, Pan Zhou, Kenji Kawaguchi, Hanwang Zhang",CoRR abs/2306.06991 ,CORR,Unranked
25,DisCo: Disentangled Control for Referring Human Dance Generation in Real World.,2023,"Tan Wang, Linjie Li, Kevin Lin, Chung-Ching Lin, Zhengyuan Yang, Hanwang Zhang, Zicheng Liu, Lijuan Wang",CoRR abs/2307.00040 ,CORR,Unranked
26,Random Boxes Are Open-world Object Detectors.,2023,"Yanghao Wang, Zhongqi Yue, Xian-Sheng Hua, Hanwang Zhang",CoRR abs/2307.08249 ,CORR,Unranked
27,Empowering Vision-Language Models to Follow Interleaved Vision-Language Instructions.,2023,"Juncheng Li, Kaihang Pan, Zhiqi Ge, Minghe Gao, Hanwang Zhang, Wei Ji, Wenqiao Zhang, Tat-Seng Chua, Siliang Tang, Yueting Zhuang",CoRR abs/2308.04152 ,CORR,Unranked
28,Invariant Training 2D-3D Joint Hard Samples for Few-Shot Point Cloud Recognition.,2023,"Xuanyu Yi, Jiajun Deng, Qianru Sun, Xian-Sheng Hua, Joo-Hwee Lim, Hanwang Zhang",CoRR abs/2308.09694 ,CORR,Unranked
29,Empowering Dynamics-aware Text-to-Video Diffusion with Large Language Models.,2023,"Hao Fei, Shengqiong Wu, Wei Ji, Hanwang Zhang, Tat-Seng Chua",CoRR abs/2308.13812 ,CORR,Unranked
30,Towards Debiasing Frame Length Bias in Text-Video Retrieval via Causal Intervention.,2023,"Burak Satar, Hongyuan Zhu, Hanwang Zhang, Joo Hwee Lim",CoRR abs/2309.09311 ,CORR,Unranked
31,Make the U in UDA Matter: Invariant Consistency Learning for Unsupervised Domain Adaptation.,2023,"Zhongqi Yue, Hanwang Zhang, Qianru Sun",CoRR abs/2309.12742 ,CORR,Unranked
32,Tuning Multi-mode Token-level Prompt Alignment across Modalities.,2023,"Dongsheng Wang, Miaoge Li, Xinyang Liu, Mingsheng Xu, Bo Chen, Hanwang Zhang",CoRR abs/2309.13847 ,CORR,Unranked
33,Generalized Logit Adjustment: Calibrating Fine-tuned Models by Removing Label Bias in Foundation Models.,2023,"Beier Zhu, Kaihua Tang, Qianru Sun, Hanwang Zhang",CoRR abs/2310.08106 ,CORR,Unranked
34,PR-NET: Progressively-refined neural network for image manipulation localization.,2022,"Zenan Shi, Chaoqun Chang, Haipeng Chen, Xiaoyu Du, Hanwang Zhang",Int. J. Intell. Syst. 37: 3166-3188 ,IJIS,Unranked
35,Learning to Compose and Reason with Language Tree Structures for Visual Grounding.,2022,"Richang Hong, Daqing Liu, Xiaoyu Mo, Xiangnan He, Hanwang Zhang",IEEE Trans. Pattern Anal. Mach. Intell. 44: 684-696 ,PAMI,Unranked
36,Context-Aware Visual Policy Network for Fine-Grained Image Captioning.,2022,"Zheng-Jun Zha, Daqing Liu, Hanwang Zhang, Yongdong Zhang, Feng Wu",IEEE Trans. Pattern Anal. Mach. Intell. 44: 710-722 ,PAMI,Unranked
37,Auto-Encoding and Distilling Scene Graphs for Image Captioning.,2022,"Xu Yang, Hanwang Zhang, Jianfei Cai",IEEE Trans. Pattern Anal. Mach. Intell. 44: 2313-2327 ,PAMI,Unranked
38,Editorial paper for Pattern Recognition Letters VSI on cross model understanding for visual question answering.,2022,"Shaohua Wan, Zan Gao, Hanwang Zhang, Xiaojun Chang, Chen Chen, Anastasios Tefas",Pattern Recognit. Lett. 160: 9-10 ,PRL,Unranked
39,Guest Editorial Introduction to the Special Section on Video and Language.,2022,"Tao Mei, Jason J. Corso, Gunhee Kim, Jiebo Luo, Chunhua Shen, Hanwang Zhang",IEEE Trans. Circuits Syst. Video Technol. 32: 1-4 ,TCSV,Unranked
40,Discriminative Style Learning for Cross-Domain Image Captioning.,2022,"Jin Yuan, Shuai Zhu, Shuyin Huang, Hanwang Zhang, Yaoqiang Xiao, Zhiyong Li, Meng Wang",IEEE Trans. Image Process. 31: 1723-1736 ,TIP,Unranked
41,Align R-CNN: A Pairwise Head Network for Visual Relationship Detection.,2022,"Mitra Tajrobehkar, Kaihua Tang, Hanwang Zhang, Joo-Hwee Lim",IEEE Trans. Multim. 24: 1266-1276 ,TMM,Unranked
42,Deconfounded Visual Grounding.,2022,"Jianqiang Huang, Yu Qin, Jiaxin Qi, Qianru Sun, Hanwang Zhang",AAAI 2022: 998-1006,AAAI,A*
43,Cross-Domain Empirical Risk Minimization for Unbiased Long-Tailed Classification.,2022,"Beier Zhu, Yulei Niu, Xian-Sheng Hua, Hanwang Zhang",AAAI 2022: 3589-3597,AAAI,A*
44,Learning to Imagine: Integrating Counterfactual Thinking in Neural Discrete Reasoning.,2022,"Moxin Li, Fuli Feng, Hanwang Zhang, Xiangnan He, Fengbin Zhu, Tat-Seng Chua",ACL  2022: 57-69,ACL,A*
45,KQA Pro: A Dataset with Explicit Compositional Programs for Complex Question Answering over Knowledge Base.,2022,"Shulin Cao, Jiaxin Shi, Liangming Pan, Lunyiu Nie, Yutong Xiang, Lei Hou, Juanzi Li, Bin He, Hanwang Zhang",ACL  2022: 6101-6119,ACL,A*
46,Class Re-Activation Maps for Weakly-Supervised Semantic Segmentation.,2022,"Zhaozheng Chen, Tan Wang, Xiongwei Wu, Xian-Sheng Hua, Hanwang Zhang, Qianru Sun",CVPR 2022: 959-968,CVPR,A*
47,Class Is Invariant to Context and Vice Versa: On Learning Invariance for Out-Of-Distribution Generalization.,2022,"Jiaxin Qi, Kaihua Tang, Qianru Sun, Xian-Sheng Hua, Hanwang Zhang",ECCV  2022: 92-109,ECCV,A*
48,Equivariance and Invariance Inductive Bias for Learning from Insufficient Data.,2022,"Tan Wang, Qianru Sun, Sugiri Pranata, Jayashree Karlekar, Hanwang Zhang",ECCV  2022: 241-258,ECCV,A*
