,Title,Year,Authors,Journal,Journal Acronym,Rank
0,DefQ: Defensive Quantization Against Inference Slow-Down Attack for Edge Computing.,2023,"Han Qiu, Tianwei Zhang, Tianzhu Zhang, Hongyu Li, Meikang Qiu",IEEE Internet Things J. 10: 3243-3251 ,IOTJ,Unranked
1,A survey on cybersecurity attacks and defenses for unmanned aerial systems.,2023,"Zhaoxuan Wang, Yang Li, Shihao Wu, Yuan Zhou, Libin Yang, Yuan Xu, Tianwei Zhang, Quan Pan",J. Syst. Archit. 138: 102870 ,JSA,Unranked
2,Automatic Transformation Search Against Deep Leakage From Gradients.,2023,"Wei Gao, Xu Zhang, Shangwei Guo, Tianwei Zhang, Tao Xiang, Han Qiu, Yonggang Wen, Yang Liu",IEEE Trans. Pattern Anal. Mach. Intell. 45: 10650-10668 ,PAMI,Unranked
3,Cooperative collision avoidance in multirobot systems using fuzzy rules and velocity obstacles.,2023,"Wenbing Tang, Yuan Zhou, Tianwei Zhang, Yang Liu, Jing Liu, Zuohua Ding",Robotica 41: 668-689 ,ROBOTICA,Unranked
4,Physical Black-Box Adversarial Attacks Through Transformations.,2023,"Wenbo Jiang, Hongwei Li, Guowen Xu, Tianwei Zhang, Rongxing Lu",IEEE Trans. Big Data 9: 964-974 ,TBD,Unranked
5,"Share Your Data Carefree: An Efficient, Scalable and Privacy-Preserving Data Sharing Service in Cloud Computing.",2023,"Jianfei Sun, Guowen Xu, Tianwei Zhang, Hu Xiong, Hongwei Li, Robert H. Deng",IEEE Trans. Cloud Comput. 11: 822-838 ,TCC,A
6,Secure Decentralized Image Classification With Multiparty Homomorphic Encryption.,2023,"Guowen Xu, Guanlin Li, Shangwei Guo, Tianwei Zhang, Hongwei Li",IEEE Trans. Circuits Syst. Video Technol. 33: 3185-3198 ,TCSV,Unranked
7,Can We Mitigate Backdoor Attack Using Adversarial Detection Methods?,2023,"Kaidi Jin, Tianwei Zhang, Chao Shen, Yufei Chen, Ming Fan, Chenhao Lin, Ting Liu",IEEE Trans. Dependable Secur. Comput. 20: 2867-2881 ,TDSC,Unranked
8,Hercules: Boosting the Performance of Privacy-Preserving Federated Learning.,2023,"Guowen Xu, Xingshuo Han, Shengmin Xu, Tianwei Zhang, Hongwei Li, Xinyi Huang, Robert H. Deng",IEEE Trans. Dependable Secur. Comput. 20: 4418-4433 ,TDSC,Unranked
9,"Verifiable, Fair and Privacy-Preserving Broadcast Authorization for Flexible Data Sharing in Clouds.",2023,"Jianfei Sun, Guowen Xu, Tianwei Zhang, Xuehuan Yang, Mamoun Alazab, Robert H. Deng",IEEE Trans. Inf. Forensics Secur. 18: 683-698 ,TIFS,Unranked
10,PriVDT: An Efficient Two-Party Cryptographic Framework for Vertical Decision Trees.,2023,"Hanxiao Chen, Hongwei Li, Yingzhe Wang, Meng Hao, Guowen Xu, Tianwei Zhang",IEEE Trans. Inf. Forensics Secur. 18: 1006-1021 ,TIFS,Unranked
11,FastSecNet: An Efficient Cryptographic Framework for Private Neural Network Inference.,2023,"Meng Hao, Hongwei Li, Hanxiao Chen, Pengzhi Xing, Tianwei Zhang",IEEE Trans. Inf. Forensics Secur. 18: 2569-2582 ,TIFS,Unranked
12,Privacy-Aware and Security-Enhanced Efficient Matchmaking Encryption.,2023,"Jianfei Sun, Guowen Xu, Tianwei Zhang, Xuehuan Yang, Mamoun Alazab, Robert H. Deng",IEEE Trans. Inf. Forensics Secur. 18: 4345-4360 ,TIFS,Unranked
13,Erase and Repair: An Efficient Box-Free Removal Attack on High-Capacity Deep Hiding.,2023,"Hangcheng Liu, Tao Xiang, Shangwei Guo, Han Li, Tianwei Zhang, Xiaofeng Liao",IEEE Trans. Inf. Forensics Secur. 18: 5229-5242 ,TIFS,Unranked
14,ADS-Lead: Lifelong Anomaly Detection in Autonomous Driving Systems.,2023,"Xingshuo Han, Yuan Zhou, Kangjie Chen, Han Qiu, Meikang Qiu, Yang Liu, Tianwei Zhang",IEEE Trans. Intell. Transp. Syst. 24: 1039-1051 ,TITS,Unranked
15,Secure Data Sharing With Flexible Cross-Domain Authorization in Autonomous Vehicle Systems.,2023,"Jianfei Sun, Guowen Xu, Tianwei Zhang, Xiaochun Cheng, Xingshuo Han, Mingjian Tang",IEEE Trans. Intell. Transp. Syst. 24: 7527-7540 ,TITS,Unranked
