,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Deep reinforcement learning based scheduling strategy for federated learning in sensor-cloud systems.,2023,"Tinghao Zhang, Kwok-Yan Lam, Jun Zhao",Future Gener. Comput. Syst. 144: 219-229 ,FGCS,Unranked
1,"Correction to ""Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices"".",2023,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu",IEEE Internet Things J. 10: 973 ,IOTJ,Unranked
2,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",IEEE J. Sel. Areas Commun. 41: 2138-2157 ,JSAC,Unranked
3,Queueing Aware Power Minimization for Wireless Communication Aided by Double-Faced Active RIS.,2023,"Yuyan Zhou, Yang Liu, Qingqing Wu, Qingjiang Shi, Jun Zhao, Yang Zhao",IEEE Trans. Commun. 71: 5799-5813 ,TCOM,Unranked
4,Differentially Private Distributed Frequency Estimation.,2023,"Mengmeng Yang, Ivan Tjuawinata, Kwok-Yan Lam, Tianqing Zhu, Jun Zhao",IEEE Trans. Dependable Secur. Comput. 20: 3910-3926 ,TDSC,Unranked
5,Efficient Dropout-Resilient Aggregation for Privacy-Preserving Machine Learning.,2023,"Ziyao Liu, Jiale Guo, Kwok-Yan Lam, Jun Zhao",IEEE Trans. Inf. Forensics Secur. 18: 1839-1854 ,TIFS,Unranked
6,Optimizing the Age of Information in RIS-Aided SWIPT Networks.,2023,"Wanting Lyu, Yue Xiu, Jun Zhao, Zhongpei Zhang",IEEE Trans. Veh. Technol. 72: 2615-2619 ,TVT,Unranked
7,Reconfigurable Intelligent Surface aided Wireless Powered Mobile Edge Computing.,2023,"Yidong Lu, Jun Zhao",CCNC 2023: 501-507,CCNC,Unranked
8,"Semantic Communications, Semantic Edge Computing, and Semantic Caching with Applications to the Metaverse and 6G Mobile Networks.",2023,"Wenhan Yu, Jun Zhao",ICDCS 2023: 983-984,ICDCS,A
9,Multi-Agent Deep Reinforcement Learning for Digital Twin over 6G Wireless Communication in the Metaverse.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",INFOCOM Workshops 2023: 1-6,INFOCOM,A*
10,Optimizing Utility-Energy Efficiency for the Metaverse over Wireless Networks under Physical Layer Security.,2023,"Jun Zhao, Xinyu Zhou, Yang Li, Liangxin Qian",MobiHoc 2023: 250-259,MOBIHOC,A
11,Mobile Edge Computing and AI Enabled Web3 Metaverse over 6G Wireless Communications: A Deep Reinforcement Learning Approach.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",VTC2023-Spring 2023: 1-5,VTC,B
12,UAV aided Metaverse over Wireless Communications: A Reinforcement Learning Approach.,2023,"Peiyuan Si, Wenhan Yu, Jun Zhao, Kwok-Yan Lam, Qing Yang",CoRR abs/2301.01474 ,CORR,Unranked
13,User-centric Heterogeneous-action Deep Reinforcement Learning for Virtual Reality in the Metaverse over Wireless Networks.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",CoRR abs/2302.01471 ,CORR,Unranked
14,Virtual Reality in Metaverse over Wireless Networks with User-centered Deep Reinforcement Learning.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",CoRR abs/2303.04349 ,CORR,Unranked
15,Optimizing Utility-Energy Efficiency for the Metaverse over Wireless Networks under Physical Layer Security.,2023,"Jun Zhao, Xinyu Zhou, Yang Li, Liangxin Qian",CoRR abs/2303.04683 ,CORR,Unranked
16,Mobile Edge Adversarial Detection for Digital Twinning to the Metaverse with Deep Reinforcement Learning.,2023,"Terence Jie Chua, Wenhan Yu, Jun Zhao",CoRR abs/2303.10288 ,CORR,Unranked
